,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,18.379572,4.318265914916992
96,1839,,
97,1840,13.413455,-0.6478509902954102
98,1841,13.9976,-0.0637063980102539
99,1842,15.154667,1.0933609008789062
100,1843,13.75625,-0.3050556182861328
101,1844,13.14875,-0.912555694580078
102,1845,13.305833,-0.7554731369018555
103,1846,14.030833,-0.0304727554321289
104,1847,13.475583,-0.5857229232788086
105,1848,13.13625,-0.9250564575195312
106,1849,13.444417,-0.6168889999389648
107,1850,13.326083,-0.7352228164672852
108,1851,13.605667,-0.4556388854980469
109,1852,13.541166,-0.5201396942138672
110,1853,13.455833,-0.6054725646972656
111,1854,13.60575,-0.4555559158325195
112,1855,13.923833,-0.1374731063842773
113,1856,13.464666,-0.5966396331787109
114,1857,13.074417,-0.9868888854980468
115,1858,13.664166,-0.3971395492553711
116,1859,13.911583,-0.1497230529785156
117,1860,13.404583,-0.6567230224609375
118,1861,13.26975,-0.7915563583374023
119,1862,12.935333,-1.1259727478027344
120,1863,13.639,-0.4223060607910156
121,1864,13.175667,-0.8856391906738281
122,1865,13.49075,-0.5705556869506836
123,1866,13.417833,-0.6434726715087891
124,1867,13.975166,-0.0861396789550781
125,1868,13.6935,-0.3678064346313476
126,1869,13.778084,-0.2832221984863281
127,1870,13.799334,-0.261972427368164
128,1871,13.631,-0.4303064346313476
129,1872,13.88275,-0.1785564422607422
130,1873,13.995916,-0.0653896331787109
131,1874,13.890583,-0.1707229614257812
132,1875,14.173333,0.1120271682739257
133,1876,13.564917,-0.4963893890380859
134,1877,13.71525,-0.3460559844970703
135,1878,13.877417,-0.1838893890380859
136,1879,13.928,-0.133305549621582
137,1880,14.19975,0.1384439468383789
138,1881,14.270333,0.2090272903442382
139,1882,13.434167,-0.6271390914916992
140,1883,13.600833,-0.4604730606079101
141,1884,13.381833,-0.6794729232788086
142,1885,13.031584,-1.0297222137451172
143,1886,13.200583,-0.860722541809082
144,1887,13.641417,-0.4198894500732422
145,1888,14.243167,0.1818609237670898
146,1889,13.727333,-0.3339729309082031
147,1890,13.72225,-0.3390560150146484
148,1891,13.23725,-0.8240556716918945
149,1892,14.076,0.0146942138671875
150,1893,13.43675,-0.6245555877685547
151,1894,13.46675,-0.5945558547973633
152,1895,13.98175,-0.0795564651489257
153,1896,14.09875,0.0374441146850585
154,1897,13.54975,-0.5115556716918945
155,1898,13.461583,-0.5997228622436523
156,1899,14.395833,0.3345270156860351
157,1900,13.749333,-0.3119726181030273
158,1901,13.894,-0.1673059463500976
159,1902,14.505834,0.4445276260375976
160,1903,12.986417,-1.0748891830444336
161,1904,13.80575,-0.2555561065673828
162,1905,13.385667,-0.6756391525268555
163,1906,13.884916,-0.1763896942138672
164,1907,13.352917,-0.7083892822265625
165,1908,13.699166,-0.3621397018432617
166,1909,13.925417,-0.1358890533447265
167,1910,13.2165,-0.8448057174682617
168,1911,13.385,-0.6763057708740234
169,1912,13.902667,-0.1586389541625976
170,1913,13.85925,-0.2020559310913086
171,1914,14.296833,0.2355270385742187
172,1915,14.914583,0.8532772064208984
173,1916,13.343,-0.7183055877685547
174,1917,13.9165,-0.144805908203125
175,1918,13.48325,-0.5780563354492188
176,1919,13.880917,-0.180389404296875
177,1920,13.0365,-1.024806022644043
178,1921,14.171583,0.1102771759033203
179,1922,14.2555,0.1941938400268554
180,1923,13.338917,-0.7223892211914062
181,1924,13.629,-0.4323062896728515
182,1925,13.93175,-0.1295557022094726
183,1926,13.745334,-0.3159723281860351
184,1927,13.8445835,-0.2167224884033203
185,1928,13.633,-0.4283056259155273
186,1929,13.48175,-0.5795564651489258
187,1930,13.330584,-0.7307224273681641
188,1931,13.4475,-0.6138057708740234
189,1932,13.664667,-0.3966388702392578
190,1933,13.882916,-0.1783895492553711
191,1934,13.341416,-0.7198896408081055
192,1935,13.29625,-0.7650556564331055
193,1936,14.007417,-0.0538892745971679
194,1937,13.571584,-0.4897222518920898
195,1938,14.21125,0.1499443054199218
196,1939,14.161917,0.1006107330322265
197,1940,14.734,0.672694206237793
198,1941,15.50275,1.4414443969726562
199,1942,14.451167,0.3898611068725586
200,1943,13.707833,-0.3534727096557617
201,1944,14.29175,0.2304439544677734
202,1945,13.86625,-0.1950559616088867
203,1946,14.5946665,0.533360481262207
204,1947,15.035084,0.9737777709960938
205,1948,14.33525,0.2739439010620117
206,1949,13.350083,-0.7112226486206055
207,1950,13.0435,-1.017806053161621
208,1951,13.96775,-0.0935564041137695
209,1952,14.175417,0.1141109466552734
210,1953,14.65075,0.5894441604614258
211,1954,13.691334,-0.3699722290039062
212,1955,14.642583,0.5812768936157227
213,1956,14.191083,0.1297769546508789
214,1957,12.777166,-1.284139633178711
215,1958,14.71675,0.6554441452026367
216,1959,14.152583,0.0912771224975586
217,1960,13.985416,-0.0758895874023437
218,1961,14.064917,0.003610610961914
219,1962,13.768666,-0.2926397323608398
220,1963,15.033417,0.9721107482910156
221,1964,13.084917,-0.976388931274414
222,1965,14.101833,0.04052734375
223,1966,14.343,0.2816944122314453
224,1967,13.66325,-0.3980560302734375
225,1968,13.762333,-0.2989730834960937
226,1969,13.805083,-0.2562227249145508
227,1970,14.783083,0.7217769622802734
228,1971,14.8235,0.7621936798095703
229,1972,12.547167,-1.514139175415039
230,1973,14.2355,0.1741943359375
231,1974,13.31675,-0.7445564270019531
232,1975,13.548083,-0.5132226943969727
233,1976,13.708583,-0.3527231216430664
234,1977,14.805417,0.7441110610961914
235,1978,14.329667,0.2683610916137695
236,1979,14.262083,0.2007770538330078
237,1980,14.887333,0.8260269165039062
238,1981,14.860084,0.7987775802612305
239,1982,13.733084,-0.3282222747802734
240,1983,14.614833,0.5535268783569336
241,1984,14.245833,0.1845273971557617
242,1985,14.88875,0.8274440765380859
243,1986,14.223166,0.1618604660034179
244,1987,14.984,0.922694206237793
245,1988,15.389,1.3276939392089844
246,1989,14.12575,0.0644435882568359
247,1990,14.993333,0.9320268630981444
248,1991,14.37075,0.3094444274902344
249,1992,14.056084,-0.0052223205566406
250,1993,14.43925,0.3779439926147461
251,1994,14.75475,0.6934442520141602
252,1995,14.859167,0.7978610992431641
253,1996,14.426,0.3646936416625976
254,1997,14.904,0.8426942825317383
255,1998,15.1325,1.0711936950683594
256,1999,15.38875,1.327444076538086
257,2000,15.497833,1.4365272521972656
258,2001,15.778084,1.716777801513672
259,2002,15.537666,1.476360321044922
260,2003,14.916,0.8546943664550781
261,2004,15.770917,1.709610939025879
262,2005,14.98,0.9186935424804688
263,2006,15.595583,1.5342769622802734
264,2007,15.106167,1.04486083984375
265,2008,15.2165,1.1551942825317385
266,2009,15.25775,1.1964435577392578
267,2010,15.828667,1.7673606872558594
268,2011,15.518,1.4566936492919922
269,2012,14.481584,0.4202775955200195
270,2013,16.533625,2.472318649291992
