,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,24.274626,1.2792987823486328
45,1788,,
46,1789,23.519909,0.5245819091796875
47,1790,22.915667,-0.079660415649414
48,1791,23.129583,0.134256362915039
49,1792,22.907167,-0.0881595611572265
50,1793,22.73725,-0.2580776214599609
51,1794,22.78175,-0.2135772705078125
52,1795,23.073545,0.0782184600830078
53,1796,22.988,-0.0073261260986328
54,1797,22.795166,-0.2001609802246093
55,1798,23.183167,0.1878395080566406
56,1799,23.230583,0.2352561950683593
57,1800,23.335583,0.3402557373046875
58,1801,23.318666,0.3233394622802734
59,1802,23.479416,0.4840888977050781
60,1803,23.72,0.7246723175048828
61,1804,23.54525,0.5499229431152344
62,1805,23.043917,0.0485897064208984
63,1806,22.875084,-0.1202430725097656
64,1807,22.825417,-0.1699104309082031
65,1808,22.140083,-0.8552436828613281
66,1809,21.7425,-1.252826690673828
67,1810,21.656584,-1.3387432098388672
68,1811,21.8815,-1.1138267517089844
69,1812,21.697834,-1.2974929809570312
70,1813,22.235916,-0.7594108581542969
71,1814,21.921833,-1.0734939575195312
72,1815,22.1265,-0.8688278198242188
73,1816,21.679667,-1.3156604766845703
74,1817,22.323833,-0.6714935302734375
75,1818,22.831417,-0.163909912109375
76,1819,22.246584,-0.7487430572509766
77,1820,22.389917,-0.6054096221923828
78,1821,22.67725,-0.3180770874023437
79,1822,22.85425,-0.1410770416259765
80,1823,22.461834,-0.5334930419921875
81,1824,22.92125,-0.0740776062011718
82,1825,22.809584,-0.1857433319091797
83,1826,22.734667,-0.260660171508789
84,1827,22.893084,-0.102243423461914
85,1828,22.90025,-0.0950775146484375
86,1829,22.67975,-0.3155765533447265
87,1830,23.03875,0.0434226989746093
88,1831,22.678083,-0.3172435760498047
89,1832,22.49475,-0.5005779266357422
90,1833,22.596916,-0.3984107971191406
91,1834,22.904583,-0.0907440185546875
92,1835,22.0845,-0.91082763671875
93,1836,22.358418,-0.6369094848632812
94,1837,22.2445,-0.7508277893066406
95,1838,22.603,-0.3923263549804687
96,1839,22.437166,-0.5581607818603516
97,1840,22.734583,-0.2607440948486328
98,1841,22.58875,-0.4065761566162109
99,1842,22.814083,-0.181243896484375
100,1843,22.841084,-0.1542434692382812
101,1844,22.591583,-0.4037437438964844
102,1845,22.501167,-0.4941596984863281
103,1846,23.227333,0.2320060729980468
104,1847,22.68025,-0.3150768280029297
105,1848,22.383417,-0.6119098663330078
106,1849,22.70425,-0.29107666015625
107,1850,22.587334,-0.4079933166503906
108,1851,22.733334,-0.261993408203125
109,1852,22.856583,-0.1387443542480468
110,1853,22.770584,-0.2247428894042968
111,1854,22.481167,-0.51416015625
112,1855,22.660084,-0.3352432250976562
113,1856,22.58,-0.4153270721435547
114,1857,22.37325,-0.6220779418945312
115,1858,23.032333,0.0370063781738281
116,1859,22.663834,-0.3314933776855469
117,1860,22.493834,-0.5014934539794922
118,1861,22.560083,-0.4352436065673828
119,1862,22.7365,-0.2588272094726562
120,1863,22.441166,-0.5541610717773438
121,1864,23.01225,0.0169239044189453
122,1865,22.848833,-0.146493911743164
123,1866,22.92575,-0.0695762634277343
124,1867,23.35025,0.3549232482910156
125,1868,22.506916,-0.4884109497070312
126,1869,22.775,-0.2203273773193359
127,1870,22.86725,-0.1280765533447265
128,1871,22.747667,-0.247659683227539
129,1872,22.795334,-0.1999931335449218
130,1873,22.794333,-0.2009944915771484
131,1874,22.72325,-0.2720775604248047
132,1875,22.554916,-0.4404106140136719
133,1876,22.852417,-0.1429100036621093
134,1877,22.9615,-0.0338268280029296
135,1878,23.548166,0.5528392791748047
136,1879,22.687666,-0.3076610565185547
137,1880,22.594,-0.4013271331787109
138,1881,23.461666,0.466339111328125
139,1882,22.58625,-0.4090766906738281
140,1883,22.470917,-0.5244102478027344
141,1884,22.081,-0.9143276214599608
142,1885,22.20625,-0.7890777587890625
143,1886,22.272,-0.72332763671875
144,1887,22.630417,-0.3649101257324219
145,1888,22.5095,-0.4858264923095703
146,1889,22.348833,-0.6464939117431641
147,1890,21.918083,-1.0772438049316406
148,1891,22.246,-0.7493267059326172
149,1892,22.860584,-0.1347427368164062
150,1893,23.087584,0.0922565460205078
151,1894,22.665167,-0.3301601409912109
152,1895,23.513834,0.5185070037841797
153,1896,22.199917,-0.79541015625
154,1897,23.206583,0.2112560272216797
155,1898,22.824667,-0.1706600189208984
156,1899,23.3795,0.3841724395751953
157,1900,22.864166,-0.1311607360839843
158,1901,22.726418,-0.2689094543457031
159,1902,23.052416,0.0570888519287109
160,1903,22.555666,-0.4396610260009765
161,1904,22.682333,-0.3129940032958984
162,1905,22.560083,-0.4352436065673828
163,1906,22.468584,-0.5267429351806641
164,1907,22.171583,-0.8237438201904297
165,1908,22.829584,-0.1657428741455078
166,1909,22.569834,-0.4254932403564453
167,1910,22.676916,-0.3184108734130859
168,1911,22.574667,-0.4206600189208984
169,1912,22.86675,-0.1285762786865234
170,1913,23.07925,0.08392333984375
171,1914,23.043167,0.0478401184082031
172,1915,22.821167,-0.1741600036621093
173,1916,22.643,-0.3523273468017578
174,1917,22.461166,-0.5341606140136719
175,1918,22.41125,-0.5840778350830078
176,1919,22.773333,-0.221994400024414
177,1920,23.094334,0.0990066528320312
178,1921,22.723583,-0.2717437744140625
179,1922,22.9345,-0.0608272552490234
180,1923,22.43575,-0.5595779418945312
181,1924,23.418083,0.4227561950683594
182,1925,22.726583,-0.2687435150146484
183,1926,23.501667,0.5063400268554688
184,1927,23.335417,0.3400897979736328
185,1928,23.115417,0.1200904846191406
186,1929,22.672083,-0.3232440948486328
187,1930,23.4545,0.4591732025146484
188,1931,23.865833,0.8705062866210938
189,1932,23.616917,0.6215896606445312
190,1933,23.1685,0.1731739044189453
191,1934,22.744667,-0.2506599426269531
192,1935,22.91975,-0.0755767822265625
193,1936,22.940916,-0.0544109344482421
194,1937,23.7275,0.7321739196777344
195,1938,22.727667,-0.2676601409912109
196,1939,22.841417,-0.153909683227539
197,1940,23.005917,0.010589599609375
198,1941,23.443417,0.448089599609375
199,1942,23.610167,0.6148395538330078
200,1943,23.033333,0.0380058288574218
201,1944,22.934166,-0.0611610412597656
202,1945,23.3655,0.3701725006103515
203,1946,23.25425,0.2589225769042969
204,1947,23.690166,0.6948394775390625
205,1948,23.071333,0.0760059356689453
206,1949,23.188168,0.192840576171875
207,1950,22.781834,-0.2134933471679687
208,1951,23.321667,0.3263397216796875
209,1952,23.185417,0.1900901794433593
210,1953,22.869417,-0.1259098052978515
211,1954,22.652416,-0.3429107666015625
212,1955,24.004833,1.0095062255859375
213,1956,22.611334,-0.3839931488037109
214,1957,22.62025,-0.3750762939453125
215,1958,23.544916,0.5495891571044922
216,1959,23.333666,0.3383388519287109
217,1960,23.504084,0.5087566375732422
218,1961,23.390333,0.3950061798095703
219,1962,23.182417,0.1870899200439453
220,1963,23.317833,0.3225059509277344
221,1964,23.1475,0.1521720886230468
222,1965,22.97375,-0.0215778350830078
223,1966,23.301332,0.3060054779052734
224,1967,22.861666,-0.1336612701416015
225,1968,23.185917,0.1905899047851562
226,1969,23.45825,0.4629230499267578
227,1970,23.322834,0.3275070190429687
228,1971,22.67225,-0.3230762481689453
229,1972,22.698166,-0.2971611022949219
230,1973,22.886168,-0.1091594696044921
231,1974,22.541,-0.4543266296386719
232,1975,22.716417,-0.278909683227539
233,1976,22.35675,-0.6385765075683594
234,1977,23.546083,0.5507564544677734
235,1978,23.161833,0.1665058135986328
236,1979,23.396833,0.4015064239501953
237,1980,23.160166,0.1648387908935547
238,1981,23.57925,0.58392333984375
239,1982,23.094166,0.0988388061523437
240,1983,23.683,0.6876735687255859
241,1984,23.063084,0.0677566528320312
242,1985,23.52625,0.5309238433837891
243,1986,23.256666,0.2613391876220703
244,1987,24.24775,1.252422332763672
245,1988,23.815666,0.8203392028808594
246,1989,23.724333,0.7290058135986328
247,1990,24.014416,1.0190887451171875
248,1991,23.011084,0.015756607055664
249,1992,22.767,-0.2283267974853515
250,1993,23.450834,0.4555072784423828
251,1994,23.642084,0.6467571258544922
252,1995,23.7225,0.7271728515625
253,1996,23.734333,0.7390060424804688
254,1997,23.955166,0.9598388671875
255,1998,23.920584,0.9252567291259766
256,1999,24.299417,1.3040904998779297
257,2000,24.03225,1.0369224548339844
258,2001,24.724417,1.7290897369384766
259,2002,24.263,1.2676734924316406
260,2003,24.393667,1.3983402252197266
261,2004,23.916,0.920673370361328
262,2005,24.222584,1.2272567749023438
263,2006,24.200834,1.2055072784423828
264,2007,24.065332,1.0700054168701172
265,2008,23.95025,0.9549236297607422
266,2009,24.154333,1.159006118774414
267,2010,25.215666,2.220338821411133
268,2011,24.144167,1.1488399505615234
269,2012,23.954834,0.9595069885253906
270,2013,25.1215,2.12617301940918
