,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,,
115,1858,,
116,1859,,
117,1860,,
118,1861,,
119,1862,,
120,1863,,
121,1864,,
122,1865,,
123,1866,,
124,1867,26.360332,-0.2419052124023437
125,1868,25.828833,-0.7734050750732422
126,1869,26.3193,-0.282938003540039
127,1870,25.941334,-0.6609039306640625
128,1871,26.236666,-0.3655719757080078
129,1872,26.203888,-0.3983497619628906
130,1873,26.216444,-0.3857936859130859
131,1874,26.150143,-0.4520950317382812
132,1875,25.819124,-0.7831134796142578
133,1876,26.254286,-0.3479518890380859
134,1877,,
135,1878,,
136,1879,,
137,1880,,
138,1881,,
139,1882,,
140,1883,26.009417,-0.5928211212158203
141,1884,25.667166,-0.9350719451904296
142,1885,25.750273,-0.8519649505615234
143,1886,25.850334,-0.7519035339355469
144,1887,25.89275,-0.7094879150390625
145,1888,,
146,1889,,
147,1890,25.91475,-0.6874885559082031
148,1891,25.977667,-0.6245708465576172
149,1892,25.860916,-0.7413215637207031
150,1893,25.727333,-0.8749046325683594
151,1894,26.035833,-0.5664043426513672
152,1895,26.028833,-0.5734043121337891
153,1896,26.142084,-0.460153579711914
154,1897,26.474583,-0.127655029296875
155,1898,26.3275,-0.2747383117675781
156,1899,26.431,-0.1712379455566406
157,1900,26.2735,-0.3287372589111328
158,1901,26.14475,-0.4574871063232422
159,1902,26.1775,-0.4247379302978515
160,1903,26.331667,-0.2705707550048828
161,1904,26.057,-0.5452384948730469
162,1905,26.150417,-0.4518203735351562
163,1906,26.588,-0.0142383575439453
164,1907,26.0045,-0.5977382659912109
165,1908,26.0795,-0.5227375030517578
166,1909,25.92875,-0.6734886169433594
167,1910,26.110584,-0.4916534423828125
168,1911,26.194,-0.4082374572753906
169,1912,26.323668,-0.2785701751708984
170,1913,26.11575,-0.4864883422851562
171,1914,26.368166,-0.2340717315673828
172,1915,26.041834,-0.5604038238525391
173,1916,26.264166,-0.3380718231201172
174,1917,25.8535,-0.7487373352050781
175,1918,26.213333,-0.3889045715332031
176,1919,26.45325,-0.14898681640625
177,1920,26.350334,-0.2519035339355469
178,1921,26.241833,-0.3604049682617187
179,1922,26.348083,-0.2541542053222656
180,1923,25.958584,-0.6436538696289062
181,1924,26.359,-0.2432384490966797
182,1925,26.1155,-0.4867382049560547
183,1926,26.49025,-0.1119880676269531
184,1927,26.8785,0.2762622833251953
185,1928,26.678417,0.0761795043945312
186,1929,26.577917,-0.0243206024169921
187,1930,26.552,-0.0502376556396484
188,1931,26.421083,-0.1811542510986328
189,1932,26.800167,0.1979293823242187
190,1933,26.705833,0.1035957336425781
191,1934,26.776417,0.1741790771484375
192,1935,26.97025,0.368011474609375
193,1936,26.842583,0.2403450012207031
194,1937,26.88575,0.2835121154785156
195,1938,26.853916,0.251678466796875
196,1939,26.539083,-0.0631542205810546
197,1940,26.72925,0.1270122528076172
198,1941,26.995417,0.3931789398193359
199,1942,26.69225,0.0900115966796875
200,1943,26.607584,0.0053462982177734
201,1944,26.589582,-0.0126552581787109
202,1945,26.668167,0.0659294128417968
203,1946,26.839083,0.2368450164794922
204,1947,27.013666,0.4114284515380859
205,1948,26.680416,0.0781784057617187
206,1949,26.851,0.2487621307373047
207,1950,26.520082,-0.0821552276611328
208,1951,26.689667,0.0874290466308593
209,1952,27.06375,0.4615116119384765
210,1953,26.94925,0.3470115661621094
211,1954,26.866083,0.2638454437255859
212,1955,26.71075,0.1085128784179687
213,1956,26.466833,-0.1354045867919922
214,1957,26.762917,0.1606788635253906
215,1958,26.918083,0.3158454895019531
216,1959,26.791834,0.1895961761474609
217,1960,26.7655,0.1632614135742187
218,1961,26.617167,0.0149288177490234
219,1962,26.627666,0.0254287719726562
220,1963,26.857666,0.2554283142089844
221,1964,26.595667,-0.006570816040039
222,1965,26.38125,-0.220987319946289
223,1966,26.822166,0.2199287414550781
224,1967,26.420416,-0.1818218231201172
225,1968,26.480833,-0.1214046478271484
226,1969,26.936583,0.3343448638916015
227,1970,26.760666,0.1584281921386718
228,1971,26.40225,-0.1999874114990234
229,1972,26.812334,0.2100963592529297
230,1973,27.13825,0.5360126495361328
231,1974,26.59125,-0.0109882354736328
232,1975,26.773167,0.170928955078125
233,1976,26.721083,0.118844985961914
234,1977,26.786833,0.1845951080322265
235,1978,26.684,0.0817623138427734
236,1979,26.891333,0.2890949249267578
237,1980,26.99075,0.3885116577148437
238,1981,26.7455,0.1432628631591797
239,1982,26.90275,0.3005123138427734
240,1983,26.928667,0.3264293670654297
241,1984,26.8795,0.277261734008789
242,1985,26.949917,0.3476791381835937
243,1986,26.980333,0.3780956268310547
244,1987,26.89875,0.2965126037597656
245,1988,27.089417,0.4871788024902344
246,1989,26.752666,0.1504287719726562
247,1990,27.15625,0.5540122985839844
248,1991,27.171167,0.5689296722412109
249,1992,27.072,0.4697628021240234
250,1993,26.816416,0.2141780853271484
251,1994,26.986334,0.3840961456298828
252,1995,27.268667,0.6664295196533203
253,1996,27.112667,0.5104293823242188
254,1997,26.95575,0.3535118103027344
255,1998,27.424833,0.8225955963134766
256,1999,27.067167,0.4649295806884765
257,2000,27.219833,0.6175956726074219
258,2001,27.227583,0.6253452301025391
259,2002,27.537916,0.935678482055664
260,2003,27.264833,0.6625957489013672
261,2004,27.281166,0.6789283752441406
262,2005,27.3735,0.7712631225585938
263,2006,27.08125,0.4790115356445312
264,2007,27.452417,0.8501796722412109
265,2008,26.995083,0.3928451538085937
266,2009,27.03425,0.4320125579833984
267,2010,27.453417,0.8511791229248047
268,2011,27.0095,0.4072628021240234
269,2012,27.201416,0.5991783142089844
270,2013,27.51725,0.9150123596191406
