,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,21.286572,-0.5327243804931641
115,1858,21.511375,-0.3079204559326172
116,1859,21.1894,-0.6298961639404297
117,1860,21.121555,-0.6977405548095703
118,1861,20.8794,-0.9398956298828124
119,1862,,
120,1863,,
121,1864,,
122,1865,,
123,1866,,
124,1867,,
125,1868,,
126,1869,,
127,1870,,
128,1871,,
129,1872,,
130,1873,21.249374,-0.5699214935302734
131,1874,21.774727,-0.0445690155029296
132,1875,21.154167,-0.6651287078857422
133,1876,21.474112,-0.345184326171875
134,1877,21.692667,-0.1266288757324218
135,1878,21.752916,-0.0663795471191406
136,1879,20.934584,-0.8847122192382812
137,1880,20.63075,-1.1885452270507812
138,1881,20.9395,-0.8797950744628906
139,1882,21.19175,-0.6275463104248047
140,1883,21.172167,-0.6471290588378906
141,1884,20.9595,-0.8597965240478516
142,1885,21.557583,-0.2617130279541015
143,1886,21.551167,-0.2681293487548828
144,1887,21.137,-0.6822967529296875
145,1888,21.125834,-0.6934623718261719
146,1889,21.893084,0.0737876892089843
147,1890,20.81675,-1.002546310424805
148,1891,21.106417,-0.7128791809082031
149,1892,21.04975,-0.7695465087890625
150,1893,21.510834,-0.3084621429443359
151,1894,21.446583,-0.3727130889892578
152,1895,21.525333,-0.2939624786376953
153,1896,21.666916,-0.1523799896240234
154,1897,21.646833,-0.1724624633789062
155,1898,21.221083,-0.5982131958007812
156,1899,21.55775,-0.261545181274414
157,1900,21.789917,-0.0293788909912109
158,1901,21.751417,-0.0678787231445312
159,1902,21.63575,-0.1835460662841797
160,1903,21.58475,-0.2345466613769531
161,1904,20.81925,-1.0000457763671875
162,1905,21.504417,-0.3148784637451172
163,1906,21.33175,-0.4875450134277344
164,1907,21.050833,-0.768463134765625
165,1908,21.349667,-0.4696292877197265
166,1909,21.60525,-0.2140464782714843
167,1910,21.587917,-0.2313785552978515
168,1911,21.224333,-0.5949630737304688
169,1912,21.923916,0.1046199798583984
170,1913,21.823668,0.0043716430664062
171,1914,21.732416,-0.0868797302246093
172,1915,21.744583,-0.0747127532958984
173,1916,21.97875,0.159454345703125
174,1917,21.675417,-0.1438789367675781
175,1918,20.944834,-0.8744621276855469
176,1919,21.259666,-0.5596294403076172
177,1920,21.783833,-0.0354633331298828
178,1921,21.927084,0.1077880859375
179,1922,21.910418,0.0911216735839843
180,1923,21.621834,-0.1974620819091797
181,1924,22.01,0.190704345703125
182,1925,21.546333,-0.2729625701904297
183,1926,21.922667,0.1033706665039062
184,1927,21.91625,0.096954345703125
185,1928,22.111584,0.2922878265380859
186,1929,21.864166,0.044870376586914
187,1930,21.618834,-0.2004623413085937
188,1931,22.054,0.2347049713134765
189,1932,21.623167,-0.1961288452148437
190,1933,21.835083,0.015787124633789
191,1934,21.98025,0.1609535217285156
192,1935,21.741083,-0.0782127380371093
193,1936,21.534334,-0.2849617004394531
194,1937,21.73625,-0.0830459594726562
195,1938,21.733583,-0.0857124328613281
196,1939,21.526167,-0.2931289672851562
197,1940,21.750584,-0.0687122344970703
198,1941,22.307917,0.4886207580566406
199,1942,21.892084,0.0727882385253906
200,1943,21.676834,-0.1424617767333984
201,1944,22.164083,0.34478759765625
202,1945,21.995916,0.1766204833984375
203,1946,22.160334,0.3410377502441406
204,1947,22.126,0.3067035675048828
205,1948,21.896334,0.0770378112792968
206,1949,21.92825,0.1089534759521484
207,1950,21.571833,-0.2474632263183593
208,1951,22.002167,0.182870864868164
209,1952,22.187666,0.3683700561523437
210,1953,21.724833,-0.0944633483886718
211,1954,21.567,-0.2522964477539062
212,1955,21.57825,-0.2410449981689453
213,1956,21.521917,-0.2973785400390625
214,1957,21.9915,0.1722049713134765
215,1958,22.02025,0.2009544372558593
216,1959,22.081667,0.2623710632324219
217,1960,21.927084,0.1077880859375
218,1961,21.93875,0.1194534301757812
219,1962,21.848667,0.0293712615966796
220,1963,21.83775,0.0184535980224609
221,1964,21.686417,-0.1328792572021484
222,1965,21.819916,0.000619888305664
223,1966,22.10325,0.2839546203613281
224,1967,21.776417,-0.0428791046142578
225,1968,21.748167,-0.0711288452148437
226,1969,22.1905,0.3712043762207031
227,1970,22.149834,0.3305377960205078
228,1971,21.837,0.0177040100097656
229,1972,22.011,0.1917037963867187
230,1973,22.349667,0.5303707122802734
231,1974,21.6235,-0.1957950592041015
232,1975,21.738916,-0.0803794860839843
233,1976,21.447416,-0.3718795776367187
234,1977,21.95075,0.1314544677734375
235,1978,21.817,-0.0022964477539062
236,1979,22.14475,0.3254547119140625
237,1980,22.077583,0.2582874298095703
238,1981,22.027916,0.2086200714111328
239,1982,21.82,0.0007038116455078
240,1983,22.36725,0.5479545593261719
241,1984,22.356167,0.5368709564208984
242,1985,22.021833,0.2025375366210937
243,1986,22.03625,0.2169532775878906
244,1987,22.749916,0.9306201934814452
245,1988,22.412333,0.5930366516113281
246,1989,22.122168,0.3028717041015625
247,1990,22.466417,0.6471214294433594
248,1991,22.095417,0.2761211395263672
249,1992,22.498583,0.6792869567871094
250,1993,22.291,0.4717044830322265
251,1994,22.189417,0.3701210021972656
252,1995,22.936167,1.1168708801269531
253,1996,22.47925,0.6599540710449219
254,1997,22.317167,0.4978713989257812
255,1998,23.120167,1.3008708953857422
256,1999,22.382084,0.5627880096435547
257,2000,22.360666,0.5413703918457031
258,2001,22.502916,0.6836204528808594
259,2002,22.9255,1.1062049865722656
260,2003,23.066584,1.2472877502441406
261,2004,22.572834,0.7535381317138672
262,2005,22.966084,1.1467876434326172
263,2006,21.947083,0.127786636352539
264,2007,22.427084,0.6077880859375
265,2008,22.287333,0.4680366516113281
266,2009,22.3165,0.4972038269042969
267,2010,22.6815,0.8622035980224609
268,2011,22.029667,0.2103710174560547
269,2012,22.123333,0.3040370941162109
270,2013,22.507875,0.6885795593261719
