,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,26.168728,-0.2690868377685547
82,1825,26.556334,0.1185188293457031
83,1826,26.2046,-0.23321533203125
84,1827,26.394,-0.0438156127929687
85,1828,26.374,-0.0638141632080078
86,1829,25.9813,-0.4565143585205078
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,25.865667,-0.5721473693847656
103,1846,26.373917,-0.0638980865478515
104,1847,25.88575,-0.5520648956298828
105,1848,25.8165,-0.6213150024414062
106,1849,25.880167,-0.557647705078125
107,1850,25.93325,-0.5045642852783203
108,1851,26.060917,-0.3768978118896484
109,1852,25.855167,-0.5826473236083984
110,1853,26.076584,-0.3612308502197265
111,1854,25.983583,-0.4542312622070312
112,1855,26.108833,-0.3289813995361328
113,1856,26.168167,-0.2696475982666015
114,1857,25.669666,-0.7681484222412109
115,1858,25.7015,-0.7363147735595703
116,1859,25.791916,-0.6458988189697266
117,1860,25.880083,-0.5577316284179688
118,1861,26.0015,-0.4363155364990234
119,1862,25.838583,-0.5992317199707031
120,1863,25.956417,-0.4813976287841797
121,1864,25.95825,-0.4795646667480469
122,1865,26.192583,-0.2452316284179687
123,1866,26.054167,-0.3836479187011719
124,1867,26.078667,-0.3591480255126953
125,1868,26.309416,-0.1283988952636718
126,1869,26.281,-0.1568145751953125
127,1870,25.976917,-0.4608974456787109
128,1871,26.30575,-0.1320648193359375
129,1872,26.357416,-0.0803985595703125
130,1873,26.107,-0.3308143615722656
131,1874,25.985916,-0.4518985748291015
132,1875,25.9395,-0.4983139038085937
133,1876,26.1935,-0.2443141937255859
134,1877,26.55675,0.1189346313476562
135,1878,26.625,0.1871852874755859
136,1879,26.068832,-0.3689823150634765
137,1880,25.8175,-0.6203155517578125
138,1881,26.030083,-0.4077320098876953
139,1882,25.864666,-0.5731487274169922
140,1883,25.717916,-0.7198982238769531
141,1884,25.671,-0.766815185546875
142,1885,26.231916,-0.2058982849121093
143,1886,25.817417,-0.6203975677490234
144,1887,25.7105,-0.7273139953613281
145,1888,26.05475,-0.3830642700195312
146,1889,26.3405,-0.0973148345947265
147,1890,25.723583,-0.7142314910888672
148,1891,26.227417,-0.210397720336914
149,1892,26.155834,-0.2819805145263672
150,1893,25.95325,-0.4845638275146484
151,1894,25.889416,-0.5483989715576172
152,1895,26.098583,-0.3392314910888672
153,1896,26.137083,-0.3007316589355469
154,1897,26.319416,-0.1183986663818359
155,1898,26.2565,-0.181314468383789
156,1899,26.091917,-0.3458976745605469
157,1900,26.229918,-0.2078971862792968
158,1901,26.458334,0.0205192565917968
159,1902,26.361666,-0.0761489868164062
160,1903,26.320333,-0.1174812316894531
161,1904,25.958834,-0.4789810180664062
162,1905,26.31275,-0.1250648498535156
163,1906,26.197332,-0.2404823303222656
164,1907,25.983667,-0.4541473388671875
165,1908,26.0875,-0.3503150939941406
166,1909,25.955833,-0.4819812774658203
167,1910,25.9225,-0.5153141021728516
168,1911,26.131,-0.3068141937255859
169,1912,26.246334,-0.1914806365966797
170,1913,25.756584,-0.6812305450439453
171,1914,26.226583,-0.2112312316894531
172,1915,26.478416,0.0406017303466796
173,1916,26.043,-0.394815444946289
174,1917,25.842583,-0.5952320098876953
175,1918,26.105667,-0.3321475982666015
176,1919,26.39975,-0.038064956665039
177,1920,26.13975,-0.298065185546875
178,1921,26.269083,-0.168731689453125
179,1922,26.175333,-0.262481689453125
180,1923,26.166666,-0.271148681640625
181,1924,26.342583,-0.0952320098876953
182,1925,26.16425,-0.2735652923583984
183,1926,26.590334,0.1525192260742187
184,1927,26.37325,-0.0645656585693359
185,1928,26.50675,0.0689353942871093
186,1929,26.16225,-0.2755641937255859
187,1930,26.575916,0.138101577758789
188,1931,26.842916,0.4051017761230469
189,1932,26.560333,0.1225185394287109
190,1933,26.217083,-0.2207317352294922
191,1934,26.19275,-0.2450637817382812
192,1935,26.331333,-0.1064815521240234
193,1936,26.3575,-0.0803146362304687
194,1937,26.597334,0.1595191955566406
195,1938,26.182583,-0.2552318572998047
196,1939,26.446583,0.008768081665039
197,1940,26.72775,0.2899360656738281
198,1941,26.918,0.4801845550537109
199,1942,26.833084,0.3952693939208984
200,1943,26.35225,-0.0855655670166015
201,1944,26.42175,-0.0160655975341796
202,1945,26.169416,-0.2683982849121094
203,1946,26.435583,-0.0022315979003906
204,1947,26.777916,0.3401012420654297
205,1948,26.60725,0.1694355010986328
206,1949,26.231833,-0.2059822082519531
207,1950,26.052334,-0.3854808807373047
208,1951,26.53775,0.0999355316162109
209,1952,26.71425,0.2764358520507812
210,1953,26.8635,0.4256858825683594
211,1954,26.461584,0.0237693786621093
212,1955,26.60025,0.1624355316162109
213,1956,26.426834,-0.0109806060791015
214,1957,26.67775,0.2399349212646484
215,1958,27.096416,0.6586017608642578
216,1959,26.902166,0.4643516540527344
217,1960,26.962584,0.5247688293457031
218,1961,26.730917,0.2931022644042969
219,1962,26.73675,0.2989349365234375
220,1963,26.891167,0.4533519744873047
221,1964,26.709084,0.2712688446044922
222,1965,26.421667,-0.0161476135253906
223,1966,26.591667,0.1538524627685547
224,1967,26.342667,-0.0951480865478515
225,1968,26.416916,-0.0208988189697265
226,1969,26.881916,0.444101333618164
227,1970,26.738583,0.3007678985595703
228,1971,26.391417,-0.0463981628417968
229,1972,26.55,0.1121845245361328
230,1973,26.87325,0.435434341430664
231,1974,26.34,-0.0978145599365234
232,1975,26.335417,-0.1023979187011718
233,1976,26.267666,-0.1701488494873047
234,1977,26.851917,0.414102554321289
235,1978,26.8615,0.423685073852539
236,1979,26.655666,0.2178516387939453
237,1980,27.118416,0.6806011199951172
238,1981,27.057667,0.6198520660400391
239,1982,26.681,0.2431850433349609
240,1983,27.07925,0.6414356231689453
241,1984,26.61875,0.1809349060058593
242,1985,26.618166,0.1803512573242187
243,1986,26.70925,0.2714347839355469
244,1987,27.220583,0.7827682495117188
245,1988,26.953,0.5151844024658203
246,1989,26.6865,0.2486858367919922
247,1990,26.934668,0.4968528747558594
248,1991,26.895666,0.4578514099121094
249,1992,26.89475,0.4569358825683594
250,1993,26.956167,0.5183525085449219
251,1994,26.946083,0.5082683563232422
252,1995,27.380333,0.9425182342529296
253,1996,26.942333,0.5045185089111328
254,1997,27.289333,0.8515186309814453
255,1998,27.60175,1.1639347076416016
256,1999,27.13175,0.6939353942871094
257,2000,26.892084,0.4542694091796875
258,2001,27.253834,0.8160190582275391
259,2002,27.36175,0.9239349365234376
260,2003,27.513834,1.076019287109375
261,2004,27.151167,0.7133522033691406
262,2005,27.598167,1.1603527069091797
263,2006,27.466417,1.0286026000976562
264,2007,27.509083,1.071268081665039
265,2008,26.965416,0.5276012420654297
266,2009,27.277334,0.8395195007324219
267,2010,27.735416,1.2976016998291016
268,2011,27.296167,0.8583526611328125
269,2012,27.4335,0.995685577392578
270,2013,27.249624,0.8118095397949219
