,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,11.72925,-2.8855371475219727
113,1856,13.99875,-0.6160373687744141
114,1857,14.221084,-0.3937034606933594
115,1858,14.015667,-0.5991201400756836
116,1859,14.414583,-0.2002038955688476
117,1860,14.115666,-0.4991207122802734
118,1861,14.058833,-0.5559539794921875
119,1862,13.951167,-0.6636199951171875
120,1863,13.62125,-0.9935369491577148
121,1864,14.112,-0.5027866363525391
122,1865,14.607166,-0.0076208114624023
123,1866,14.39625,-0.2185373306274414
124,1867,14.257417,-0.357370376586914
125,1868,14.3965,-0.2182874679565429
126,1869,14.157,-0.4577875137329101
127,1870,14.122334,-0.4924535751342773
128,1871,13.80925,-0.805537223815918
129,1872,13.868667,-0.7461204528808594
130,1873,14.440583,-0.174203872680664
131,1874,13.833583,-0.7812042236328125
132,1875,13.937166,-0.6776208877563477
133,1876,14.210333,-0.404454231262207
134,1877,14.894083,0.2792959213256836
135,1878,14.04925,-0.5655374526977539
136,1879,14.2890835,-0.3257036209106445
137,1880,14.24225,-0.3725366592407226
138,1881,14.089,-0.525787353515625
139,1882,14.147667,-0.4671201705932617
140,1883,14.158083,-0.4567041397094726
141,1884,14.116583,-0.498204231262207
142,1885,13.637,-0.9777870178222656
143,1886,13.9685,-0.6462869644165039
144,1887,14.084583,-0.5302038192749023
145,1888,14.39875,-0.2160367965698242
146,1889,13.669416,-0.9453706741333008
147,1890,13.988167,-0.6266202926635742
148,1891,14.24,-0.3747873306274414
149,1892,13.952084,-0.6627035140991211
150,1893,13.925,-0.6897869110107422
151,1894,14.160167,-0.454620361328125
152,1895,14.589583,-0.0252037048339843
153,1896,15.101417,0.4866294860839844
154,1897,14.540083,-0.0747041702270507
155,1898,13.794416,-0.8203706741333008
156,1899,14.668,0.0532131195068359
157,1900,14.80725,0.1924629211425781
158,1901,14.809334,0.1945466995239257
159,1902,14.621166,0.0063791275024414
160,1903,14.376083,-0.2387037277221679
161,1904,14.432333,-0.1824541091918945
162,1905,14.191417,-0.423370361328125
163,1906,14.694583,0.0797958374023437
164,1907,14.003333,-0.6114540100097656
165,1908,14.359917,-0.2548704147338867
166,1909,14.255584,-0.3592033386230469
167,1910,14.164583,-0.4502038955688476
168,1911,13.886333,-0.7284536361694336
169,1912,14.498917,-0.1158704757690429
170,1913,15.159333,0.5445461273193359
171,1914,14.4905,-0.1242866516113281
172,1915,14.585333,-0.029454231262207
173,1916,14.447,-0.1677875518798828
174,1917,14.660084,0.0452966690063476
175,1918,14.360833,-0.2539539337158203
176,1919,14.739083,0.1242961883544921
177,1920,14.611333,-0.0034542083740234
178,1921,14.177417,-0.4373703002929687
179,1922,14.260583,-0.3542041778564453
180,1923,14.068084,-0.5467033386230469
181,1924,14.116917,-0.4978704452514648
182,1925,14.592167,-0.0226202011108398
183,1926,14.868167,0.2533798217773437
184,1927,14.714084,0.0992965698242187
185,1928,14.205916,-0.4088706970214844
186,1929,14.767417,0.1526298522949218
187,1930,14.843416,0.2286291122436523
188,1931,14.115666,-0.4991207122802734
189,1932,14.978917,0.3641300201416015
190,1933,14.5825,-0.0322866439819335
191,1934,14.353917,-0.2608699798583984
192,1935,14.815583,0.2007961273193359
193,1936,14.696083,0.0812959671020507
194,1937,14.750667,0.1358795166015625
195,1938,14.497666,-0.1171207427978515
196,1939,14.633083,0.0182962417602539
197,1940,14.595417,-0.0193700790405273
198,1941,14.452333,-0.1624536514282226
199,1942,14.408334,-0.2064533233642578
200,1943,14.9035,0.2887125015258789
201,1944,15.364583,0.7497959136962891
202,1945,15.3905,0.7757129669189453
203,1946,14.617917,0.0031299591064453
204,1947,14.776584,0.1617965698242187
205,1948,14.778334,0.1635465621948242
206,1949,14.771334,0.1565465927124023
207,1950,14.795083,0.1802959442138672
208,1951,14.836917,0.2221298217773437
209,1952,14.916333,0.3015460968017578
210,1953,14.97475,0.3599624633789062
211,1954,14.491417,-0.1233701705932617
212,1955,14.191167,-0.4236202239990234
213,1956,14.021417,-0.5933704376220703
214,1957,14.65625,0.0414628982543945
215,1958,14.943417,0.3286294937133789
216,1959,14.35425,-0.2605371475219726
217,1960,14.993667,0.3788795471191406
218,1961,14.972917,0.3581295013427734
219,1962,14.852417,0.2376298904418945
220,1963,14.847167,0.2323799133300781
221,1964,14.43125,-0.183537483215332
222,1965,14.909583,0.2947959899902344
223,1966,14.678,0.0632133483886718
224,1967,15.04975,0.4349632263183594
225,1968,15.196917,0.5821294784545898
226,1969,15.262834,0.6480464935302734
227,1970,15.1953335,0.5805463790893555
228,1971,14.651167,0.0363798141479492
229,1972,14.818417,0.2036294937133789
230,1973,14.597917,-0.0168704986572265
231,1974,14.637667,0.0228796005249023
232,1975,14.939667,0.3248796463012695
233,1976,14.44025,-0.1745367050170898
234,1977,15.35125,0.7364625930786133
235,1978,15.186084,0.5712966918945312
236,1979,14.974667,0.3598794937133789
237,1980,15.226916,0.6121292114257812
238,1981,15.167417,0.5526294708251953
239,1982,15.25675,0.641963005065918
240,1983,14.954333,0.3395462036132812
241,1984,14.400833,-0.2139539718627929
242,1985,15.32625,0.7114629745483398
243,1986,15.33475,0.7199630737304688
244,1987,15.1875,0.5727128982543945
245,1988,14.836333,0.2215461730957031
246,1989,15.543,0.928213119506836
247,1990,15.155084,0.5402965545654297
248,1991,15.097584,0.4827966690063476
249,1992,14.739166,0.1243791580200195
250,1993,15.098666,0.4838790893554687
251,1994,15.578667,0.9638795852661132
252,1995,15.149834,0.5350465774536133
253,1996,15.211583,0.5967960357666016
254,1997,15.6206665,1.0058794021606443
255,1998,15.26175,0.6469631195068359
256,1999,15.064917,0.4501295089721679
257,2000,14.7505,0.1357126235961914
258,2001,15.370417,0.7556295394897461
259,2002,15.18375,0.5689630508422852
260,2003,15.518333,0.9035463333129884
261,2004,15.442166,0.8273792266845703
262,2005,15.112833,0.4980459213256836
263,2006,15.561084,0.9462966918945312
264,2007,14.628083,0.0132961273193359
265,2008,15.476,0.8612127304077148
266,2009,15.534416,0.9196290969848632
267,2010,15.078834,0.4640464782714844
268,2011,15.339666,0.724879264831543
269,2012,15.689,1.0742130279541016
270,2013,14.457125,-0.1576623916625976
