,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,10.046909,1.4865837097167969
46,1789,8.72675,0.1664247512817382
47,1790,,
48,1791,8.859583,0.2992572784423828
49,1792,8.401417,-0.1589088439941406
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,6.933833,-1.6264925003051758
67,1810,7.0103335,-1.5499920845031738
68,1811,7.0786667,-1.481658935546875
69,1812,7.19525,-1.3650755882263184
70,1813,7.7588334,-0.8014922142028809
71,1814,7.983667,-0.5766587257385254
72,1815,7.3820834,-1.1782422065734863
73,1816,7.1215835,-1.4387421607971191
74,1817,7.2924166,-1.267909049987793
75,1818,8.307,-0.2533254623413086
76,1819,7.6024165,-0.957909107208252
77,1820,7.710417,-0.8499088287353516
78,1821,8.04025,-0.520075798034668
79,1822,7.6576667,-0.9026589393615724
80,1823,8.215417,-0.3449087142944336
81,1824,9.201834,0.6415081024169922
82,1825,8.162167,-0.3981590270996094
83,1826,8.10875,-0.4515752792358398
84,1827,9.232833,0.6725072860717773
85,1828,8.004167,-0.5561590194702148
86,1829,8.136333,-0.4239921569824219
87,1830,8.540584,-0.0197420120239257
88,1831,7.7986665,-0.7616591453552246
89,1832,6.8919168,-1.6684088706970217
90,1833,8.050834,-0.5094919204711914
91,1834,7.92525,-0.635075569152832
92,1835,7.5754166,-0.9849090576171876
93,1836,8.098,-0.4623260498046875
94,1837,7.706,-0.8543257713317871
95,1838,7.403,-1.1573257446289062
96,1839,7.695083,-0.8652424812316895
97,1840,7.479833,-1.0804924964904783
98,1841,7.8955,-0.664825439453125
99,1842,8.180583,-0.3797426223754883
100,1843,8.372167,-0.1881589889526367
101,1844,7.8723335,-0.6879920959472656
102,1845,8.008166,-0.552159309387207
103,1846,8.482333,-0.0779924392700195
104,1847,8.159,-0.4013252258300781
105,1848,8.342334,-0.217991828918457
106,1849,8.481083,-0.0792427062988281
107,1850,7.7931666,-0.7671589851379395
108,1851,9.011833,0.451507568359375
109,1852,8.326167,-0.2341585159301757
110,1853,8.725833,0.1655073165893554
111,1854,7.8240833,-0.7362422943115234
112,1855,8.693167,0.1328411102294922
113,1856,8.164667,-0.3956584930419922
114,1857,7.4855833,-1.074742317199707
115,1858,7.9815,-0.5788254737854004
116,1859,8.541917,-0.0184087753295898
117,1860,8.464084,-0.0962419509887695
118,1861,7.355,-1.2053256034851074
119,1862,7.180917,-1.379408836364746
120,1863,7.7528334,-0.8074922561645508
121,1864,8.128834,-0.4314918518066406
122,1865,8.37175,-0.1885757446289062
123,1866,8.228416,-0.3319091796875
124,1867,8.276584,-0.2837419509887695
125,1868,8.273583,-0.2867422103881836
126,1869,8.700417,0.1400909423828125
127,1870,8.460584,-0.0997419357299804
128,1871,8.445583,-0.1147422790527343
129,1872,9.171583,0.6112575531005859
130,1873,9.104667,0.5443410873413086
131,1874,8.404834,-0.155491828918457
132,1875,8.18375,-0.3765754699707031
133,1876,8.551583,-0.008742332458496
134,1877,8.850833,0.2905073165893554
135,1878,9.012333,0.4520072937011719
136,1879,9.149583,0.5892572402954102
137,1880,7.2465835,-1.3137421607971191
138,1881,8.142583,-0.4177427291870117
139,1882,7.949167,-0.6111588478088379
140,1883,8.492666,-0.0676593780517578
141,1884,7.8086667,-0.7516589164733887
142,1885,8.25475,-0.3055753707885742
143,1886,7.735,-0.8253254890441895
144,1887,8.33,-0.230325698852539
145,1888,8.695167,0.1348409652709961
146,1889,8.634,0.073674201965332
147,1890,8.512584,-0.0477418899536132
148,1891,8.024,-0.5363254547119141
149,1892,8.668333,0.1080074310302734
150,1893,8.095166,-0.4651594161987304
151,1894,7.7745833,-0.7857422828674316
152,1895,8.193417,-0.3669090270996094
153,1896,7.9324164,-0.6279091835021973
154,1897,8.227333,-0.3329925537109375
155,1898,7.841,-0.7193255424499512
156,1899,9.50575,0.9454240798950196
157,1900,8.24375,-0.3165760040283203
158,1901,9.253,0.6926746368408203
159,1902,8.504167,-0.0561590194702148
160,1903,8.028,-0.5323257446289062
161,1904,7.8489165,-0.7114090919494629
162,1905,8.2885,-0.2718257904052734
163,1906,8.35225,-0.2080755233764648
164,1907,7.58975,-0.9705758094787598
165,1908,7.7785835,-0.7817420959472656
166,1909,8.6475,0.0871744155883789
167,1910,8.528167,-0.0321588516235351
168,1911,6.994583,-1.5657424926757812
169,1912,8.91725,0.3569240570068359
170,1913,8.095333,-0.4649925231933594
171,1914,8.490167,-0.0701589584350586
172,1915,8.907666,0.3473405838012695
173,1916,9.09375,0.5334243774414062
174,1917,9.396916,0.8365907669067383
175,1918,8.8885,0.3281745910644531
176,1919,8.879583,0.3192577362060547
177,1920,7.020583,-1.5397424697875977
178,1921,7.7015834,-0.8587422370910645
179,1922,9.157,0.5966739654541016
180,1923,8.851833,0.2915077209472656
181,1924,8.98675,0.4264240264892578
182,1925,8.919333,0.3590078353881836
183,1926,8.654083,0.0937576293945312
184,1927,8.609583,0.0492572784423828
185,1928,7.5421667,-1.0181589126586914
186,1929,7.87475,-0.6855754852294922
187,1930,9.031167,0.4708414077758789
188,1931,7.919667,-0.6406588554382324
189,1932,8.128583,-0.4317426681518554
190,1933,7.7689166,-0.7914090156555176
191,1934,7.9603333,-0.5999922752380371
192,1935,8.96725,0.4069242477416992
193,1936,8.715333,0.1550073623657226
194,1937,9.255667,0.6953411102294922
195,1938,8.893583,0.3332576751708984
196,1939,8.938583,0.3782577514648437
197,1940,9.324583,0.7642574310302734
198,1941,9.00775,0.4474239349365234
199,1942,8.610167,0.0498409271240234
200,1943,8.580916,0.0205907821655273
201,1944,9.136917,0.5765914916992188
202,1945,7.9129167,-0.6474089622497559
203,1946,8.375083,-0.1852426528930664
204,1947,9.457334,0.897007942199707
205,1948,8.526167,-0.034158706665039
206,1949,8.022333,-0.5379924774169922
207,1950,8.213,-0.347325325012207
208,1951,8.741583,0.1812572479248047
209,1952,9.21,0.6496744155883789
210,1953,8.36875,-0.1915760040283203
211,1954,8.936916,0.3765907287597656
212,1955,9.968166,1.4078407287597656
213,1956,7.765333,-0.7949924468994141
214,1957,8.972333,0.4120073318481445
215,1958,8.97025,0.4099245071411133
216,1959,7.9675,-0.5928254127502441
217,1960,9.27325,0.7129240036010742
218,1961,9.482,0.9216747283935548
219,1962,9.982083,1.421757698059082
220,1963,9.273,0.7126741409301758
221,1964,8.057667,-0.5026588439941406
222,1965,8.496083,-0.0642423629760742
223,1966,10.841,2.28067398071289
224,1967,8.087083,-0.4732427597045898
225,1968,8.906584,0.3462581634521484
226,1969,8.230833,-0.3294925689697265
227,1970,9.846583,1.2862577438354492
228,1971,9.105416,0.5450906753540039
229,1972,7.7891665,-0.7711591720581055
230,1973,8.207167,-0.353158950805664
231,1974,8.314333,-0.2459926605224609
232,1975,8.993,0.4326744079589844
233,1976,8.345083,-0.2152423858642578
234,1977,8.692083,0.1317577362060547
235,1978,9.047667,0.4873409271240234
236,1979,10.146417,1.5860910415649414
237,1980,9.358583,0.7982578277587891
238,1981,9.805417,1.245091438293457
239,1982,8.274333,-0.2859926223754883
240,1983,9.000584,0.4402580261230469
241,1984,9.06775,0.5074243545532227
242,1985,9.17475,0.6144247055053711
243,1986,9.306833,0.7465076446533203
244,1987,8.996667,0.4363412857055664
245,1988,8.626083,0.0657577514648437
246,1989,9.785833,1.225507736206055
247,1990,9.258083,0.6977577209472656
248,1991,9.372583,0.8122577667236328
249,1992,7.6146665,-0.9456591606140136
250,1993,7.7696667,-0.7906589508056641
251,1994,9.02125,0.4609241485595703
252,1995,9.892167,1.3318414688110352
253,1996,9.819167,1.2588415145874023
254,1997,9.246333,0.6860074996948242
255,1998,10.448417,1.8880910873413088
256,1999,10.331,1.770674705505371
257,2000,9.918167,1.3578414916992188
258,2001,10.443417,1.8830909729003904
259,2002,9.605,1.0446739196777344
260,2003,9.423083,0.862757682800293
261,2004,9.720166,1.1598405838012695
262,2005,9.735416,1.175090789794922
263,2006,10.0535,1.4931745529174805
264,2007,9.53525,0.974924087524414
265,2008,9.70675,1.1464242935180664
266,2009,9.842083,1.281757354736328
267,2010,11.5095,2.949173927307129
268,2011,9.136,0.5756740570068359
269,2012,10.35075,1.790424346923828
270,2013,11.34375,2.7834243774414062
