,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,27.697182,-0.2226543426513672
82,1825,27.954584,0.0347480773925781
83,1826,27.818,-0.1018352508544921
84,1827,28.008818,0.0889816284179687
85,1828,27.706272,-0.2135639190673828
86,1829,27.3547,-0.5651359558105469
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,27.266445,-0.6533908843994141
103,1846,27.83925,-0.0805854797363281
104,1847,27.360584,-0.5592517852783203
105,1848,27.321,-0.5988368988037109
106,1849,27.509832,-0.410003662109375
107,1850,27.438168,-0.481668472290039
108,1851,27.534834,-0.3850021362304687
109,1852,27.247168,-0.67266845703125
110,1853,27.48575,-0.4340858459472656
111,1854,27.440332,-0.4795036315917969
112,1855,27.616083,-0.3037528991699219
113,1856,27.949583,0.0297470092773437
114,1857,27.061083,-0.8587532043457031
115,1858,27.1375,-0.7823352813720703
116,1859,27.23075,-0.6890869140625
117,1860,27.344,-0.575836181640625
118,1861,27.457333,-0.462503433227539
119,1862,27.292667,-0.6271686553955078
120,1863,27.44575,-0.4740867614746094
121,1864,27.436167,-0.4836692810058594
122,1865,27.523,-0.3968353271484375
123,1866,27.250416,-0.6694202423095703
124,1867,27.634083,-0.2857532501220703
125,1868,27.857584,-0.0622520446777343
126,1869,28.245333,0.3254966735839844
127,1870,27.463083,-0.4567527770996094
128,1871,27.524416,-0.3954200744628906
129,1872,27.9975,0.0776634216308593
130,1873,27.52025,-0.3995857238769531
131,1874,27.485416,-0.4344196319580078
132,1875,27.6025,-0.3173351287841797
133,1876,27.841167,-0.0786685943603515
134,1877,28.17975,0.2599143981933594
135,1878,28.5425,0.6226634979248047
136,1879,27.739166,-0.1806697845458984
137,1880,27.2265,-0.6933364868164062
138,1881,27.3675,-0.5523357391357422
139,1882,27.075583,-0.8442535400390625
140,1883,27.357834,-0.5620021820068359
141,1884,27.167084,-0.7527523040771484
142,1885,27.61725,-0.3025856018066406
143,1886,27.3745,-0.5453357696533203
144,1887,27.153334,-0.7665023803710938
145,1888,27.601583,-0.3182525634765625
146,1889,27.922333,0.0024967193603515
147,1890,27.059,-0.8608360290527344
148,1891,27.82025,-0.0995864868164062
149,1892,27.42775,-0.4920864105224609
150,1893,27.207916,-0.7119197845458984
151,1894,27.194084,-0.7257518768310547
152,1895,27.483583,-0.4362525939941406
153,1896,27.654917,-0.2649192810058594
154,1897,27.836834,-0.0830020904541015
155,1898,27.414333,-0.5055027008056641
156,1899,27.698416,-0.2214202880859375
157,1900,28.027916,0.1080799102783203
158,1901,27.782667,-0.1371688842773437
159,1902,27.895082,-0.0247535705566406
160,1903,27.938917,0.0190811157226562
161,1904,27.385,-0.5348358154296875
162,1905,27.771833,-0.1480026245117187
163,1906,27.6965,-0.2233352661132812
164,1907,27.487833,-0.4320030212402344
165,1908,27.573334,-0.3465023040771484
166,1909,27.46075,-0.459085464477539
167,1910,27.491083,-0.4287528991699219
168,1911,27.5805,-0.3393363952636719
169,1912,27.729918,-0.1899185180664062
170,1913,27.3515,-0.5683364868164062
171,1914,27.821417,-0.098419189453125
172,1915,28.280333,0.3604965209960937
173,1916,27.571833,-0.3480033874511719
174,1917,27.098,-0.8218364715576172
175,1918,27.290417,-0.6294193267822266
176,1919,27.849333,-0.0705032348632812
177,1920,27.625084,-0.2947521209716797
178,1921,27.4095,-0.5103359222412109
179,1922,27.587833,-0.3320026397705078
180,1923,27.6325,-0.2873363494873047
181,1924,27.893583,-0.0262527465820312
182,1925,27.690834,-0.2290019989013672
183,1926,28.31525,0.3954143524169922
184,1927,27.81075,-0.1090869903564453
185,1928,27.96325,0.0434131622314453
186,1929,27.798416,-0.1214199066162109
187,1930,27.77275,-0.1470851898193359
188,1931,28.220917,0.3010807037353515
189,1932,28.059584,0.1397476196289062
190,1933,27.717916,-0.2019195556640625
191,1934,27.968834,0.0489978790283203
192,1935,27.665916,-0.2539196014404297
193,1936,27.86525,-0.0545864105224609
194,1937,28.008667,0.0888309478759765
195,1938,27.525833,-0.3940029144287109
196,1939,27.750917,-0.1689186096191406
197,1940,28.530083,0.6102466583251953
198,1941,28.64725,0.7274131774902344
199,1942,28.57375,0.6539134979248047
200,1943,27.948917,0.0290813446044921
201,1944,28.03475,0.1149139404296875
202,1945,27.82625,-0.0935859680175781
203,1946,27.685917,-0.2339191436767578
204,1947,28.266582,0.3467464447021484
205,1948,28.229084,0.3092479705810547
206,1949,27.8155,-0.1043357849121093
207,1950,27.4885,-0.43133544921875
208,1951,28.181667,0.2618312835693359
209,1952,28.505833,0.5859966278076172
210,1953,28.451416,0.5315799713134766
211,1954,28.057667,0.1378307342529297
212,1955,27.68975,-0.2300853729248047
213,1956,27.85525,-0.0645866394042968
214,1957,28.03825,0.1184139251708984
215,1958,28.836916,0.9170799255371094
216,1959,28.187,0.2671642303466797
217,1960,28.253584,0.3337478637695312
218,1961,28.072834,0.1529979705810547
219,1962,28.286,0.3661632537841797
220,1963,28.31725,0.3974132537841797
221,1964,28.076416,0.1565799713134765
222,1965,28.04675,0.1269130706787109
223,1966,28.241167,0.3213310241699219
224,1967,27.95475,0.0349140167236328
225,1968,28.114334,0.194498062133789
226,1969,28.631,0.7111644744873047
227,1970,28.369333,0.4494972229003906
228,1971,27.89,-0.0298366546630859
229,1972,28.352333,0.4324970245361328
230,1973,28.331833,0.411996841430664
231,1974,27.70025,-0.2195854187011718
232,1975,27.94325,0.0234146118164062
233,1976,27.810083,-0.1097526550292968
234,1977,28.454416,0.5345802307128906
235,1978,28.391582,0.4717464447021484
236,1979,28.432333,0.5124969482421875
237,1980,28.626917,0.7070808410644531
238,1981,28.44825,0.5284137725830078
239,1982,28.2465,0.3266639709472656
240,1983,28.687,0.7671642303466797
241,1984,28.198166,0.278329849243164
242,1985,27.885666,-0.0341701507568359
243,1986,27.989334,0.069498062133789
244,1987,28.859417,0.9395809173583984
245,1988,28.349916,0.4300804138183594
246,1989,28.134583,0.2147464752197265
247,1990,28.243334,0.3234977722167969
248,1991,28.343082,0.4232463836669922
249,1992,28.49875,0.5789146423339844
250,1993,28.589167,0.6693305969238281
251,1994,28.48225,0.5624141693115234
252,1995,28.736416,0.8165798187255859
253,1996,28.479584,0.5597476959228516
254,1997,28.763334,0.8434982299804688
255,1998,28.9825,1.062664031982422
256,1999,28.197916,0.2780799865722656
257,2000,28.128,0.2081642150878906
258,2001,28.630917,0.7110805511474609
259,2002,28.84925,0.9294147491455078
260,2003,28.849667,0.9298305511474608
261,2004,28.506,0.5861644744873047
262,2005,28.77225,0.8524131774902344
263,2006,28.804667,0.8848304748535156
264,2007,28.822834,0.9029979705810548
265,2008,28.45025,0.5304145812988281
266,2009,28.832,0.9121646881103516
267,2010,28.968334,1.0484981536865234
268,2011,28.513334,0.5934982299804688
269,2012,28.652334,0.7324981689453125
270,2013,28.54125,0.6214141845703125
