,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,,
109,1852,20.1885,-1.430337905883789
110,1853,20.95825,-0.6605873107910156
111,1854,20.284779,-1.3340587615966797
112,1855,20.798635,-0.8202018737792969
113,1856,21.148333,-0.4705047607421875
114,1857,20.966417,-0.6524200439453125
115,1858,21.329834,-0.2890033721923828
116,1859,21.188917,-0.4299201965332031
117,1860,21.2455,-0.3733367919921875
118,1861,21.1975,-0.4213371276855469
119,1862,21.155416,-0.4634208679199219
120,1863,21.309,-0.3098373413085937
121,1864,21.04425,-0.5745868682861328
122,1865,21.217833,-0.4010047912597656
123,1866,21.417,-0.2018375396728515
124,1867,21.643833,0.0249958038330078
125,1868,21.447584,-0.1712532043457031
126,1869,21.521584,-0.0972537994384765
127,1870,21.428333,-0.1905040740966797
128,1871,21.459667,-0.1591701507568359
129,1872,21.206917,-0.4119205474853515
130,1873,21.157583,-0.4612541198730469
131,1874,21.126167,-0.4926700592041015
132,1875,21.054417,-0.5644207000732422
133,1876,21.087334,-0.5315036773681641
134,1877,21.641083,0.0222454071044921
135,1878,22.380667,0.7618293762207031
136,1879,21.184668,-0.4341697692871094
137,1880,21.66125,0.0424118041992187
138,1881,21.7925,0.1736621856689453
139,1882,21.647417,0.0285797119140625
140,1883,21.520666,-0.0981712341308593
141,1884,21.549833,-0.0690040588378906
142,1885,21.421917,-0.1969203948974609
143,1886,21.450167,-0.168670654296875
144,1887,21.155,-0.463836669921875
145,1888,21.954916,0.3360786437988281
146,1889,22.174084,0.5552463531494141
147,1890,21.479918,-0.1389198303222656
148,1891,20.834,-0.7848377227783203
149,1892,21.54175,-0.07708740234375
150,1893,21.646418,0.0275802612304687
151,1894,20.917418,-0.7014198303222656
152,1895,21.233084,-0.3857536315917969
153,1896,21.3965,-0.2223377227783203
154,1897,21.8175,0.1986618041992187
155,1898,21.570917,-0.0479202270507812
156,1899,21.186916,-0.4319210052490234
157,1900,21.766582,0.147745132446289
158,1901,21.582582,-0.0362548828125
159,1902,21.597918,-0.0209197998046875
160,1903,21.17675,-0.442087173461914
161,1904,20.970833,-0.6480045318603516
162,1905,21.1775,-0.4413375854492187
163,1906,21.885,0.2661628723144531
164,1907,21.2945,-0.3243370056152344
165,1908,20.8645,-0.7543373107910156
166,1909,21.05275,-0.5660877227783203
167,1910,21.569084,-0.049753189086914
168,1911,21.347918,-0.2709197998046875
169,1912,21.826166,0.2073287963867187
170,1913,21.187834,-0.4310035705566406
171,1914,22.186333,0.5674953460693359
172,1915,22.144833,0.5259952545166016
173,1916,21.504417,-0.114419937133789
174,1917,20.7715,-0.8473377227783203
175,1918,21.369333,-0.2495040893554687
176,1919,21.828583,0.2097454071044922
177,1920,21.324417,-0.2944202423095703
178,1921,21.680084,0.0612468719482421
179,1922,21.44975,-0.1690864562988281
180,1923,21.536833,-0.0820045471191406
181,1924,21.212584,-0.4062538146972656
182,1925,21.097834,-0.5210037231445312
183,1926,21.702583,0.0837459564208984
184,1927,21.397833,-0.2210044860839843
185,1928,22.019083,0.4002456665039062
186,1929,21.10125,-0.5175876617431641
187,1930,21.640833,0.0219955444335937
188,1931,21.239084,-0.3797531127929687
189,1932,21.459667,-0.1591701507568359
190,1933,21.3865,-0.2323379516601562
191,1934,21.507084,-0.1117534637451171
192,1935,21.397417,-0.2214202880859375
193,1936,21.716333,0.0974960327148437
194,1937,21.527334,-0.0915031433105468
195,1938,22.08875,0.4699134826660156
196,1939,21.34,-0.2788372039794922
197,1940,21.681583,0.0627460479736328
198,1941,21.362833,-0.2560043334960937
199,1942,21.926416,0.3075790405273437
200,1943,21.317167,-0.3016700744628906
201,1944,21.530167,-0.0886707305908203
202,1945,21.604084,-0.0147533416748046
203,1946,21.24125,-0.3775882720947265
204,1947,21.59025,-0.0285873413085937
205,1948,21.4595,-0.1593379974365234
206,1949,20.984917,-0.6339206695556641
207,1950,21.322916,-0.2959213256835937
208,1951,21.557,-0.061838150024414
209,1952,21.487,-0.1318378448486328
210,1953,21.474583,-0.1442546844482422
211,1954,21.558666,-0.0601711273193359
212,1955,21.563084,-0.0557537078857421
213,1956,21.006,-0.6128368377685547
214,1957,21.902666,0.2838287353515625
215,1958,21.99725,0.3784122467041015
216,1959,22.098167,0.4793300628662109
217,1960,21.2105,-0.4083366394042969
218,1961,21.96425,0.3454132080078125
219,1962,21.802917,0.1840801239013672
220,1963,21.697834,0.0789966583251953
221,1964,21.65075,0.0319118499755859
222,1965,22.092083,0.473245620727539
223,1966,21.361,-0.2578372955322265
224,1967,21.625416,0.0065784454345703
225,1968,21.462166,-0.1566715240478515
226,1969,21.847584,0.2287464141845703
227,1970,21.77575,0.1569118499755859
228,1971,21.654333,0.0354957580566406
229,1972,22.012083,0.3932456970214844
230,1973,22.41275,0.7939128875732422
231,1974,21.238083,-0.3807544708251953
232,1975,21.692667,0.0738296508789062
233,1976,21.193417,-0.4254207611083984
234,1977,21.8925,0.2736625671386719
235,1978,21.605167,-0.0136699676513671
236,1979,22.252333,0.6334953308105469
237,1980,22.586166,0.9673290252685548
238,1981,22.164083,0.5452461242675781
239,1982,21.9105,0.2916622161865234
240,1983,22.261084,0.6422462463378906
241,1984,21.516916,-0.1019210815429687
242,1985,22.043417,0.4245796203613281
243,1986,22.09325,0.4744129180908203
244,1987,22.072416,0.4535789489746094
245,1988,22.630083,1.0112457275390625
246,1989,21.862833,0.2439956665039062
247,1990,22.35575,0.7369117736816406
248,1991,22.487417,0.8685798645019531
249,1992,21.932583,0.3137454986572265
250,1993,22.160166,0.5413284301757812
251,1994,22.03025,0.4114131927490234
252,1995,21.955166,0.3363285064697265
253,1996,22.325333,0.7064952850341797
254,1997,22.086,0.4671630859375
255,1998,22.664833,1.0459957122802734
256,1999,22.0645,0.4456634521484375
257,2000,21.709667,0.090829849243164
258,2001,21.79275,0.1739120483398437
259,2002,22.460833,0.8419952392578125
260,2003,22.440332,0.8214950561523438
261,2004,22.286917,0.6680793762207031
262,2005,22.896833,1.277996063232422
263,2006,22.264416,0.6455783843994141
264,2007,22.48675,0.8679122924804688
265,2008,22.225916,0.6070785522460938
266,2009,22.690584,1.071746826171875
267,2010,22.078167,0.459329605102539
268,2011,21.767,0.148162841796875
269,2012,22.0245,0.4056625366210937
270,2013,22.142876,0.5240383148193359
