,Year,Temp,Mean_deviation
0,1743,,
1,1744,7.78475,1.5663175582885742
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,6.9835453,0.7651128768920898
8,1751,7.185,0.9665675163269044
9,1752,1.8215,-4.396932482719421
10,1753,6.1389165,-0.0795159339904785
11,1754,5.9073334,-0.3110990524291992
12,1755,5.6719165,-0.546515941619873
13,1756,6.4635835,0.2451510429382324
14,1757,6.0971665,-0.1212658882141113
15,1758,5.3634167,-0.855015754699707
16,1759,6.3638334,0.1454010009765625
17,1760,6.3795,0.1610674858093261
18,1761,6.572583,0.3541507720947265
19,1762,6.080583,-0.1378493309020996
20,1763,5.794667,-0.4237656593322754
21,1764,6.40625,0.1878175735473632
22,1765,6.119167,-0.0992655754089355
23,1766,5.9675,-0.2509322166442871
24,1767,5.4375,-0.7809324264526367
25,1768,5.108,-1.1104326248168943
26,1769,5.9073334,-0.3110990524291992
27,1770,5.8681664,-0.3502659797668457
28,1771,5.4535832,-0.7648491859436035
29,1772,7.33025,1.1118173599243164
30,1773,6.43075,0.2123174667358398
31,1774,6.1093335,-0.1090989112854003
32,1775,6.765,0.546567440032959
33,1776,5.632167,-0.5862655639648438
34,1777,5.8775835,-0.3408489227294922
35,1778,7.070083,0.8516507148742676
36,1779,7.2255836,1.0071511268615725
37,1780,6.0564165,-0.1620159149169922
38,1781,7.062,0.8435673713684082
39,1782,5.7465835,-0.4718489646911621
40,1783,6.844,0.6255674362182617
41,1784,5.2543335,-0.9640989303588868
42,1785,4.877333,-1.3410992622375488
43,1786,5.1770835,-1.041348934173584
44,1787,6.3768334,0.1584010124206543
45,1788,6.05325,-0.1651825904846191
46,1789,6.0929165,-0.1255159378051757
47,1790,6.4855,0.2670674324035644
48,1791,6.8446665,0.6262340545654297
49,1792,6.252333,0.0339007377624511
50,1793,6.3841667,0.1657342910766601
51,1794,7.1959167,0.9774842262268066
52,1795,6.090833,-0.1275992393493652
53,1796,6.27475,0.0563178062438964
54,1797,7.387417,1.1689844131469729
55,1798,6.53975,0.3213176727294922
56,1799,4.8316665,-1.386765956878662
57,1800,6.5678334,0.3494009971618652
58,1801,7.0705833,0.8521509170532227
59,1802,6.7101665,0.4917340278625488
60,1803,5.5928335,-0.6255989074707031
61,1804,6.0161667,-0.2022657394409179
62,1805,4.5316668,-1.6867656707763672
63,1806,6.979833,0.7614006996154785
64,1807,6.7718334,0.553400993347168
65,1808,5.1723332,-1.0460991859436035
66,1809,6.0610833,-0.1573491096496582
67,1810,6.273083,0.0546507835388183
68,1811,7.251333,1.0329008102416992
69,1812,5.099583,-1.118849277496338
70,1813,5.54975,-0.6686825752258301
71,1814,5.102667,-1.1157655715942385
72,1815,5.594,-0.6244325637817383
73,1816,4.924667,-1.2937655448913574
74,1817,5.998417,-0.2200155258178711
75,1818,6.296167,0.0777344703674316
76,1819,6.4925,0.2740674018859863
77,1820,5.5998335,-0.6185989379882812
78,1821,6.0730834,-0.1453490257263183
79,1822,7.4284167,1.209984302520752
80,1823,5.8205,-0.3979325294494629
81,1824,6.526583,0.3081507682800293
82,1825,6.5649166,0.3464841842651367
