,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,9.515833,-1.674224853515625
67,1810,9.565166,-1.6248912811279297
68,1811,9.667417,-1.5226411819458008
69,1812,9.7875,-1.402557373046875
70,1813,10.426666,-0.7633914947509766
71,1814,10.60425,-0.5858078002929688
72,1815,10.024167,-1.1658906936645508
73,1816,12.817889,1.6278314590454102
74,1817,9.862833,-1.3272247314453125
75,1818,10.934584,-0.2554740905761719
76,1819,10.140667,-1.0493907928466797
77,1820,10.29975,-0.8903074264526367
78,1821,10.677834,-0.5122241973876953
79,1822,10.330083,-0.8599748611450195
80,1823,10.781,-0.4090576171875
81,1824,11.76325,0.5731925964355469
82,1825,10.845583,-0.3444747924804687
83,1826,10.77825,-0.4118080139160156
84,1827,11.8185,0.6284418106079102
85,1828,10.652583,-0.5374746322631836
86,1829,10.788584,-0.4014739990234375
87,1830,11.209167,0.019108772277832
88,1831,10.404667,-0.7853908538818359
89,1832,9.634,-1.5560579299926758
90,1833,10.692833,-0.4972248077392578
91,1834,10.555917,-0.6341409683227539
92,1835,10.191334,-0.9987239837646484
93,1836,10.704833,-0.4852247238159179
94,1837,10.33825,-0.8518075942993164
95,1838,10.04975,-1.1403074264526367
96,1839,10.34775,-0.8423080444335938
97,1840,10.1945,-0.9955577850341796
98,1841,10.409667,-0.780390739440918
99,1842,10.846,-0.3440580368041992
100,1843,11.05875,-0.1313076019287109
101,1844,10.4825,-0.7075576782226562
102,1845,10.573083,-0.6169748306274414
103,1846,11.159917,-0.0301408767700195
104,1847,10.783916,-0.4061412811279297
105,1848,10.7635,-0.4265575408935547
106,1849,10.99975,-0.1903076171875
107,1850,10.449166,-0.7408914566040039
108,1851,11.594916,0.4048585891723633
109,1852,10.991,-0.1990575790405273
110,1853,11.221,0.0309419631958007
111,1854,10.539416,-0.6506414413452148
112,1855,11.328917,0.1388587951660156
113,1856,10.825583,-0.3644742965698242
114,1857,10.171333,-1.0187244415283203
115,1858,10.682917,-0.50714111328125
116,1859,11.276417,0.0863590240478515
117,1860,11.0185,-0.1715574264526367
118,1861,9.968583,-1.2214746475219729
119,1862,9.801,-1.3890581130981443
120,1863,10.45725,-0.7328081130981445
121,1864,10.617084,-0.5729742050170898
122,1865,10.862083,-0.3279743194580078
123,1866,10.732333,-0.4577245712280273
124,1867,10.895667,-0.2943906784057617
125,1868,10.973833,-0.2162246704101562
126,1869,11.373333,0.1832752227783203
127,1870,11.099584,-0.0904741287231445
128,1871,11.028,-0.162057876586914
129,1872,11.72375,0.5336923599243164
130,1873,11.619333,0.4292755126953125
131,1874,11.04225,-0.1478080749511718
132,1875,10.92725,-0.2628078460693359
133,1876,11.13675,-0.0533075332641601
134,1877,11.4165,0.2264423370361328
135,1878,11.5929165,0.4028587341308594
136,1879,11.685333,0.4952754974365234
137,1880,10.021584,-1.168474197387695
138,1881,10.8285,-0.3615579605102539
139,1882,10.7165,-0.4735574722290039
140,1883,11.17775,-0.012308120727539
141,1884,10.587417,-0.6026411056518555
142,1885,10.830584,-0.3594741821289062
143,1886,10.2890835,-0.9009742736816406
144,1887,11.091,-0.0990581512451171
145,1888,11.5225,0.3324422836303711
146,1889,11.071333,-0.1187248229980468
147,1890,11.159833,-0.0302248001098632
148,1891,10.699,-0.4910573959350586
149,1892,11.203417,0.0133590698242187
150,1893,10.77925,-0.4108076095581054
151,1894,10.37475,-0.8153076171875
152,1895,10.85675,-0.3333082199096679
153,1896,10.4575,-0.7325572967529297
154,1897,11.0115,-0.1785573959350586
155,1898,10.419666,-0.7703914642333984
156,1899,11.9165,0.7264423370361328
157,1900,10.5825,-0.6075572967529297
158,1901,11.647917,0.4578590393066406
159,1902,11.004916,-0.1851415634155273
160,1903,10.748667,-0.4413909912109375
161,1904,10.5175,-0.6725578308105469
162,1905,10.928166,-0.2618913650512695
163,1906,11.06025,-0.1298074722290039
164,1907,10.201917,-0.9881410598754884
165,1908,10.329,-0.8610572814941406
166,1909,11.330667,0.1406087875366211
167,1910,11.299916,0.1098585128784179
168,1911,9.4855,-1.7045574188232422
169,1912,11.316167,0.1261091232299804
170,1913,10.958667,-0.2313909530639648
171,1914,11.309417,0.119359016418457
172,1915,11.6755,0.4854421615600586
173,1916,11.403334,0.2132759094238281
174,1917,11.882167,0.6921091079711914
175,1918,11.2213335,0.0312757492065429
176,1919,11.447166,0.2571086883544922
177,1920,9.594084,-1.5959739685058594
178,1921,10.488417,-0.7016410827636719
179,1922,11.736,0.5459423065185547
180,1923,11.462334,0.2722759246826172
181,1924,11.331833,0.1417751312255859
182,1925,11.515,0.3249425888061523
183,1926,11.1224165,-0.0676412582397461
184,1927,11.1918335,0.0017757415771484
185,1928,10.109167,-1.080890655517578
186,1929,10.288834,-0.9012241363525392
187,1930,11.189083,-0.0009746551513671
188,1931,10.4088335,-0.781224250793457
189,1932,10.734417,-0.4556407928466797
190,1933,10.596167,-0.5938911437988281
191,1934,10.580334,-0.6097240447998047
192,1935,11.5320835,0.3420257568359375
193,1936,11.428,0.2379426956176757
194,1937,11.7835,0.5934419631958008
195,1938,11.734417,0.5443592071533203
196,1939,11.638416,0.4483585357666015
197,1940,11.904417,0.7143592834472656
198,1941,11.621417,0.4313592910766601
199,1942,11.13825,-0.0518074035644531
200,1943,11.062583,-0.1274747848510742
201,1944,11.8535,0.6634426116943359
202,1945,10.533334,-0.6567239761352539
203,1946,11.1025,-0.0875577926635742
204,1947,11.899667,0.7096090316772461
205,1948,11.2805,0.0904426574707031
206,1949,10.623333,-0.5667247772216797
207,1950,10.891334,-0.2987241744995117
208,1951,11.330833,0.1407756805419922
209,1952,11.675834,0.4857759475708008
210,1953,11.069834,-0.1202239990234375
211,1954,11.4775,0.2874422073364258
212,1955,12.425333,1.2352752685546875
213,1956,10.529083,-0.6609745025634766
214,1957,11.653833,0.463775634765625
215,1958,11.646916,0.4568586349487304
216,1959,10.511333,-0.6787242889404297
217,1960,11.738,0.5479421615600586
218,1961,12.292,1.1019420623779297
219,1962,12.499666,1.3096084594726562
220,1963,11.787666,0.5976085662841797
221,1964,10.8025,-0.3875579833984375
222,1965,11.203083,0.0130252838134765
223,1966,13.202833,2.012775421142578
224,1967,11.009666,-0.1803913116455078
225,1968,11.695917,0.505859375
226,1969,10.4565,-0.7335577011108398
227,1970,12.26075,1.0706920623779297
228,1971,11.988584,0.7985258102416992
229,1972,10.639083,-0.5509748458862305
230,1973,11.07725,-0.1128082275390625
231,1974,11.080916,-0.1091413497924804
232,1975,12.009833,0.8197755813598633
233,1976,10.942,-0.2480573654174804
234,1977,11.32775,0.1376924514770507
235,1978,11.5005,0.3104419708251953
236,1979,12.48875,1.2986927032470703
237,1980,11.801,0.6109418869018555
238,1981,12.390667,1.2006092071533203
239,1982,10.934834,-0.2552242279052734
240,1983,11.855333,0.6652755737304688
241,1984,11.346084,0.1560258865356445
242,1985,11.611083,0.421025276184082
243,1986,11.87225,0.6821918487548828
244,1987,11.51975,0.3296918869018554
245,1988,11.59025,0.4001922607421875
246,1989,12.445084,1.255025863647461
247,1990,11.992,0.8019418716430664
248,1991,11.956,0.7659425735473633
249,1992,10.7213335,-0.468724250793457
250,1993,10.526083,-0.6639747619628906
251,1994,11.472917,0.2828588485717773
252,1995,12.731584,1.5415258407592771
253,1996,12.20225,1.0121917724609375
254,1997,11.894417,0.7043590545654297
255,1998,12.95875,1.7686920166015625
256,1999,12.85175,1.6616926193237305
257,2000,12.632,1.4419422149658203
258,2001,13.09725,1.9071922302246092
259,2002,12.43225,1.242192268371582
260,2003,11.98475,0.7946920394897461
261,2004,12.6195,1.4294424057006836
262,2005,12.68725,1.4971923828125
263,2006,12.71225,1.5221920013427734
264,2007,12.514833,1.3247756958007812
265,2008,12.3655,1.1754426956176758
266,2009,12.611667,1.4216089248657229
267,2010,13.9626665,2.772608757019043
268,2011,11.808666,0.6186084747314453
269,2012,13.08675,1.8966922760009768
270,2013,14.173875,2.9838171005249023
