,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,24.650444,-0.482492446899414
16,1759,24.544416,-0.5885200500488281
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,23.767666,-1.3652706146240234
26,1769,24.7061,-0.4268360137939453
27,1770,24.648834,-0.4841022491455078
28,1771,25.21325,0.0803127288818359
29,1772,,
30,1773,25.210667,0.0777301788330078
31,1774,,
32,1775,26.298273,1.1653366088867188
33,1776,26.111,0.9780635833740234
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,25.443832,0.3108959197998047
56,1799,25.240583,0.1076469421386718
57,1800,25.069,-0.0639362335205078
58,1801,25.384333,0.2513961791992187
59,1802,25.51925,0.3863143920898437
60,1803,25.33025,0.1973133087158203
61,1804,25.444834,0.3118972778320312
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,24.233917,-0.8990192413330078
78,1821,24.484333,-0.6486034393310547
79,1822,,
80,1823,24.39125,-0.7416858673095703
81,1824,25.366667,0.2337303161621093
82,1825,25.21225,0.0793132781982421
83,1826,25.29725,0.1643142700195312
84,1827,25.766834,0.6338977813720703
85,1828,25.987167,0.8542308807373047
86,1829,24.762167,-0.3707695007324219
87,1830,25.708084,0.5751476287841797
88,1831,24.608917,-0.5240192413330078
89,1832,24.708666,-0.4242706298828125
90,1833,24.95225,-0.1806869506835937
91,1834,25.381166,0.24822998046875
92,1835,24.574,-0.5589370727539062
93,1836,24.546583,-0.5863533020019531
94,1837,24.7045,-0.428436279296875
95,1838,24.522333,-0.6106033325195312
96,1839,24.770416,-0.3625202178955078
97,1840,24.797333,-0.3356037139892578
98,1841,24.3655,-0.7674369812011719
99,1842,24.843834,-0.289102554321289
100,1843,24.41825,-0.7146873474121094
101,1844,24.212917,-0.9200191497802734
102,1845,24.1535,-0.9794368743896484
103,1846,24.821083,-0.3118534088134765
104,1847,24.731916,-0.4010200500488281
105,1848,24.8065,-0.3264369964599609
106,1849,25.2185,0.0855636596679687
107,1850,25.127,-0.0059356689453125
108,1851,24.8215,-0.3114356994628906
109,1852,24.543333,-0.5896034240722656
110,1853,24.829334,-0.3036022186279297
111,1854,24.785667,-0.347269058227539
112,1855,24.889917,-0.2430191040039062
113,1856,25.281084,0.1481475830078125
114,1857,24.266834,-0.8661022186279297
115,1858,24.369833,-0.7631034851074219
116,1859,24.772833,-0.3601036071777344
117,1860,24.528,-0.6049365997314453
118,1861,25.074583,-0.0583534240722656
119,1862,25.094334,-0.0386028289794921
120,1863,24.933916,-0.1990203857421875
121,1864,24.31575,-0.8171863555908203
122,1865,25.074417,-0.0585193634033203
123,1866,25.027666,-0.1052703857421875
124,1867,24.884167,-0.2487697601318359
125,1868,24.90075,-0.232187271118164
126,1869,25.13025,-0.002685546875
127,1870,24.835917,-0.2970199584960937
128,1871,25.01,-0.1229362487792968
129,1872,24.63075,-0.5021858215332031
130,1873,24.555334,-0.5776023864746094
131,1874,24.891333,-0.2416038513183593
132,1875,25.071,-0.0619373321533203
133,1876,24.875584,-0.2573528289794922
134,1877,25.093666,-0.0392704010009765
135,1878,25.066833,-0.0661029815673828
136,1879,24.854334,-0.2786026000976562
137,1880,25.178667,0.0457305908203125
138,1881,24.9165,-0.2164363861083984
139,1882,25.04375,-0.0891857147216796
140,1883,25.26625,0.1333141326904297
141,1884,24.823,-0.3099365234375
142,1885,24.9335,-0.1994361877441406
143,1886,24.2045,-0.928436279296875
144,1887,24.494333,-0.6386032104492188
145,1888,24.682333,-0.4506034851074219
146,1889,24.724583,-0.4083538055419922
147,1890,25.02325,-0.1096858978271484
148,1891,24.791334,-0.3416023254394531
149,1892,24.526333,-0.6066036224365234
150,1893,24.8,-0.3329372406005859
151,1894,24.831083,-0.3018531799316406
152,1895,24.761583,-0.3713531494140625
153,1896,24.904,-0.2289371490478515
154,1897,25.26325,0.1303138732910156
155,1898,25.072416,-0.0605201721191406
156,1899,25.217916,0.0849800109863281
157,1900,25.057417,-0.0755195617675781
158,1901,24.37425,-0.7586860656738281
159,1902,24.766666,-0.3662700653076172
160,1903,24.744417,-0.388519287109375
161,1904,24.668833,-0.4641036987304687
162,1905,25.23575,0.102813720703125
163,1906,24.7655,-0.3674373626708984
164,1907,25.02425,-0.1086864471435546
165,1908,25.04275,-0.0901870727539062
166,1909,24.7995,-0.3334369659423828
167,1910,24.2335,-0.8994369506835938
168,1911,25.168667,0.0357303619384765
169,1912,25.3665,0.2335643768310547
170,1913,24.9515,-0.181436538696289
171,1914,24.865168,-0.2677688598632812
172,1915,24.864916,-0.2680206298828125
173,1916,24.631584,-0.5013523101806641
174,1917,24.528166,-0.6047706604003906
175,1918,24.791,-0.3419361114501953
176,1919,25.1,-0.0329360961914062
177,1920,24.88,-0.2529373168945312
178,1921,25.03875,-0.094186782836914
179,1922,24.709084,-0.4238529205322265
180,1923,24.8385,-0.2944374084472656
181,1924,25.461416,0.3284797668457031
182,1925,25.43775,0.3048133850097656
183,1926,25.519667,0.3867301940917969
184,1927,25.18725,0.0543136596679687
185,1928,25.012833,-0.1201038360595703
186,1929,25.427834,0.2948970794677734
187,1930,25.139166,0.0062294006347656
188,1931,25.014,-0.118936538696289
189,1932,25.294083,0.1611461639404297
190,1933,25.353167,0.2202301025390625
191,1934,24.980417,-0.1525192260742187
192,1935,24.926416,-0.2065200805664062
193,1936,25.279083,0.1461467742919922
194,1937,25.427668,0.2947311401367187
195,1938,25.298584,0.1656475067138672
196,1939,25.386667,0.2537307739257812
197,1940,24.905083,-0.227853775024414
198,1941,25.32575,0.1928138732910156
199,1942,25.345,0.2120628356933593
200,1943,25.038166,-0.0947704315185546
201,1944,25.141083,0.0081462860107421
202,1945,25.157333,0.0243968963623046
203,1946,25.678833,0.5458965301513672
204,1947,25.569584,0.4366474151611328
205,1948,26.047417,0.914480209350586
206,1949,25.584667,0.451730728149414
207,1950,25.000166,-0.1327705383300781
208,1951,25.075167,-0.057769775390625
209,1952,25.2525,0.1195640563964843
210,1953,25.534666,0.4017295837402344
211,1954,25.135584,0.0026473999023437
212,1955,24.938168,-0.1947689056396484
213,1956,24.9455,-0.1874370574951172
214,1957,25.504168,0.3712310791015625
215,1958,25.073334,-0.0596027374267578
216,1959,25.65025,0.5173130035400391
217,1960,25.16725,0.0343132019042968
218,1961,25.38375,0.2508144378662109
219,1962,25.089582,-0.0433540344238281
220,1963,25.151333,0.0183963775634765
221,1964,25.454166,0.3212299346923828
222,1965,25.1865,0.0535640716552734
223,1966,24.950583,-0.1823539733886718
224,1967,25.320417,0.1874809265136718
225,1968,24.885,-0.2479362487792968
226,1969,25.212584,0.0796470642089843
227,1970,25.038666,-0.0942707061767578
228,1971,25.266333,0.1333961486816406
229,1972,25.59725,0.4643135070800781
230,1973,25.347918,0.2149810791015625
231,1974,25.377583,0.2446460723876953
232,1975,25.71325,0.5803127288818359
233,1976,25.159334,0.026397705078125
234,1977,25.34,0.2070636749267578
235,1978,25.4845,0.3515644073486328
236,1979,25.481083,0.3481464385986328
237,1980,25.50825,0.3753128051757812
238,1981,25.1565,0.0235633850097656
239,1982,25.870333,0.737396240234375
240,1983,25.527584,0.3946475982666015
241,1984,25.316584,0.1836471557617187
242,1985,25.4735,0.3405628204345703
243,1986,25.665333,0.5323963165283203
244,1987,25.600916,0.4679794311523437
245,1988,25.371834,0.2388973236083984
246,1989,25.651667,0.5187301635742188
247,1990,25.992332,0.8593959808349609
248,1991,25.92675,0.7938137054443359
249,1992,25.4655,0.3325634002685547
250,1993,25.549833,0.4168968200683594
251,1994,26.0245,0.8915634155273438
252,1995,25.768667,0.6357307434082031
253,1996,25.385416,0.2524795532226562
254,1997,26.190834,1.0578975677490234
255,1998,26.2295,1.0965633392333984
256,1999,25.622667,0.4897308349609375
257,2000,25.449167,0.3162307739257812
258,2001,25.580667,0.4477310180664062
259,2002,26.11625,0.9833126068115234
260,2003,26.180334,1.0473976135253906
261,2004,25.84975,0.7168140411376953
262,2005,25.801666,0.6687297821044922
263,2006,25.71575,0.5828132629394531
264,2007,26.03475,0.901813507080078
265,2008,25.89975,0.7668132781982422
266,2009,25.769167,0.63623046875
267,2010,25.229166,0.0962295532226562
268,2011,26.00325,0.8703136444091797
269,2012,25.816416,0.6834793090820312
270,2013,26.011667,0.8787307739257812
