,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,25.336727,-0.6091556549072266
101,1844,25.7816,-0.1642818450927734
102,1845,,
103,1846,,
104,1847,,
105,1848,25.192667,-0.7532157897949219
106,1849,25.445583,-0.5002994537353516
107,1850,25.025167,-0.92071533203125
108,1851,25.6965,-0.2493820190429687
109,1852,25.51775,-0.4281330108642578
110,1853,25.540333,-0.4055500030517578
111,1854,25.335167,-0.6107158660888672
112,1855,25.574167,-0.3717155456542969
113,1856,25.225082,-0.7208003997802734
114,1857,24.917833,-1.0280494689941406
115,1858,25.645166,-0.3007164001464844
116,1859,25.65325,-0.292633056640625
117,1860,25.574667,-0.3712158203125
118,1861,24.82975,-1.116132736206055
119,1862,24.540667,-1.4052162170410156
120,1863,24.983667,-0.9622154235839844
121,1864,25.530333,-0.4155502319335937
122,1865,25.777166,-0.1687164306640625
123,1866,25.454334,-0.4915485382080078
124,1867,25.794083,-0.1518001556396484
125,1868,25.683,-0.2628822326660156
126,1869,25.923084,-0.0227985382080078
127,1870,25.675167,-0.2707157135009765
128,1871,25.4915,-0.4543819427490234
129,1872,25.567083,-0.3787994384765625
130,1873,25.87425,-0.0716323852539062
131,1874,25.652666,-0.2932167053222656
132,1875,25.348833,-0.5970497131347656
133,1876,25.562584,-0.3832988739013672
134,1877,26.065666,0.1197834014892578
135,1878,26.034666,0.0887832641601562
136,1879,25.821583,-0.1243000030517578
137,1880,25.40075,-0.5451335906982422
138,1881,26.266582,0.3206996917724609
139,1882,25.317417,-0.6284656524658203
140,1883,25.90125,-0.0446319580078125
141,1884,25.49975,-0.4461326599121094
142,1885,25.542667,-0.4032154083251953
143,1886,25.733418,-0.2124652862548828
144,1887,25.503,-0.4428825378417969
145,1888,25.818,-0.1278820037841797
146,1889,26.114584,0.168701171875
147,1890,25.613333,-0.332550048828125
148,1891,25.934917,-0.010965347290039
149,1892,25.95825,0.0123672485351562
150,1893,25.87075,-0.0751323699951171
151,1894,25.409082,-0.5368003845214844
152,1895,25.46375,-0.4821319580078125
153,1896,25.515583,-0.4302997589111328
154,1897,25.481167,-0.4647159576416015
155,1898,25.336416,-0.609466552734375
156,1899,25.870916,-0.0749664306640625
157,1900,25.89925,-0.0466327667236328
158,1901,26.209333,0.2634506225585937
159,1902,25.99375,0.0478668212890625
160,1903,25.274416,-0.6714668273925781
161,1904,25.722166,-0.2237167358398437
162,1905,25.622,-0.323883056640625
163,1906,25.562916,-0.3829669952392578
164,1907,25.2645,-0.6813831329345703
165,1908,25.716667,-0.2292156219482422
166,1909,26.12875,0.1828670501708984
167,1910,25.238417,-0.7074661254882812
168,1911,24.717083,-1.228799819946289
169,1912,25.571417,-0.3744659423828125
170,1913,25.549583,-0.3962993621826172
171,1914,25.785667,-0.1602153778076172
172,1915,26.088333,0.1424503326416015
173,1916,25.3665,-0.5793819427490234
174,1917,25.647667,-0.2982158660888672
175,1918,25.306833,-0.6390495300292969
176,1919,25.914083,-0.03179931640625
177,1920,25.633583,-0.3122997283935547
178,1921,25.608583,-0.3372993469238281
179,1922,26.039583,0.0937004089355468
180,1923,25.634417,-0.3114662170410156
181,1924,26.316668,0.3707847595214844
182,1925,25.629333,-0.3165493011474609
183,1926,25.834084,-0.1117992401123046
184,1927,25.74875,-0.1971321105957031
185,1928,25.80175,-0.1441326141357422
186,1929,25.8835,-0.0623836517333984
187,1930,25.851,-0.0948829650878906
188,1931,25.833334,-0.112548828125
189,1932,25.448416,-0.497467041015625
190,1933,25.261583,-0.6842994689941406
191,1934,25.486666,-0.4592170715332031
192,1935,26.112333,0.1664505004882812
193,1936,25.57525,-0.3706321716308594
194,1937,25.634417,-0.3114662170410156
195,1938,25.84325,-0.1026325225830078
196,1939,25.705584,-0.2402992248535156
197,1940,26.114084,0.1682014465332031
198,1941,26.06075,0.1148662567138671
199,1942,26.269167,0.3232841491699219
200,1943,25.646917,-0.2989654541015625
201,1944,26.09675,0.1508674621582031
202,1945,25.744917,-0.2009658813476562
203,1946,26.564583,0.6187000274658203
204,1947,26.827917,0.8820343017578125
205,1948,25.521667,-0.4242153167724609
206,1949,25.39675,-0.54913330078125
207,1950,25.438,-0.5078830718994141
208,1951,26.263416,0.3175334930419922
209,1952,26.158916,0.2130336761474609
210,1953,26.068417,0.1225337982177734
211,1954,26.386333,0.4404506683349609
212,1955,26.065166,0.1192836761474609
213,1956,25.695,-0.2508831024169922
214,1957,25.707582,-0.2383003234863281
215,1958,26.263584,0.3177013397216797
216,1959,25.3005,-0.6453819274902344
217,1960,26.2665,0.32061767578125
218,1961,25.7175,-0.2283821105957031
219,1962,26.492167,0.5462837219238281
220,1963,26.2315,0.2856178283691406
221,1964,25.431084,-0.5147991180419922
222,1965,26.294167,0.3482837677001953
223,1966,26.5995,0.6536178588867188
224,1967,25.477833,-0.4680500030517578
225,1968,25.921917,-0.023965835571289
226,1969,26.585917,0.6400337219238281
227,1970,26.334583,0.3887004852294922
228,1971,25.791166,-0.1547164916992187
229,1972,25.410583,-0.5352993011474609
230,1973,26.001167,0.0552845001220703
231,1974,25.92175,-0.0241336822509765
232,1975,25.837833,-0.1080493927001953
233,1976,25.714834,-0.231048583984375
234,1977,26.550667,0.6047840118408203
235,1978,26.269583,0.323699951171875
236,1979,26.808083,0.8621997833251953
237,1980,26.557333,0.6114501953125
238,1981,26.582333,0.6364498138427734
239,1982,25.516834,-0.4290485382080078
240,1983,25.591167,-0.354715347290039
241,1984,25.961416,0.015533447265625
242,1985,26.202168,0.2562847137451172
243,1986,26.325583,0.37969970703125
244,1987,26.64175,0.6958675384521484
245,1988,26.628,0.6821174621582031
246,1989,26.0225,0.0766162872314453
247,1990,26.344584,0.3987007141113281
248,1991,25.811916,-0.1339664459228515
249,1992,25.177668,-0.7682151794433594
250,1993,26.165916,0.2200336456298828
251,1994,26.73375,0.7878665924072266
252,1995,26.257416,0.311532974243164
253,1996,26.8275,0.8816165924072266
254,1997,26.190916,0.2450332641601562
255,1998,27.612417,1.666534423828125
256,1999,27.742416,1.7965335845947266
257,2000,27.07075,1.1248664855957031
258,2001,27.431,1.485116958618164
259,2002,27.266417,1.3205337524414062
260,2003,27.370667,1.424783706665039
261,2004,27.15025,1.204366683959961
262,2005,26.983166,1.037282943725586
263,2006,27.22125,1.2753677368164062
264,2007,27.216084,1.2702007293701172
265,2008,27.033083,1.087200164794922
266,2009,27.310333,1.364450454711914
267,2010,28.069666,2.1237831115722656
268,2011,27.103834,1.1579513549804688
269,2012,27.529333,1.5834503173828125
270,2013,27.925375,1.9794921875
