,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,26.116817,-0.341552734375
82,1825,26.620832,0.1624622344970703
83,1826,26.167,-0.2913703918457031
84,1827,26.339727,-0.1186428070068359
85,1828,26.248272,-0.2100982666015625
86,1829,26.122,-0.3363704681396484
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,25.918,-0.5403709411621094
103,1846,26.457582,-0.0007877349853515
104,1847,25.88775,-0.5706195831298828
105,1848,25.9035,-0.55487060546875
106,1849,25.919666,-0.5387039184570312
107,1850,25.995083,-0.463287353515625
108,1851,26.020834,-0.4375362396240234
109,1852,25.94175,-0.5166206359863281
110,1853,26.149084,-0.3092861175537109
111,1854,26.008917,-0.4494533538818359
112,1855,26.131666,-0.3267040252685547
113,1856,26.125166,-0.3332042694091797
114,1857,25.672167,-0.7862033843994141
115,1858,25.741833,-0.7165374755859375
116,1859,25.736917,-0.7214527130126953
117,1860,25.97325,-0.4851207733154297
118,1861,26.023167,-0.4352035522460937
119,1862,25.851,-0.6073703765869141
120,1863,25.813334,-0.6450366973876953
121,1864,25.966833,-0.4915370941162109
122,1865,26.17975,-0.2786197662353515
123,1866,26.126,-0.3323707580566406
124,1867,26.19875,-0.2596206665039062
125,1868,26.281334,-0.1770362854003906
126,1869,26.31925,-0.1391201019287109
127,1870,25.905083,-0.5532875061035156
128,1871,26.317333,-0.1410369873046875
129,1872,26.386667,-0.0717029571533203
130,1873,26.154417,-0.3039531707763672
131,1874,26.112,-0.3463706970214844
132,1875,25.903084,-0.5552864074707031
133,1876,26.119917,-0.3384532928466797
134,1877,26.655333,0.1969623565673828
135,1878,26.7195,0.2611293792724609
136,1879,26.101667,-0.3567028045654297
137,1880,25.67725,-0.7811203002929688
138,1881,26.139584,-0.31878662109375
139,1882,25.914583,-0.5437870025634766
140,1883,25.693916,-0.7644538879394531
141,1884,25.71575,-0.7426204681396484
142,1885,26.1885,-0.2698707580566406
143,1886,25.871584,-0.5867862701416016
144,1887,25.80175,-0.6566200256347656
145,1888,26.206917,-0.2514533996582031
146,1889,26.451,-0.0073699951171875
147,1890,25.518333,-0.9400367736816406
148,1891,26.340416,-0.1179542541503906
149,1892,26.176584,-0.2817859649658203
150,1893,25.983833,-0.4745368957519531
151,1894,25.845167,-0.6132030487060547
152,1895,26.023916,-0.4344539642333984
153,1896,26.091917,-0.3664531707763672
154,1897,26.261417,-0.1969528198242187
155,1898,26.173166,-0.2852039337158203
156,1899,26.13825,-0.3201198577880859
157,1900,26.279167,-0.1792030334472656
158,1901,26.46225,0.0038795471191406
159,1902,26.366667,-0.0917034149169921
160,1903,26.32675,-0.1316204071044922
161,1904,25.8935,-0.5648708343505859
162,1905,26.19575,-0.2626209259033203
163,1906,26.17075,-0.2876205444335937
164,1907,26.066,-0.3923702239990234
165,1908,26.061583,-0.3967876434326172
166,1909,25.967167,-0.4912033081054687
167,1910,25.893417,-0.5649528503417969
168,1911,26.136168,-0.3222026824951172
169,1912,26.174334,-0.284036636352539
170,1913,25.8225,-0.6358699798583984
171,1914,26.3085,-0.1498699188232422
172,1915,26.560583,0.102212905883789
173,1916,26.123417,-0.3349533081054687
174,1917,25.812166,-0.6462039947509766
175,1918,25.993834,-0.4645366668701172
176,1919,26.423666,-0.0347042083740234
177,1920,26.04075,-0.4176197052001953
178,1921,26.079916,-0.3784542083740234
179,1922,26.041916,-0.4164543151855469
180,1923,26.130083,-0.328287124633789
181,1924,26.510916,0.0525455474853515
182,1925,26.12875,-0.329620361328125
183,1926,26.6355,0.1771297454833984
184,1927,26.49675,0.0383796691894531
185,1928,26.502666,0.0442962646484375
186,1929,26.34475,-0.1136207580566406
187,1930,26.480083,0.0217132568359375
188,1931,26.853666,0.3952960968017578
189,1932,26.667166,0.2087955474853515
190,1933,26.317417,-0.1409530639648437
191,1934,26.303583,-0.1547870635986328
192,1935,26.136,-0.3223705291748047
193,1936,26.304583,-0.153787612915039
194,1937,26.55,0.0916290283203125
195,1938,26.274918,-0.1834526062011718
196,1939,26.388584,-0.0697860717773437
197,1940,26.902584,0.4442138671875
198,1941,27.058332,0.5999622344970703
199,1942,26.883583,0.4252128601074219
200,1943,26.41125,-0.0471210479736328
201,1944,26.539917,0.0815467834472656
202,1945,26.334667,-0.1237030029296875
203,1946,26.419584,-0.0387859344482421
204,1947,26.629168,0.1707973480224609
205,1948,26.511084,0.052713394165039
206,1949,26.325417,-0.1329536437988281
207,1950,26.18125,-0.2771205902099609
208,1951,26.589834,0.1314640045166015
209,1952,26.93075,0.4723796844482422
210,1953,26.8225,0.3641300201416015
211,1954,26.515667,0.0572967529296875
212,1955,26.581083,0.1227130889892578
213,1956,26.477167,0.0187969207763671
214,1957,26.530083,0.0717124938964843
215,1958,27.078417,0.6200466156005859
216,1959,26.8295,0.3711299896240234
217,1960,26.926416,0.4680461883544922
218,1961,26.809,0.3506298065185547
219,1962,26.849,0.3906307220458984
220,1963,26.961416,0.5030460357666016
221,1964,26.673334,0.2149639129638672
222,1965,26.63675,0.1783790588378906
223,1966,26.729,0.2706298828125
224,1967,26.48175,0.0233802795410156
225,1968,26.501917,0.0435466766357421
226,1969,27.107416,0.6490459442138672
227,1970,26.769917,0.3115463256835937
228,1971,26.444916,-0.0134544372558593
229,1972,26.6925,0.2341289520263672
230,1973,26.79325,0.334878921508789
231,1974,26.465,0.0066299438476562
232,1975,26.37325,-0.0851211547851562
233,1976,26.287333,-0.1710376739501953
234,1977,26.757334,0.2989635467529297
235,1978,26.918833,0.4604625701904297
236,1979,26.844166,0.3857955932617187
237,1980,27.14725,0.6888790130615234
238,1981,27.11225,0.6538791656494141
239,1982,26.8155,0.3571300506591797
240,1983,26.983334,0.52496337890625
241,1984,26.625416,0.1670455932617187
242,1985,26.552584,0.0942134857177734
243,1986,26.659584,0.2012138366699218
244,1987,27.335167,0.8767967224121094
245,1988,27.013916,0.5555458068847656
246,1989,26.752167,0.2937965393066406
247,1990,26.943167,0.4847965240478515
248,1991,26.893167,0.4347972869873047
249,1992,26.904667,0.4462966918945312
250,1993,27.056833,0.5984630584716797
251,1994,26.960083,0.5017127990722656
252,1995,27.326,0.8676300048828125
253,1996,27.01825,0.5598793029785156
254,1997,27.239334,0.7809638977050781
255,1998,27.625084,1.1667137145996094
256,1999,27.140833,0.6824626922607422
257,2000,26.902082,0.4437122344970703
258,2001,27.221834,0.7634639739990234
259,2002,27.266083,0.8077125549316406
260,2003,27.440083,0.9817123413085938
261,2004,27.225416,0.7670459747314453
262,2005,27.677166,1.2187957763671875
263,2006,27.50225,1.0438804626464844
264,2007,27.366417,0.9080467224121094
265,2008,27.003834,0.5454635620117188
266,2009,27.320333,0.8619632720947266
267,2010,27.844667,1.3862972259521484
268,2011,27.39525,0.936880111694336
269,2012,27.346666,0.8882961273193359
270,2013,27.251125,0.792755126953125
