,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,24.975,-0.0780391693115234
83,1826,25.122334,0.0692939758300781
84,1827,25.66275,0.609710693359375
85,1828,25.000917,-0.0521221160888671
86,1829,24.547832,-0.5052070617675781
87,1830,25.133583,0.0805435180664062
88,1831,24.32475,-0.7282886505126953
89,1832,24.823,-0.2300395965576172
90,1833,,
91,1834,,
92,1835,23.748083,-1.3049564361572266
93,1836,24.399084,-0.6539554595947266
94,1837,24.3295,-0.7235393524169922
95,1838,23.9665,-1.0865402221679688
96,1839,24.373583,-0.6794567108154297
97,1840,24.485167,-0.5678730010986328
98,1841,24.37525,-0.6777896881103516
99,1842,24.6745,-0.3785400390625
100,1843,24.722666,-0.3303737640380859
101,1844,24.148582,-0.9044570922851562
102,1845,24.027584,-1.0254554748535156
103,1846,24.9245,-0.1285400390625
104,1847,24.6195,-0.4335403442382812
105,1848,24.659334,-0.3937053680419922
106,1849,25.253584,0.2005443572998047
107,1850,25.026583,-0.0264568328857421
108,1851,24.6745,-0.3785400390625
109,1852,24.668417,-0.384622573852539
110,1853,24.267334,-0.78570556640625
111,1854,24.22225,-0.8307895660400391
112,1855,24.316833,-0.7362060546875
113,1856,24.477,-0.5760402679443359
114,1857,24.3945,-0.658538818359375
115,1858,24.729834,-0.3232059478759765
116,1859,24.685917,-0.3671226501464844
117,1860,24.373833,-0.6792068481445312
118,1861,24.793417,-0.259622573852539
119,1862,24.71775,-0.3352890014648437
120,1863,24.6765,-0.3765392303466797
121,1864,24.355,-0.6980400085449219
122,1865,24.811167,-0.2418727874755859
123,1866,24.548666,-0.5043735504150391
124,1867,25.030083,-0.0229568481445312
125,1868,24.428,-0.6250400543212891
126,1869,25.593916,0.5408763885498047
127,1870,24.85225,-0.2007904052734375
128,1871,24.627417,-0.4256229400634765
129,1872,24.872667,-0.1803722381591797
130,1873,24.551584,-0.5014553070068359
131,1874,24.870417,-0.1826229095458984
132,1875,24.681833,-0.3712062835693359
133,1876,24.679,-0.3740386962890625
134,1877,25.011,-0.0420398712158203
135,1878,25.515,0.4619598388671875
136,1879,24.619083,-0.4339561462402344
137,1880,24.981083,-0.0719566345214843
138,1881,25.004583,-0.0484561920166015
139,1882,24.962584,-0.0904560089111328
140,1883,24.783083,-0.2699565887451172
141,1884,24.51475,-0.5382900238037109
142,1885,24.354584,-0.698455810546875
143,1886,24.497917,-0.5551223754882812
144,1887,24.3375,-0.7155399322509766
145,1888,24.334917,-0.7181224822998047
146,1889,24.69275,-0.3602886199951172
147,1890,24.34,-0.7130393981933594
148,1891,24.976583,-0.076456069946289
149,1892,24.345917,-0.707122802734375
150,1893,24.689917,-0.3631229400634765
151,1894,24.883833,-0.1692066192626953
152,1895,24.986,-0.0670394897460937
153,1896,25.2645,0.2114601135253906
154,1897,25.693832,0.6407928466796875
155,1898,25.07625,0.0232105255126953
156,1899,24.619917,-0.4331226348876953
157,1900,24.548416,-0.5046234130859375
158,1901,23.934084,-1.1189556121826172
159,1902,24.802668,-0.2503719329833984
160,1903,24.642166,-0.4108734130859375
161,1904,24.2755,-0.7775402069091797
162,1905,24.424417,-0.6286220550537109
163,1906,24.75475,-0.2982902526855469
164,1907,24.748583,-0.3044567108154297
165,1908,24.7585,-0.2945404052734375
166,1909,25.031584,-0.0214557647705078
167,1910,24.202833,-0.8502063751220703
168,1911,25.014,-0.0390396118164062
169,1912,25.049,-0.0040397644042968
170,1913,24.727417,-0.32562255859375
171,1914,24.814833,-0.2382068634033203
172,1915,25.1925,0.1394596099853515
173,1916,24.722,-0.3310394287109375
174,1917,24.536417,-0.5166225433349609
175,1918,25.0795,0.0264606475830078
176,1919,25.18225,0.1292095184326172
177,1920,24.884832,-0.1682071685791015
178,1921,25.086416,0.0333766937255859
179,1922,25.26075,0.2077102661132812
180,1923,25.172916,0.1198768615722656
181,1924,25.244417,0.1913776397705078
182,1925,25.126917,0.0738773345947265
183,1926,25.066416,0.013376235961914
184,1927,25.032417,-0.0206222534179687
185,1928,24.9545,-0.0985393524169921
186,1929,25.040916,-0.0121231079101562
187,1930,25.251583,0.1985435485839843
188,1931,25.041334,-0.0117053985595703
189,1932,25.452168,0.3991279602050781
190,1933,25.526833,0.4737930297851562
191,1934,25.418333,0.3652935028076172
192,1935,25.212334,0.1592941284179687
193,1936,25.197416,0.1443767547607422
194,1937,25.19875,0.1457099914550781
195,1938,24.864166,-0.188873291015625
196,1939,25.075916,0.0228767395019531
197,1940,24.920666,-0.1323738098144531
198,1941,25.53275,0.4797096252441406
199,1942,25.131083,0.078042984008789
200,1943,24.96125,-0.0917892456054687
201,1944,25.175417,0.1223773956298828
202,1945,25.397583,0.34454345703125
203,1946,25.737417,0.6843776702880859
204,1947,25.950333,0.8972930908203125
205,1948,25.593666,0.5406265258789062
206,1949,25.221,0.1679611206054687
207,1950,24.783,-0.2700386047363281
208,1951,25.343584,0.2905445098876953
209,1952,25.43375,0.3807106018066406
210,1953,25.671417,0.618377685546875
211,1954,24.928833,-0.12420654296875
212,1955,25.093416,0.0403766632080078
213,1956,24.858667,-0.1943721771240234
214,1957,25.383417,0.3303775787353515
215,1958,25.486834,0.4337940216064453
216,1959,25.509417,0.4563770294189453
217,1960,25.351583,0.2985439300537109
218,1961,25.49175,0.4387111663818359
219,1962,25.03875,-0.0142898559570312
220,1963,25.101084,0.048044204711914
221,1964,25.496,0.4429607391357422
222,1965,25.3075,0.2544612884521484
223,1966,25.013334,-0.0397052764892578
224,1967,25.281416,0.2283763885498047
225,1968,25.0455,-0.0075397491455078
226,1969,25.617666,0.5646266937255859
227,1970,25.140833,0.0877933502197265
228,1971,25.254917,0.2018775939941406
229,1972,25.504168,0.4511280059814453
230,1973,25.545918,0.4928779602050781
231,1974,25.101667,0.0486278533935546
232,1975,25.4945,0.4414596557617187
233,1976,24.829416,-0.2236232757568359
234,1977,25.207834,0.154794692993164
235,1978,25.351166,0.298126220703125
236,1979,25.493334,0.4402942657470703
237,1980,25.672916,0.6198768615722656
238,1981,25.268333,0.2152938842773437
239,1982,25.6825,0.6294612884521484
240,1983,25.871166,0.8181266784667969
241,1984,25.253084,0.2000446319580078
242,1985,25.333834,0.2807941436767578
243,1986,25.382334,0.329294204711914
244,1987,25.461584,0.4085445404052734
245,1988,25.50625,0.4532108306884765
246,1989,25.314917,0.2618770599365234
247,1990,25.550333,0.497293472290039
248,1991,25.863333,0.8102931976318359
249,1992,25.647917,0.5948772430419922
250,1993,25.603083,0.5500431060791016
251,1994,25.908916,0.8558769226074219
252,1995,26.00475,0.9517097473144532
253,1996,25.4505,0.3974609375
254,1997,26.08825,1.0352096557617188
255,1998,26.228167,1.175127029418945
256,1999,25.366667,0.3136272430419922
257,2000,25.285,0.2319602966308593
258,2001,25.523916,0.4708766937255859
259,2002,25.787333,0.7342929840087891
260,2003,25.865334,0.8122940063476562
261,2004,25.744083,0.6910438537597656
262,2005,25.919,0.8659610748291016
263,2006,25.7085,0.6554603576660156
264,2007,25.85875,0.8057098388671875
265,2008,25.524666,0.4716262817382812
266,2009,25.90775,0.8547096252441406
267,2010,25.502333,0.4492931365966797
268,2011,25.84275,0.7897109985351562
269,2012,25.734417,0.6813774108886719
270,2013,26.213333,1.1602935791015625
