,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,26.584084,-0.5812091827392578
107,1850,26.482666,-0.6826267242431641
108,1851,26.714083,-0.4512100219726562
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,25.902143,-1.2631492614746094
115,1858,26.920876,-0.2444171905517578
116,1859,26.4888,-0.6764926910400391
117,1860,26.436546,-0.7287464141845703
118,1861,26.65,-0.5152931213378906
119,1862,,
120,1863,,
121,1864,,
122,1865,,
123,1866,,
124,1867,,
125,1868,,
126,1869,,
127,1870,,
128,1871,,
129,1872,,
130,1873,26.784124,-0.3811683654785156
131,1874,26.724636,-0.4406566619873047
132,1875,26.360416,-0.8048763275146484
133,1876,26.319416,-0.8458766937255859
134,1877,26.931168,-0.2341251373291015
135,1878,26.9915,-0.1737918853759765
136,1879,26.417166,-0.7481269836425781
137,1880,26.73675,-0.4285430908203125
138,1881,27.085917,-0.079376220703125
139,1882,26.645666,-0.5196266174316406
140,1883,27.078083,-0.0872097015380859
141,1884,27.24575,0.0804576873779296
142,1885,,
143,1886,26.402334,-0.7629585266113281
144,1887,25.866,-1.2992935180664062
145,1888,26.063,-1.1022930145263672
146,1889,26.079,-1.0862922668457031
147,1890,25.534416,-1.630876541137695
148,1891,25.976583,-1.1887092590332031
149,1892,26.17975,-0.9855422973632812
150,1893,26.351667,-0.8136253356933594
151,1894,26.217,-0.948293685913086
152,1895,26.61875,-0.5465431213378906
153,1896,26.44225,-0.7230434417724609
154,1897,26.93,-0.2352924346923828
155,1898,26.452084,-0.7132091522216797
156,1899,26.923334,-0.2419586181640625
157,1900,27.02975,-0.1355419158935547
158,1901,26.932583,-0.2327098846435547
159,1902,26.742332,-0.4229602813720703
160,1903,26.30925,-0.8560428619384766
161,1904,26.089083,-1.0762100219726562
162,1905,26.452917,-0.7123756408691406
163,1906,26.882084,-0.2832088470458984
164,1907,26.429916,-0.7353763580322266
165,1908,26.683416,-0.4818763732910156
166,1909,26.574583,-0.5907096862792969
167,1910,26.791916,-0.3733768463134765
168,1911,26.26575,-0.8995418548583984
169,1912,26.672583,-0.4927101135253906
170,1913,27.335083,0.1697902679443359
171,1914,27.524334,0.3590412139892578
172,1915,27.349667,0.1843738555908203
173,1916,26.98275,-0.1825428009033203
174,1917,27.589167,0.4238739013671875
175,1918,27.080416,-0.0848770141601562
176,1919,27.367666,0.2023735046386718
177,1920,27.0745,-0.0907936096191406
178,1921,27.321667,0.1563739776611328
179,1922,27.328667,0.1633739471435547
180,1923,27.311,0.1457080841064453
181,1924,27.453833,0.2885398864746094
182,1925,27.146917,-0.0183753967285156
183,1926,27.682417,0.5171241760253906
184,1927,27.27725,0.1119575500488281
185,1928,27.265667,0.1003742218017578
186,1929,26.988333,-0.1769599914550781
187,1930,27.597334,0.4320411682128906
188,1931,27.705416,0.5401229858398438
189,1932,27.220083,0.0547904968261718
190,1933,27.510584,0.3452911376953125
191,1934,27.361084,0.1957912445068359
192,1935,27.4125,0.2472076416015625
193,1936,27.29975,0.1344566345214843
194,1937,27.645416,0.4801235198974609
195,1938,27.644417,0.4791240692138672
196,1939,27.028084,-0.1372089385986328
197,1940,27.613,0.4477081298828125
198,1941,28.03475,0.8694572448730469
199,1942,27.724667,0.5593738555908203
200,1943,27.218082,0.0527896881103515
201,1944,27.5835,0.4182071685791015
202,1945,27.496666,0.3313732147216797
203,1946,27.265,0.0997066497802734
204,1947,27.6365,0.4712066650390625
205,1948,27.098583,-0.0667095184326171
206,1949,27.636168,0.4708747863769531
207,1950,27.16175,-0.0035419464111328
208,1951,27.41775,0.2524566650390625
209,1952,27.271667,0.1063747406005859
210,1953,27.186167,0.0208740234375
211,1954,26.949667,-0.2156257629394531
212,1955,26.867083,-0.2982101440429687
213,1956,26.950417,-0.2148761749267578
214,1957,27.087833,-0.0774593353271484
215,1958,27.350584,0.1852912902832031
216,1959,27.307167,0.1418743133544922
217,1960,27.204,0.0387077331542968
218,1961,26.944084,-0.2212085723876953
219,1962,27.0285,-0.1367931365966797
220,1963,27.39875,0.2334575653076172
221,1964,27.046333,-0.1189594268798828
222,1965,27.046667,-0.1186256408691406
223,1966,27.2435,0.0782070159912109
224,1967,26.976084,-0.189208984375
225,1968,27.175667,0.0103740692138671
226,1969,27.574083,0.4087905883789062
227,1970,27.524918,0.3596248626708984
228,1971,27.158833,-0.0064601898193359
229,1972,27.361334,0.1960411071777343
230,1973,27.88725,0.7219581604003906
231,1974,27.099333,-0.0659599304199218
232,1975,26.95075,-0.2145423889160156
233,1976,26.961,-0.2042922973632812
234,1977,27.46175,0.296457290649414
235,1978,27.243834,0.0785408020019531
236,1979,27.560667,0.3953742980957031
237,1980,27.564333,0.3990402221679687
238,1981,27.463333,0.2980403900146484
239,1982,27.2955,0.1302070617675781
240,1983,27.72975,0.5644569396972656
241,1984,27.5455,0.3802070617675781
242,1985,27.50425,0.3389568328857422
243,1986,27.345917,0.1806240081787109
244,1987,28.207582,1.0422897338867188
245,1988,27.592333,0.4270401000976562
246,1989,27.160418,-0.0048751831054687
247,1990,27.793833,0.6285400390625
248,1991,27.380917,0.2156238555908203
249,1992,27.230583,0.0652904510498046
250,1993,27.597918,0.4326248168945312
251,1994,27.335583,0.1702899932861328
252,1995,27.616167,0.4508743286132812
253,1996,27.703917,0.5386238098144531
254,1997,27.542,0.3767070770263672
255,1998,28.088583,0.9232902526855468
256,1999,27.680416,0.5151233673095703
257,2000,27.637667,0.4723739624023437
258,2001,27.675833,0.5105400085449219
259,2002,27.8195,0.6542072296142578
260,2003,27.964582,0.7992897033691406
261,2004,27.872,0.7067070007324219
262,2005,28.153334,0.9880409240722656
263,2006,28.144333,0.9790401458740234
264,2007,28.0705,0.9052066802978516
265,2008,27.690916,0.5256233215332031
266,2009,28.156084,0.9907913208007812
267,2010,28.325583,1.1602897644042969
268,2011,28.061167,0.8958740234375
269,2012,27.751833,0.5865402221679688
270,2013,28.160625,0.9953327178955078
