,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,11.872,0.0535259246826171
74,1817,10.472834,-1.3456401824951172
75,1818,10.766417,-1.0520572662353516
76,1819,10.3428335,-1.4756402969360352
77,1820,11.470454,-0.3480195999145508
78,1821,11.515083,-0.3033905029296875
79,1822,11.700417,-0.1180572509765625
80,1823,11.26075,-0.5577239990234375
81,1824,11.90175,0.0832757949829101
82,1825,11.736917,-0.0815572738647461
83,1826,11.720166,-0.0983076095581054
84,1827,12.010333,0.1918592453002929
85,1828,11.507,-0.3114738464355469
86,1829,11.312333,-0.5061407089233398
87,1830,11.71975,-0.0987234115600586
88,1831,10.993333,-0.8251409530639648
89,1832,11.135445,-0.6830291748046875
90,1833,11.4805,-0.3379735946655273
91,1834,11.334416,-0.4840574264526367
92,1835,10.326667,-1.491806983947754
93,1836,11.2715,-0.5469741821289062
94,1837,10.625455,-1.193018913269043
95,1838,14.456142,2.6376686096191406
96,1839,,
97,1840,11.447083,-0.3713903427124023
98,1841,11.45425,-0.3642234802246094
99,1842,11.37275,-0.4457235336303711
100,1843,11.460083,-0.3583908081054687
101,1844,10.980166,-0.8383073806762695
102,1845,11.134833,-0.6836404800415039
103,1846,11.482417,-0.3360567092895508
104,1847,11.11675,-0.7017240524291992
105,1848,10.927584,-0.8908901214599609
106,1849,11.00675,-0.8117237091064453
107,1850,12.212728,0.3942537307739258
108,1851,11.754637,-0.0638370513916015
109,1852,11.1585,-0.6599740982055664
110,1853,11.65225,-0.1662235260009765
111,1854,11.6623335,-0.1561403274536132
112,1855,11.824454,0.0059804916381835
113,1856,10.881,-0.937474250793457
114,1857,11.9237,0.1052265167236328
115,1858,11.488334,-0.3301401138305664
116,1859,11.608417,-0.210057258605957
117,1860,11.253667,-0.5648069381713867
118,1861,11.217334,-0.601140022277832
119,1862,,
120,1863,11.45175,-0.3667240142822265
121,1864,11.244166,-0.5743074417114258
122,1865,11.571917,-0.2465572357177734
123,1866,11.670417,-0.1480569839477539
124,1867,11.737833,-0.0806407928466796
125,1868,11.391666,-0.4268074035644531
126,1869,11.4265,-0.3919734954833984
127,1870,11.461166,-0.3573074340820312
128,1871,11.630417,-0.1880569458007812
129,1872,11.66075,-0.1577234268188476
130,1873,11.681666,-0.1368074417114257
131,1874,11.476334,-0.3421401977539062
132,1875,11.459833,-0.3586406707763672
133,1876,11.405916,-0.4125576019287109
134,1877,11.411166,-0.4073076248168945
135,1878,11.847167,0.0286931991577148
136,1879,12.180833,0.3623590469360351
137,1880,11.756,-0.062474250793457
138,1881,11.668167,-0.1503067016601562
139,1882,11.70325,-0.1152238845825195
140,1883,11.32925,-0.4892234802246094
141,1884,11.144584,-0.6738901138305664
142,1885,11.4019165,-0.4165573120117187
143,1886,11.7035,-0.1149740219116211
144,1887,11.3615,-0.4569740295410156
145,1888,11.5225,-0.2959737777709961
146,1889,12.15175,0.3332757949829101
147,1890,11.495417,-0.3230571746826172
148,1891,11.47625,-0.34222412109375
149,1892,11.711833,-0.1066408157348632
150,1893,10.886084,-0.9323902130126952
151,1894,11.707666,-0.1108074188232421
152,1895,11.556084,-0.26239013671875
153,1896,11.975667,0.1571931838989257
154,1897,11.96725,0.1487760543823242
155,1898,11.949833,0.1313591003417968
156,1899,11.48475,-0.3337240219116211
157,1900,12.0165,0.1980266571044922
158,1901,11.98375,0.1652765274047851
159,1902,11.5685,-0.249974250793457
160,1903,11.7515,-0.0669736862182617
161,1904,11.65125,-0.1672239303588867
162,1905,11.010583,-0.8078908920288086
163,1906,11.796583,-0.021890640258789
164,1907,11.55475,-0.2637233734130859
165,1908,11.9296665,0.1111927032470703
166,1909,12.026334,0.207859992980957
167,1910,11.606584,-0.2118902206420898
168,1911,11.433917,-0.384556770324707
169,1912,11.535417,-0.2830572128295898
170,1913,11.356584,-0.4618902206420898
171,1914,11.590584,-0.2278900146484375
172,1915,12.203667,0.38519287109375
173,1916,11.871,0.0525264739990234
174,1917,11.56,-0.2584733963012695
175,1918,11.510834,-0.3076400756835937
176,1919,11.9975,0.1790266036987304
177,1920,11.8064165,-0.0120573043823242
178,1921,11.76025,-0.0582237243652343
179,1922,12.136167,0.317692756652832
180,1923,11.858666,0.0401926040649414
181,1924,12.08,0.2615261077880859
182,1925,11.29875,-0.5197238922119141
183,1926,11.70925,-0.1092233657836914
184,1927,11.543333,-0.2751407623291015
185,1928,12.055917,0.2374429702758789
186,1929,11.64875,-0.1697235107421875
187,1930,11.65275,-0.1657238006591797
188,1931,12.062333,0.2438592910766601
189,1932,11.975166,0.1566925048828125
190,1933,11.831917,0.0134429931640625
191,1934,11.683833,-0.1346406936645507
192,1935,11.8365,0.0180263519287109
193,1936,11.787833,-0.0306406021118164
194,1937,11.916083,0.0976095199584961
195,1938,12.019834,0.201359748840332
196,1939,12.15675,0.3382759094238281
197,1940,11.93275,0.1142759323120117
198,1941,12.196417,0.3779430389404297
199,1942,12.229667,0.4111928939819336
200,1943,11.926084,0.107609748840332
201,1944,11.975583,0.157109260559082
202,1945,11.90125,0.0827760696411132
203,1946,12.276834,0.4583597183227539
204,1947,12.261167,0.442692756652832
205,1948,11.82225,0.0037765502929687
206,1949,11.776167,-0.042306900024414
207,1950,11.966416,0.1479425430297851
208,1951,12.2786665,0.4601926803588867
209,1952,12.196667,0.3781929016113281
210,1953,12.240167,0.4216928482055664
211,1954,12.28025,0.4617757797241211
212,1955,12.015166,0.1966924667358398
213,1956,12.066584,0.2481098175048828
214,1957,12.02675,0.2082757949829101
215,1958,12.62,0.8015260696411133
216,1959,12.1085,0.2900257110595703
217,1960,12.42525,0.606776237487793
218,1961,12.00925,0.1907758712768554
219,1962,11.834,0.0155258178710937
220,1963,11.74825,-0.0702238082885742
221,1964,12.237416,0.4189424514770508
222,1965,11.61125,-0.207223892211914
223,1966,12.250334,0.4318599700927734
224,1967,11.7179165,-0.1005573272705078
225,1968,11.634334,-0.1841402053833007
226,1969,12.289917,0.4714431762695312
227,1970,12.107166,0.2886924743652344
228,1971,11.768416,-0.0500574111938476
229,1972,12.12125,0.3027763366699219
230,1973,12.380333,0.561859130859375
231,1974,12.194417,0.3759431838989258
232,1975,12.24825,0.4297761917114258
233,1976,12.259334,0.4408597946166992
234,1977,12.00475,0.1862764358520507
235,1978,11.875167,0.0566930770874023
236,1979,12.443417,0.6249427795410156
237,1980,12.231584,0.4131097793579101
238,1981,12.05875,0.2402763366699218
239,1982,12.045,0.2265262603759765
240,1983,11.73975,-0.0787239074707031
241,1984,12.296333,0.4778594970703125
242,1985,12.404333,0.5858592987060547
243,1986,11.993667,0.1751928329467773
244,1987,12.3205,0.5020265579223633
245,1988,12.656167,0.8376932144165039
246,1989,12.250334,0.4318599700927734
247,1990,12.205584,0.3871097564697265
248,1991,11.994667,0.1761932373046875
249,1992,11.826834,0.0083599090576171
250,1993,12.08775,0.2692766189575195
251,1994,12.299666,0.4811925888061523
252,1995,12.428416,0.6099424362182617
253,1996,12.374666,0.5561923980712891
254,1997,11.578834,-0.2396402359008789
255,1998,12.589833,0.7713594436645508
256,1999,12.814917,0.9964427947998048
257,2000,11.998417,0.1799430847167968
258,2001,12.42575,0.6072759628295898
259,2002,12.180333,0.3618593215942383
260,2003,12.232583,0.4141092300415039
261,2004,12.208083,0.3896093368530273
262,2005,12.445917,0.6274433135986328
263,2006,12.854,1.0355262756347656
264,2007,12.6995,0.8810262680053711
265,2008,12.456333,0.6378593444824219
266,2009,13.11475,1.2962760925292969
267,2010,12.94725,1.1287765502929688
268,2011,12.40025,0.5817766189575195
269,2012,12.27975,0.4612760543823242
270,2013,13.331375,1.5129013061523438
