,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,19.533375,-1.3405418395996094
113,1856,19.933416,-0.940500259399414
114,1857,19.865667,-1.008249282836914
115,1858,20.09875,-0.7751674652099609
116,1859,20.793167,-0.08074951171875
117,1860,20.579,-0.2949161529541015
118,1861,20.204166,-0.6697502136230469
119,1862,20.14075,-0.7331657409667969
120,1863,20.37925,-0.4946670532226562
121,1864,20.195168,-0.6787490844726562
122,1865,20.42625,-0.4476661682128906
123,1866,20.494417,-0.3794994354248047
124,1867,20.548166,-0.3257503509521484
125,1868,20.588417,-0.2854995727539062
126,1869,20.617916,-0.2560005187988281
127,1870,20.427084,-0.4468326568603515
128,1871,20.411,-0.4629173278808594
129,1872,20.388166,-0.4857501983642578
130,1873,21.078667,0.2047500610351562
131,1874,20.232084,-0.6418323516845703
132,1875,19.889416,-0.9845008850097656
133,1876,20.57675,-0.2971668243408203
134,1877,21.165916,0.2919998168945312
135,1878,20.833584,-0.0403327941894531
136,1879,20.268417,-0.605499267578125
137,1880,20.36125,-0.5126667022705078
138,1881,20.581417,-0.2924995422363281
139,1882,20.266666,-0.6072502136230469
140,1883,20.299667,-0.574249267578125
141,1884,20.198668,-0.6752490997314453
142,1885,20.224417,-0.6494998931884766
143,1886,20.095667,-0.7782497406005859
144,1887,20.562334,-0.3115825653076172
145,1888,20.630667,-0.2432498931884765
146,1889,20.4285,-0.4454174041748047
147,1890,20.148666,-0.725250244140625
148,1891,20.324167,-0.5497493743896484
149,1892,20.158667,-0.7152500152587891
150,1893,20.06975,-0.8041667938232422
151,1894,20.374666,-0.4992504119873047
152,1895,20.738583,-0.1353340148925781
153,1896,21.046417,0.1725006103515625
154,1897,20.737333,-0.1365833282470703
155,1898,20.319416,-0.5545005798339844
156,1899,20.629168,-0.2447490692138672
157,1900,21.11325,0.2393341064453125
158,1901,20.994083,0.1201667785644531
159,1902,20.910833,0.0369167327880859
160,1903,20.4095,-0.46441650390625
161,1904,20.6255,-0.2484169006347656
162,1905,21.041082,0.1671657562255859
163,1906,20.789333,-0.0845832824707031
164,1907,20.43575,-0.4381675720214844
165,1908,20.28225,-0.5916671752929688
166,1909,20.433584,-0.4403324127197265
167,1910,20.4385,-0.4354171752929687
168,1911,20.394417,-0.4794998168945312
169,1912,20.863083,-0.010833740234375
170,1913,20.99925,0.1253337860107422
171,1914,21.224833,0.3509159088134765
172,1915,21.629917,0.7560005187988281
173,1916,20.602667,-0.271249771118164
174,1917,19.860916,-1.01300048828125
175,1918,20.461166,-0.412750244140625
176,1919,21.035667,0.1617507934570312
177,1920,20.524166,-0.3497505187988281
178,1921,20.484167,-0.389749526977539
179,1922,20.489584,-0.3843326568603515
180,1923,20.459833,-0.4140834808349609
181,1924,20.717583,-0.1563339233398437
182,1925,20.91975,0.0458335876464843
183,1926,21.384666,0.5107498168945312
184,1927,20.84175,-0.0321674346923828
185,1928,21.048666,0.1747493743896484
186,1929,20.823416,-0.0505008697509765
187,1930,21.13025,0.2563343048095703
188,1931,20.795666,-0.0782508850097656
189,1932,20.82125,-0.0526657104492187
190,1933,20.80475,-0.0691661834716796
191,1934,20.716417,-0.1574993133544922
192,1935,20.9955,0.1215839385986328
193,1936,21.3635,0.4895839691162109
194,1937,21.328833,0.4549160003662109
195,1938,20.971582,0.097665786743164
196,1939,21.009417,0.1354999542236328
197,1940,21.37875,0.5048332214355469
198,1941,21.359417,0.4855003356933594
199,1942,20.793667,-0.0802497863769531
200,1943,20.67725,-0.1966667175292968
201,1944,21.115084,0.2411670684814453
202,1945,21.144167,0.2702503204345703
203,1946,21.22225,0.3483333587646484
204,1947,20.745083,-0.1288337707519531
205,1948,20.994833,0.1209163665771484
206,1949,20.777916,-0.0960006713867187
207,1950,20.845167,-0.0287494659423828
208,1951,20.931334,0.0574169158935546
209,1952,20.8065,-0.0674171447753906
210,1953,21.2775,0.4035835266113281
211,1954,20.912416,0.0384998321533203
212,1955,20.765417,-0.108499526977539
213,1956,20.275833,-0.59808349609375
214,1957,20.851334,-0.0225830078125
215,1958,21.033583,0.1596660614013672
216,1959,21.109083,0.2351665496826172
217,1960,20.5945,-0.2794170379638672
218,1961,21.368,0.4940834045410156
219,1962,20.797333,-0.0765838623046875
220,1963,21.510916,0.6369991302490234
221,1964,20.837084,-0.0368328094482421
222,1965,21.23275,0.3588333129882812
223,1966,21.206333,0.3324165344238281
224,1967,21.458084,0.58416748046875
225,1968,21.131584,0.2576675415039062
226,1969,21.754168,0.8802509307861328
227,1970,21.51625,0.642333984375
228,1971,20.739666,-0.1342506408691406
229,1972,21.3355,0.4615840911865234
230,1973,21.314083,0.4401664733886719
231,1974,20.789417,-0.0844993591308593
232,1975,21.04225,0.1683330535888672
233,1976,20.828917,-0.0450000762939453
234,1977,21.246666,0.3727493286132812
235,1978,21.28475,0.4108333587646484
236,1979,21.039167,0.1652507781982422
237,1980,21.034082,0.160165786743164
238,1981,20.978,0.1040840148925781
239,1982,21.300083,0.4261665344238281
240,1983,21.571667,0.6977500915527344
241,1984,21.291834,0.417917251586914
242,1985,21.483166,0.6092491149902344
243,1986,21.482584,0.6086673736572266
244,1987,21.872917,0.9990005493164062
245,1988,21.466833,0.5929164886474609
246,1989,21.156918,0.2830009460449219
247,1990,21.326084,0.4521675109863281
248,1991,21.754084,0.8801670074462891
249,1992,21.205917,0.332000732421875
250,1993,21.524918,0.6510009765625
251,1994,21.98475,1.1108341217041016
252,1995,21.730583,0.8566665649414062
253,1996,21.053667,0.1797504425048828
254,1997,21.611334,0.7374172210693359
255,1998,21.467333,0.5934162139892578
256,1999,21.03175,0.1578330993652343
257,2000,21.077168,0.2032508850097656
258,2001,21.234083,0.3601665496826172
259,2002,21.60575,0.7318325042724609
260,2003,21.26275,0.388833999633789
261,2004,21.571,0.69708251953125
262,2005,21.37175,0.497833251953125
263,2006,21.47,0.5960826873779297
264,2007,21.129333,0.2554168701171875
265,2008,21.189,0.3150825500488281
266,2009,21.378334,0.5044174194335938
267,2010,21.446417,0.5725002288818359
268,2011,21.555416,0.6814994812011719
269,2012,21.607166,0.7332496643066406
270,2013,20.640875,-0.233041763305664
