,Year,Temp,Mean_deviation
0,1743,,
1,1744,12.01975,1.590022087097168
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,11.030455,0.6007270812988281
8,1751,11.419375,0.9896478652954102
9,1752,5.9253335,-4.504394054412842
10,1753,10.365583,-0.0641441345214843
11,1754,10.252167,-0.177560806274414
12,1755,10.037917,-0.3918104171752929
13,1756,10.77,0.3402729034423828
14,1757,10.439083,0.0093555450439453
15,1758,9.395333,-1.0343942642211914
16,1759,10.438,0.0082721710205078
17,1760,10.233583,-0.1961441040039062
18,1761,10.721416,0.2916889190673828
19,1762,10.4418335,0.0121059417724609
20,1763,9.917167,-0.5125608444213867
21,1764,10.66775,0.2380228042602539
22,1765,10.483167,0.0534391403198242
23,1766,10.32425,-0.1054773330688476
24,1767,9.81725,-0.6124773025512695
25,1768,9.213417,-1.2163105010986328
26,1769,10.186334,-0.2433938980102539
27,1770,10.178333,-0.2513942718505859
28,1771,10.01725,-0.4124774932861328
29,1772,11.606417,1.1766891479492188
30,1773,10.538333,0.1086053848266601
31,1774,10.534583,0.1048555374145507
32,1775,10.987,0.5572729110717773
33,1776,9.9383335,-0.49139404296875
34,1777,10.020333,-0.4093942642211914
35,1778,11.10525,0.6755228042602539
36,1779,11.16275,0.7330226898193359
37,1780,10.50325,0.0735225677490234
38,1781,10.9990835,0.5693559646606445
39,1782,9.96225,-0.467477798461914
40,1783,10.698916,0.2691888809204101
41,1784,9.9678335,-0.4618940353393554
42,1785,9.477583,-0.9521446228027344
43,1786,9.74775,-0.6819772720336914
44,1787,10.59275,0.1630220413208007
45,1788,10.55325,0.1235227584838867
46,1789,10.374,-0.0557279586791992
47,1790,10.689584,0.2598562240600586
48,1791,11.067416,0.6376886367797852
49,1792,10.4195,-0.0102272033691406
50,1793,10.2915,-0.1382274627685547
51,1794,11.107917,0.6781892776489258
52,1795,10.332167,-0.0975608825683593
53,1796,10.583834,0.1541061401367187
54,1797,11.43775,1.0080223083496094
55,1798,10.807167,0.3774394989013672
56,1799,9.652667,-0.7770605087280273
57,1800,10.794333,0.3646059036254883
58,1801,11.27825,0.8485221862792969
59,1802,11.304083,0.8743553161621094
60,1803,9.9895,-0.4402275085449219
61,1804,10.40125,-0.028477668762207
62,1805,9.205833,-1.223894119262695
63,1806,10.853416,0.4236888885498047
64,1807,10.956583,0.52685546875
65,1808,9.358417,-1.0713109970092771
66,1809,9.974417,-0.4553108215332031
67,1810,10.387417,-0.0423107147216796
68,1811,11.031167,0.6014394760131836
69,1812,9.45225,-0.97747802734375
70,1813,9.784166,-0.6455612182617188
71,1814,9.4285,-1.0012273788452148
72,1815,9.720834,-0.7088937759399414
73,1816,9.24625,-1.1834774017333984
74,1817,10.107083,-0.3226442337036133
75,1818,10.43625,0.0065221786499023
76,1819,10.392834,-0.0368938446044921
77,1820,10.248167,-0.1815605163574218
78,1821,10.191334,-0.2383937835693359
79,1822,11.290417,0.8606891632080078
80,1823,10.165916,-0.2638111114501953
81,1824,10.826834,0.3971061706542969
82,1825,10.4645,0.0347728729248046
83,1826,10.239917,-0.1898107528686523
84,1827,10.52425,0.094522476196289
85,1828,10.400084,-0.0296440124511718
86,1829,9.0845,-1.3452272415161133
87,1830,10.116167,-0.3135604858398437
88,1831,10.27425,-0.1554775238037109
89,1832,9.608084,-0.8216438293457031
90,1833,10.0945,-0.3352279663085937
91,1834,11.090834,0.6611061096191406
92,1835,9.60175,-0.827977180480957
93,1836,10.253166,-0.1765613555908203
94,1837,9.260834,-1.168893814086914
