,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,21.064917,-0.8108329772949219
115,1858,21.375084,-0.5006656646728516
116,1859,21.4535,-0.4222488403320312
117,1860,21.5834,-0.2923488616943359
118,1861,21.364,-0.511749267578125
119,1862,20.9795,-0.8962497711181641
120,1863,21.407167,-0.4685821533203125
121,1864,21.386333,-0.4894161224365234
122,1865,21.692917,-0.1828327178955078
123,1866,21.631916,-0.2438335418701172
124,1867,21.737,-0.1387500762939453
125,1868,21.411917,-0.4638328552246094
126,1869,21.737417,-0.1383323669433593
127,1870,21.426666,-0.4490833282470703
128,1871,21.504667,-0.3710823059082031
129,1872,21.507084,-0.3686656951904297
130,1873,20.40975,-1.4659996032714844
131,1874,21.55775,-0.3179988861083984
132,1875,21.259666,-0.6160831451416016
133,1876,21.267666,-0.6080837249755859
134,1877,21.752167,-0.1235828399658203
135,1878,21.704166,-0.1715831756591797
136,1879,21.148582,-0.7271671295166016
137,1880,21.074417,-0.8013324737548828
138,1881,21.336166,-0.5395832061767578
139,1882,21.3455,-0.5302486419677734
140,1883,21.408916,-0.4668331146240234
141,1884,21.151167,-0.7245826721191406
142,1885,21.62325,-0.2525005340576172
143,1886,21.702667,-0.1730823516845703
144,1887,21.347834,-0.5279159545898438
145,1888,21.317667,-0.5580825805664062
146,1889,21.9215,0.0457496643066406
147,1890,21.18625,-0.6894989013671875
148,1891,21.508583,-0.367166519165039
149,1892,21.271166,-0.604583740234375
150,1893,21.467333,-0.408416748046875
151,1894,21.470083,-0.4056663513183594
152,1895,21.560583,-0.3151664733886719
153,1896,21.976166,0.1004161834716796
154,1897,21.671417,-0.2043323516845703
155,1898,21.073,-0.8027496337890625
156,1899,21.567083,-0.3086662292480469
157,1900,22.021418,0.1456680297851562
158,1901,21.522333,-0.3534164428710937
159,1902,21.426834,-0.4489154815673828
160,1903,21.450417,-0.425333023071289
161,1904,20.911917,-0.9638328552246094
162,1905,21.458666,-0.417083740234375
163,1906,21.204834,-0.6709156036376953
164,1907,20.970083,-0.9056663513183594
165,1908,21.566,-0.3097496032714844
166,1909,21.508417,-0.3673324584960937
167,1910,21.347584,-0.5281658172607422
168,1911,21.390667,-0.4850826263427734
169,1912,21.8355,-0.0402488708496093
170,1913,22.072083,0.1963329315185547
171,1914,22.170834,0.295083999633789
172,1915,21.741,-0.1347503662109375
173,1916,21.88975,0.0139999389648437
174,1917,21.538666,-0.3370838165283203
175,1918,21.17075,-0.7049999237060547
176,1919,21.718834,-0.1569156646728515
177,1920,21.943916,0.0681667327880859
178,1921,21.580667,-0.2950820922851562
179,1922,22.45125,0.57550048828125
180,1923,22.03275,0.1569995880126953
181,1924,21.750584,-0.1251659393310547
182,1925,21.411333,-0.46441650390625
183,1926,21.977333,0.1015834808349609
184,1927,21.898834,0.0230846405029296
185,1928,21.943583,0.0678329467773437
186,1929,22.2845,0.4087505340576172
187,1930,21.628166,-0.2475833892822265
188,1931,22.028,0.1522502899169922
189,1932,21.774084,-0.1016654968261718
190,1933,22.036583,0.1608333587646484
191,1934,21.899084,0.0233345031738281
192,1935,21.470833,-0.404916763305664
193,1936,21.583416,-0.2923336029052734
194,1937,21.513334,-0.3624153137207031
195,1938,21.998833,0.1230831146240234
196,1939,21.281918,-0.5938320159912109
197,1940,22.063,0.1872501373291015
198,1941,22.511417,0.6356678009033203
199,1942,22.367332,0.4915828704833984
200,1943,21.85825,-0.0174999237060546
201,1944,21.9385,0.0627498626708984
202,1945,21.814167,-0.0615825653076171
203,1946,22.118416,0.2426662445068359
204,1947,22.435333,0.5595836639404297
205,1948,21.757166,-0.1185836791992187
206,1949,22.274,0.3982505798339844
207,1950,22.124166,0.2484169006347656
208,1951,21.784584,-0.091165542602539
209,1952,22.471416,0.5956668853759766
210,1953,21.620333,-0.2554168701171875
211,1954,21.814333,-0.0614166259765625
212,1955,21.437584,-0.4381656646728515
213,1956,21.848,-0.027750015258789
214,1957,22.463333,0.5875835418701172
215,1958,22.119333,0.2435836791992187
216,1959,22.262417,0.386667251586914
217,1960,22.151333,0.275583267211914
218,1961,22.15725,0.2814998626708984
219,1962,22.222416,0.3466663360595703
220,1963,21.49325,-0.3824996948242187
221,1964,22.027834,0.1520843505859375
222,1965,22.242083,0.3663330078125
223,1966,22.409916,0.5341663360595703
224,1967,21.6325,-0.2432498931884765
225,1968,21.93,0.0542507171630859
226,1969,22.312084,0.4363346099853515
227,1970,22.855833,0.980083465576172
228,1971,22.080917,0.2051677703857422
229,1972,22.058167,0.1824169158935547
230,1973,22.373,0.4972496032714844
231,1974,21.223667,-0.6520824432373047
232,1975,21.67025,-0.2054996490478515
233,1976,21.14425,-0.7314987182617188
234,1977,22.063917,0.1881675720214843
235,1978,21.693832,-0.1819171905517578
236,1979,22.36575,0.489999771118164
237,1980,21.845917,-0.0298328399658203
238,1981,21.605667,-0.2700824737548828
239,1982,22.487833,0.6120834350585938
240,1983,22.964417,1.088666915893555
241,1984,22.525917,0.6501674652099609
242,1985,22.272667,0.3969173431396484
243,1986,22.308332,0.4325828552246094
244,1987,23.144333,1.2685832977294922
245,1988,22.253166,0.3774166107177734
246,1989,22.104166,0.2284164428710937
247,1990,22.944834,1.0690841674804688
248,1991,22.059668,0.1839179992675781
249,1992,23.290833,1.415082931518555
250,1993,22.68075,0.8050003051757812
251,1994,22.379168,0.50341796875
252,1995,23.213833,1.338083267211914
253,1996,22.199667,0.3239173889160156
254,1997,22.336834,0.4610843658447265
255,1998,23.070583,1.194833755493164
256,1999,22.978,1.102251052856445
257,2000,21.872334,-0.0034160614013671
258,2001,22.3505,0.4747505187988281
259,2002,22.985666,1.1099166870117188
260,2003,23.395166,1.5194168090820312
261,2004,22.346083,0.4703330993652344
262,2005,23.368834,1.493083953857422
263,2006,21.804,-0.0717487335205078
264,2007,22.4005,0.524749755859375
265,2008,22.311167,0.4354171752929687
266,2009,22.13975,0.2639999389648437
267,2010,22.730167,0.8544178009033203
268,2011,21.955084,0.0793342590332031
269,2012,22.400084,0.5243339538574219
270,2013,21.82575,-0.0499992370605468
