,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,23.858583,-0.8406982421875
90,1833,24.517834,-0.1814479827880859
91,1834,24.34675,-0.3525314331054687
92,1835,23.5375,-1.1617813110351562
93,1836,23.921167,-0.7781143188476562
94,1837,23.608917,-1.0903644561767578
95,1838,23.726917,-0.9723644256591796
96,1839,23.804,-0.8952808380126953
97,1840,24.097584,-0.6016979217529297
98,1841,23.9335,-0.7657814025878906
99,1842,24.32075,-0.3785324096679687
100,1843,24.440916,-0.2583656311035156
101,1844,,
102,1845,24.014334,-0.6849479675292969
103,1846,24.82,0.1207180023193359
104,1847,24.19675,-0.5025310516357422
105,1848,24.163,-0.5362815856933594
106,1849,24.226917,-0.4723644256591797
107,1850,24.211819,-0.4874629974365234
108,1851,24.342333,-0.3569488525390625
109,1852,24.359917,-0.339365005493164
110,1853,24.37025,-0.3290309906005859
111,1854,24.465084,-0.2341976165771484
112,1855,24.490917,-0.2083644866943359
113,1856,23.96525,-0.7340316772460938
114,1857,24.013666,-0.6856155395507812
115,1858,23.990334,-0.7089481353759766
116,1859,24.368,-0.3312816619873047
117,1860,24.42025,-0.279031753540039
118,1861,24.10175,-0.5975322723388672
119,1862,23.92425,-0.7750320434570312
120,1863,24.1935,-0.5057811737060547
121,1864,24.131416,-0.5678653717041016
122,1865,24.231,-0.4682807922363281
123,1866,24.338667,-0.3606147766113281
124,1867,24.49325,-0.2060317993164062
125,1868,24.610416,-0.0888652801513671
126,1869,24.747334,0.0480518341064453
127,1870,24.543333,-0.1559486389160156
128,1871,24.436417,-0.2628650665283203
129,1872,24.43575,-0.2635326385498047
130,1873,24.74175,0.0424690246582031
131,1874,24.383667,-0.3156147003173828
132,1875,23.91325,-0.7860317230224609
133,1876,24.216,-0.4832820892333984
134,1877,24.84075,0.1414680480957031
135,1878,25.0105,0.31121826171875
136,1879,24.147167,-0.5521144866943359
137,1880,24.342417,-0.3568649291992187
138,1881,24.43475,-0.2645320892333984
139,1882,24.07,-0.6292819976806641
140,1883,24.089,-0.6102809906005859
141,1884,23.964167,-0.7351150512695312
142,1885,24.311333,-0.387948989868164
143,1886,24.009583,-0.6896991729736328
144,1887,24.279167,-0.420114517211914
145,1888,24.55,-0.1492824554443359
146,1889,24.639,-0.060281753540039
147,1890,24.0805,-0.6187820434570312
148,1891,24.264084,-0.4351978302001953
149,1892,24.150417,-0.5488643646240234
150,1893,23.910583,-0.7886981964111328
151,1894,24.33275,-0.3665313720703125
152,1895,24.467333,-0.2319488525390625
153,1896,24.587584,-0.1116981506347656
154,1897,24.46775,-0.2315311431884765
155,1898,24.365583,-0.3336982727050781
156,1899,24.447083,-0.2521991729736328
157,1900,24.904833,0.2055511474609375
158,1901,24.777584,0.0783023834228515
159,1902,24.710833,0.0115509033203125
160,1903,24.574583,-0.1246986389160156
161,1904,23.9955,-0.7037811279296875
162,1905,24.739666,0.040384292602539
163,1906,24.51575,-0.1835308074951172
164,1907,24.340666,-0.3586158752441406
165,1908,24.518417,-0.1808643341064453
166,1909,24.405083,-0.294198989868164
167,1910,24.418083,-0.281198501586914
168,1911,24.289083,-0.4101982116699219
169,1912,24.4775,-0.221780776977539
170,1913,24.595667,-0.1036148071289062
171,1914,24.89925,0.1999683380126953
172,1915,25.118584,0.4193019866943359
173,1916,24.443,-0.2562808990478515
174,1917,23.7975,-0.9017810821533204
175,1918,24.3095,-0.3897819519042969
176,1919,24.83675,0.1374683380126953
177,1920,24.409916,-0.2893657684326172
178,1921,24.27625,-0.4230308532714844
179,1922,24.500334,-0.1989479064941406
180,1923,24.358,-0.3412818908691406
181,1924,24.4315,-0.2677822113037109
182,1925,24.537666,-0.1616153717041015
183,1926,25.008583,0.3093013763427734
184,1927,24.701834,0.0025520324707031
185,1928,24.938917,0.2396354675292968
186,1929,24.644333,-0.0549488067626953
187,1930,24.843834,0.1445522308349609
188,1931,24.79625,0.0969676971435546
189,1932,24.972666,0.2733840942382812
190,1933,24.6125,-0.0867824554443359
191,1934,24.648582,-0.050699234008789
192,1935,24.853083,0.1538009643554687
193,1936,25.061083,0.3618011474609375
194,1937,25.05025,0.3509674072265625
195,1938,24.874083,0.1748008728027343
196,1939,24.929916,0.2306346893310547
197,1940,25.114,0.4147186279296875
198,1941,25.19625,0.4969692230224609
199,1942,24.879084,0.1798019409179687
200,1943,24.558416,-0.1408653259277343
201,1944,24.904583,0.205301284790039
202,1945,24.724417,0.0251350402832031
203,1946,24.973667,0.2743854522705078
204,1947,24.69575,-0.0035324096679687
205,1948,24.853416,0.1541347503662109
206,1949,24.616833,-0.0824489593505859
207,1950,24.639,-0.060281753540039
208,1951,24.797333,0.0980510711669921
209,1952,24.851667,0.1523857116699218
210,1953,24.995583,0.2963008880615234
211,1954,24.967,0.2677173614501953
212,1955,24.7655,0.0662174224853515
213,1956,24.479666,-0.2196159362792968
214,1957,24.801916,0.1026344299316406
215,1958,25.268084,0.5688018798828125
216,1959,25.15725,0.4579677581787109
217,1960,24.752666,0.053384780883789
218,1961,25.146418,0.4471359252929687
219,1962,24.842333,0.1430511474609375
220,1963,25.171583,0.4723014831542969
221,1964,24.734083,0.0348014831542968
222,1965,24.983833,0.2845516204833984
223,1966,25.086416,0.3871345520019531
224,1967,25.013666,0.3143844604492187
225,1968,24.63125,-0.0680313110351562
226,1969,25.28275,0.5834674835205078
227,1970,25.191084,0.4918022155761719
228,1971,24.6085,-0.0907821655273437
229,1972,25.097334,0.3980522155761719
230,1973,25.169584,0.4703025817871094
231,1974,24.5815,-0.1177825927734375
232,1975,24.67675,-0.022531509399414
233,1976,24.719,0.0197181701660156
234,1977,25.132334,0.4330520629882812
235,1978,24.9275,0.2282180786132812
236,1979,24.944334,0.2450523376464843
237,1980,25.148,0.4487190246582031
238,1981,24.983418,0.2841358184814453
239,1982,25.230333,0.5310516357421875
240,1983,25.35075,0.6514682769775391
241,1984,25.109917,0.4106349945068359
242,1985,24.965666,0.2663841247558594
243,1986,25.131,0.4317188262939453
244,1987,25.563417,0.8641357421875
245,1988,25.177334,0.4780521392822265
246,1989,24.871416,0.1721343994140625
247,1990,25.274918,0.5756359100341797
248,1991,25.292166,0.5928840637207031
249,1992,25.251333,0.5520515441894531
250,1993,25.354918,0.6556358337402344
251,1994,25.454666,0.7553844451904297
252,1995,25.554417,0.8551349639892578
253,1996,25.337833,0.6385517120361328
254,1997,25.559416,0.8601341247558594
255,1998,25.95875,1.2594680786132812
256,1999,25.286583,0.5873012542724609
257,2000,25.1965,0.4972190856933594
258,2001,25.504417,0.8051357269287109
259,2002,25.800333,1.1010513305664062
260,2003,25.621,0.9217185974121094
261,2004,25.4965,0.7972183227539062
262,2005,25.806,1.1067180633544922
263,2006,25.517,0.817718505859375
264,2007,25.668,0.9687175750732422
265,2008,25.410334,0.7110519409179688
266,2009,25.600584,0.9013023376464844
267,2010,25.812416,1.1131343841552734
268,2011,25.428917,0.7296352386474609
269,2012,25.717083,1.017801284790039
270,2013,25.348125,0.6488437652587891
