,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,26.121363,-0.2149429321289062
82,1825,26.431667,0.0953617095947265
83,1826,26.1598,-0.1765060424804687
84,1827,26.347454,0.011148452758789
85,1828,26.393818,0.0575122833251953
86,1829,25.8164,-0.5199050903320312
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,25.723,-0.6133060455322266
103,1846,26.2425,-0.0938053131103515
104,1847,25.8095,-0.5268058776855469
105,1848,25.709667,-0.6266384124755859
106,1849,25.807917,-0.5283889770507812
107,1850,25.855667,-0.4806385040283203
108,1851,26.006332,-0.3299732208251953
109,1852,25.738167,-0.5981388092041016
110,1853,25.973833,-0.3624725341796875
111,1854,25.890167,-0.4461383819580078
112,1855,26.046583,-0.2897224426269531
113,1856,26.187334,-0.1489715576171875
114,1857,25.5655,-0.7708053588867188
115,1858,25.550667,-0.7856388092041016
116,1859,25.698917,-0.6373882293701172
117,1860,25.739166,-0.5971393585205078
118,1861,25.909166,-0.4271392822265625
119,1862,25.77225,-0.564056396484375
120,1863,25.930584,-0.4057216644287109
121,1864,25.843666,-0.4926395416259765
122,1865,26.098833,-0.2374725341796875
123,1866,25.88675,-0.4495563507080078
124,1867,25.898582,-0.437723159790039
125,1868,26.174583,-0.161722183227539
126,1869,26.166,-0.1703052520751953
127,1870,25.964,-0.3723049163818359
128,1871,26.172,-0.1643047332763672
129,1872,26.183584,-0.1527214050292968
130,1873,25.918833,-0.4174728393554687
131,1874,25.807,-0.5293064117431641
132,1875,25.82025,-0.5160560607910156
133,1876,26.086416,-0.2498893737792968
134,1877,26.503334,0.1670284271240234
135,1878,26.578667,0.2423610687255859
136,1879,25.970083,-0.3662223815917969
137,1880,25.83975,-0.4965553283691406
138,1881,25.903166,-0.4331398010253906
139,1882,25.724083,-0.6122226715087891
140,1883,25.580667,-0.7556381225585938
141,1884,25.631584,-0.7047214508056641
142,1885,26.014166,-0.3221397399902344
143,1886,25.65925,-0.6770553588867188
144,1887,25.52175,-0.8145561218261719
145,1888,25.846834,-0.489471435546875
146,1889,26.17525,-0.1610565185546875
147,1890,25.76925,-0.5670547485351562
148,1891,26.090416,-0.245889663696289
149,1892,25.987917,-0.348388671875
150,1893,25.825417,-0.5108890533447266
151,1894,25.814417,-0.5218887329101562
152,1895,26.04975,-0.2865562438964844
153,1896,26.076416,-0.2598896026611328
154,1897,26.282667,-0.0536384582519531
155,1898,26.173666,-0.1626396179199218
156,1899,25.967833,-0.3684730529785156
157,1900,26.114166,-0.2221393585205078
158,1901,26.4095,0.0731945037841796
159,1902,26.209583,-0.1267223358154297
160,1903,26.275917,-0.0603885650634765
161,1904,25.858667,-0.4776382446289062
162,1905,26.32975,-0.0065555572509765
163,1906,26.103416,-0.232889175415039
164,1907,25.823416,-0.5128898620605469
165,1908,26.037167,-0.2991390228271484
166,1909,25.872583,-0.4637222290039062
167,1910,25.777166,-0.5591392517089844
168,1911,26.051666,-0.2846393585205078
169,1912,26.27325,-0.0630550384521484
170,1913,25.624083,-0.7122230529785156
171,1914,26.10375,-0.2325553894042968
172,1915,26.392916,0.056610107421875
173,1916,25.9275,-0.4088058471679687
174,1917,25.768583,-0.5677223205566406
175,1918,26.04675,-0.2895565032958984
176,1919,26.304916,-0.0313892364501953
177,1920,26.262333,-0.0739727020263671
178,1921,26.093416,-0.242889404296875
179,1922,25.901083,-0.4352226257324219
180,1923,26.043333,-0.2929725646972656
181,1924,26.232,-0.1043052673339843
182,1925,26.071417,-0.2648887634277344
183,1926,26.578083,0.2417774200439453
184,1927,26.275084,-0.0612220764160156
185,1928,26.422832,0.086526870727539
186,1929,26.146418,-0.1898880004882812
187,1930,26.41475,0.0784435272216796
188,1931,26.67375,0.3374443054199219
189,1932,26.448833,0.112527847290039
190,1933,26.13125,-0.2050552368164062
191,1934,26.10675,-0.2295551300048828
192,1935,26.13075,-0.2055549621582031
193,1936,26.313833,-0.0224723815917968
194,1937,26.444166,0.1078605651855468
195,1938,26.006584,-0.329721450805664
196,1939,26.2855,-0.0508060455322265
197,1940,26.55725,0.2209434509277343
198,1941,26.859167,0.5228614807128906
199,1942,26.76725,0.4309444427490234
200,1943,26.248333,-0.0879726409912109
201,1944,26.27825,-0.0580558776855468
202,1945,26.132917,-0.2033882141113281
203,1946,26.327833,-0.0084724426269531
204,1947,26.594,0.2576942443847656
205,1948,26.615334,0.2790279388427734
206,1949,26.170166,-0.1661396026611328
207,1950,25.997334,-0.3389720916748047
208,1951,26.432583,0.0962772369384765
209,1952,26.609083,0.2727775573730469
210,1953,26.724916,0.38861083984375
211,1954,26.316668,-0.0196380615234375
212,1955,26.384,0.0476951599121093
213,1956,26.281416,-0.0548896789550781
214,1957,26.626583,0.2902774810791015
215,1958,26.96875,0.6324443817138672
216,1959,26.8595,0.5231952667236328
217,1960,26.917084,0.5807781219482422
218,1961,26.674833,0.3385276794433594
219,1962,26.583166,0.2468605041503906
220,1963,26.802416,0.4661102294921875
221,1964,26.67975,0.34344482421875
222,1965,26.303333,-0.0329723358154296
223,1966,26.439833,0.1035270690917968
224,1967,26.23,-0.1063060760498046
225,1968,26.323334,-0.0129718780517578
226,1969,26.77525,0.438943862915039
227,1970,26.606583,0.2702770233154297
228,1971,26.292166,-0.0441398620605468
229,1972,26.40125,0.0649452209472656
230,1973,26.733583,0.39727783203125
231,1974,26.171667,-0.1646385192871093
232,1975,26.2475,-0.08880615234375
233,1976,26.151833,-0.1844730377197265
234,1977,26.730833,0.3945274353027344
235,1978,26.717583,0.3812770843505859
236,1979,26.549334,0.2130279541015625
237,1980,26.99,0.6536941528320312
238,1981,26.90325,0.5669441223144531
239,1982,26.553833,0.2175273895263672
240,1983,26.958166,0.6218605041503906
241,1984,26.599333,0.2630271911621094
242,1985,26.593834,0.2575283050537109
243,1986,26.6095,0.2731952667236328
244,1987,27.143583,0.8072776794433594
245,1988,26.8285,0.4921951293945312
246,1989,26.560417,0.2241115570068359
247,1990,26.821667,0.485361099243164
248,1991,26.777584,0.4412784576416015
249,1992,26.776417,0.4401111602783203
250,1993,26.9305,0.5941944122314453
251,1994,27.04075,0.7044448852539062
252,1995,27.228916,0.8926105499267578
253,1996,26.743584,0.4072780609130859
254,1997,27.114666,0.7783603668212891
255,1998,27.452333,1.11602783203125
256,1999,26.99825,0.6619434356689453
257,2000,26.730583,0.3942775726318359
258,2001,27.133167,0.7968616485595703
259,2002,27.297832,0.9615268707275392
260,2003,27.376583,1.0402774810791016
261,2004,27.02925,0.6929435729980469
262,2005,27.424667,1.088361740112305
263,2006,27.374834,1.0385284423828125
264,2007,27.47,1.1336936950683594
265,2008,26.924,0.5876941680908203
266,2009,27.2385,0.9021949768066406
267,2010,27.593666,1.2573604583740234
268,2011,27.15925,0.8229446411132812
269,2012,27.360167,1.0238609313964844
270,2013,27.312334,0.9760284423828124
