,Year,Temp,Mean_deviation
0,1743,,
1,1744,12.284,1.7915143966674805
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,11.02,0.5275144577026367
8,1751,11.472875,0.980388641357422
9,1752,5.6285,-4.863986015319824
10,1753,10.3995,-0.0929861068725586
11,1754,10.45675,-0.035736083984375
12,1755,10.244166,-0.2483196258544922
13,1756,11.01225,0.5197639465332031
14,1757,10.759833,0.2673473358154297
15,1758,9.199083,-1.2934026718139648
16,1759,10.240417,-0.2520694732666015
17,1760,9.8045,-0.6879863739013672
18,1761,10.755584,0.2630977630615234
19,1762,10.58675,0.0942640304565429
20,1763,9.792334,-0.7001523971557617
21,1764,10.767,0.2745141983032226
22,1765,10.656417,0.1639308929443359
23,1766,10.51325,0.0207643508911132
24,1767,10.133917,-0.3585691452026367
25,1768,9.1115,-1.380986213684082
26,1769,10.25125,-0.2412357330322265
27,1770,10.262,-0.2304859161376953
28,1771,10.0765,-0.4159860610961914
29,1772,11.365334,0.8728475570678711
30,1773,10.723,0.2305135726928711
31,1774,10.8885,0.3960142135620117
32,1775,11.27375,0.7812643051147461
33,1776,10.10475,-0.3877363204956054
34,1777,10.1175,-0.3749856948852539
35,1778,11.060833,0.5683469772338867
36,1779,11.134916,0.642430305480957
37,1780,10.713583,0.2210969924926757
38,1781,10.839666,0.3471803665161133
39,1782,10.054417,-0.4380693435668945
40,1783,10.496333,0.0038471221923828
41,1784,10.273583,-0.218902587890625
42,1785,9.4775,-1.0149860382080078
43,1786,9.945167,-0.5473194122314453
44,1787,10.62325,0.1307640075683593
45,1788,10.494416,0.0019302368164062
46,1789,10.682417,0.1899309158325195
47,1790,10.63325,0.1407642364501953
48,1791,11.16375,0.6712636947631836
49,1792,10.4070835,-0.0854024887084961
50,1793,10.270583,-0.221902847290039
51,1794,11.00025,0.5077638626098633
52,1795,10.546667,0.0541810989379882
53,1796,10.6105,0.1180143356323242
54,1797,11.451917,0.959430694580078
55,1798,10.910334,0.4178476333618164
56,1799,9.981334,-0.5111522674560547
57,1800,10.729584,0.2370977401733398
58,1801,11.4071665,0.9146804809570312
59,1802,11.499666,1.0071802139282229
60,1803,10.187917,-0.3045692443847656
61,1804,10.532833,0.0403470993041992
