,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,27.5385,-0.5495796203613281
107,1850,27.491,-0.5970802307128906
108,1851,27.70825,-0.3798294067382812
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,27.4535,-0.6345787048339844
114,1857,27.236546,-0.8515338897705078
115,1858,27.473417,-0.6146621704101562
116,1859,27.882084,-0.2059955596923828
117,1860,27.58475,-0.5033302307128906
118,1861,27.443916,-0.6441631317138672
119,1862,27.182667,-0.9054126739501952
120,1863,27.484667,-0.6034126281738281
121,1864,27.60825,-0.4798297882080078
122,1865,,
123,1866,,
124,1867,,
125,1868,27.248817,-0.8392620086669922
126,1869,27.3585,-0.7295799255371094
127,1870,27.531546,-0.5565338134765625
128,1871,,
129,1872,,
130,1873,27.982445,-0.1056346893310546
131,1874,27.616417,-0.4716625213623047
132,1875,27.206667,-0.8814125061035156
133,1876,27.309584,-0.7784957885742188
134,1877,27.82625,-0.2618293762207031
135,1878,28.014334,-0.0737457275390625
136,1879,27.450834,-0.6372451782226562
137,1880,27.715584,-0.3724956512451172
138,1881,28.1575,0.0694198608398437
139,1882,27.648167,-0.4399127960205078
140,1883,28.116583,0.02850341796875
141,1884,28.36725,0.2791709899902344
142,1885,,
143,1886,27.330917,-0.7571620941162109
144,1887,27.070333,-1.0177459716796875
145,1888,27.103416,-0.9846630096435548
146,1889,27.066833,-1.0212459564208984
147,1890,26.731,-1.3570785522460938
148,1891,27.113916,-0.974163055419922
149,1892,27.315,-0.7730789184570312
150,1893,27.474916,-0.6131629943847656
151,1894,27.188168,-0.8999118804931641
152,1895,27.641333,-0.446746826171875
153,1896,27.4035,-0.6845798492431641
154,1897,27.873,-0.2150802612304687
155,1898,27.535084,-0.5529956817626953
156,1899,28.01825,-0.0698299407958984
157,1900,27.98075,-0.107330322265625
158,1901,27.779083,-0.3089962005615234
159,1902,27.863083,-0.2249965667724609
160,1903,27.376833,-0.7112464904785156
161,1904,27.0795,-1.0085792541503906
162,1905,27.477833,-0.6102466583251953
163,1906,27.823668,-0.2644119262695312
164,1907,27.230583,-0.8574962615966797
165,1908,27.592583,-0.4954967498779297
166,1909,27.34975,-0.7383289337158203
167,1910,28.092417,0.0043373107910156
168,1911,27.24175,-0.8463287353515625
169,1912,28.240417,0.1523380279541015
170,1913,28.436167,0.3480873107910156
171,1914,28.41075,0.3226699829101562
172,1915,28.248167,0.1600875854492187
173,1916,27.752583,-0.3354969024658203
174,1917,28.045334,-0.0427455902099609
175,1918,27.875,-0.2130794525146484
176,1919,28.309166,0.2210865020751953
177,1920,28.106667,0.0185871124267578
178,1921,28.1205,0.0324211120605468
179,1922,28.22675,0.1386699676513672
180,1923,28.113333,0.0252532958984375
181,1924,28.28175,0.1936702728271484
182,1925,28.294167,0.2060871124267578
183,1926,28.539,0.4509201049804687
184,1927,27.84975,-0.2383289337158203
185,1928,28.017,-0.0710792541503906
186,1929,28.089167,0.0010871887207031
187,1930,28.37875,0.2906703948974609
188,1931,28.657167,0.5690879821777344
189,1932,28.3755,0.2874202728271484
190,1933,28.18075,0.0926704406738281
191,1934,28.0055,-0.0825786590576171
192,1935,28.144,0.0559196472167968
193,1936,27.9835,-0.1045799255371093
194,1937,28.612333,0.5242538452148438
195,1938,28.532167,0.4440879821777344
196,1939,28.0975,0.0094203948974609
197,1940,28.6155,0.5274200439453125
198,1941,28.771917,0.683837890625
199,1942,28.467417,0.3793373107910156
200,1943,28.06025,-0.0278301239013671
201,1944,28.551916,0.463836669921875
202,1945,28.134916,0.0468368530273437
203,1946,28.084833,-0.0032463073730468
204,1947,28.71525,0.6271705627441406
205,1948,28.110167,0.0220870971679687
206,1949,28.59675,0.5086708068847656
207,1950,27.77175,-0.3163299560546875
208,1951,28.247168,0.159088134765625
209,1952,27.98,-0.1080799102783203
210,1953,27.999916,-0.0881633758544921
211,1954,27.908,-0.1800785064697265
212,1955,27.819416,-0.2686634063720703
213,1956,27.977583,-0.1104965209960937
214,1957,27.950083,-0.1379966735839843
215,1958,28.492083,0.4040031433105469
216,1959,28.380583,0.2925033569335937
217,1960,28.132084,0.0440044403076171
218,1961,27.8175,-0.2705802917480469
219,1962,27.97475,-0.1133289337158203
220,1963,28.361,0.2729206085205078
221,1964,28.023834,-0.0642452239990234
222,1965,27.89175,-0.196329116821289
223,1966,28.203,0.1149196624755859
224,1967,27.918417,-0.1696624755859375
225,1968,28.122917,0.0348377227783203
226,1969,28.732584,0.6445045471191406
227,1970,28.500917,0.4128379821777344
228,1971,28.2285,0.140420913696289
229,1972,28.332582,0.2445030212402343
230,1973,28.820168,0.7320880889892578
231,1974,28.016167,-0.0719127655029296
232,1975,27.903166,-0.1849136352539062
233,1976,27.770834,-0.3172454833984375
234,1977,28.349583,0.2615032196044922
235,1978,28.445667,0.3575878143310547
236,1979,28.482334,0.3942546844482422
237,1980,28.766834,0.6787548065185547
238,1981,28.4055,0.3174209594726562
239,1982,28.092833,0.0047531127929687
240,1983,28.715084,0.6270046234130859
241,1984,28.628666,0.5405864715576172
242,1985,28.436832,0.3487529754638672
243,1986,28.297832,0.2097530364990234
244,1987,29.163834,1.075754165649414
245,1988,28.43575,0.3476696014404297
246,1989,28.19825,0.1101703643798828
247,1990,28.806334,0.7182540893554688
248,1991,28.459417,0.371337890625
249,1992,28.132,0.0439205169677734
250,1993,28.621084,0.5330047607421875
251,1994,28.039333,-0.048746109008789
252,1995,28.469584,0.3815040588378906
253,1996,28.739084,0.6510047912597656
254,1997,28.569166,0.4810867309570312
255,1998,28.992916,0.904836654663086
256,1999,28.451166,0.3630867004394531
257,2000,28.591417,0.5033378601074219
258,2001,28.732166,0.6440868377685547
259,2002,28.978167,0.8900871276855469
260,2003,28.8835,0.7954196929931641
261,2004,28.989166,0.9010868072509766
262,2005,29.238333,1.1502532958984375
263,2006,28.92025,0.8321704864501953
264,2007,28.98325,0.8951702117919922
265,2008,28.489584,0.4015045166015625
266,2009,29.083,0.9949207305908204
267,2010,29.28875,1.2006702423095703
268,2011,29.060667,0.9725875854492188
269,2012,28.63,0.5419197082519531
270,2013,29.3855,1.2974205017089844
