,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,23.1322,-0.5818576812744141
74,1817,22.370083,-1.343975067138672
75,1818,22.808916,-0.905141830444336
76,1819,22.322332,-1.3917255401611328
77,1820,23.15209,-0.5619678497314453
78,1821,23.382166,-0.3318920135498047
79,1822,23.54025,-0.173807144165039
80,1823,23.542818,-0.1712398529052734
81,1824,,
82,1825,23.640333,-0.0737247467041015
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,23.380667,-0.3333911895751953
91,1834,23.28475,-0.4293079376220703
92,1835,22.306334,-1.407724380493164
93,1836,22.866909,-0.8471488952636719
94,1837,23.139668,-0.5743904113769531
95,1838,24.748428,1.0343704223632812
96,1839,23.873667,0.1596088409423828
97,1840,23.36525,-0.3488082885742187
98,1841,23.702,-0.0120582580566406
99,1842,23.298666,-0.4153919219970703
100,1843,23.366417,-0.3476409912109375
101,1844,22.898417,-0.8156414031982422
102,1845,22.876667,-0.8373908996582031
103,1846,23.231916,-0.4821414947509765
104,1847,22.868166,-0.8458919525146484
105,1848,22.9515,-0.7625579833984375
106,1849,23.030582,-0.6834754943847656
107,1850,23.75609,0.042032241821289
108,1851,23.449455,-0.2646026611328125
109,1852,23.16725,-0.5468082427978516
110,1853,23.554333,-0.1597251892089843
111,1854,23.547667,-0.166391372680664
112,1855,23.421833,-0.2922248840332031
113,1856,23.042084,-0.6719741821289062
114,1857,22.884083,-0.8299751281738281
115,1858,23.4055,-0.3085575103759765
116,1859,23.451666,-0.2623920440673828
117,1860,23.199,-0.5150585174560547
118,1861,23.12025,-0.5938072204589844
119,1862,,
120,1863,23.237333,-0.476724624633789
121,1864,23.081583,-0.6324748992919922
122,1865,23.514584,-0.1994743347167968
123,1866,23.590334,-0.1237239837646484
124,1867,23.547083,-0.1669750213623047
125,1868,23.295,-0.4190578460693359
126,1869,23.093,-0.6210575103759766
127,1870,23.222584,-0.4914741516113281
128,1871,23.477083,-0.2369747161865234
129,1872,23.527916,-0.1861419677734375
130,1873,23.5385,-0.1755580902099609
131,1874,23.385916,-0.3281421661376953
132,1875,23.16875,-0.5453071594238281
133,1876,23.1735,-0.540557861328125
134,1877,23.38725,-0.3268070220947265
135,1878,24.0745,0.3604412078857422
136,1879,23.753834,0.0397758483886718
137,1880,23.369833,-0.3442249298095703
138,1881,23.446417,-0.2676410675048828
139,1882,23.4885,-0.2255573272705078
140,1883,23.19725,-0.5168075561523438
141,1884,22.976084,-0.7379741668701172
142,1885,23.371334,-0.3427238464355469
143,1886,23.499416,-0.2146415710449218
144,1887,23.334417,-0.3796405792236328
145,1888,23.59475,-0.1193084716796875
146,1889,23.9105,0.196441650390625
147,1890,23.428583,-0.2854747772216797
148,1891,23.719,0.0049419403076171
149,1892,23.3495,-0.3645572662353515
150,1893,22.86075,-0.8533077239990234
151,1894,23.472334,-0.2417240142822265
152,1895,23.577,-0.1370582580566406
153,1896,23.75975,0.0456924438476562
154,1897,24.050417,0.3363590240478515
155,1898,23.797916,0.0838584899902343
156,1899,23.444834,-0.2692241668701172
157,1900,24.001917,0.2878589630126953
158,1901,23.92175,0.2076911926269531
159,1902,23.652082,-0.0619754791259765
160,1903,23.665667,-0.0483913421630859
161,1904,23.240334,-0.473724365234375
162,1905,23.252916,-0.4611415863037109
163,1906,23.754084,0.0400257110595703
164,1907,23.450666,-0.2633914947509765
165,1908,23.527416,-0.1866416931152343
166,1909,23.685,-0.0290584564208984
167,1910,23.4595,-0.2545585632324219
168,1911,23.404417,-0.309640884399414
169,1912,23.568666,-0.1453914642333984
170,1913,23.411917,-0.3021411895751953
171,1914,23.454,-0.2600574493408203
172,1915,23.865667,0.1516094207763672
173,1916,23.595333,-0.1187248229980468
174,1917,23.359417,-0.3546409606933594
175,1918,23.288584,-0.4254741668701172
176,1919,24.013834,0.2997760772705078
177,1920,23.8025,0.0884418487548828
178,1921,23.682333,-0.0317249298095703
179,1922,23.964834,0.2507762908935547
180,1923,23.810083,0.0960254669189453
181,1924,24.00375,0.2896919250488281
182,1925,23.384083,-0.3299751281738281
183,1926,23.880417,0.1663589477539062
184,1927,23.537333,-0.1767253875732422
185,1928,23.846333,0.1322746276855468
186,1929,23.71125,-0.0028076171875
187,1930,23.6555,-0.0585575103759765
188,1931,24.191833,0.4777755737304687
189,1932,23.87175,0.1576919555664062
190,1933,23.832,0.1179428100585937
191,1934,23.612083,-0.1019744873046875
192,1935,23.841833,0.1277751922607422
193,1936,23.631916,-0.0821418762207031
194,1937,23.8795,0.1654415130615234
195,1938,23.844334,0.1302757263183593
196,1939,23.85975,0.1456928253173828
197,1940,23.686916,-0.0271415710449218
198,1941,24.071,0.3569412231445312
199,1942,24.181084,0.4670257568359375
200,1943,23.840334,0.1262760162353515
201,1944,24.016582,0.3025245666503906
202,1945,23.890167,0.1761093139648437
203,1946,24.182917,0.4688587188720703
204,1947,24.192417,0.4783592224121094
205,1948,23.67475,-0.0393085479736328
206,1949,23.7055,-0.0085582733154296
207,1950,23.812084,0.0980262756347656
208,1951,23.931168,0.2171096801757812
209,1952,24.096834,0.3827762603759765
210,1953,24.20875,0.4946918487548828
211,1954,24.092583,0.3785247802734375
212,1955,23.7335,0.0194416046142578
213,1956,23.764334,0.0502758026123046
214,1957,24.044834,0.3307762145996094
215,1958,24.223333,0.5092754364013672
216,1959,23.9565,0.242441177368164
217,1960,24.383083,0.6690254211425781
218,1961,24.017916,0.3038578033447265
219,1962,23.953167,0.2391090393066406
220,1963,23.857834,0.1437759399414062
221,1964,24.054,0.3399429321289062
222,1965,23.837,0.1229419708251953
223,1966,24.3955,0.6814422607421875
224,1967,23.807167,0.093109130859375
225,1968,23.86025,0.1461925506591797
226,1969,24.1355,0.4214420318603515
227,1970,23.986084,0.2720260620117187
228,1971,23.515083,-0.198974609375
229,1972,24.124166,0.4101085662841797
230,1973,24.131584,0.4175262451171875
231,1974,23.8545,0.14044189453125
232,1975,23.968082,0.2540245056152344
233,1976,23.767166,0.0531082153320312
234,1977,23.877167,0.1631088256835937
235,1978,24.037666,0.3236083984375
236,1979,24.515667,0.8016090393066406
237,1980,24.319666,0.6056079864501953
238,1981,24.078,0.3639411926269531
239,1982,23.930416,0.2163581848144531
240,1983,23.975584,0.2615261077880859
241,1984,24.051083,0.3370246887207031
242,1985,23.9865,0.2724418640136719
243,1986,24.018417,0.3043594360351562
244,1987,24.35125,0.6371917724609375
245,1988,24.373333,0.6592750549316406
246,1989,24.082916,0.3688583374023437
247,1990,24.062584,0.3485260009765625
248,1991,24.14375,0.4296913146972656
249,1992,23.637,-0.0770587921142578
250,1993,23.856916,0.1428585052490234
251,1994,24.143333,0.4292755126953125
252,1995,24.25525,0.5411930084228516
253,1996,24.108334,0.3942756652832031
254,1997,23.870583,0.156524658203125
255,1998,24.78125,1.0671920776367188
256,1999,24.380167,0.6661090850830078
257,2000,23.930834,0.216775894165039
258,2001,24.32725,0.6131916046142578
259,2002,24.292418,0.5783596038818359
260,2003,24.288084,0.5740261077880859
261,2004,24.10825,0.3941917419433594
262,2005,24.581083,0.8670253753662109
263,2006,24.432167,0.718109130859375
264,2007,24.159666,0.4456081390380859
265,2008,24.175917,0.4618587493896484
266,2009,24.701334,0.9872760772705078
267,2010,24.858667,1.144609451293945
268,2011,24.109333,0.3952751159667969
269,2012,24.734417,1.0203590393066406
270,2013,25.252874,1.5388164520263672
