,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,19.386091,-0.6828784942626953
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,19.144428,-0.924541473388672
115,1858,19.59475,-0.4742202758789062
116,1859,19.69775,-0.3712196350097656
117,1860,19.53,-0.5389690399169922
118,1861,19.2041,-0.8648700714111328
119,1862,,
120,1863,,
121,1864,19.43725,-0.6317195892333984
122,1865,,
123,1866,,
124,1867,,
125,1868,,
126,1869,,
127,1870,,
128,1871,,
129,1872,,
130,1873,,
131,1874,,
132,1875,19.625376,-0.4435939788818359
133,1876,19.405582,-0.6633872985839844
134,1877,19.980167,-0.0888023376464843
135,1878,20.113667,0.0446968078613281
136,1879,,
137,1880,19.454727,-0.6142425537109375
138,1881,19.36,-0.7089691162109375
139,1882,19.525417,-0.5435523986816406
140,1883,19.43225,-0.6367206573486328
141,1884,19.22575,-0.8432197570800781
142,1885,19.521,-0.5479698181152344
143,1886,19.495083,-0.5738868713378906
144,1887,19.333584,-0.7353858947753906
145,1888,19.3363,-0.7326698303222656
146,1889,19.961334,-0.107635498046875
147,1890,19.391167,-0.6778030395507812
148,1891,19.424166,-0.6448040008544922
149,1892,19.760166,-0.3088035583496094
150,1893,19.372168,-0.6968021392822266
151,1894,19.897333,-0.1716365814208984
152,1895,19.8205,-0.2484703063964843
153,1896,19.821583,-0.2473869323730468
154,1897,19.923,-0.1459693908691406
155,1898,20.058,-0.0109691619873046
156,1899,19.851667,-0.2173023223876953
157,1900,20.08075,0.01177978515625
158,1901,20.571667,0.5026969909667969
159,1902,20.209,0.1400299072265625
160,1903,20.187084,0.1181144714355468
161,1904,19.18,-0.8889694213867188
162,1905,19.853582,-0.2153873443603515
163,1906,19.689583,-0.3793869018554687
164,1907,19.619667,-0.4493026733398437
165,1908,19.517,-0.5519695281982422
166,1909,19.270834,-0.7981357574462891
167,1910,19.482334,-0.5866355895996094
168,1911,20.106916,0.0379467010498046
169,1912,20.490417,0.42144775390625
170,1913,20.099583,0.0306129455566406
171,1914,19.962418,-0.1065521240234375
172,1915,20.036833,-0.0321369171142578
173,1916,19.69375,-0.3752193450927734
174,1917,19.517334,-0.5516357421875
175,1918,19.68025,-0.3887195587158203
176,1919,19.88475,-0.1842193603515625
177,1920,19.7955,-0.2734699249267578
178,1921,20.111917,0.042947769165039
179,1922,19.62075,-0.4482192993164062
180,1923,19.571667,-0.4973030090332031
181,1924,20.122,0.0530300140380859
182,1925,19.84325,-0.2257194519042968
183,1926,19.938417,-0.1305522918701172
184,1927,20.197416,0.1284465789794922
185,1928,20.205166,0.1361961364746093
186,1929,19.972834,-0.0961360931396484
187,1930,19.869417,-0.1995525360107422
188,1931,20.353666,0.2846965789794922
189,1932,20.021917,-0.0470523834228515
190,1933,19.961584,-0.1073856353759765
191,1934,19.9985,-0.0704689025878906
192,1935,20.167084,0.098114013671875
193,1936,20.172417,0.1034469604492187
194,1937,19.864834,-0.2041358947753906
195,1938,20.056334,-0.0126361846923828
196,1939,20.012917,-0.0560531616210937
197,1940,20.241917,0.1729469299316406
198,1941,20.646,0.5770301818847656
199,1942,20.110332,0.0413627624511718
200,1943,20.10325,0.034280776977539
201,1944,20.196667,0.1276969909667968
202,1945,20.038084,-0.0308856964111328
203,1946,20.1565,0.0875301361083984
204,1947,19.990667,-0.0783023834228515
205,1948,20.073917,0.0049476623535156
206,1949,20.453167,0.3841972351074219
207,1950,20.043,-0.025970458984375
208,1951,19.903584,-0.1653861999511718
209,1952,20.279167,0.2101974487304687
210,1953,20.188084,0.1191139221191406
211,1954,20.0605,-0.0084705352783203
212,1955,19.961666,-0.1073036193847656
213,1956,19.71775,-0.3512191772460937
214,1957,20.104334,0.0353641510009765
215,1958,20.384666,0.3156967163085937
216,1959,20.154,0.0850296020507812
217,1960,20.024834,-0.0441360473632812
218,1961,20.1335,0.0645294189453125
219,1962,19.813168,-0.2558021545410156
220,1963,19.778334,-0.2906360626220703
221,1964,19.995832,-0.0731372833251953
222,1965,20.07575,0.0067806243896484
223,1966,20.117167,0.048196792602539
224,1967,19.938417,-0.1305522918701172
225,1968,19.9255,-0.1434688568115234
226,1969,20.363417,0.2944469451904297
227,1970,20.054916,-0.0140533447265625
228,1971,19.659082,-0.4098873138427734
229,1972,20.260166,0.1911964416503906
230,1973,20.334417,0.2654476165771484
231,1974,19.94,-0.1289691925048828
232,1975,19.928,-0.140970230102539
233,1976,20.092,0.0230293273925781
234,1977,20.419416,0.3504467010498047
235,1978,20.314,0.2450294494628906
236,1979,20.37625,0.3072795867919922
237,1980,20.577,0.5080299377441406
238,1981,20.41125,0.3422794342041015
239,1982,20.370333,0.3013629913330078
240,1983,20.84575,0.7767810821533203
241,1984,20.309416,0.2404460906982422
242,1985,20.279583,0.2106132507324218
243,1986,20.389584,0.3206138610839844
244,1987,20.96975,0.9007797241210938
245,1988,20.638834,0.5698642730712891
246,1989,20.010916,-0.058053970336914
247,1990,20.409334,0.3403644561767578
248,1991,20.238333,0.1693630218505859
249,1992,20.56825,0.4992809295654297
250,1993,20.483334,0.4143638610839844
251,1994,20.539,0.4700298309326172
252,1995,20.824333,0.7553634643554688
253,1996,20.39575,0.3267803192138672
254,1997,20.78425,0.7152805328369141
255,1998,20.8135,0.7445297241210938
256,1999,20.314,0.2450294494628906
257,2000,20.595833,0.5268630981445312
258,2001,20.510334,0.4413642883300781
259,2002,20.749834,0.6808643341064453
260,2003,20.931334,0.8623638153076172
261,2004,20.960417,0.8914470672607422
262,2005,21.442167,1.3731975555419922
263,2006,21.066334,0.9973640441894532
264,2007,20.580917,0.5119476318359375
265,2008,20.567917,0.4989471435546875
266,2009,20.76425,0.6952800750732422
267,2010,21.06875,0.9997806549072266
268,2011,20.545918,0.4769477844238281
269,2012,20.75425,0.6852798461914062
270,2013,20.86275,0.7937793731689453
