,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,26.567833,-0.0925922393798828
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,25.967556,-0.6928691864013672
97,1840,26.146,-0.5144252777099609
98,1841,26.675583,0.0151576995849609
99,1842,26.337833,-0.3225917816162109
100,1843,26.393167,-0.2672576904296875
101,1844,25.8545,-0.8059253692626953
102,1845,25.428364,-1.2320613861083984
103,1846,26.251583,-0.4088420867919922
104,1847,25.77625,-0.8841743469238281
105,1848,,
106,1849,,
107,1850,26.131083,-0.5293426513671875
108,1851,26.285,-0.3754253387451172
109,1852,26.148916,-0.5115089416503906
110,1853,26.368,-0.2924251556396484
111,1854,26.388,-0.2724246978759765
112,1855,26.22675,-0.4336757659912109
113,1856,25.964417,-0.6960086822509766
114,1857,26.1278,-0.5326251983642578
115,1858,26.312084,-0.3483409881591797
116,1859,26.3245,-0.3359260559082031
117,1860,26.14175,-0.5186748504638672
118,1861,26.038166,-0.6222591400146484
119,1862,,
120,1863,26.079166,-0.5812587738037109
121,1864,25.945168,-0.7152576446533203
122,1865,26.3675,-0.2929248809814453
123,1866,26.349833,-0.3105926513671875
124,1867,26.318,-0.3424243927001953
125,1868,26.5185,-0.1419258117675781
126,1869,26.00725,-0.6531753540039062
127,1870,25.967167,-0.6932582855224609
128,1871,26.095833,-0.5645923614501953
129,1872,26.3485,-0.3119258880615234
130,1873,26.407667,-0.2527580261230469
131,1874,26.467667,-0.192758560180664
132,1875,25.987333,-0.6730918884277344
133,1876,25.849916,-0.8105087280273438
134,1877,26.552668,-0.107757568359375
135,1878,26.918417,0.2579917907714844
136,1879,26.342333,-0.3180923461914062
137,1880,26.22725,-0.433176040649414
138,1881,26.413166,-0.2472591400146484
139,1882,26.3055,-0.3549251556396484
140,1883,26.091167,-0.5692577362060547
141,1884,25.854834,-0.8055915832519531
142,1885,26.309416,-0.3510093688964844
143,1886,26.178833,-0.4815921783447265
144,1887,25.920084,-0.7403411865234375
145,1888,26.505833,-0.1545925140380859
146,1889,26.604084,-0.0563411712646484
147,1890,26.251667,-0.4087581634521484
148,1891,26.4675,-0.1929244995117187
149,1892,25.849333,-0.8110923767089844
150,1893,25.836834,-0.8235912322998047
151,1894,26.068916,-0.5915088653564453
152,1895,26.403084,-0.2573413848876953
153,1896,26.422,-0.2384243011474609
154,1897,26.728582,0.0681571960449218
155,1898,26.241583,-0.4188423156738281
156,1899,26.160917,-0.4995079040527344
157,1900,26.63125,-0.0291748046875
158,1901,26.473667,-0.1867580413818359
159,1902,26.595833,-0.0645923614501953
160,1903,26.576834,-0.0835914611816406
161,1904,26.07075,-0.5896759033203125
162,1905,26.650917,-0.0095081329345703
163,1906,26.618334,-0.0420913696289062
164,1907,26.29975,-0.3606758117675781
165,1908,26.343334,-0.3170909881591797
166,1909,26.523333,-0.1370925903320312
167,1910,26.5055,-0.1549243927001953
168,1911,26.653917,-0.0065078735351562
169,1912,26.71,0.0495738983154296
170,1913,26.390917,-0.2695083618164062
171,1914,26.806084,0.1456584930419922
172,1915,26.814417,0.15399169921875
173,1916,26.077084,-0.5833415985107422
174,1917,26.04875,-0.6116752624511719
175,1918,26.212584,-0.4478416442871094
176,1919,26.868166,0.2077407836914062
177,1920,26.586416,-0.0740089416503906
178,1921,26.316668,-0.3437576293945312
179,1922,26.575,-0.0854244232177734
180,1923,26.45375,-0.206674575805664
181,1924,26.563168,-0.0972576141357421
182,1925,26.343666,-0.3167591094970703
183,1926,26.844584,0.1841583251953125
184,1927,26.522417,-0.1380081176757812
185,1928,26.42525,-0.2351760864257812
186,1929,26.337084,-0.3233413696289062
187,1930,26.51875,-0.1416759490966797
188,1931,26.981333,0.3209075927734375
189,1932,26.54525,-0.1151752471923828
190,1933,26.668333,0.0079078674316406
191,1934,26.396334,-0.2640914916992187
192,1935,27.09725,0.4368247985839844
193,1936,26.83875,0.1783256530761718
194,1937,27.083166,0.4227409362792969
195,1938,26.685917,0.025491714477539
196,1939,26.58775,-0.0726757049560546
197,1940,26.972166,0.3117408752441406
198,1941,27.5945,0.9340744018554688
199,1942,26.872583,0.212158203125
200,1943,26.3615,-0.2989253997802734
201,1944,26.877666,0.2172412872314453
202,1945,26.66725,0.0068244934082031
203,1946,27.202084,0.5416584014892578
204,1947,27.076416,0.4159908294677734
205,1948,26.769667,0.1092414855957031
206,1949,26.983917,0.3234920501708984
207,1950,26.78925,0.128824234008789
208,1951,26.835667,0.175241470336914
209,1952,26.915333,0.2549076080322265
210,1953,27.100584,0.4401588439941406
211,1954,26.94375,0.2833251953125
212,1955,26.671667,0.0112419128417968
213,1956,26.524166,-0.1362590789794922
214,1957,26.970583,0.3101577758789062
215,1958,27.206417,0.5459918975830078
216,1959,27.304333,0.6439075469970703
217,1960,27.172417,0.5119915008544922
218,1961,26.9765,0.3160743713378906
219,1962,26.699333,0.0389080047607421
220,1963,26.6825,0.0220756530761718
221,1964,27.014166,0.3537406921386719
222,1965,26.92125,0.2608242034912109
223,1966,27.380083,0.7196578979492188
224,1967,26.65475,-0.0056743621826171
225,1968,27.008917,0.3484916687011719
226,1969,27.265417,0.6049919128417969
227,1970,27.008583,0.3481578826904297
228,1971,26.363916,-0.2965087890625
229,1972,26.992916,0.3324909210205078
230,1973,27.228916,0.5684909820556641
231,1974,26.732416,0.071990966796875
232,1975,26.8015,0.1410751342773437
233,1976,26.647667,-0.0127582550048828
234,1977,26.919584,0.2591590881347656
235,1978,27.027,0.3665752410888672
236,1979,27.247583,0.587158203125
237,1980,27.207083,0.5466575622558594
238,1981,27.06525,0.404825210571289
239,1982,26.947834,0.2874088287353515
240,1983,27.194584,0.5341587066650391
241,1984,26.80175,0.1413249969482422
242,1985,26.968666,0.3082408905029297
243,1986,26.806833,0.1464080810546875
244,1987,27.366667,0.7062416076660156
245,1988,27.11675,0.4563255310058594
246,1989,26.962667,0.3022422790527344
247,1990,27.259333,0.598907470703125
248,1991,27.201416,0.5409908294677734
249,1992,27.0705,0.410074234008789
250,1993,26.90825,0.2478256225585937
251,1994,27.123083,0.4626579284667969
252,1995,27.080416,0.4199905395507812
253,1996,26.838833,0.1784076690673828
254,1997,27.219334,0.5589084625244141
255,1998,27.956833,1.296407699584961
256,1999,26.83475,0.1743240356445312
257,2000,27.057167,0.3967418670654297
258,2001,27.245832,0.5854072570800781
259,2002,27.555416,0.8949909210205078
260,2003,27.299417,0.6389923095703125
261,2004,27.179417,0.5189914703369141
262,2005,27.39,0.7295742034912109
263,2006,27.413918,0.7534923553466797
264,2007,27.241833,0.5814075469970703
265,2008,26.897083,0.2366580963134765
266,2009,27.25275,0.5923252105712891
267,2010,27.87525,1.214824676513672
268,2011,27.0035,0.3430747985839844
269,2012,27.80625,1.1458244323730469
270,2013,28.259624,1.599199295043945
