,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,22.975857,-1.3688392639160156
115,1858,23.7725,-0.5721969604492188
116,1859,23.7082,-0.6364955902099609
117,1860,23.926455,-0.4182415008544922
118,1861,23.6412,-0.7034969329833984
119,1862,,
120,1863,,
121,1864,,
122,1865,,
123,1866,,
124,1867,,
125,1868,,
126,1869,,
127,1870,,
128,1871,,
129,1872,,
130,1873,24.132,-0.2126960754394531
131,1874,24.021181,-0.3235149383544922
132,1875,23.7065,-0.6381969451904297
133,1876,23.822779,-0.5219173431396484
134,1877,24.217,-0.1276969909667968
135,1878,24.192667,-0.1520290374755859
136,1879,23.49175,-0.8529453277587891
137,1880,23.612083,-0.7326126098632812
138,1881,23.951916,-0.3927803039550781
139,1882,23.752333,-0.5923633575439453
140,1883,23.940916,-0.4037799835205078
141,1884,23.631666,-0.7130298614501953
142,1885,23.810333,-0.53436279296875
143,1886,23.68825,-0.6564464569091797
144,1887,23.187666,-1.1570301055908203
145,1888,23.549833,-0.7948627471923828
146,1889,23.882334,-0.4623622894287109
147,1890,22.91275,-1.43194580078125
148,1891,23.433083,-0.9116134643554688
149,1892,23.604918,-0.7397785186767578
150,1893,23.51125,-0.8334465026855469
151,1894,23.74575,-0.5989456176757812
152,1895,23.794834,-0.5498619079589844
153,1896,23.776167,-0.5685291290283203
154,1897,24.151333,-0.1933631896972656
155,1898,23.70875,-0.6359462738037109
156,1899,24.136833,-0.2078628540039062
157,1900,24.123333,-0.2213630676269531
158,1901,24.449833,0.1051368713378906
159,1902,23.89725,-0.4474468231201172
160,1903,23.812666,-0.5320301055908203
161,1904,23.156166,-1.1885299682617188
162,1905,23.999666,-0.3450298309326172
163,1906,23.86375,-0.4809455871582031
164,1907,23.803417,-0.5412788391113281
165,1908,23.78625,-0.5584468841552734
166,1909,23.71175,-0.6329460144042969
167,1910,23.645,-0.6996955871582031
168,1911,23.714666,-0.6300296783447266
169,1912,24.331583,-0.0131130218505859
170,1913,24.503166,0.1584701538085937
171,1914,24.727083,0.3823871612548828
172,1915,24.543583,0.1988868713378906
173,1916,24.122334,-0.2223625183105468
174,1917,24.447332,0.1026363372802734
175,1918,24.054832,-0.2898635864257812
176,1919,24.620417,0.2757205963134765
177,1920,23.903,-0.4416961669921875
178,1921,24.38125,0.0365543365478515
179,1922,24.236584,-0.1081123352050781
180,1923,24.175083,-0.1696128845214843
181,1924,24.66125,0.3165531158447265
182,1925,24.12325,-0.2214469909667968
183,1926,24.5865,0.2418041229248047
184,1927,24.595833,0.2511367797851562
185,1928,24.400583,0.055887222290039
186,1929,24.207666,-0.1370296478271484
187,1930,24.430916,0.0862197875976562
188,1931,24.948084,0.6033878326416016
189,1932,24.481583,0.1368865966796875
190,1933,24.803083,0.4583873748779297
191,1934,24.39425,0.0495548248291015
192,1935,24.650417,0.3057212829589844
193,1936,24.70775,0.3630542755126953
194,1937,24.7475,0.4028034210205078
195,1938,24.899834,0.5551376342773438
196,1939,24.367167,0.022470474243164
197,1940,24.5065,0.16180419921875
198,1941,25.1055,0.76080322265625
199,1942,24.958834,0.6141376495361328
200,1943,24.3875,0.0428047180175781
201,1944,24.691416,0.346719741821289
202,1945,24.768,0.4233036041259765
203,1946,24.585167,0.2404708862304687
204,1947,24.782,0.4373035430908203
205,1948,24.440416,0.0957202911376953
206,1949,24.677084,0.3323879241943359
207,1950,24.43275,0.0880546569824218
208,1951,24.407417,0.0627212524414062
209,1952,24.455667,0.110971450805664
210,1953,24.414333,0.0696372985839843
211,1954,24.20125,-0.1434459686279297
212,1955,24.116667,-0.2280292510986328
213,1956,24.13325,-0.2114467620849609
214,1957,24.4585,0.1138038635253906
215,1958,24.592667,0.2479705810546875
216,1959,24.512667,0.1679706573486328
217,1960,24.50775,0.1630535125732422
218,1961,24.253916,-0.0907802581787109
219,1962,24.363167,0.0184707641601562
220,1963,24.553833,0.209136962890625
221,1964,24.292084,-0.0526123046875
222,1965,24.334917,-0.0097789764404296
223,1966,24.499166,0.1544704437255859
224,1967,24.3655,0.0208034515380859
225,1968,24.355833,0.0111370086669921
226,1969,24.655,0.3103046417236328
227,1970,24.610416,0.2657203674316406
228,1971,24.252167,-0.092529296875
229,1972,24.532583,0.1878871917724609
230,1973,24.907583,0.5628871917724609
231,1974,24.231833,-0.112863540649414
232,1975,24.23025,-0.1144466400146484
233,1976,24.294083,-0.0506134033203125
234,1977,24.681168,0.3364715576171875
235,1978,24.50725,0.1625537872314453
236,1979,24.786917,0.4422206878662109
237,1980,24.76875,0.4240531921386719
238,1981,24.300417,-0.0442790985107421
239,1982,24.296083,-0.0486125946044921
240,1983,24.676332,0.3316364288330078
241,1984,24.483334,0.1386375427246093
242,1985,24.375084,0.0303878784179687
243,1986,24.506916,0.1622200012207031
244,1987,25.019333,0.6746368408203125
245,1988,24.677,0.3323040008544922
246,1989,24.21875,-0.125946044921875
247,1990,24.889668,0.5449714660644531
248,1991,24.733833,0.3891372680664062
249,1992,24.297333,-0.04736328125
250,1993,24.66225,0.3175544738769531
251,1994,24.631666,0.2869701385498047
252,1995,24.818,0.4733047485351562
253,1996,24.70075,0.3560543060302734
254,1997,24.817333,0.4726371765136719
255,1998,25.323084,0.9783878326416016
256,1999,24.656166,0.3114700317382812
257,2000,24.613,0.2683048248291015
258,2001,24.651917,0.307220458984375
259,2002,24.95025,0.6055545806884766
260,2003,25.012333,0.6676368713378906
261,2004,25.170834,0.8261375427246094
262,2005,25.267834,0.923137664794922
263,2006,25.293417,0.948720932006836
264,2007,25.209833,0.8651371002197266
265,2008,25.121084,0.7763881683349609
266,2009,25.407333,1.0626373291015625
267,2010,25.46475,1.1200542449951172
268,2011,24.876583,0.5318870544433594
269,2012,24.877,0.5323047637939453
270,2013,25.307625,0.9629287719726562
