,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,-3.427875,1.7477946281433103
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,-4.2108335,0.9648361206054688
33,1776,-5.41175,-0.2360801696777343
34,1777,-5.4174166,-0.2417469024658203
35,1778,-8.7756,-3.599930763244629
36,1779,-5.0990834,0.0765862464904785
37,1780,-1.766625,3.409044623374939
38,1781,,
39,1782,-7.015,-1.8393301963806152
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,0.7927143,5.968383967876434
54,1797,-9.42,-4.244330406188965
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,-7.0410833,-1.8654136657714844
70,1813,-3.3954444,1.7802252769470217
71,1814,,
72,1815,-6.4095,-1.233830451965332
73,1816,-10.973625,-5.797955513000488
74,1817,-6.629667,-1.4539971351623535
75,1818,-7.9931,-2.8174304962158203
76,1819,,
77,1820,-6.1716666,-0.9959969520568848
78,1821,-5.5603333,-0.3846635818481445
79,1822,-5.8201666,-0.6444969177246094
80,1823,-6.3234167,-1.147747039794922
81,1824,-5.171583,0.0040864944458007
82,1825,-5.1515,0.0241694450378417
83,1826,-5.1655,0.010169506072998
84,1827,-4.64575,0.5299196243286133
85,1828,-5.096833,0.078836441040039
86,1829,-5.794417,-0.6187472343444824
87,1830,-4.8688335,0.3068361282348633
88,1831,-5.775,-0.5993304252624512
89,1832,-5.9278336,-0.7521638870239258
90,1833,-5.2483335,-0.0726637840270996
91,1834,-5.5074167,-0.3317470550537109
92,1835,-6.423333,-1.247663497924805
93,1836,-6.0680833,-0.8924136161804199
94,1837,-6.02775,-0.8520803451538086
95,1838,-6.23225,-1.0565805435180664
96,1839,-5.2619166,-0.0862469673156738
97,1840,-5.6524167,-0.4767470359802246
98,1841,-5.715,-0.5393304824829102
99,1842,-5.4089165,-0.2332468032836914
100,1843,-6.10775,-0.9320802688598632
101,1844,-6.2556667,-1.0799970626831057
102,1845,-5.8905,-0.7148303985595703
103,1846,-4.5480833,0.6275863647460938
104,1847,-5.7246666,-0.5489969253540039
105,1848,-5.93175,-0.756080150604248
106,1849,-6.0695834,-0.893913745880127
107,1850,-5.53625,-0.3605804443359375
108,1851,-5.337917,-0.1622471809387207
109,1852,-5.358,-0.1823301315307617
110,1853,-5.5909166,-0.4152469635009765
111,1854,-5.54575,-0.3700804710388183
112,1855,-5.7780833,-0.6024136543273926
113,1856,-5.46375,-0.2880802154541015
114,1857,-5.626583,-0.4509134292602539
115,1858,-5.74625,-0.5705804824829102
116,1859,-5.90575,-0.7300801277160645
117,1860,-5.5,-0.3243303298950195
118,1861,-5.7914166,-0.6157469749450684
119,1862,-6.4155,-1.239830493927002
120,1863,-5.6631665,-0.4874968528747558
121,1864,-5.450917,-0.2752470970153808
122,1865,-5.56775,-0.3920803070068359
123,1866,-5.9679165,-0.7922468185424805
124,1867,-5.723,-0.547330379486084
125,1868,-5.805,-0.6293301582336426
126,1869,-5.2675,-0.0918302536010742
127,1870,-4.9536667,0.2220029830932617
128,1871,-5.5599165,-0.384246826171875
129,1872,-5.3505836,-0.1749138832092285
130,1873,-5.60925,-0.4335803985595703
131,1874,-5.387,-0.2113304138183593
132,1875,-6.742,-1.5663304328918457
133,1876,-5.9825835,-0.8069138526916504
134,1877,-4.2320833,0.9435863494873048
135,1878,-3.5845,1.5911695957183838
136,1879,-5.9084167,-0.7327470779418945
137,1880,-6.2574167,-1.081747055053711
138,1881,-5.4774165,-0.3017468452453613
139,1882,-5.717417,-0.5417470932006836
140,1883,-6.40525,-1.2295804023742676
141,1884,-6.6605,-1.484830379486084
142,1885,-5.717,-0.5413303375244141
143,1886,-6.162,-0.986330509185791
144,1887,-6.8946667,-1.7189970016479492
145,1888,-6.0145,-0.8388304710388184
146,1889,-4.999417,0.1762528419494629
147,1890,-6.45475,-1.2790803909301758
148,1891,-5.629667,-0.4539971351623535
149,1892,-5.3380833,-0.1624135971069336
150,1893,-6.273083,-1.0974135398864746
151,1894,-5.80125,-0.6255803108215332
152,1895,-5.4525833,-0.2769136428833008
153,1896,-6.0174165,-0.8417468070983887
154,1897,-5.948,-0.7723302841186523
155,1898,-5.4473333,-0.2716636657714844
156,1899,-6.1385,-0.9628305435180664
157,1900,-5.01875,0.1569194793701172
158,1901,-5.05225,0.1234197616577148
159,1902,-5.1709166,0.0047531127929687
160,1903,-5.302583,-0.1269135475158691
161,1904,-5.905083,-0.7294135093688965
162,1905,-5.1064167,0.0692529678344726
163,1906,-5.0494165,0.1262531280517578
164,1907,-6.563083,-1.387413501739502
165,1908,-5.2414165,-0.065746784210205
166,1909,-5.907833,-0.7321634292602539
167,1910,-5.078417,0.0972528457641601
168,1911,-5.5368333,-0.3611636161804199
169,1912,-5.2330832,-0.0574135780334472
170,1913,-5.774667,-0.5989971160888672
171,1914,-5.778167,-0.6024971008300781
172,1915,-4.1731668,1.0025029182434082
173,1916,-5.4701667,-0.294497013092041
174,1917,-6.369583,-1.193913459777832
175,1918,-5.95075,-0.7750802040100098
176,1919,-5.369583,-0.193913459777832
177,1920,-4.9105835,0.2650861740112304
178,1921,-4.7504168,0.4252529144287109
179,1922,-5.726,-0.5503301620483398
180,1923,-5.2769165,-0.1012468338012695
181,1924,-4.8601665,0.3155031204223633
182,1925,-5.264167,-0.0884971618652343
183,1926,-4.9750834,0.2005863189697265
184,1927,-5.3595834,-0.1839137077331543
185,1928,-4.2864165,0.8892531394958496
186,1929,-5.461583,-0.2859134674072265
187,1930,-4.3615,0.8141698837280273
188,1931,-3.6489167,1.5267529487609863
189,1932,-5.1725,0.0031695365905761
190,1933,-6.1161666,-0.9404969215393066
191,1934,-5.2071667,-0.0314970016479492
192,1935,-5.55725,-0.3815803527832031
193,1936,-5.9719167,-0.7962470054626465
194,1937,-4.545833,0.6298365592956543
195,1938,-4.0253334,1.1503362655639648
196,1939,-4.9181666,0.2575030326843261
197,1940,-3.97875,1.1969196796417236
198,1941,-4.417333,0.7583365440368652
199,1942,-4.3028336,0.8728361129760742
200,1943,-4.576083,0.5995864868164062
201,1944,-3.8503335,1.325336217880249
202,1945,-5.003667,0.1720027923583984
203,1946,-5.049333,0.1263365745544433
204,1947,-4.4029164,0.7727532386779785
205,1948,-4.888,0.2876696586608886
206,1949,-4.948583,0.2270865440368652
207,1950,-5.9529166,-0.7772469520568848
208,1951,-5.3931665,-0.2174968719482422
209,1952,-3.9846666,1.1910030841827393
210,1953,-3.9576666,1.2180030345916748
211,1954,-4.7261667,0.449502944946289
212,1955,-4.945,0.2306694984436035
213,1956,-5.61775,-0.4420804977416992
214,1957,-5.0079165,0.1677532196044922
215,1958,-4.26225,0.9134197235107422
216,1959,-5.228,-0.0523304939270019
217,1960,-4.406833,0.768836498260498
218,1961,-5.0681667,0.1075029373168945
219,1962,-4.873833,0.3018364906311035
220,1963,-4.6120834,0.5635862350463867
221,1964,-5.457,-0.2813301086425781
222,1965,-5.516667,-0.3409972190856933
223,1966,-5.141333,0.0343365669250488
224,1967,-5.2820835,-0.1064138412475586
225,1968,-4.64575,0.5299196243286133
226,1969,-4.502333,0.6733365058898926
227,1970,-5.1031666,0.0725030899047851
228,1971,-4.869583,0.3060865402221679
229,1972,-6.8029165,-1.6272468566894531
230,1973,-4.1795,0.9961695671081544
231,1974,-5.6410832,-0.4654135704040527
232,1975,-4.945667,0.2300028800964355
233,1976,-4.7904167,0.3852529525756836
234,1977,-3.84075,1.3349196910858154
235,1978,-5.3005,-0.1248302459716796
236,1979,-5.00575,0.1699194908142089
237,1980,-4.416917,0.7587528228759766
238,1981,-2.86725,2.308419704437256
239,1982,-5.875167,-0.6994972229003906
240,1983,-4.75175,0.423919677734375
241,1984,-4.63425,0.541419506072998
242,1985,-4.9011664,0.274503231048584
243,1986,-4.843917,0.3317527770996094
244,1987,-3.3433332,1.83233642578125
245,1988,-4.125167,1.0505027770996094
246,1989,-5.0733333,0.1023364067077636
247,1990,-5.021917,0.1537528038024902
248,1991,-4.4266667,0.7490029335021973
249,1992,-4.9289165,0.2467532157897949
250,1993,-4.4015,0.7741694450378418
251,1994,-4.4336667,0.7420029640197754
252,1995,-4.3143334,0.8613362312316895
253,1996,-4.941167,0.2345027923583984
254,1997,-4.2315,0.9441695213317872
255,1998,-2.5539167,2.621752977371216
256,1999,-3.1863334,1.9893362522125244
257,2000,-4.0259166,1.1497530937194824
258,2001,-3.1000834,2.0755863189697266
259,2002,-4.3628335,0.8128361701965332
260,2003,-3.8595,1.3161697387695312
261,2004,-4.9230833,0.2525863647460937
262,2005,-3.30875,1.866919755935669
263,2006,-2.4601667,2.715502977371216
264,2007,-4.060917,1.1147527694702148
265,2008,-4.29525,0.8804197311401367
266,2009,-4.135083,1.0405864715576172
267,2010,-1.8879167,3.2877529859542847
268,2011,-3.5570834,1.6185863018035889
269,2012,-3.1768334,1.9988362789154053
270,2013,-1.6406667,3.5350029468536377
