,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,23.634832,-0.5601806640625
107,1850,23.560833,-0.6341800689697266
108,1851,23.777584,-0.417428970336914
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,23.644167,-0.5508460998535156
114,1857,23.484272,-0.7107410430908203
115,1858,23.560167,-0.6348457336425781
116,1859,24.0375,-0.1575126647949218
117,1860,23.543833,-0.6511802673339844
118,1861,23.625166,-0.5698471069335938
119,1862,23.3255,-0.8695125579833984
120,1863,23.362917,-0.8320960998535156
121,1864,23.770916,-0.4240970611572265
122,1865,23.98825,-0.2067623138427734
123,1866,,
124,1867,,
125,1868,23.767365,-0.4276485443115234
126,1869,24.4063,0.2112865447998047
127,1870,24.125727,-0.0692863464355468
128,1871,,
129,1872,,
130,1873,25.181334,0.9863204956054688
131,1874,23.5465,-0.6485137939453125
132,1875,23.3795,-0.8155136108398438
133,1876,23.846582,-0.3484306335449219
134,1877,23.8885,-0.3065128326416015
135,1878,24.246834,0.0518207550048828
136,1879,23.7685,-0.426513671875
137,1880,23.616333,-0.5786800384521484
138,1881,23.785181,-0.4098320007324219
139,1882,23.977083,-0.2179298400878906
140,1883,23.967455,-0.2275581359863281
141,1884,23.312666,-0.8823471069335938
142,1885,23.27325,-0.921762466430664
143,1886,23.323416,-0.8715972900390625
144,1887,23.531334,-0.6636791229248047
145,1888,23.9145,-0.2805137634277344
146,1889,23.3155,-0.8795127868652344
147,1890,23.5735,-0.6215133666992188
148,1891,23.9155,-0.2795124053955078
149,1892,24.243917,0.0489044189453125
150,1893,24.213333,0.018320083618164
151,1894,23.575666,-0.6193466186523438
152,1895,23.965,-0.2300128936767578
153,1896,24.46575,0.2707366943359375
154,1897,24.271084,0.0760707855224609
155,1898,23.944416,-0.2505970001220703
156,1899,24.815834,0.6208209991455078
157,1900,24.051083,-0.143930435180664
158,1901,24.214167,0.0191535949707031
159,1902,24.15125,-0.04376220703125
160,1903,23.869083,-0.3259296417236328
161,1904,23.542833,-0.6521797180175781
162,1905,23.794167,-0.4008464813232422
163,1906,23.995916,-0.1990966796875
164,1907,23.261333,-0.9336795806884766
165,1908,23.53125,-0.6637630462646484
166,1909,23.88425,-0.3107624053955078
167,1910,24.368084,0.1730709075927734
168,1911,23.674084,-0.5209293365478516
169,1912,23.907,-0.2880134582519531
170,1913,23.51225,-0.6827621459960938
171,1914,23.795834,-0.399179458618164
172,1915,24.512833,0.317819595336914
173,1916,23.89725,-0.2977638244628906
174,1917,23.89025,-0.3047637939453125
175,1918,23.793333,-0.4016799926757812
176,1919,24.369,0.1739864349365234
177,1920,23.5005,-0.6945133209228516
178,1921,23.90575,-0.2892627716064453
179,1922,23.9425,-0.2525138854980469
180,1923,23.991583,-0.20343017578125
181,1924,24.044083,-0.1509304046630859
182,1925,24.067917,-0.1270961761474609
183,1926,24.900417,0.7054042816162109
184,1927,24.4865,0.2914867401123047
185,1928,24.1285,-0.0665130615234375
186,1929,24.347334,0.1523208618164062
187,1930,24.01225,-0.1827621459960937
188,1931,24.116417,-0.0785961151123046
189,1932,24.30825,0.1132373809814453
190,1933,23.684917,-0.5100955963134766
191,1934,23.493668,-0.7013454437255859
192,1935,23.7815,-0.41351318359375
193,1936,24.939333,0.7443199157714844
194,1937,24.926167,0.7311534881591797
195,1938,24.208918,0.0139045715332031
196,1939,24.093334,-0.1016788482666015
197,1940,24.654917,0.4599037170410156
198,1941,24.13575,-0.0592632293701171
199,1942,23.998917,-0.1960964202880859
200,1943,23.9625,-0.232513427734375
201,1944,24.220167,0.0251541137695312
202,1945,24.551834,0.356821060180664
203,1946,24.193916,-0.0010967254638671
204,1947,24.037666,-0.1573467254638672
205,1948,24.142084,-0.0529289245605468
206,1949,24.129168,-0.0658454895019531
207,1950,24.341333,0.1463203430175781
208,1951,24.065916,-0.1290969848632812
209,1952,24.045,-0.1500129699707031
210,1953,24.326666,0.13165283203125
211,1954,23.856167,-0.338846206665039
212,1955,24.500334,0.3053207397460937
213,1956,23.955416,-0.2395973205566406
214,1957,23.934834,-0.2601795196533203
215,1958,24.527334,0.3323211669921875
216,1959,23.761917,-0.4330959320068359
217,1960,23.973167,-0.2218456268310547
218,1961,24.292833,0.0978202819824218
219,1962,24.473833,0.2788200378417969
220,1963,24.468416,0.2734031677246094
221,1964,24.225166,0.0301532745361328
222,1965,23.938168,-0.256845474243164
223,1966,24.476418,0.2814044952392578
224,1967,24.034666,-0.1603469848632812
225,1968,23.884417,-0.3105964660644531
226,1969,24.96625,0.7712364196777344
227,1970,24.738417,0.5434036254882812
228,1971,24.013834,-0.1811790466308593
229,1972,24.034166,-0.1608467102050781
230,1973,24.451584,0.256570816040039
231,1974,23.690584,-0.5044288635253906
232,1975,24.033417,-0.1615962982177734
233,1976,24.043833,-0.1511802673339843
234,1977,24.48525,0.2902374267578125
235,1978,24.586834,0.3918209075927734
236,1979,24.931833,0.7368202209472656
237,1980,24.73325,0.5382366180419922
238,1981,24.634083,0.4390697479248047
239,1982,24.190332,-0.0046806335449218
240,1983,24.748,0.5529861450195312
241,1984,24.375166,0.1801528930664062
242,1985,24.343666,0.1486530303955078
243,1986,24.19075,-0.0042629241943359
244,1987,24.926,0.730987548828125
245,1988,24.618334,0.4233207702636719
246,1989,24.567583,0.3725700378417969
247,1990,24.745333,0.5503196716308594
248,1991,24.631416,0.4364032745361328
249,1992,24.68225,0.4872360229492187
250,1993,24.449667,0.2546539306640625
251,1994,24.458834,0.2638206481933594
252,1995,25.167334,0.972320556640625
253,1996,25.230667,1.035654067993164
254,1997,25.306168,1.111154556274414
255,1998,25.373667,1.1786537170410156
256,1999,24.627,0.4319877624511719
257,2000,24.715918,0.520904541015625
258,2001,25.285583,1.0905704498291016
259,2002,25.104666,0.9096527099609376
260,2003,24.825666,0.6306533813476562
261,2004,24.892916,0.6979026794433594
262,2005,25.133,0.9379863739013672
263,2006,25.068417,0.8734035491943359
264,2007,24.793667,0.5986537933349609
265,2008,24.96975,0.7747364044189453
266,2009,24.599083,0.4040699005126953
267,2010,25.832417,1.6374034881591797
268,2011,25.308834,1.113821029663086
269,2012,25.1035,0.9084873199462892
270,2013,24.5305,0.3354873657226562
