,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,25.98125,-0.7423458099365234
81,1824,26.948166,0.2245693206787109
82,1825,26.681917,-0.0416793823242187
83,1826,26.870583,0.1469860076904297
84,1827,27.439,0.7154026031494141
85,1828,27.056833,0.3332366943359375
86,1829,26.281918,-0.4416790008544922
87,1830,27.008917,0.2853202819824219
88,1831,26.094334,-0.6292629241943359
89,1832,26.193333,-0.5302639007568359
90,1833,26.525167,-0.1984291076660156
91,1834,26.853834,0.1302375793457031
92,1835,25.805834,-0.9177627563476562
93,1836,26.16125,-0.562347412109375
94,1837,26.176167,-0.5474300384521484
95,1838,25.825916,-0.8976802825927734
96,1839,26.2025,-0.5210971832275391
97,1840,26.240084,-0.4835128784179687
98,1841,25.979666,-0.7439308166503906
99,1842,26.392,-0.3315963745117187
100,1843,26.193333,-0.5302639007568359
101,1844,25.80225,-0.9213466644287108
102,1845,25.708,-1.0155963897705078
103,1846,26.506834,-0.2167625427246093
104,1847,26.3185,-0.4050960540771484
105,1848,26.41375,-0.3098468780517578
106,1849,26.977667,0.2540702819824219
107,1850,26.7615,0.03790283203125
108,1851,26.380583,-0.3430137634277344
109,1852,26.172,-0.5515956878662109
110,1853,26.152584,-0.5710124969482422
111,1854,26.121584,-0.6020126342773438
112,1855,26.178417,-0.5451793670654297
113,1856,26.55675,-0.1668472290039062
114,1857,25.848583,-0.8750133514404297
115,1858,26.101583,-0.6220130920410156
116,1859,26.40025,-0.3233470916748047
117,1860,26.176167,-0.5474300384521484
118,1861,26.657583,-0.0660133361816406
119,1862,26.627083,-0.0965137481689453
120,1863,26.444166,-0.2794303894042969
121,1864,25.942917,-0.7806797027587891
122,1865,26.528084,-0.1955127716064453
123,1866,26.23175,-0.4918460845947265
124,1867,26.551167,-0.1724300384521484
125,1868,26.415,-0.3085956573486328
126,1869,27.20425,0.4806537628173828
127,1870,26.496166,-0.2274303436279297
128,1871,26.3295,-0.3940963745117187
129,1872,26.477833,-0.2457637786865234
130,1873,26.122917,-0.6006793975830078
131,1874,26.539167,-0.1844291687011718
132,1875,26.668417,-0.0551795959472656
133,1876,26.542166,-0.1814308166503906
134,1877,26.717333,-0.0062637329101562
135,1878,27.121666,0.3980693817138672
136,1879,26.429667,-0.2939300537109375
137,1880,26.7485,0.0249042510986328
138,1881,26.602583,-0.1210136413574218
139,1882,26.63625,-0.0873470306396484
140,1883,26.8085,0.0849037170410156
141,1884,26.331583,-0.3920135498046875
142,1885,26.195333,-0.5282630920410156
143,1886,25.96125,-0.7623462677001953
144,1887,25.988333,-0.7352638244628906
145,1888,26.126083,-0.5975131988525391
146,1889,26.39025,-0.3333473205566406
147,1890,26.098417,-0.6251792907714844
148,1891,26.3945,-0.3290958404541015
149,1892,26.142834,-0.5807628631591797
150,1893,26.387667,-0.3359298706054687
151,1894,26.303917,-0.4196796417236328
152,1895,26.338,-0.3855972290039062
153,1896,26.5065,-0.2170963287353515
154,1897,26.838833,0.1152362823486328
155,1898,26.547167,-0.1764297485351562
156,1899,26.586082,-0.1375141143798828
157,1900,26.59175,-0.1318473815917968
158,1901,26.008583,-0.7150135040283203
159,1902,26.522083,-0.2015132904052734
160,1903,26.487333,-0.2362632751464843
161,1904,26.15075,-0.5728473663330078
162,1905,26.4935,-0.2300968170166015
163,1906,26.351418,-0.3721790313720703
164,1907,26.451834,-0.2717628479003906
165,1908,26.49275,-0.2308464050292968
166,1909,26.35075,-0.3728466033935547
167,1910,25.88725,-0.8363456726074219
168,1911,26.74125,0.0176525115966796
169,1912,26.770834,0.0472373962402343
170,1913,26.392666,-0.3309307098388672
171,1914,26.561083,-0.1625137329101562
172,1915,26.752167,0.0285701751708984
173,1916,26.433834,-0.2897624969482422
174,1917,26.0815,-0.6420974731445312
175,1918,26.538834,-0.184762954711914
176,1919,26.768,0.044403076171875
177,1920,26.669584,-0.0540122985839843
178,1921,26.827333,0.1037368774414062
179,1922,26.8525,0.1289043426513672
180,1923,26.7395,0.0159034729003906
181,1924,26.916166,0.1925697326660156
182,1925,26.902416,0.1788196563720703
183,1926,26.738,0.014404296875
184,1927,26.902334,0.1787376403808593
185,1928,26.705,-0.0185966491699218
186,1929,26.849167,0.1255702972412109
187,1930,26.850916,0.1273193359375
188,1931,26.70275,-0.0208473205566406
189,1932,26.937834,0.2142372131347656
190,1933,26.894833,0.1712360382080078
191,1934,26.659082,-0.06451416015625
192,1935,26.621166,-0.1024303436279296
193,1936,26.7215,-0.0020961761474609
194,1937,26.931833,0.2082366943359375
195,1938,26.672583,-0.0510139465332031
196,1939,26.762917,0.0393199920654296
197,1940,26.527334,-0.1962623596191406
198,1941,27.13925,0.4156532287597656
199,1942,26.99225,0.2686538696289062
200,1943,26.731083,0.007486343383789
201,1944,26.872334,0.1487369537353515
202,1945,26.892334,0.1687374114990234
203,1946,27.263416,0.5398197174072266
204,1947,27.2575,0.5339031219482422
205,1948,27.35125,0.6276531219482422
206,1949,27.031084,0.3074874877929687
207,1950,26.47325,-0.2503471374511719
208,1951,26.775417,0.0518207550048828
209,1952,26.784082,0.06048583984375
210,1953,27.228416,0.5048198699951172
211,1954,26.777834,0.0542373657226562
212,1955,26.6865,-0.0370960235595703
213,1956,26.643667,-0.0799293518066406
214,1957,26.889833,0.1662368774414062
215,1958,27.070168,0.3465709686279297
216,1959,27.207,0.4834041595458984
217,1960,27.038918,0.3153209686279297
218,1961,27.104584,0.3809871673583984
219,1962,26.814667,0.0910701751708984
220,1963,26.822834,0.0992374420166015
221,1964,27.123667,0.4000701904296875
222,1965,26.88875,0.1651535034179687
223,1966,26.608917,-0.1146793365478515
224,1967,26.780333,0.0567359924316406
225,1968,26.47975,-0.2438468933105468
226,1969,26.962584,0.2389869689941406
227,1970,26.7365,0.0129032135009765
228,1971,26.786,0.0624027252197265
229,1972,27.062,0.3384037017822265
230,1973,27.044666,0.3210697174072265
231,1974,26.819834,0.0962371826171875
232,1975,27.035084,0.3114871978759765
233,1976,26.802917,0.0793209075927734
234,1977,27.081167,0.3575706481933594
235,1978,26.995667,0.2720699310302734
236,1979,27.002167,0.2785701751708984
237,1980,27.14525,0.4216537475585937
238,1981,26.774084,0.0504875183105468
239,1982,27.352583,0.6289863586425781
240,1983,27.258167,0.5345706939697266
241,1984,27.01775,0.2941532135009765
242,1985,27.042917,0.3193206787109375
243,1986,27.128416,0.4048194885253906
244,1987,27.219584,0.4959869384765625
245,1988,27.261833,0.5382366180419922
246,1989,27.105667,0.3820705413818359
247,1990,27.361416,0.6378192901611328
248,1991,27.368917,0.6453208923339844
249,1992,27.132084,0.408487319946289
250,1993,27.261667,0.5380706787109375
251,1994,27.636917,0.913320541381836
252,1995,27.584,0.8604030609130859
253,1996,27.129168,0.4055709838867187
254,1997,27.751667,1.0280704498291016
255,1998,27.701,0.9774036407470704
256,1999,27.168667,0.4450702667236328
257,2000,27.101833,0.3782367706298828
258,2001,27.309166,0.5855693817138672
259,2002,27.72275,0.9991531372070312
260,2003,27.651083,0.9274864196777344
261,2004,27.585917,0.8623199462890625
262,2005,27.551083,0.8274860382080078
263,2006,27.49475,0.7711524963378906
264,2007,27.623917,0.9003200531005859
265,2008,27.377167,0.6535701751708984
266,2009,27.49275,0.7691535949707031
267,2010,27.034416,0.3108196258544922
268,2011,27.442167,0.7185707092285156
269,2012,27.12125,0.397653579711914
270,2013,27.558222,0.834625244140625
