,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,23.834143,-1.437482833862305
115,1858,24.827,-0.4446258544921875
116,1859,24.5575,-0.7141246795654297
117,1860,24.795,-0.4766254425048828
118,1861,24.584,-0.6876258850097656
119,1862,,
120,1863,,
121,1864,,
122,1865,,
123,1866,,
124,1867,,
125,1868,,
126,1869,,
127,1870,,
128,1871,,
129,1872,,
130,1873,24.966,-0.3056259155273437
131,1874,24.995909,-0.2757167816162109
132,1875,24.609333,-0.66229248046875
133,1876,24.807,-0.4646263122558594
134,1877,25.147583,-0.1240425109863281
135,1878,25.2715,-0.0001258850097656
136,1879,24.57275,-0.6988754272460938
137,1880,24.62175,-0.6498756408691406
138,1881,24.879917,-0.3917083740234375
139,1882,24.717333,-0.5542926788330078
140,1883,24.713333,-0.5582923889160156
141,1884,24.455833,-0.8157920837402344
142,1885,24.6935,-0.578125
143,1886,24.6005,-0.6711254119873047
144,1887,24.343166,-0.9284591674804688
145,1888,24.562916,-0.708709716796875
146,1889,25.007084,-0.2645416259765625
147,1890,24.430666,-0.8409595489501953
148,1891,24.618917,-0.6527080535888672
149,1892,24.7565,-0.5151252746582031
150,1893,24.512333,-0.7592926025390625
151,1894,24.842667,-0.4289588928222656
152,1895,24.761168,-0.5104579925537109
153,1896,24.825083,-0.446542739868164
154,1897,25.128916,-0.142709732055664
155,1898,25.002083,-0.2695426940917969
156,1899,25.074833,-0.1967926025390625
157,1900,25.053833,-0.2177925109863281
158,1901,25.808083,0.5364570617675781
159,1902,24.988583,-0.2830429077148437
160,1903,25.010334,-0.26129150390625
161,1904,24.304417,-0.9672088623046876
162,1905,24.967667,-0.3039588928222656
163,1906,24.7105,-0.5611248016357422
164,1907,24.974083,-0.2975425720214844
165,1908,24.729334,-0.5422916412353516
166,1909,24.62625,-0.6453762054443359
167,1910,24.375917,-0.8957080841064453
168,1911,24.696333,-0.5752925872802734
169,1912,25.194834,-0.076791763305664
170,1913,25.17875,-0.0928764343261718
171,1914,25.884,0.6123752593994141
172,1915,25.479,0.2073745727539062
173,1916,24.84875,-0.4228763580322265
174,1917,24.845917,-0.4257087707519531
175,1918,24.891834,-0.379791259765625
176,1919,25.551167,0.279541015625
177,1920,24.52675,-0.7448749542236328
178,1921,25.196083,-0.0755424499511718
179,1922,24.744583,-0.5270423889160156
180,1923,25.004417,-0.2672080993652344
181,1924,25.482166,0.210540771484375
182,1925,25.1495,-0.1221256256103515
183,1926,25.424833,0.153207778930664
184,1927,25.566668,0.2950420379638672
185,1928,25.54375,0.272125244140625
186,1929,25.008833,-0.2627925872802734
187,1930,25.220583,-0.0510425567626953
188,1931,25.894667,0.6230411529541016
189,1932,25.365084,0.0934581756591796
190,1933,25.731,0.4593753814697265
191,1934,25.278,0.0063743591308593
192,1935,25.56425,0.2926254272460937
193,1936,25.586166,0.3145408630371094
194,1937,25.523417,0.2517910003662109
195,1938,25.679832,0.4082069396972656
196,1939,25.326666,0.0550403594970703
197,1940,25.435667,0.164041519165039
198,1941,26.0195,0.7478752136230469
199,1942,25.941084,0.6694583892822266
200,1943,25.333666,0.0620403289794921
201,1944,25.415583,0.1439571380615234
202,1945,25.501667,0.23004150390625
203,1946,25.3465,0.0748748779296875
204,1947,25.621916,0.350290298461914
205,1948,25.343584,0.0719585418701171
206,1949,25.484333,0.21270751953125
207,1950,25.251917,-0.0197086334228515
208,1951,25.342333,0.0707073211669921
209,1952,25.617416,0.3457908630371094
210,1953,25.496834,0.2252082824707031
211,1954,25.295084,0.0234584808349609
212,1955,24.8855,-0.3861255645751953
213,1956,25.050833,-0.2207927703857422
214,1957,25.2545,-0.0171260833740234
215,1958,25.669,0.3973751068115234
216,1959,25.401917,0.1302909851074218
217,1960,25.4025,0.1308746337890625
218,1961,25.11175,-0.1598758697509765
219,1962,25.129168,-0.1424579620361328
220,1963,25.34675,0.0751247406005859
221,1964,25.15275,-0.118875503540039
222,1965,25.272083,0.000457763671875
223,1966,25.361084,0.0894584655761718
224,1967,25.114416,-0.1572093963623047
225,1968,25.143833,-0.1277923583984375
226,1969,25.484667,0.2130413055419922
227,1970,25.42975,0.1581249237060547
228,1971,25.100666,-0.17095947265625
229,1972,25.451416,0.1797904968261718
230,1973,25.804667,0.5330410003662109
231,1974,25.142084,-0.1295413970947265
232,1975,25.26325,-0.0083751678466796
233,1976,25.286167,0.0145416259765625
234,1977,25.477,0.2053737640380859
235,1978,25.399,0.1273746490478515
236,1979,25.676584,0.4049587249755859
237,1980,25.7865,0.5148754119873047
238,1981,25.276,0.004373550415039
239,1982,25.257166,-0.0144596099853515
240,1983,25.590166,0.3185405731201172
241,1984,25.295416,0.0237903594970703
242,1985,25.308834,0.0372085571289062
243,1986,25.505667,0.2340412139892578
244,1987,25.8675,0.5958747863769531
245,1988,25.534,0.2623748779296875
246,1989,25.318333,0.0467071533203125
247,1990,25.715918,0.4442920684814453
248,1991,25.699833,0.4282073974609375
249,1992,25.092083,-0.1795425415039062
250,1993,25.74875,0.4771251678466797
251,1994,25.68275,0.4111251831054687
252,1995,25.631834,0.360208511352539
253,1996,25.71725,0.4456253051757812
254,1997,26.042667,0.7710418701171875
255,1998,26.204334,0.932708740234375
256,1999,25.469418,0.1977920532226562
257,2000,25.613333,0.3417072296142578
258,2001,25.710167,0.4385414123535156
259,2002,25.819416,0.54779052734375
260,2003,26.014833,0.7432079315185547
261,2004,26.14,0.8683738708496094
262,2005,26.332167,1.0605411529541016
263,2006,26.205084,0.9334583282470704
264,2007,26.067833,0.7962074279785156
265,2008,25.968666,0.6970405578613281
266,2009,26.510916,1.2392902374267578
267,2010,26.329834,1.058208465576172
268,2011,25.63875,0.3671245574951172
269,2012,25.6395,0.3678741455078125
270,2013,26.210875,0.9392490386962892
