,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,26.446285,-0.6797561645507812
115,1858,26.680626,-0.4454154968261719
116,1859,27.0663,-0.0597419738769531
117,1860,26.625546,-0.5004959106445312
118,1861,26.0713,-1.0547409057617188
119,1862,,
120,1863,,
121,1864,,
122,1865,,
123,1866,,
124,1867,,
125,1868,,
126,1869,,
127,1870,,
128,1871,,
129,1872,,
130,1873,27.89025,0.7642078399658203
131,1874,26.410181,-0.7158603668212891
132,1875,26.393,-0.7330417633056641
133,1876,25.890667,-1.2353744506835938
134,1877,26.918333,-0.2077083587646484
135,1878,27.247417,0.1213760375976562
136,1879,26.599916,-0.5261249542236328
137,1880,26.72625,-0.3997917175292969
138,1881,27.055916,-0.0701255798339843
139,1882,26.431334,-0.6947078704833984
140,1883,26.474417,-0.6516246795654297
141,1884,26.151083,-0.9749584197998048
142,1885,26.3565,-0.7695407867431641
143,1886,26.158167,-0.9678745269775392
144,1887,26.306833,-0.8192081451416016
145,1888,26.494667,-0.6313743591308594
146,1889,26.742,-0.3840408325195312
147,1890,26.300917,-0.8251247406005859
148,1891,26.538666,-0.5873756408691406
149,1892,26.657667,-0.4683742523193359
150,1893,26.387833,-0.7382087707519531
151,1894,26.69425,-0.4317913055419922
152,1895,26.742916,-0.3831253051757812
153,1896,26.741333,-0.3847084045410156
154,1897,26.927917,-0.1981239318847656
155,1898,26.781918,-0.3441238403320312
156,1899,26.824833,-0.30120849609375
157,1900,26.847834,-0.278207778930664
158,1901,27.3865,0.2604579925537109
159,1902,26.751833,-0.3742084503173828
160,1903,26.552834,-0.5732078552246094
161,1904,26.19375,-0.9322910308837892
162,1905,26.745667,-0.3803749084472656
163,1906,26.716167,-0.4098739624023437
164,1907,26.503166,-0.6228752136230469
165,1908,26.606333,-0.5197086334228516
166,1909,26.772083,-0.3539581298828125
167,1910,26.042667,-1.0833740234375
168,1911,26.51125,-0.6147918701171875
169,1912,26.517334,-0.6087074279785156
170,1913,26.9125,-0.213541030883789
171,1914,27.869083,0.7430419921875
172,1915,27.4935,0.3674583435058594
173,1916,26.736416,-0.3896255493164062
174,1917,26.77875,-0.3472919464111328
175,1918,27.085083,-0.0409584045410156
176,1919,27.57075,0.4447078704833984
177,1920,26.17725,-0.94879150390625
178,1921,26.920918,-0.2051239013671875
179,1922,26.69175,-0.4342918395996094
180,1923,26.783916,-0.3421249389648437
181,1924,27.323166,0.1971244812011718
182,1925,27.2205,0.0944595336914062
183,1926,27.439583,0.3135414123535156
184,1927,27.148834,0.0227928161621093
185,1928,27.59575,0.4697093963623047
186,1929,26.87275,-0.2532920837402344
187,1930,27.11875,-0.0072917938232421
188,1931,27.96825,0.8422088623046875
189,1932,27.508583,0.3825416564941406
190,1933,27.815666,0.6896247863769531
191,1934,27.107,-0.0190410614013671
192,1935,27.172916,0.046875
193,1936,27.269917,0.1438751220703125
194,1937,27.21,0.0839576721191406
195,1938,27.383083,0.2570419311523437
196,1939,27.412916,0.286874771118164
197,1940,27.464834,0.3387928009033203
198,1941,28.066334,0.9402923583984376
199,1942,27.8865,0.7604579925537109
200,1943,27.14925,0.0232086181640625
201,1944,27.11475,-0.01129150390625
202,1945,26.93975,-0.1862907409667968
203,1946,27.079416,-0.0466251373291015
204,1947,27.447083,0.3210411071777344
205,1948,26.89525,-0.2307910919189453
206,1949,26.93,-0.1960411071777343
207,1950,26.593082,-0.532958984375
208,1951,27.030333,-0.0957088470458984
209,1952,27.556,0.4299583435058594
210,1953,27.227583,0.101541519165039
211,1954,27.16775,0.0417079925537109
212,1955,26.994083,-0.1319580078125
213,1956,27.051167,-0.0748748779296875
214,1957,27.174334,0.0482921600341796
215,1958,27.5045,0.378458023071289
216,1959,26.968334,-0.1577072143554687
217,1960,27.5235,0.3974590301513672
218,1961,26.236584,-0.8894577026367188
219,1962,27.104,-0.0220413208007812
220,1963,27.547916,0.421875
221,1964,26.979834,-0.1462078094482422
222,1965,26.8855,-0.2405414581298828
223,1966,27.007668,-0.1183738708496093
224,1967,26.953333,-0.172708511352539
225,1968,27.05925,-0.0667915344238281
226,1969,27.898,0.7719593048095703
227,1970,27.02075,-0.1052913665771484
228,1971,26.913084,-0.2129573822021484
229,1972,27.452,0.325958251953125
230,1973,27.709583,0.5835418701171875
231,1974,26.89,-0.2360420227050781
232,1975,26.987833,-0.1382083892822265
233,1976,27.48775,0.3617076873779297
234,1977,26.827333,-0.2987079620361328
235,1978,27.110083,-0.0159587860107421
236,1979,27.551332,0.4252910614013672
237,1980,27.4805,0.3544578552246094
238,1981,27.194834,0.0687923431396484
239,1982,27.259832,0.1337909698486328
240,1983,27.1395,0.013458251953125
241,1984,27.563084,0.437042236328125
242,1985,27.412,0.285959243774414
243,1986,27.556168,0.4301261901855469
244,1987,27.659666,0.5336246490478516
245,1988,27.32025,0.1942081451416015
246,1989,26.84,-0.286041259765625
247,1990,27.61925,0.4932079315185547
248,1991,27.5535,0.4274578094482422
249,1992,26.919666,-0.2063751220703125
250,1993,27.612417,0.4863758087158203
251,1994,27.261084,0.1350421905517578
252,1995,27.461834,0.3357925415039062
253,1996,27.7835,0.6574592590332031
254,1997,27.797417,0.6713752746582031
255,1998,27.895834,0.7697925567626953
256,1999,27.779833,0.6537914276123047
257,2000,27.447834,0.3217926025390625
258,2001,27.63525,0.5092086791992188
259,2002,27.772833,0.6467914581298828
260,2003,27.878084,0.7520427703857422
261,2004,28.017416,0.8913745880126953
262,2005,28.21125,1.0852088928222656
263,2006,28.048,0.9219589233398438
264,2007,27.860167,0.7341251373291016
265,2008,27.7025,0.5764579772949219
266,2009,28.32425,1.1982078552246094
267,2010,28.6965,1.5704593658447266
268,2011,27.784834,0.6587924957275391
269,2012,27.701166,0.5751247406005859
270,2013,28.356,1.229959487915039
