,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,7.070125,-2.3095345497131348
113,1856,8.6640835,-0.715576171875
114,1857,8.645917,-0.7337427139282227
115,1858,8.81025,-0.5694093704223633
116,1859,9.245584,-0.1340761184692382
117,1860,8.941083,-0.4385766983032226
118,1861,8.717584,-0.6620759963989258
119,1862,8.537666,-0.8419933319091797
120,1863,8.523583,-0.8560762405395508
121,1864,8.769917,-0.6097431182861328
122,1865,9.145083,-0.2345762252807617
123,1866,9.07525,-0.3044099807739258
124,1867,9.0175,-0.3621597290039062
125,1868,8.9845,-0.3951597213745117
126,1869,8.915584,-0.4640760421752929
127,1870,8.761167,-0.6184930801391602
128,1871,8.6815,-0.6981592178344727
129,1872,8.584333,-0.7953262329101562
130,1873,9.229,-0.1506595611572265
131,1874,8.7905,-0.5891599655151367
132,1875,8.707417,-0.6722431182861328
133,1876,9.128667,-0.2509927749633789
134,1877,9.631917,0.2522573471069336
135,1878,9.234583,-0.1450767517089843
136,1879,9.204667,-0.174992561340332
137,1880,9.159667,-0.2199926376342773
138,1881,8.942333,-0.437326431274414
139,1882,9.043667,-0.3359928131103515
140,1883,8.877417,-0.5022430419921875
141,1884,8.672584,-0.7070760726928711
142,1885,8.5025,-0.8771600723266602
143,1886,8.748667,-0.6309928894042969
144,1887,8.854834,-0.5248260498046875
145,1888,9.026167,-0.3534927368164062
146,1889,8.4939165,-0.8857431411743164
147,1890,8.8498335,-0.5298261642456055
148,1891,9.013333,-0.3663263320922851
149,1892,8.75475,-0.6249094009399414
150,1893,8.8885,-0.491159439086914
151,1894,9.056666,-0.3229932785034179
152,1895,9.21575,-0.163909912109375
153,1896,9.715667,0.3360071182250976
154,1897,9.118834,-0.2608261108398437
155,1898,8.6135,-0.7661600112915039
156,1899,9.378834,-0.0008258819580078
157,1900,9.305,-0.0746593475341796
158,1901,9.476,0.0963401794433593
159,1902,9.18175,-0.1979093551635742
160,1903,8.99675,-0.3829097747802734
161,1904,9.392083,0.0124235153198242
162,1905,9.316916,-0.0627431869506836
163,1906,9.210417,-0.1692428588867187
164,1907,8.86975,-0.5099096298217773
165,1908,9.165833,-0.2138261795043945
166,1909,9.030666,-0.3489933013916015
167,1910,8.906167,-0.4734926223754883
168,1911,9.1155,-0.2641592025756836
169,1912,9.37675,-0.0029096603393554
170,1913,9.600083,0.2204236984252929
171,1914,9.272833,-0.1068267822265625
172,1915,9.363916,-0.0157432556152343
173,1916,8.971416,-0.408243179321289
174,1917,9.32775,-0.0519094467163085
175,1918,9.067583,-0.3120765686035156
176,1919,9.634583,0.2549238204956054
177,1920,9.3195,-0.060159683227539
178,1921,9.048833,-0.3308267593383789
179,1922,9.115666,-0.2639932632446289
180,1923,8.884167,-0.495492935180664
181,1924,9.13225,-0.2474098205566406
182,1925,9.294,-0.0856599807739257
183,1926,9.498667,0.1190071105957031
184,1927,9.34075,-0.038909912109375
185,1928,9.09575,-0.283909797668457
186,1929,9.230667,-0.1489925384521484
187,1930,9.646334,0.2666740417480469
188,1931,9.364083,-0.0155763626098632
189,1932,9.525666,0.1460065841674804
190,1933,9.2635,-0.116159439086914
191,1934,9.292417,-0.0872430801391601
192,1935,9.495916,0.1162567138671875
193,1936,9.53525,0.1555900573730468
194,1937,9.376583,-0.0030765533447265
195,1938,9.134,-0.2456598281860351
196,1939,9.5245,0.1448402404785156
197,1940,9.626333,0.246673583984375
198,1941,9.572833,0.1931734085083007
199,1942,9.350417,-0.0292425155639648
200,1943,9.7385,0.3588399887084961
201,1944,9.905833,0.5261735916137695
202,1945,10.0265,0.6468400955200195
203,1946,9.490666,0.1110067367553711
204,1947,9.563666,0.1840066909790039
205,1948,9.388583,0.0089235305786132
206,1949,9.369166,-0.0104932785034179
207,1950,9.292,-0.0876598358154296
208,1951,9.574833,0.1951732635498047
209,1952,9.83,0.4503402709960937
210,1953,9.711667,0.3320074081420898
211,1954,9.25025,-0.1294097900390625
212,1955,9.028,-0.3516597747802734
213,1956,9.174,-0.2056598663330078
214,1957,9.636084,0.2564239501953125
215,1958,9.660666,0.2810068130493164
216,1959,9.356584,-0.023076057434082
217,1960,9.754167,0.3745069503784179
218,1961,9.495334,0.1156740188598632
219,1962,9.834084,0.4544239044189453
220,1963,9.629,0.2493400573730468
221,1964,9.435833,0.0561733245849609
222,1965,9.706583,0.3269233703613281
223,1966,9.497916,0.1182565689086914
224,1967,9.5685835,0.1889238357543945
225,1968,9.876917,0.4972572326660156
226,1969,9.863334,0.4836740493774414
227,1970,9.65375,0.2740907669067383
228,1971,9.160167,-0.2194929122924804
229,1972,9.586083,0.2064237594604492
230,1973,9.413333,0.0336732864379882
231,1974,9.2915,-0.0881595611572265
232,1975,9.418333,0.0386734008789062
233,1976,9.34525,-0.0344095230102539
234,1977,10.014667,0.6350069046020508
235,1978,9.958083,0.5784235000610352
236,1979,9.79725,0.4175901412963867
237,1980,9.90375,0.5240907669067383
238,1981,9.955083,0.5754232406616211
239,1982,10.050333,0.6706733703613281
240,1983,10.310166,0.930506706237793
241,1984,9.4425,0.062840461730957
242,1985,10.039917,0.6602573394775391
243,1986,9.8375,0.4578399658203125
244,1987,10.271584,0.8919239044189453
245,1988,9.72525,0.345590591430664
246,1989,10.0245,0.6448402404785156
247,1990,9.83125,0.4515905380249023
248,1991,9.725417,0.3457574844360351
249,1992,9.73775,0.3580904006958008
250,1993,9.944583,0.5649232864379883
251,1994,10.054334,0.6746740341186523
252,1995,9.784917,0.4052572250366211
253,1996,9.758,0.3783407211303711
254,1997,10.337,0.9573402404785156
255,1998,10.292417,0.9127569198608398
256,1999,9.829583,0.4499235153198242
257,2000,9.564083,0.1844234466552734
258,2001,9.819667,0.440007209777832
259,2002,9.742416,0.3627567291259765
260,2003,10.078417,0.6987571716308594
261,2004,10.205833,0.8261737823486328
262,2005,9.891833,0.5121736526489258
263,2006,10.174,0.7943401336669922
264,2007,9.489917,0.1102571487426757
265,2008,10.1625,0.7828407287597656
266,2009,9.994416,0.6147565841674805
267,2010,9.712833,0.3331737518310547
268,2011,10.03225,0.6525907516479492
269,2012,10.272583,0.8929233551025391
270,2013,9.877375,0.4977149963378906
