,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,6.284167,-0.3408079147338867
79,1822,6.341417,-0.2835578918457031
80,1823,7.0243635,0.3993887901306152
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,6.0393333,-0.5856413841247559
91,1834,6.2681665,-0.3568081855773926
92,1835,5.43425,-1.1907248497009275
93,1836,5.3647275,-1.2602472305297852
94,1837,8.136833,1.5118584632873535
95,1838,5.715,-0.9099745750427246
96,1839,5.5190835,-1.105891227722168
97,1840,6.0185833,-0.606391429901123
98,1841,5.512417,-1.112557888031006
99,1842,6.2785,-0.3464746475219726
100,1843,6.4139166,-0.2110581398010254
101,1844,6.0515,-0.5734748840332031
102,1845,6.023,-0.6019749641418457
103,1846,6.5875,-0.0374746322631835
104,1847,6.2570834,-0.3678913116455078
105,1848,5.93975,-0.6852245330810547
106,1849,6.104833,-0.5201416015625
107,1850,5.9071665,-0.7178082466125488
108,1851,5.782833,-0.8421416282653809
109,1852,5.8575,-0.7674746513366699
110,1853,5.9975834,-0.6273913383483887
111,1854,6.4730835,-0.1518912315368652
112,1855,6.5155835,-0.1093912124633789
113,1856,6.0955834,-0.5293912887573242
114,1857,5.9596667,-0.6653079986572266
115,1858,6.4140835,-0.2108912467956543
116,1859,6.5351667,-0.0898079872131347
117,1860,5.6093335,-1.015641212463379
118,1861,5.8651667,-0.7598080635070801
119,1862,5.4480834,-1.1768913269042969
120,1863,6.4445834,-0.1803913116455078
121,1864,5.8015,-0.8234748840332031
122,1865,6.244,-0.3809747695922851
123,1866,6.4104166,-0.2145581245422363
124,1867,6.7591667,0.1341919898986816
125,1868,6.4155,-0.2094745635986328
126,1869,6.465833,-0.1591415405273437
127,1870,6.159,-0.4659748077392578
128,1871,6.3715835,-0.2533912658691406
129,1872,6.2863336,-0.3386411666870117
130,1873,6.5881667,-0.0368080139160156
131,1874,6.645167,0.0201921463012695
132,1875,6.505,-0.1199746131896972
133,1876,6.347417,-0.2775578498840332
134,1877,6.1815834,-0.4433913230895996
135,1878,6.414417,-0.2105579376220703
136,1879,6.6674166,0.0424418449401855
137,1880,6.3835,-0.2414746284484863
138,1881,6.3528333,-0.2721414566040039
139,1882,6.39825,-0.226724624633789
140,1883,6.0269165,-0.5980582237243652
141,1884,5.8048334,-0.8201413154602051
142,1885,5.9645,-0.6604747772216797
143,1886,6.11475,-0.5102248191833496
144,1887,6.1971664,-0.4278082847595215
145,1888,6.3364167,-0.2885580062866211
146,1889,6.31175,-0.3132247924804687
147,1890,6.4643335,-0.1606411933898925
148,1891,6.3593335,-0.2656412124633789
149,1892,6.0608335,-0.5641412734985352
150,1893,6.108333,-0.5166416168212891
151,1894,6.57825,-0.046724796295166
152,1895,6.0358334,-0.5891413688659668
153,1896,6.38625,-0.2387247085571289
154,1897,6.228083,-0.3968915939331054
155,1898,6.562667,-0.0623078346252441
156,1899,6.6034164,-0.0215582847595214
157,1900,6.4441667,-0.1808080673217773
158,1901,6.5375,-0.0874748229980468
159,1902,6.7446666,0.1196918487548828
160,1903,6.1745834,-0.4503912925720215
161,1904,6.3508334,-0.2741413116455078
162,1905,5.7555,-0.8694748878479004
163,1906,6.221833,-0.4031414985656738
164,1907,6.3086667,-0.3163080215454101
165,1908,6.2865834,-0.3383913040161133
166,1909,6.38125,-0.2437248229980468
167,1910,6.0715,-0.5534749031066895
168,1911,6.297,-0.327974796295166
169,1912,6.076083,-0.548891544342041
170,1913,6.138417,-0.4865579605102539
171,1914,6.81875,0.1937751770019531
172,1915,6.49275,-0.1322245597839355
173,1916,6.3498335,-0.2751412391662597
174,1917,6.1614165,-0.4635581970214844
175,1918,6.196833,-0.4281415939331054
176,1919,6.607,-0.017974853515625
177,1920,6.5903335,-0.0346412658691406
178,1921,6.50075,-0.1242246627807617
179,1922,6.6773334,0.0523586273193359
180,1923,6.563667,-0.0613079071044921
181,1924,6.70425,0.0792751312255859
182,1925,6.5556664,-0.0693082809448242
183,1926,6.754083,0.1291084289550781
184,1927,6.66775,0.0427751541137695
185,1928,6.774667,0.1496920585632324
186,1929,6.424083,-0.2008914947509765
187,1930,6.4686666,-0.1563081741333007
188,1931,6.3775,-0.2474746704101562
189,1932,6.9055834,0.2806086540222168
190,1933,6.6299167,0.0049419403076171
191,1934,6.3628335,-0.2621412277221679
192,1935,6.6361666,0.0111918449401855
193,1936,6.111583,-0.5133914947509766
194,1937,6.511083,-0.1138916015625
195,1938,6.87175,0.2467751502990722
196,1939,7.0265,0.4015254974365234
197,1940,6.9616666,0.3366918563842773
198,1941,7.3455,0.7205252647399902
199,1942,7.096,0.4710254669189453
200,1943,7.0509167,0.4259419441223144
201,1944,6.5305,-0.0944747924804687
202,1945,6.8388333,0.2138586044311523
203,1946,7.3540835,0.7291088104248047
204,1947,6.7738333,0.1488585472106933
205,1948,7.100333,0.4753584861755371
206,1949,6.9755,0.3505253791809082
207,1950,6.6411667,0.0161919593811035
208,1951,6.8695,0.2445254325866699
209,1952,6.640917,0.015942096710205
210,1953,7.022333,0.3973584175109863
211,1954,6.371,-0.2539749145507812
212,1955,6.701667,0.0766921043395996
213,1956,6.299333,-0.3256416320800781
214,1957,6.388,-0.2369747161865234
215,1958,7.033583,0.4086084365844726
216,1959,7.0396667,0.4146919250488281
217,1960,6.890917,0.2659420967102051
218,1961,7.0505834,0.4256086349487304
219,1962,6.7036667,0.0786919593811035
220,1963,7.0525,0.4275250434875488
221,1964,6.7460833,0.1211085319519043
222,1965,6.7999167,0.1749420166015625
223,1966,6.962,0.3370251655578613
224,1967,6.402583,-0.2223916053771972
225,1968,6.727,0.1020255088806152
226,1969,6.456,-0.1689748764038086
227,1970,6.5681667,-0.0568079948425293
228,1971,6.84625,0.2212753295898437
229,1972,6.814417,0.1894421577453613
230,1973,7.2095833,0.5846085548400879
231,1974,6.6594167,0.0344419479370117
232,1975,7.100917,0.4759421348571777
233,1976,6.4711666,-0.1538081169128418
234,1977,6.851333,0.226358413696289
235,1978,7.0481668,0.423192024230957
236,1979,7.0740833,0.4491086006164551
237,1980,6.9500833,0.325108528137207
238,1981,6.926417,0.3014421463012695
239,1982,7.14975,0.524775505065918
240,1983,6.925083,0.3001084327697754
241,1984,6.5179167,-0.107058048248291
242,1985,6.74025,0.1152753829956054
243,1986,6.870167,0.2451920509338379
244,1987,7.249,0.6240253448486328
245,1988,7.2208333,0.5958585739135742
246,1989,7.23975,0.6147751808166504
247,1990,7.636,1.0110254287719729
248,1991,7.0971665,0.4721918106079101
249,1992,6.8584166,0.2334418296813964
250,1993,6.919417,0.2944421768188476
251,1994,7.496,0.8710250854492188
252,1995,7.211583,0.5866084098815918
253,1996,6.9626665,0.3376917839050293
254,1997,7.3673334,0.7423586845397949
255,1998,8.051833,1.4268584251403809
256,1999,7.84025,1.2152752876281738
257,2000,7.2380834,0.6131086349487305
258,2001,7.5964165,0.9714417457580566
259,2002,7.7956667,1.170691967010498
260,2003,7.522,0.8970251083374023
261,2004,7.71275,1.0877752304077148
262,2005,7.4135,0.7885251045227051
263,2006,7.948,1.3230252265930176
264,2007,8.12675,1.5017752647399902
265,2008,7.5660834,0.9411087036132812
266,2009,7.8095,1.184525489807129
267,2010,7.5484166,0.9234418869018556
268,2011,7.3570833,0.7321085929870605
269,2012,7.077083,0.4521083831787109
270,2013,9.295,2.67002534866333
