,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,25.66,-0.1268367767333984
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,24.762777,-1.0240592956542969
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,25.158083,-0.628753662109375
108,1851,25.345,-0.4418373107910156
109,1852,25.226418,-0.5604190826416016
110,1853,25.346222,-0.4406147003173828
111,1854,25.254364,-0.5324726104736328
112,1855,25.380917,-0.4059200286865234
113,1856,25.28725,-0.4995861053466797
114,1857,,
115,1858,,
116,1859,,
117,1860,,
118,1861,,
119,1862,,
120,1863,,
121,1864,,
122,1865,,
123,1866,25.282833,-0.5040035247802734
124,1867,25.281834,-0.5050029754638672
125,1868,25.470333,-0.3165035247802734
126,1869,25.4345,-0.3523368835449219
127,1870,25.13675,-0.6500873565673828
128,1871,25.098833,-0.6880035400390625
129,1872,25.146584,-0.6402530670166016
130,1873,25.244667,-0.5421695709228516
131,1874,25.183834,-0.6030025482177734
132,1875,25.12225,-0.6645870208740234
133,1876,25.236666,-0.5501708984375
134,1877,25.51075,-0.2760868072509765
135,1878,25.99375,0.2069129943847656
136,1879,25.205166,-0.5816707611083984
137,1880,25.023834,-0.7630023956298828
138,1881,25.549334,-0.2375030517578125
139,1882,25.16525,-0.6215858459472656
140,1883,25.331167,-0.4556694030761719
141,1884,25.027,-0.7598361968994141
142,1885,25.269917,-0.5169200897216797
143,1886,25.40425,-0.3825874328613281
144,1887,25.0735,-0.7133369445800781
145,1888,25.401833,-0.3850040435791015
146,1889,25.672417,-0.114419937133789
147,1890,25.184834,-0.6020030975341797
148,1891,25.225334,-0.5615024566650391
149,1892,25.113083,-0.6737537384033203
150,1893,24.991,-0.79583740234375
151,1894,25.216084,-0.5707530975341797
152,1895,25.331667,-0.455169677734375
153,1896,25.50025,-0.2865867614746094
154,1897,25.6695,-0.1173362731933593
155,1898,25.478582,-0.3082542419433594
156,1899,25.392584,-0.3942527770996094
157,1900,25.608166,-0.1786708831787109
158,1901,25.537083,-0.2497539520263672
159,1902,25.44775,-0.3390865325927734
160,1903,25.566584,-0.2202529907226562
161,1904,25.111917,-0.6749191284179688
162,1905,25.53825,-0.2485866546630859
163,1906,25.665833,-0.1210041046142578
164,1907,25.478666,-0.3081703186035156
165,1908,25.172417,-0.6144199371337891
166,1909,25.281,-0.5058364868164062
167,1910,25.258667,-0.5281696319580078
168,1911,25.377916,-0.4089202880859375
169,1912,25.730917,-0.0559196472167968
170,1913,25.453083,-0.3337535858154297
171,1914,25.799,0.0121631622314453
172,1915,25.903833,0.1169967651367187
173,1916,25.668667,-0.1181697845458984
174,1917,25.259916,-0.5269203186035156
175,1918,25.42025,-0.366586685180664
176,1919,25.654917,-0.1319198608398437
177,1920,25.446,-0.3408374786376953
178,1921,25.687084,-0.0997524261474609
179,1922,25.445583,-0.3412532806396484
180,1923,25.40475,-0.3820858001708984
181,1924,25.52675,-0.2600860595703125
182,1925,25.449,-0.3378372192382812
183,1926,25.91975,0.132913589477539
184,1927,25.599667,-0.1871700286865234
185,1928,25.872168,0.0853309631347656
186,1929,25.347084,-0.4397525787353515
187,1930,25.594,-0.1928367614746093
188,1931,26.100416,0.3135795593261719
189,1932,25.8165,0.0296630859375
190,1933,25.713417,-0.0734195709228515
191,1934,25.477417,-0.3094196319580078
192,1935,25.525333,-0.2615032196044922
193,1936,25.962166,0.1753292083740234
194,1937,25.871334,0.0844974517822265
195,1938,25.9345,0.1476631164550781
196,1939,25.595,-0.1918373107910156
197,1940,25.9065,0.1196632385253906
198,1941,26.239666,0.452829360961914
199,1942,26.014166,0.2273292541503906
200,1943,25.743416,-0.0434207916259765
201,1944,26.00225,0.2154140472412109
202,1945,25.928833,0.1419963836669922
203,1946,26.05075,0.2639141082763672
204,1947,25.963917,0.1770801544189453
205,1948,26.085667,0.2988300323486328
206,1949,25.796917,0.010080337524414
207,1950,25.824833,0.0379962921142578
208,1951,25.777584,-0.0092525482177734
209,1952,25.982166,0.1953296661376953
210,1953,26.073833,0.286996841430664
211,1954,26.02575,0.2389125823974609
212,1955,25.73025,-0.0565872192382812
213,1956,25.872917,0.0860805511474609
214,1957,26.146,0.3591632843017578
215,1958,26.1905,0.4036636352539062
216,1959,26.29825,0.51141357421875
217,1960,25.985916,0.1990795135498047
218,1961,25.874416,0.0875797271728515
219,1962,25.87375,0.0869140625
220,1963,25.87575,0.0889129638671875
221,1964,25.957666,0.1708297729492187
222,1965,25.805166,0.0183296203613281
223,1966,26.004417,0.2175807952880859
224,1967,25.948584,0.1617469787597656
225,1968,25.811583,0.0247459411621093
226,1969,26.206917,0.4200801849365234
227,1970,26.001417,0.2145805358886718
228,1971,25.762,-0.0248374938964843
229,1972,26.1495,0.3626632690429687
230,1973,26.372417,0.5855808258056641
231,1974,25.944834,0.1579971313476562
232,1975,25.913,0.1261634826660156
233,1976,25.876583,0.0897464752197265
234,1977,26.12275,0.3359127044677734
235,1978,25.976583,0.1897468566894531
236,1979,26.182833,0.39599609375
237,1980,26.131834,0.3449974060058594
238,1981,26.140917,0.3540802001953125
239,1982,26.095417,0.3085803985595703
240,1983,26.423084,0.6362476348876953
241,1984,25.975082,0.1882457733154297
242,1985,26.106083,0.3192462921142578
243,1986,25.775084,-0.0117530822753906
244,1987,26.415417,0.6285800933837891
245,1988,26.4165,0.6296634674072266
246,1989,26.289083,0.5022468566894531
247,1990,26.449333,0.6624965667724609
248,1991,26.272,0.4851627349853515
249,1992,26.30175,0.5149135589599609
250,1993,26.36925,0.5824127197265625
251,1994,26.236584,0.449747085571289
252,1995,26.471,0.6841640472412109
253,1996,26.599,0.812164306640625
254,1997,26.30325,0.5164127349853516
255,1998,26.897,1.1101627349853516
256,1999,26.338333,0.5514965057373047
257,2000,26.37525,0.5884132385253906
258,2001,26.348583,0.5617465972900391
259,2002,26.73375,0.9469127655029296
260,2003,26.69325,0.906414031982422
261,2004,26.589417,0.8025798797607422
262,2005,26.679583,0.8927459716796875
263,2006,26.526917,0.7400798797607422
264,2007,26.555334,0.7684974670410156
265,2008,26.280083,0.4932460784912109
266,2009,26.544834,0.7579975128173828
267,2010,26.83975,1.0529136657714844
268,2011,26.365,0.5781631469726562
269,2012,26.670166,0.8833293914794922
270,2013,27.01075,1.2239131927490234
