,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,24.668364,-0.0495281219482421
82,1825,24.685167,-0.032724380493164
83,1826,24.5736,-0.1442909240722656
84,1827,24.95191,0.234018325805664
85,1828,24.407364,-0.3105278015136719
86,1829,24.2619,-0.4559917449951172
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,24.767166,0.0492744445800781
104,1847,24.180916,-0.5369758605957031
105,1848,24.10375,-0.6141414642333984
106,1849,24.224916,-0.4929752349853515
107,1850,24.1405,-0.577392578125
108,1851,24.337833,-0.3800582885742187
109,1852,24.149584,-0.5683078765869141
110,1853,24.233084,-0.4848079681396484
111,1854,24.322166,-0.3957252502441406
112,1855,24.407667,-0.3102245330810547
113,1856,24.407,-0.310892105102539
114,1857,23.853834,-0.8640575408935547
115,1858,24.143833,-0.5740585327148438
116,1859,24.191,-0.5268917083740234
117,1860,24.142,-0.5758914947509766
118,1861,24.137417,-0.580474853515625
119,1862,23.904083,-0.8138084411621094
120,1863,24.230667,-0.4872245788574219
121,1864,24.184166,-0.5337257385253906
122,1865,24.288416,-0.4294757843017578
123,1866,24.11275,-0.6051425933837891
124,1867,24.4855,-0.232391357421875
125,1868,24.452333,-0.2655582427978515
126,1869,24.929,0.2111091613769531
127,1870,24.266167,-0.4517250061035156
128,1871,24.219667,-0.4982242584228515
129,1872,24.585417,-0.1324748992919922
130,1873,24.408083,-0.3098087310791015
131,1874,24.382,-0.3358917236328125
132,1875,24.160833,-0.5570583343505859
133,1876,24.467333,-0.250558853149414
134,1877,24.905333,0.1874408721923828
135,1878,25.360916,0.6430244445800781
136,1879,24.466167,-0.2517242431640625
137,1880,24.0365,-0.6813907623291016
138,1881,24.46625,-0.2516422271728515
139,1882,24.02025,-0.6976413726806641
140,1883,23.938334,-0.7795581817626953
141,1884,23.910418,-0.8074741363525391
142,1885,24.220917,-0.4969749450683594
143,1886,24.175083,-0.5428085327148438
144,1887,23.988,-0.7298908233642578
145,1888,24.24975,-0.4681415557861328
146,1889,24.699667,-0.0182247161865234
147,1890,23.784584,-0.933307647705078
148,1891,24.494917,-0.2229747772216797
149,1892,24.132584,-0.5853080749511719
150,1893,23.870417,-0.8474750518798828
151,1894,24.0355,-0.6823921203613281
152,1895,24.374584,-0.3433074951171875
153,1896,24.519333,-0.1985588073730468
154,1897,24.59025,-0.1276416778564453
155,1898,24.129417,-0.5884742736816406
156,1899,24.459667,-0.2582244873046875
157,1900,24.873,0.1551074981689453
158,1901,24.559166,-0.1587257385253906
159,1902,24.66275,-0.0551414489746093
160,1903,24.651167,-0.0667247772216796
161,1904,24.183167,-0.5347251892089844
162,1905,24.589333,-0.1285591125488281
163,1906,24.53375,-0.1841411590576172
164,1907,24.2055,-0.5123920440673828
165,1908,24.206667,-0.5112247467041016
166,1909,24.111416,-0.606475830078125
167,1910,24.08625,-0.6316413879394531
168,1911,24.398916,-0.3189754486083984
169,1912,24.6725,-0.0453910827636718
170,1913,24.282917,-0.4349746704101562
171,1914,24.754333,0.0364418029785156
172,1915,25.018583,0.3006916046142578
173,1916,24.363333,-0.3545589447021484
174,1917,23.895666,-0.8222255706787109
175,1918,24.134,-0.5838909149169922
176,1919,24.67325,-0.0446414947509765
177,1920,24.524666,-0.1932258605957031
178,1921,24.349833,-0.3680591583251953
179,1922,24.521,-0.1968917846679687
180,1923,24.422916,-0.2949752807617187
181,1924,24.555166,-0.1627254486083984
182,1925,24.43825,-0.279642105102539
183,1926,25.078,0.360107421875
184,1927,24.544584,-0.1733074188232422
185,1928,24.674667,-0.0432243347167968
186,1929,24.611834,-0.106058120727539
187,1930,24.697834,-0.0200576782226562
188,1931,25.012417,0.294525146484375
189,1932,24.647833,-0.0700588226318359
190,1933,24.462334,-0.2555580139160156
191,1934,24.444166,-0.2737255096435547
192,1935,24.54375,-0.1741409301757812
193,1936,24.824,0.1061077117919921
194,1937,24.879,0.1611080169677734
195,1938,24.523834,-0.1940574645996093
196,1939,24.821417,0.103525161743164
197,1940,25.33525,0.6173591613769531
198,1941,25.54525,0.8273582458496094
199,1942,25.15825,0.4403591156005859
200,1943,24.614416,-0.1034755706787109
201,1944,24.78875,0.0708580017089843
202,1945,24.891,0.1731090545654297
203,1946,24.87825,0.1603584289550781
204,1947,24.987667,0.269775390625
205,1948,25.0735,0.3556079864501953
206,1949,24.753584,0.0356922149658203
207,1950,24.425833,-0.2920589447021484
208,1951,24.811,0.093109130859375
209,1952,25.066166,0.3482742309570312
210,1953,25.11325,0.3953590393066406
211,1954,24.740833,0.0229415893554687
212,1955,24.54475,-0.1731414794921875
213,1956,24.452417,-0.2654743194580078
214,1957,25.070417,0.3525257110595703
215,1958,25.533833,0.8159408569335938
216,1959,25.018167,0.3002758026123047
217,1960,24.946833,0.2289409637451172
218,1961,25.05,0.3321075439453125
219,1962,25.000834,0.2829418182373047
220,1963,25.05025,0.3323574066162109
221,1964,24.979166,0.2612743377685547
222,1965,25.053167,0.335275650024414
223,1966,25.206083,0.4881916046142578
224,1967,24.84425,0.1263580322265625
225,1968,24.814833,0.0969409942626953
226,1969,25.181084,0.4631919860839844
227,1970,24.93125,0.213357925415039
228,1971,24.557417,-0.1604747772216797
229,1972,25.039583,0.3216915130615234
230,1973,25.17875,0.4608573913574219
231,1974,24.656834,-0.0610580444335937
232,1975,24.605583,-0.1123085021972656
233,1976,24.773666,0.0557746887207031
234,1977,25.294834,0.5769424438476562
235,1978,25.12225,0.40435791015625
236,1979,25.205334,0.4874420166015625
237,1980,25.43275,0.7148590087890625
238,1981,25.1445,0.4266090393066406
239,1982,25.191084,0.4731922149658203
240,1983,25.63475,0.9168586730957032
241,1984,24.883667,0.1657752990722656
242,1985,25.012667,0.2947750091552734
243,1986,25.013083,0.2951908111572265
244,1987,25.6325,0.9146080017089844
245,1988,25.213417,0.4955253601074219
246,1989,24.863583,0.14569091796875
247,1990,25.219166,0.5012741088867188
248,1991,25.341833,0.6239414215087891
249,1992,25.533583,0.8156909942626953
250,1993,25.206417,0.488525390625
251,1994,25.162416,0.4445247650146484
252,1995,25.492834,0.7749423980712891
253,1996,25.149918,0.4320259094238281
254,1997,25.58,0.8621082305908203
255,1998,25.879168,1.161275863647461
256,1999,24.870667,0.1527748107910156
257,2000,25.030167,0.3122749328613281
258,2001,25.411917,0.6940250396728516
259,2002,25.57075,0.8528575897216797
260,2003,25.655333,0.9374408721923828
261,2004,25.553917,0.8360252380371094
262,2005,25.670834,0.95294189453125
263,2006,25.476583,0.7586917877197266
264,2007,25.494,0.7761077880859375
265,2008,25.153917,0.4360256195068359
266,2009,25.618334,0.9004421234130859
267,2010,25.687666,0.9697742462158204
268,2011,25.246916,0.5290241241455078
269,2012,25.381332,0.6634407043457031
270,2013,25.5795,0.8616085052490234
