,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,25.421545,-0.2737445831298828
45,1788,24.912,-0.7832889556884766
46,1789,25.43,-0.265289306640625
47,1790,25.296917,-0.3983726501464844
48,1791,25.705084,0.0097942352294921
49,1792,25.422445,-0.2728443145751953
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,25.290428,-0.4048614501953125
61,1804,25.9001,0.2048110961914062
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,24.87009,-0.8251991271972656
108,1851,,
109,1852,,
110,1853,25.104666,-0.5906238555908203
111,1854,25.271334,-0.4239559173583984
112,1855,25.185167,-0.5101222991943359
113,1856,24.965918,-0.7293720245361328
114,1857,24.800833,-0.8944568634033203
115,1858,25.187416,-0.50787353515625
116,1859,25.321667,-0.3736228942871094
117,1860,25.174181,-0.5211086273193359
118,1861,25.10825,-0.5870399475097656
119,1862,,
120,1863,,
121,1864,25.0645,-0.6307888031005859
122,1865,,
123,1866,,
124,1867,,
125,1868,,
126,1869,,
127,1870,,
128,1871,,
129,1872,,
130,1873,,
131,1874,,
132,1875,24.6015,-1.093790054321289
133,1876,25.030582,-0.6647071838378906
134,1877,25.616417,-0.0788726806640625
135,1878,25.750584,0.0552940368652343
136,1879,,
137,1880,25.210728,-0.4845619201660156
138,1881,,
139,1882,,
140,1883,,
141,1884,,
142,1885,,
143,1886,,
144,1887,,
145,1888,,
146,1889,25.449167,-0.2461223602294922
147,1890,24.752636,-0.9426536560058594
148,1891,24.949417,-0.7458724975585938
149,1892,25.383583,-0.31170654296875
150,1893,24.981083,-0.7142066955566406
151,1894,25.425583,-0.2697067260742187
152,1895,25.4955,-0.1997890472412109
153,1896,25.584417,-0.1108722686767578
154,1897,25.793917,0.0986270904541015
155,1898,25.81,0.1147098541259765
156,1899,25.256,-0.4392890930175781
157,1900,25.852083,0.1567935943603515
158,1901,25.400417,-0.2948722839355469
159,1902,25.786167,0.0908775329589843
160,1903,25.673834,-0.0214557647705078
161,1904,24.82975,-0.86553955078125
162,1905,25.6525,-0.0427894592285156
163,1906,25.34475,-0.3505401611328125
164,1907,25.222918,-0.4723720550537109
165,1908,25.651583,-0.0437068939208984
166,1909,25.466417,-0.2288722991943359
167,1910,25.123,-0.5722904205322266
168,1911,25.0645,-0.6307888031005859
169,1912,25.598667,-0.0966224670410156
170,1913,25.426332,-0.2689571380615234
171,1914,25.701584,0.0062942504882812
172,1915,25.683083,-0.01220703125
173,1916,25.459917,-0.2353725433349609
174,1917,25.360666,-0.3346233367919922
175,1918,25.311167,-0.3841228485107422
176,1919,25.730167,0.0348777770996093
177,1920,25.301416,-0.3938732147216797
178,1921,25.333666,-0.3616237640380859
179,1922,25.423416,-0.2718734741210937
180,1923,25.58975,-0.105539321899414
181,1924,25.467916,-0.2273731231689453
182,1925,25.540083,-0.1552066802978515
183,1926,25.8255,0.1302108764648437
184,1927,25.282333,-0.4129562377929687
185,1928,25.60425,-0.0910396575927734
186,1929,25.626917,-0.0683727264404296
187,1930,25.323833,-0.3714561462402344
188,1931,25.822584,0.1272945404052734
189,1932,25.629833,-0.0654563903808593
190,1933,25.462418,-0.2328720092773437
191,1934,25.511168,-0.184122085571289
192,1935,25.52175,-0.1735401153564453
193,1936,25.728167,0.032876968383789
194,1937,25.489416,-0.2058734893798828
195,1938,25.693,-0.002288818359375
196,1939,25.614916,-0.0803737640380859
197,1940,25.95525,0.2599601745605469
198,1941,26.048334,0.3530445098876953
199,1942,25.743834,0.0485439300537109
200,1943,25.231333,-0.4639568328857422
201,1944,25.596083,-0.0992069244384765
202,1945,25.545416,-0.1498737335205078
203,1946,25.719,0.0237102508544921
204,1947,25.6495,-0.0457897186279296
205,1948,25.858667,0.1633777618408203
206,1949,25.79625,0.1009597778320312
207,1950,25.625668,-0.0696220397949218
208,1951,25.700583,0.0052928924560546
209,1952,25.96675,0.2714595794677734
210,1953,25.957,0.2617111206054687
211,1954,25.953333,0.2580432891845703
212,1955,25.65175,-0.0435390472412109
213,1956,25.460917,-0.2343730926513672
214,1957,25.801,0.1057109832763671
215,1958,26.113916,0.4186267852783203
216,1959,25.73425,0.0389595031738281
217,1960,25.66775,-0.0275402069091796
218,1961,26.212,0.5167102813720703
219,1962,25.8355,0.1402111053466797
220,1963,25.466084,-0.2292060852050781
221,1964,25.469084,-0.226205825805664
222,1965,25.390667,-0.3046226501464844
223,1966,25.905916,0.2106266021728515
224,1967,25.89275,0.1974601745605468
225,1968,25.4145,-0.2807903289794922
226,1969,26.1335,0.4382095336914062
227,1970,25.91,0.2147102355957031
228,1971,25.379168,-0.3161220550537109
229,1972,25.806833,0.1115436553955078
230,1973,25.868084,0.1727943420410156
231,1974,25.4595,-0.2357902526855468
232,1975,25.660667,-0.0346221923828125
233,1976,25.69475,-0.0005397796630859
234,1977,26.207167,0.5118770599365234
235,1978,25.885666,0.1903762817382812
236,1979,25.922,0.2267112731933593
237,1980,25.927917,0.2326278686523437
238,1981,25.944166,0.2488765716552734
239,1982,26.2515,0.5562095642089844
240,1983,26.174417,0.4791278839111328
241,1984,25.576416,-0.1188735961914062
242,1985,25.75675,0.0614604949951171
243,1986,26.0115,0.3162097930908203
244,1987,26.36425,0.6689605712890625
245,1988,26.329082,0.6337928771972656
246,1989,25.77775,0.0824604034423828
247,1990,26.15325,0.4579601287841797
248,1991,26.196833,0.5015430450439453
249,1992,26.217833,0.5225429534912109
250,1993,26.178167,0.4828777313232422
251,1994,26.4525,0.7572097778320312
252,1995,26.385084,0.6897945404052734
253,1996,25.953333,0.2580432891845703
254,1997,26.305166,0.6098766326904297
255,1998,26.64725,0.9519596099853516
256,1999,26.288084,0.5927944183349609
257,2000,25.9955,0.300210952758789
258,2001,26.41425,0.7189598083496094
259,2002,26.65775,0.9624595642089844
260,2003,26.6005,0.9052104949951172
261,2004,26.391916,0.6966266632080078
262,2005,26.682167,0.98687744140625
263,2006,26.465834,0.7705440521240234
264,2007,26.604584,0.9092941284179688
265,2008,26.18825,0.492959976196289
266,2009,26.59325,0.8979606628417969
267,2010,26.786833,1.091543197631836
268,2011,26.454,0.7587108612060547
269,2012,26.38325,0.6879596710205078
270,2013,26.542875,0.8475856781005859
