,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,23.060728,-0.7082347869873047
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,22.72943,-1.039533615112305
115,1858,23.28475,-0.4842128753662109
116,1859,23.404583,-0.3643798828125
117,1860,23.248455,-0.5205078125
118,1861,22.9938,-0.7751636505126953
119,1862,,
120,1863,,
121,1864,23.146418,-0.6225452423095703
122,1865,,
123,1866,,
124,1867,,
125,1868,,
126,1869,,
127,1870,,
128,1871,,
129,1872,,
130,1873,,
131,1874,,
132,1875,23.031626,-0.7373371124267578
133,1876,23.111166,-0.6577968597412109
134,1877,23.66875,-0.1002120971679687
135,1878,23.779667,0.0107040405273437
136,1879,23.029888,-0.73907470703125
137,1880,22.903418,-0.8655452728271484
138,1881,23.127916,-0.6410465240478516
139,1882,23.182917,-0.5860462188720703
140,1883,23.1545,-0.6144638061523438
141,1884,22.929667,-0.8392963409423828
142,1885,23.3105,-0.4584636688232422
143,1886,23.262167,-0.5067958831787109
144,1887,22.976334,-0.7926292419433594
145,1888,23.171917,-0.5970458984375
146,1889,23.706167,-0.0627956390380859
147,1890,22.9375,-0.8314628601074219
148,1891,23.061916,-0.7070465087890625
149,1892,23.312334,-0.4566287994384765
150,1893,23.174833,-0.5941295623779297
151,1894,23.490168,-0.2787952423095703
152,1895,23.436083,-0.3328800201416015
153,1896,23.487,-0.2819633483886719
154,1897,23.63275,-0.1362133026123047
155,1898,23.5095,-0.2594623565673828
156,1899,23.553583,-0.2153797149658203
157,1900,23.696167,-0.0727958679199218
158,1901,24.17,0.4010372161865234
159,1902,23.743834,-0.0251293182373046
160,1903,23.745167,-0.0237960815429687
161,1904,22.777666,-0.9912967681884766
162,1905,23.526417,-0.2425460815429687
163,1906,23.328333,-0.4406299591064453
164,1907,23.307167,-0.4617958068847656
165,1908,23.247334,-0.5216293334960938
166,1909,23.140083,-0.6288795471191406
167,1910,23.188168,-0.5807952880859375
168,1911,23.42925,-0.3397121429443359
169,1912,24.137,0.3680362701416015
170,1913,23.778,0.0090370178222656
171,1914,23.902666,0.1337032318115234
172,1915,23.8125,0.0435371398925781
173,1916,23.542084,-0.2268791198730468
174,1917,23.358166,-0.410797119140625
175,1918,23.196083,-0.5728797912597656
176,1919,23.588083,-0.1808795928955078
177,1920,23.50775,-0.2612133026123047
178,1921,23.804916,0.0359535217285156
179,1922,23.4325,-0.3364620208740234
180,1923,23.412083,-0.3568801879882812
181,1924,23.963833,0.1948699951171875
182,1925,23.558834,-0.2101287841796875
183,1926,23.674417,-0.0945453643798828
184,1927,23.915167,0.1462039947509765
185,1928,23.98475,0.2157878875732422
186,1929,23.619083,-0.1498794555664062
187,1930,23.635,-0.1339626312255859
188,1931,24.139917,0.3709545135498047
189,1932,23.715416,-0.0535469055175781
190,1933,23.74975,-0.0192127227783203
191,1934,23.865,0.0960369110107421
192,1935,23.967333,0.1983699798583984
193,1936,23.841,0.0720367431640625
194,1937,23.769917,0.0009536743164062
195,1938,23.864166,0.0952033996582031
196,1939,23.634916,-0.1340465545654297
197,1940,23.808,0.0390377044677734
198,1941,24.26725,0.4982872009277344
199,1942,24.077084,0.3081207275390625
200,1943,23.806,0.0370368957519531
201,1944,24.041666,0.2727031707763672
202,1945,23.993166,0.2242031097412109
203,1946,23.916082,0.1471195220947265
204,1947,23.940332,0.1713695526123047
205,1948,23.853916,0.0849533081054687
206,1949,24.077583,0.3086204528808594
207,1950,23.757584,-0.0113792419433593
208,1951,23.882584,0.1136207580566406
209,1952,23.995916,0.2269535064697265
210,1953,23.9155,0.1465377807617187
211,1954,23.637583,-0.1313800811767578
212,1955,23.56375,-0.2052135467529297
213,1956,23.455584,-0.3133792877197265
214,1957,23.786333,0.0173702239990234
215,1958,24.071,0.3020362854003906
216,1959,23.9505,0.1815376281738281
217,1960,23.767334,-0.0016288757324218
218,1961,23.7915,0.0225372314453125
219,1962,23.730167,-0.0387954711914062
220,1963,23.755833,-0.0131301879882812
221,1964,23.671917,-0.0970458984375
222,1965,23.691,-0.0779628753662109
223,1966,23.876,0.1070365905761718
224,1967,23.64075,-0.1282119750976562
225,1968,23.624834,-0.1441287994384765
226,1969,24.004917,0.2359542846679687
227,1970,23.964582,0.1956195831298828
228,1971,23.569584,-0.1993789672851562
229,1972,23.951584,0.1826210021972656
230,1973,24.168917,0.3999538421630859
231,1974,23.659584,-0.1093788146972656
232,1975,23.681,-0.0879631042480468
233,1976,23.676167,-0.0927963256835937
234,1977,24.085167,0.3162040710449219
235,1978,24.006584,0.2376213073730468
236,1979,24.170084,0.4011211395263672
237,1980,24.204082,0.43511962890625
238,1981,24.067833,0.2988700866699219
239,1982,23.931168,0.1622047424316406
240,1983,24.370167,0.6012039184570312
241,1984,23.996584,0.2276210784912109
242,1985,23.857834,0.0888710021972656
243,1986,23.981333,0.2123699188232422
244,1987,24.58325,0.8142871856689453
245,1988,24.322416,0.5534534454345703
246,1989,23.915167,0.1462039947509765
247,1990,24.207,0.4380378723144531
248,1991,24.06325,0.2942867279052734
249,1992,24.132584,0.3636207580566406
250,1993,24.086166,0.3172035217285156
251,1994,24.22525,0.4562873840332031
252,1995,24.469917,0.7009544372558594
253,1996,24.19775,0.4287872314453125
254,1997,24.535667,0.7667045593261719
255,1998,24.737333,0.9683704376220704
256,1999,24.01275,0.2437877655029297
257,2000,24.206167,0.437204360961914
258,2001,24.25625,0.4872875213623047
259,2002,24.56275,0.7937870025634766
260,2003,24.567333,0.798370361328125
261,2004,24.54775,0.7787876129150391
262,2005,24.982084,1.2131214141845703
263,2006,24.526917,0.7579536437988281
264,2007,24.385084,0.6161212921142578
265,2008,24.341333,0.5723705291748047
266,2009,24.541666,0.7727031707763672
267,2010,24.758917,0.9899539947509766
268,2011,24.163166,0.3942031860351562
269,2012,24.206333,0.4373703002929687
270,2013,24.560375,0.791412353515625
