,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,23.265572,-1.1908073425292969
115,1858,23.899876,-0.5565032958984375
116,1859,23.8937,-0.5626792907714844
117,1860,24.00891,-0.4474697113037109
118,1861,23.7025,-0.7538795471191406
119,1862,,
120,1863,,
121,1864,,
122,1865,,
123,1866,,
124,1867,,
125,1868,,
126,1869,,
127,1870,,
128,1871,,
129,1872,,
130,1873,24.21725,-0.2391281127929687
131,1874,24.178455,-0.277923583984375
132,1875,23.825,-0.631378173828125
133,1876,23.927,-0.5293788909912109
134,1877,24.34175,-0.1146297454833984
135,1878,24.326166,-0.1302127838134765
136,1879,23.5225,-0.933879852294922
137,1880,23.416916,-1.0394630432128906
138,1881,23.769,-0.6873798370361328
139,1882,23.82575,-0.6306285858154297
140,1883,23.927416,-0.5289630889892578
141,1884,23.66475,-0.7916297912597656
142,1885,24.07025,-0.3861293792724609
143,1886,23.982916,-0.4734630584716797
144,1887,23.4615,-0.9948787689208984
145,1888,23.781,-0.6753787994384766
146,1889,24.324417,-0.1319618225097656
147,1890,23.231083,-1.2252960205078125
148,1891,23.538166,-0.918212890625
149,1892,23.761417,-0.6949615478515625
150,1893,23.870916,-0.5854625701904297
151,1894,23.998833,-0.4575462341308594
152,1895,24.008667,-0.4477119445800781
153,1896,24.02425,-0.43212890625
154,1897,24.3045,-0.1518783569335937
155,1898,23.919666,-0.536712646484375
156,1899,24.2775,-0.1788787841796875
157,1900,24.287834,-0.1685447692871093
158,1901,24.675583,0.2192039489746093
159,1902,24.236917,-0.219461441040039
160,1903,24.174,-0.282379150390625
161,1904,23.377916,-1.0784626007080078
162,1905,24.093082,-0.3632965087890625
163,1906,23.957666,-0.4987125396728515
164,1907,24.035667,-0.4207115173339844
165,1908,23.971083,-0.4852962493896484
166,1909,23.983084,-0.4732952117919922
167,1910,23.961082,-0.4952964782714844
168,1911,23.8315,-0.6248798370361328
169,1912,24.661167,0.2047882080078125
170,1913,24.516916,0.0605373382568359
171,1914,24.504168,0.0477886199951171
172,1915,24.458834,0.0024547576904296
173,1916,24.4175,-0.03887939453125
174,1917,24.307333,-0.1490459442138672
175,1918,23.947834,-0.508544921875
176,1919,24.229084,-0.227294921875
177,1920,24.187084,-0.2692947387695312
178,1921,24.5285,0.0721206665039062
179,1922,24.080917,-0.3754615783691406
180,1923,24.170584,-0.2857952117919922
181,1924,24.848917,0.3925380706787109
182,1925,24.239666,-0.2167129516601562
183,1926,24.62175,0.1653709411621093
184,1927,24.699583,0.243204116821289
185,1928,24.61525,0.1588706970214843
186,1929,24.22775,-0.2286281585693359
187,1930,24.3325,-0.1238784790039062
188,1931,24.809084,0.3527050018310547
189,1932,24.363832,-0.0925464630126953
190,1933,24.61175,0.1553707122802734
191,1934,24.754917,0.2985382080078125
192,1935,24.766666,0.3102874755859375
193,1936,24.66025,0.2038707733154297
194,1937,24.86025,0.4038715362548828
195,1938,24.785166,0.3287868499755859
196,1939,24.396418,-0.0599613189697265
197,1940,24.458584,0.0022048950195312
198,1941,25.02575,0.5693702697753906
199,1942,24.958084,0.5017051696777344
200,1943,24.436,-0.0203781127929687
201,1944,25.066166,0.6097869873046875
202,1945,25.067,0.6106204986572266
203,1946,24.652584,0.1962051391601562
204,1947,24.88875,0.4323711395263672
205,1948,24.581833,0.1254539489746093
206,1949,24.979666,0.5232868194580078
207,1950,24.697416,0.241037368774414
208,1951,24.675583,0.2192039489746093
209,1952,24.678,0.2216205596923828
210,1953,24.573084,0.1167049407958984
211,1954,24.2585,-0.1978797912597656
212,1955,24.274084,-0.1822948455810547
213,1956,24.327084,-0.1292953491210937
214,1957,24.58175,0.1253719329833984
215,1958,24.656666,0.200286865234375
216,1959,24.643333,0.1869544982910156
217,1960,24.59025,0.1338710784912109
218,1961,24.365334,-0.0910453796386718
219,1962,24.56925,0.1128711700439453
220,1963,24.6915,0.2351207733154297
221,1964,24.451416,-0.0049629211425781
222,1965,24.452168,-0.00421142578125
223,1966,24.69825,0.2418708801269531
224,1967,24.43775,-0.0186290740966796
225,1968,24.426167,-0.03021240234375
226,1969,24.6965,0.240121841430664
227,1970,24.741083,0.2847042083740234
228,1971,24.326334,-0.130044937133789
229,1972,24.559334,0.1029548645019531
230,1973,24.91325,0.4568710327148437
231,1974,24.367332,-0.0890464782714843
232,1975,24.39325,-0.0631294250488281
233,1976,24.259666,-0.1967124938964843
234,1977,24.76125,0.30487060546875
235,1978,24.609,0.1526203155517578
236,1979,24.891083,0.4347038269042969
237,1980,24.7565,0.3001213073730469
238,1981,24.60025,0.1438713073730468
239,1982,24.433332,-0.0230464935302734
240,1983,24.881916,0.425537109375
241,1984,24.71375,0.2573719024658203
242,1985,24.514,0.0576210021972656
243,1986,24.5805,0.1241207122802734
244,1987,25.13025,0.6738719940185547
245,1988,24.917667,0.4612884521484375
246,1989,24.6055,0.1491203308105468
247,1990,24.7665,0.3101215362548828
248,1991,24.8215,0.365121841430664
249,1992,24.549833,0.093454360961914
250,1993,24.679832,0.2234535217285156
251,1994,24.842916,0.3865375518798828
252,1995,25.096916,0.6405372619628906
253,1996,24.668,0.2116203308105468
254,1997,25.0605,0.6041202545166016
255,1998,25.5405,1.0841217041015625
256,1999,24.8125,0.3561210632324219
257,2000,24.786,0.329620361328125
258,2001,24.732916,0.2765369415283203
259,2002,25.047667,0.5912876129150391
260,2003,25.05675,0.6003704071044922
261,2004,25.128166,0.6717872619628906
262,2005,25.268917,0.8125381469726562
263,2006,25.282667,0.8262882232666016
264,2007,25.22975,0.7733707427978516
265,2008,25.292418,0.8360385894775391
266,2009,25.34925,0.8928718566894531
267,2010,25.559416,1.103036880493164
268,2011,24.775084,0.318704605102539
269,2012,24.8735,0.4171218872070312
270,2013,25.139376,0.6829967498779297
