,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,25.186167,-0.4309101104736328
109,1852,24.992167,-0.6249103546142578
110,1853,24.992416,-0.6246604919433594
111,1854,24.9955,-0.6215763092041016
112,1855,25.105167,-0.5119094848632812
113,1856,25.269333,-0.3477439880371094
114,1857,24.875584,-0.7414932250976562
115,1858,25.1205,-0.4965763092041015
116,1859,24.962584,-0.6544933319091797
117,1860,24.805834,-0.8112430572509766
118,1861,25.105583,-0.5114936828613281
119,1862,24.87,-0.7470760345458984
120,1863,25.225666,-0.3914108276367187
121,1864,24.966084,-0.6509933471679688
122,1865,25.202,-0.4150772094726562
123,1866,24.851084,-0.7659931182861328
124,1867,25.36025,-0.2568264007568359
125,1868,25.157167,-0.459909439086914
126,1869,26.050583,0.4335060119628906
127,1870,25.22975,-0.3873271942138672
128,1871,24.986334,-0.6307430267333984
129,1872,25.518917,-0.0981597900390625
130,1873,25.151917,-0.4651603698730469
131,1874,25.236084,-0.3809928894042969
132,1875,25.333834,-0.283243179321289
133,1876,25.389584,-0.2274932861328125
134,1877,25.58925,-0.0278263092041015
135,1878,26.177,0.5599231719970703
136,1879,25.264,-0.3530769348144531
137,1880,25.312834,-0.3042430877685547
138,1881,25.36925,-0.2478275299072265
139,1882,25.131332,-0.4857444763183594
140,1883,25.068666,-0.5484104156494141
141,1884,24.8805,-0.7365760803222656
142,1885,25.032333,-0.5847434997558594
143,1886,25.182667,-0.4344100952148437
144,1887,24.824917,-0.7921600341796875
145,1888,24.895916,-0.721160888671875
146,1889,25.408333,-0.2087440490722656
147,1890,24.661083,-0.95599365234375
148,1891,25.48775,-0.1293277740478515
149,1892,24.984167,-0.6329097747802734
150,1893,24.977667,-0.6394100189208984
151,1894,25.075916,-0.5411605834960938
152,1895,25.319,-0.2980766296386719
153,1896,25.503,-0.1140766143798828
154,1897,25.887583,0.2705059051513672
155,1898,25.27725,-0.3398265838623047
156,1899,25.21725,-0.3998260498046875
157,1900,25.41625,-0.2008266448974609
158,1901,24.89,-0.7270774841308594
159,1902,25.26475,-0.3523273468017578
160,1903,25.378416,-0.2386608123779297
161,1904,24.927834,-0.6892433166503906
162,1905,25.20675,-0.4103260040283203
163,1906,25.282,-0.3350772857666015
164,1907,25.1335,-0.4835777282714844
165,1908,25.076416,-0.5406608581542969
166,1909,25.196667,-0.42041015625
167,1910,24.6355,-0.981576919555664
168,1911,25.48875,-0.128326416015625
169,1912,25.750084,0.1330070495605468
170,1913,25.202333,-0.414743423461914
171,1914,25.557167,-0.0599098205566406
172,1915,25.861834,0.2447566986083984
173,1916,25.278917,-0.3381595611572265
174,1917,24.783167,-0.8339099884033203
175,1918,25.20775,-0.4093265533447265
176,1919,25.640333,0.0232563018798828
177,1920,25.585167,-0.0319099426269531
178,1921,25.614,-0.0030765533447265
179,1922,25.657583,0.040506362915039
180,1923,25.542084,-0.0749931335449218
181,1924,25.545584,-0.0714931488037109
182,1925,25.461166,-0.1559104919433593
183,1926,25.889084,0.2720069885253906
184,1927,25.556417,-0.0606594085693359
185,1928,25.60875,-0.0083274841308593
186,1929,25.612083,-0.0049934387207031
187,1930,25.950834,0.3337574005126953
188,1931,25.90075,0.2836723327636719
189,1932,25.67925,0.062173843383789
190,1933,25.518667,-0.0984096527099609
191,1934,25.7045,0.0874233245849609
192,1935,25.39975,-0.2173271179199218
193,1936,25.698334,0.0812568664550781
194,1937,25.55775,-0.059326171875
195,1938,25.227333,-0.3897438049316406
196,1939,25.606,-0.0110759735107421
197,1940,25.98475,0.3676738739013672
198,1941,26.3395,0.7224235534667969
199,1942,25.816668,0.1995906829833984
200,1943,25.539583,-0.077493667602539
201,1944,25.45525,-0.1618270874023437
202,1945,25.645916,0.028839111328125
203,1946,25.954916,0.337839126586914
204,1947,26.002333,0.3852558135986328
205,1948,25.963583,0.346506118774414
206,1949,25.23775,-0.3793277740478515
207,1950,25.368584,-0.2484931945800781
208,1951,25.94975,0.3326740264892578
209,1952,25.802584,0.1855068206787109
210,1953,25.920584,0.303506851196289
211,1954,25.649918,0.0328407287597656
212,1955,25.525583,-0.0914936065673828
213,1956,25.511168,-0.1059093475341796
214,1957,26.242584,0.6255073547363281
215,1958,26.316166,0.6990890502929688
216,1959,25.994333,0.3772563934326172
217,1960,25.896418,0.2793407440185547
218,1961,25.809334,0.1922569274902343
219,1962,25.637333,0.0202560424804687
220,1963,25.7835,0.1664237976074218
221,1964,25.677084,0.060007095336914
222,1965,25.869583,0.2525062561035156
223,1966,25.93125,0.3141727447509765
224,1967,25.441,-0.1760768890380859
225,1968,25.472084,-0.1449928283691406
226,1969,25.951,0.33392333984375
227,1970,25.554,-0.0630760192871093
228,1971,25.431334,-0.1857433319091797
229,1972,26.051584,0.4345073699951172
230,1973,25.951334,0.3342571258544922
231,1974,25.493668,-0.1234092712402343
232,1975,25.480583,-0.1364936828613281
233,1976,25.77925,0.1621723175048828
234,1977,26.115,0.4979228973388672
235,1978,25.89925,0.2821731567382812
236,1979,25.8735,0.2564239501953125
237,1980,25.8895,0.2724227905273437
238,1981,25.7775,0.1604232788085937
239,1982,26.107916,0.4908390045166015
240,1983,26.509333,0.8922557830810547
241,1984,25.611834,-0.0052433013916015
242,1985,25.7485,0.1314239501953125
243,1986,26.025667,0.4085903167724609
244,1987,26.754667,1.137590408325195
245,1988,25.952583,0.3355064392089844
246,1989,25.77775,0.1606731414794922
247,1990,26.29025,0.6731739044189453
248,1991,26.289917,0.6728401184082031
249,1992,26.36175,0.7446727752685547
250,1993,26.319334,0.7022571563720703
251,1994,26.425833,0.8087558746337891
252,1995,26.292833,0.6757564544677734
253,1996,25.9625,0.3454227447509765
254,1997,26.80625,1.1891727447509766
255,1998,26.974083,1.3570060729980469
256,1999,25.864416,0.2473392486572265
257,2000,26.072166,0.4550895690917969
258,2001,26.114334,0.4972572326660156
259,2002,26.30675,0.6896724700927734
260,2003,26.5775,0.9604225158691406
261,2004,26.5285,0.9114227294921876
262,2005,26.40425,0.7871723175048828
263,2006,26.514917,0.8978404998779297
264,2007,26.382917,0.7658405303955078
265,2008,26.056084,0.4390068054199219
266,2009,26.522917,0.9058399200439452
267,2010,26.22675,0.6096725463867188
268,2011,26.113417,0.4963397979736328
269,2012,26.282,0.6649227142333984
270,2013,26.457556,0.8404788970947266
