,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,24.664833,-0.7436981201171875
81,1824,25.631666,0.2231349945068359
82,1825,25.412582,0.0040512084960937
83,1826,25.555334,0.1468029022216797
84,1827,26.088833,0.6803016662597656
85,1828,25.93325,0.52471923828125
86,1829,24.997583,-0.4109477996826172
87,1830,25.795666,0.3871345520019531
88,1831,24.813583,-0.5949478149414062
89,1832,24.910667,-0.49786376953125
90,1833,25.214167,-0.1943645477294922
91,1834,25.5755,0.1669692993164062
92,1835,24.640667,-0.7678642272949219
93,1836,24.84175,-0.5667819976806641
94,1837,24.897417,-0.5111141204833984
95,1838,24.615,-0.7935314178466797
96,1839,24.946083,-0.4624481201171875
97,1840,24.968834,-0.439697265625
98,1841,24.640583,-0.7679481506347656
99,1842,25.085667,-0.3228645324707031
100,1843,24.797583,-0.6109485626220703
101,1844,24.479666,-0.9288654327392578
102,1845,24.410833,-0.9976978302001952
103,1846,25.159416,-0.249114990234375
104,1847,25.002417,-0.4061145782470703
105,1848,25.0905,-0.3180313110351562
106,1849,25.60475,0.1962184906005859
107,1850,25.434668,0.0261363983154296
108,1851,25.077168,-0.3313636779785156
109,1852,24.79675,-0.6117820739746094
110,1853,24.948668,-0.4598636627197265
111,1854,24.912167,-0.4963645935058594
112,1855,24.999332,-0.4091987609863281
113,1856,25.410917,0.0023860931396484
114,1857,24.506916,-0.9016151428222656
115,1858,24.683916,-0.7246150970458984
116,1859,25.046083,-0.3624477386474609
117,1860,24.847334,-0.5611972808837891
118,1861,25.355,-0.0535316467285156
119,1862,25.347834,-0.0606975555419921
120,1863,25.166584,-0.2419471740722656
121,1864,24.62375,-0.7847805023193359
122,1865,25.249,-0.1595306396484375
123,1866,24.988667,-0.4198646545410156
124,1867,25.171417,-0.2371139526367187
125,1868,25.186333,-0.222198486328125
126,1869,25.699667,0.2911357879638672
127,1870,25.145,-0.2635307312011719
128,1871,25.09325,-0.3152809143066406
129,1872,25.112583,-0.2959480285644531
130,1873,24.808666,-0.5998649597167969
131,1874,25.177084,-0.2314472198486328
132,1875,25.398417,-0.0101146697998046
133,1876,25.258417,-0.1501140594482422
134,1877,25.394417,-0.0141143798828125
135,1878,25.644917,0.2363853454589843
136,1879,25.17775,-0.2307815551757812
137,1880,25.433834,0.0253028869628906
138,1881,25.18675,-0.221780776977539
139,1882,25.233,-0.1755313873291015
140,1883,25.533583,0.1250514984130859
141,1884,25.015167,-0.3933639526367187
142,1885,25.027916,-0.380615234375
143,1886,24.59025,-0.8182811737060547
144,1887,24.7185,-0.6900310516357422
145,1888,24.933416,-0.4751148223876953
146,1889,25.056667,-0.3518638610839844
147,1890,24.967083,-0.4414482116699219
148,1891,25.058083,-0.3504486083984375
149,1892,24.843834,-0.564697265625
150,1893,25.043417,-0.3651142120361328
151,1894,24.944916,-0.4636154174804687
152,1895,24.991667,-0.4168643951416015
153,1896,25.136,-0.272531509399414
154,1897,25.50175,0.0932197570800781
155,1898,25.225166,-0.1833648681640625
156,1899,25.362417,-0.0461139678955078
157,1900,25.344,-0.0645313262939453
158,1901,24.755667,-0.6528644561767578
159,1902,25.152,-0.25653076171875
160,1903,25.17825,-0.2302818298339843
161,1904,24.922333,-0.4861984252929687
162,1905,25.334417,-0.0741138458251953
163,1906,25.024834,-0.383697509765625
164,1907,25.236834,-0.1716976165771484
165,1908,25.226917,-0.1816139221191406
166,1909,24.997833,-0.4106979370117187
167,1910,24.555834,-0.8526973724365234
168,1911,25.404333,-0.0041980743408203
169,1912,25.52275,0.1142196655273437
170,1913,25.12425,-0.284280776977539
171,1914,25.220667,-0.1878643035888672
172,1915,25.333416,-0.0751152038574218
173,1916,25.034,-0.3745307922363281
174,1917,24.7755,-0.6330318450927734
175,1918,25.155083,-0.253448486328125
176,1919,25.410084,0.0015525817871093
177,1920,25.268417,-0.1401138305664062
178,1921,25.43275,0.0242195129394531
179,1922,25.351,-0.0575313568115234
180,1923,25.35975,-0.0487804412841796
181,1924,25.657667,0.2491359710693359
182,1925,25.59825,0.1897182464599609
183,1926,25.529583,0.1210517883300781
184,1927,25.558,0.1494693756103515
185,1928,25.363583,-0.0449485778808593
186,1929,25.574083,0.1655521392822265
187,1930,25.4785,0.0699691772460937
188,1931,25.372917,-0.035614013671875
189,1932,25.597166,0.1886348724365234
190,1933,25.512917,0.1043853759765625
191,1934,25.256083,-0.1524486541748047
192,1935,25.230667,-0.1778640747070312
193,1936,25.472584,0.0640525817871093
194,1937,25.64725,0.238718032836914
195,1938,25.451,0.0424690246582031
196,1939,25.494667,0.0861358642578125
197,1940,25.286167,-0.1223640441894531
198,1941,25.7555,0.3469696044921875
199,1942,25.734167,0.3256359100341797
200,1943,25.368084,-0.0404472351074218
201,1944,25.48675,0.0782184600830078
202,1945,25.482166,0.0736351013183593
203,1946,25.856667,0.4481353759765625
204,1947,25.851,0.4424686431884765
205,1948,26.1875,0.7789688110351562
206,1949,25.681833,0.2733020782470703
207,1950,25.144,-0.2645320892333984
208,1951,25.390417,-0.0181140899658203
209,1952,25.472,0.0634689331054687
210,1953,25.835333,0.4268016815185547
211,1954,25.424417,0.0158863067626953
212,1955,25.338583,-0.0699481964111328
213,1956,25.324417,-0.0841140747070312
214,1957,25.707,0.2984695434570312
215,1958,25.58,0.1714687347412109
216,1959,25.925917,0.5173854827880859
217,1960,25.533833,0.1253013610839843
218,1961,25.707834,0.2993030548095703
219,1962,25.434668,0.0261363983154296
220,1963,25.494583,0.0860519409179687
221,1964,25.803167,0.3946361541748047
222,1965,25.5625,0.1539688110351562
223,1966,25.265083,-0.1434478759765625
224,1967,25.578583,0.1700515747070312
225,1968,25.237583,-0.1709480285644531
226,1969,25.657833,0.2493019104003906
227,1970,25.412167,0.0036354064941406
228,1971,25.479666,0.0711345672607421
229,1972,25.771334,0.362802505493164
230,1973,25.68425,0.2757186889648437
231,1974,25.54975,0.1412181854248047
232,1975,25.89075,0.4822196960449219
233,1976,25.502583,0.0940513610839843
234,1977,25.656918,0.2483863830566406
235,1978,25.626833,0.218301773071289
236,1979,25.67825,0.2697181701660156
237,1980,25.848167,0.43963623046875
238,1981,25.4865,0.0779685974121093
239,1982,26.08175,0.6732196807861328
240,1983,25.866333,0.4578018188476562
241,1984,25.632584,0.2240524291992187
242,1985,25.671833,0.2633018493652344
243,1986,25.872583,0.4640522003173828
244,1987,25.92475,0.5162181854248047
245,1988,25.82475,0.4162197113037109
246,1989,25.903418,0.4948863983154297
247,1990,26.133417,0.7248859405517578
248,1991,26.165833,0.7573013305664062
249,1992,25.859583,0.4510517120361328
250,1993,25.874416,0.4658851623535156
251,1994,26.264668,0.8561363220214844
252,1995,26.1275,0.7189693450927734
253,1996,25.801332,0.392801284790039
254,1997,26.63825,1.229719161987305
255,1998,26.407084,0.9985523223876952
256,1999,25.7975,0.3889694213867187
257,2000,25.785,0.3764686584472656
258,2001,25.856417,0.447885513305664
259,2002,26.313,0.9044685363769532
260,2003,26.361584,0.9530525207519532
261,2004,26.268917,0.8603858947753906
262,2005,26.144083,0.7355518341064453
263,2006,26.1545,0.7459678649902344
264,2007,26.27975,0.8712196350097656
265,2008,26.05475,0.6462192535400391
266,2009,26.022333,0.6138019561767578
267,2010,25.627333,0.2188014984130859
268,2011,26.153,0.7444686889648438
269,2012,26.059,0.6504688262939453
270,2013,26.250444,0.8419132232666016
