,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,21.646,2.851409912109375
49,1792,18.641083,-0.1535072326660156
50,1793,18.458666,-0.3359241485595703
51,1794,18.8575,0.0629100799560546
52,1795,18.75791,-0.0366802215576171
53,1796,18.839167,0.0445766448974609
54,1797,19.10575,0.3111591339111328
55,1798,19.164417,0.3698272705078125
56,1799,18.979666,0.1850757598876953
57,1800,18.978582,0.1839923858642578
58,1801,19.3775,0.5829105377197266
59,1802,19.506083,0.7114925384521484
60,1803,19.449364,0.6547737121582031
61,1804,19.123583,0.3289928436279297
62,1805,18.768333,-0.0262565612792968
63,1806,18.984083,0.189493179321289
64,1807,18.94475,0.1501598358154297
65,1808,18.16875,-0.6258392333984375
66,1809,17.518,-1.276590347290039
67,1810,17.627083,-1.1675071716308594
68,1811,17.666,-1.1285896301269531
69,1812,17.493834,-1.3007564544677734
70,1813,17.96475,-0.8298397064208984
71,1814,18.07725,-0.7173404693603516
72,1815,17.818167,-0.9764232635498048
73,1816,17.405167,-1.389423370361328
74,1817,17.634,-1.1605892181396484
75,1818,18.383917,-0.4106731414794922
76,1819,18.003834,-0.7907562255859375
77,1820,18.16525,-0.6293392181396484
78,1821,18.152916,-0.6416740417480469
79,1822,18.05375,-0.7408409118652344
80,1823,18.416834,-0.377756118774414
81,1824,19.211416,0.4168262481689453
82,1825,18.41075,-0.3838405609130859
83,1826,18.336166,-0.4584236145019531
84,1827,19.29125,0.4966602325439453
85,1828,18.458334,-0.3362560272216797
86,1829,18.397417,-0.3971729278564453
87,1830,18.717083,-0.0775070190429687
88,1831,18.073084,-0.7215061187744141
89,1832,17.364,-1.4305896759033203
90,1833,18.310917,-0.483673095703125
91,1834,18.164167,-0.6304225921630859
92,1835,17.725,-1.069589614868164
93,1836,18.189333,-0.6052570343017578
94,1837,17.795416,-0.9991741180419922
95,1838,17.661917,-1.132673263549805
96,1839,17.944334,-0.8502559661865234
97,1840,17.926083,-0.8685073852539062
98,1841,18.583666,-0.2109241485595703
99,1842,18.336834,-0.4577560424804687
100,1843,18.370333,-0.4242572784423828
101,1844,18.203583,-0.5910072326660156
102,1845,18.524166,-0.2704238891601562
103,1846,19.089666,0.2950763702392578
104,1847,18.678,-0.1165904998779296
105,1848,18.607416,-0.187173843383789
106,1849,18.508667,-0.2859230041503906
107,1850,17.944584,-0.850006103515625
108,1851,18.895166,0.1005764007568359
109,1852,18.603333,-0.1912574768066406
110,1853,19.337418,0.5428276062011719
111,1854,18.169167,-0.6254234313964844
112,1855,18.699667,-0.0949230194091796
113,1856,18.149334,-0.6452560424804688
114,1857,17.7165,-1.0780906677246094
115,1858,18.327583,-0.4670066833496094
116,1859,18.52525,-0.2693405151367187
117,1860,19.116417,0.3218269348144531
118,1861,17.68,-1.1145896911621094
119,1862,17.7495,-1.0450897216796875
120,1863,18.149334,-0.6452560424804688
121,1864,18.631332,-0.1632575988769531
122,1865,18.962584,0.1679935455322265
123,1866,18.792917,-0.0016727447509765
124,1867,18.694666,-0.099924087524414
125,1868,18.355417,-0.4391727447509765
126,1869,18.976084,0.1814937591552734
127,1870,18.807083,0.0124931335449218
128,1871,18.355333,-0.4392566680908203
129,1872,18.971916,0.1773262023925781
130,1873,19.152666,0.3580760955810547
131,1874,18.340666,-0.4539241790771484
132,1875,17.535084,-1.2595062255859375
133,1876,18.905834,0.1112442016601562
134,1877,19.14475,0.3501605987548828
135,1878,19.077,0.28240966796875
136,1879,19.557083,0.7624931335449219
137,1880,18.016916,-0.7776737213134766
138,1881,18.600584,-0.1940059661865234
139,1882,17.733833,-1.0607566833496094
140,1883,18.450583,-0.3440074920654297
141,1884,18.050417,-0.7441730499267578
142,1885,19.025917,0.2313270568847656
143,1886,18.509916,-0.2846736907958984
144,1887,18.897,0.1024093627929687
145,1888,18.4955,-0.2990894317626953
146,1889,18.96925,0.1746597290039062
147,1890,18.741917,-0.05267333984375
148,1891,18.635084,-0.1595058441162109
149,1892,18.864,0.0694103240966796
150,1893,18.264584,-0.5300064086914062
151,1894,18.174667,-0.6199226379394531
152,1895,18.523333,-0.2712574005126953
153,1896,18.394083,-0.4005069732666015
154,1897,18.014917,-0.7796726226806641
155,1898,18.50525,-0.2893390655517578
156,1899,18.516916,-0.2776737213134765
157,1900,19.020584,0.2259941101074218
158,1901,19.444334,0.6497440338134766
159,1902,19.013083,0.2184925079345703
160,1903,18.4795,-0.3150901794433594
161,1904,18.395834,-0.3987560272216797
162,1905,18.422667,-0.3719234466552734
163,1906,18.5075,-0.2870903015136719
164,1907,17.902666,-0.8919239044189453
165,1908,17.903833,-0.8907566070556641
166,1909,19.09775,0.3031597137451172
167,1910,18.235167,-0.5594234466552734
168,1911,17.9315,-0.8630905151367188
169,1912,18.479416,-0.3151741027832031
170,1913,18.123083,-0.6715068817138672
171,1914,18.449083,-0.3455066680908203
172,1915,19.14025,0.3456592559814453
173,1916,19.2445,0.4499092102050781
174,1917,18.990168,0.1955776214599609
175,1918,18.724583,-0.07000732421875
176,1919,18.878166,0.0835762023925781
177,1920,18.030916,-0.7636737823486328
178,1921,18.150833,-0.6437568664550781
179,1922,19.148916,0.3543262481689453
180,1923,19.174583,0.3799934387207031
181,1924,19.04225,0.247659683227539
182,1925,18.86625,0.0716590881347656
183,1926,19.108418,0.3138275146484375
184,1927,19.47375,0.6791591644287109
185,1928,19.2775,0.48291015625
186,1929,18.624916,-0.1696739196777343
187,1930,19.249666,0.4550762176513672
188,1931,19.03025,0.2356605529785156
189,1932,18.933584,0.1389942169189453
190,1933,18.219166,-0.5754241943359375
191,1934,19.139,0.3444099426269531
192,1935,19.42675,0.6321601867675781
193,1936,19.296167,0.5015773773193359
194,1937,19.459583,0.6649932861328125
195,1938,18.751417,-0.0431728363037109
196,1939,19.329082,0.5344924926757812
197,1940,19.064917,0.2703266143798828
198,1941,19.317583,0.5229930877685547
199,1942,18.947332,0.1527423858642578
200,1943,18.832916,0.0383262634277343
201,1944,18.949667,0.1550769805908203
202,1945,18.71425,-0.0803394317626953
203,1946,19.304667,0.5100765228271484
204,1947,19.873167,1.0785770416259766
205,1948,18.478666,-0.3159236907958984
206,1949,18.232584,-0.5620059967041016
207,1950,18.796333,0.0017433166503906
208,1951,19.301,0.5064105987548828
209,1952,19.290583,0.4959926605224609
210,1953,18.243584,-0.5510063171386719
211,1954,19.151333,0.3567428588867187
212,1955,19.733084,0.9384937286376952
213,1956,18.8565,0.0619106292724609
214,1957,19.10575,0.3111591339111328
215,1958,19.402666,0.6080760955810547
216,1959,18.437084,-0.3575057983398437
217,1960,19.935833,1.1412429809570312
218,1961,19.09475,0.3001594543457031
219,1962,19.892666,1.0980758666992188
220,1963,19.5685,0.7739105224609375
221,1964,18.613083,-0.1815071105957031
222,1965,18.923,0.1284103393554687
223,1966,19.653166,0.8585758209228516
224,1967,18.3745,-0.4200897216796875
225,1968,19.193083,0.3984928131103515
226,1969,19.213167,0.4185771942138672
227,1970,19.297916,0.503326416015625
228,1971,18.906666,0.1120758056640625
229,1972,18.594334,-0.20025634765625
230,1973,18.989916,0.1953258514404297
231,1974,18.840334,0.0457439422607421
232,1975,18.835833,0.0412425994873046
233,1976,18.576084,-0.218505859375
234,1977,19.0565,0.2619094848632812
235,1978,19.23775,0.4431591033935547
236,1979,19.55575,0.7611598968505859
237,1980,18.850082,0.0554924011230468
238,1981,19.231916,0.437326431274414
239,1982,18.566416,-0.2281742095947265
240,1983,18.424334,-0.3702564239501953
241,1984,18.943333,0.14874267578125
242,1985,19.19775,0.4031600952148437
243,1986,19.284416,0.4898262023925781
244,1987,18.882917,0.088327407836914
245,1988,19.0795,0.2849102020263672
246,1989,19.08,0.285409927368164
247,1990,19.194416,0.3998260498046875
248,1991,19.08275,0.2881603240966797
249,1992,18.04925,-0.7453403472900391
250,1993,18.949,0.1544094085693359
251,1994,19.802,1.0074100494384766
252,1995,19.079,0.2844104766845703
253,1996,19.475584,0.6809940338134766
254,1997,18.87625,0.0816593170166015
255,1998,19.964083,1.1694927215576172
256,1999,20.07375,1.2791595458984375
257,2000,19.442,0.6474094390869141
258,2001,20.01175,1.2171592712402344
259,2002,19.729166,0.9345760345458984
260,2003,19.735083,0.9404926300048828
261,2004,19.59575,0.8011608123779297
262,2005,19.587084,0.7924938201904297
263,2006,19.540167,0.7455768585205078
264,2007,19.945333,1.1507434844970703
265,2008,20.14475,1.3501605987548828
266,2009,20.157333,1.3627433776855469
267,2010,20.952,2.15740966796875
268,2011,19.681917,0.8873271942138672
269,2012,20.012,1.2174091339111328
270,2013,20.349874,1.5552845001220703
