,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,25.392084,-0.5582160949707031
107,1850,25.353582,-0.5967178344726562
108,1851,25.471,-0.4792995452880859
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,25.356167,-0.5941333770751953
114,1857,24.999636,-0.950664520263672
115,1858,25.277834,-0.6724662780761719
116,1859,25.7735,-0.1767997741699218
117,1860,25.37225,-0.5780506134033203
118,1861,25.304916,-0.6453838348388672
119,1862,25.011084,-0.9392166137695312
120,1863,25.38675,-0.5635509490966797
121,1864,25.428083,-0.522216796875
122,1865,25.570084,-0.3802165985107422
123,1866,,
124,1867,,
125,1868,25.393091,-0.5572090148925781
126,1869,25.4807,-0.4696006774902344
127,1870,25.453728,-0.4965724945068359
128,1871,,
129,1872,,
130,1873,25.501667,-0.4486331939697265
131,1874,25.411,-0.5393009185791016
132,1875,24.982166,-0.9681339263916016
133,1876,24.956583,-0.9937171936035156
134,1877,25.604166,-0.3461341857910156
135,1878,25.709333,-0.240966796875
136,1879,25.250416,-0.6998844146728516
137,1880,25.80075,-0.1495494842529297
138,1881,25.94175,-0.0085506439208984
139,1882,25.562334,-0.3879661560058594
140,1883,26.012667,0.0623664855957031
141,1884,26.37675,0.4264507293701172
142,1885,,
143,1886,25.246666,-0.7036342620849609
144,1887,24.86325,-1.0870494842529297
145,1888,24.88375,-1.066549301147461
146,1889,24.805,-1.1452999114990234
147,1890,24.772917,-1.1773834228515625
148,1891,25.056,-0.8943004608154297
149,1892,25.171833,-0.7784671783447266
150,1893,25.241417,-0.7088832855224609
151,1894,24.966084,-0.9842166900634766
152,1895,25.235834,-0.7144660949707031
153,1896,25.341667,-0.6086330413818359
154,1897,25.613832,-0.3364677429199219
155,1898,25.356,-0.59429931640625
156,1899,26.140083,0.1897830963134765
157,1900,25.90025,-0.0500507354736328
158,1901,25.755833,-0.194467544555664
159,1902,25.544666,-0.4056339263916015
160,1903,25.370916,-0.5793838500976562
161,1904,25.076666,-0.8736343383789062
162,1905,25.597084,-0.3532161712646484
163,1906,25.842333,-0.1079673767089843
164,1907,25.392416,-0.5578842163085938
165,1908,25.544333,-0.4059677124023437
166,1909,25.314667,-0.6356334686279297
167,1910,25.807333,-0.1429672241210937
168,1911,25.249916,-0.7003841400146484
169,1912,26.216833,0.2665328979492187
170,1913,26.17775,0.2274494171142578
171,1914,26.115667,0.1653671264648437
172,1915,26.130333,0.180032730102539
173,1916,25.852667,-0.0976333618164062
174,1917,25.920584,-0.0297164916992187
175,1918,25.754917,-0.195383071899414
176,1919,26.054167,0.1038665771484375
177,1920,26.112667,0.1623668670654297
178,1921,26.063833,0.1135330200195312
179,1922,25.960417,0.0101165771484375
180,1923,25.718416,-0.2318840026855468
181,1924,25.964582,0.0142822265625
182,1925,25.942417,-0.007883071899414
183,1926,26.36875,0.4184494018554687
184,1927,26.03225,0.081949234008789
185,1928,25.835333,-0.1149673461914062
186,1929,26.074333,0.124032974243164
187,1930,26.162916,0.212615966796875
188,1931,26.128666,0.1783657073974609
189,1932,25.691833,-0.2584667205810547
190,1933,26.119417,0.1691169738769531
191,1934,26.136417,0.1861171722412109
192,1935,25.919416,-0.0308837890625
193,1936,25.773834,-0.1764659881591797
194,1937,26.288166,0.3378658294677734
195,1938,26.22825,0.2779502868652344
196,1939,25.852833,-0.0974674224853515
197,1940,26.46825,0.5179500579833984
198,1941,26.53525,0.5849494934082031
199,1942,26.035917,0.0856170654296875
200,1943,25.8925,-0.05780029296875
201,1944,26.309,0.3586997985839844
202,1945,26.1765,0.2262001037597656
203,1946,26.0145,0.0641994476318359
204,1947,26.33875,0.3884506225585937
205,1948,25.951666,0.0013656616210937
206,1949,26.175833,0.2255325317382812
207,1950,25.88125,-0.0690498352050781
208,1951,26.0575,0.1072006225585937
209,1952,26.033417,0.0831165313720703
210,1953,26.084583,0.1342830657958984
211,1954,25.84075,-0.1095504760742187
212,1955,25.823334,-0.1269664764404297
213,1956,25.76925,-0.1810493469238281
214,1957,26.032583,0.0822830200195312
215,1958,26.133417,0.1831169128417968
216,1959,26.191416,0.2411155700683593
217,1960,26.143,0.1926994323730468
218,1961,26.067583,0.1172828674316406
219,1962,26.009417,0.0591163635253906
220,1963,26.299084,0.3487834930419922
221,1964,25.87075,-0.0795497894287109
222,1965,25.862583,-0.087717056274414
223,1966,26.187166,0.2368659973144531
224,1967,25.8055,-0.1448001861572265
225,1968,26.058916,0.1086158752441406
226,1969,26.420416,0.4701156616210937
227,1970,26.317917,0.3676166534423828
228,1971,25.868,-0.0823001861572265
229,1972,26.143084,0.1927833557128906
230,1973,26.578,0.6276988983154297
231,1974,25.945417,-0.0048828125
232,1975,25.846416,-0.1038837432861328
233,1976,25.67575,-0.2745494842529297
234,1977,26.284334,0.3340339660644531
235,1978,26.13375,0.183450698852539
236,1979,26.414083,0.4637832641601562
237,1980,26.32775,0.3774490356445312
238,1981,26.34175,0.391448974609375
239,1982,26.02425,0.0739498138427734
240,1983,26.60125,0.6509494781494141
241,1984,26.360167,0.4098663330078125
242,1985,26.141,0.1907005310058593
243,1986,26.121834,0.1715335845947265
244,1987,27.002417,1.0521163940429688
245,1988,26.494333,0.5440330505371094
246,1989,26.393333,0.443033218383789
247,1990,26.4985,0.5482006072998047
248,1991,26.334667,0.3843669891357422
249,1992,26.17725,0.2269496917724609
250,1993,26.322834,0.3725337982177734
251,1994,26.24825,0.2979488372802734
252,1995,26.4645,0.5142002105712891
253,1996,26.423334,0.4730339050292969
254,1997,26.460833,0.5105323791503906
255,1998,27.040667,1.0903663635253906
256,1999,26.414583,0.4642829895019531
257,2000,26.402334,0.4520339965820312
258,2001,26.673334,0.7230339050292969
259,2002,26.769667,0.819366455078125
260,2003,26.939333,0.989032745361328
261,2004,26.828583,0.8782825469970703
262,2005,26.914917,0.9646167755126952
263,2006,26.7915,0.8411998748779297
264,2007,26.944584,0.9942836761474608
265,2008,26.75825,0.8079490661621094
266,2009,26.934334,0.9840335845947266
267,2010,27.146584,1.1962833404541016
268,2011,26.83725,0.8869495391845703
269,2012,26.552416,0.6021156311035156
270,2013,27.061125,1.1108245849609375
