,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,,
115,1858,,
116,1859,,
117,1860,,
118,1861,,
119,1862,,
120,1863,,
121,1864,28.244833,-0.5770282745361328
122,1865,,
123,1866,,
124,1867,,
125,1868,,
126,1869,,
127,1870,,
128,1871,,
129,1872,,
130,1873,,
131,1874,,
132,1875,29.111626,0.289764404296875
133,1876,28.123833,-0.698028564453125
134,1877,28.744333,-0.0775279998779296
135,1878,28.938417,0.116556167602539
136,1879,,
137,1880,28.928,0.1061382293701171
138,1881,28.590092,-0.2317695617675781
139,1882,28.467583,-0.354278564453125
140,1883,28.303917,-0.5179443359375
141,1884,28.17375,-0.6481113433837891
142,1885,28.47925,-0.3426113128662109
143,1886,28.58025,-0.2416114807128906
144,1887,28.139584,-0.6822776794433594
145,1888,28.298166,-0.5236949920654297
146,1889,28.646917,-0.1749439239501953
147,1890,28.574667,-0.2471942901611328
148,1891,28.589,-0.2328605651855468
149,1892,28.29325,-0.5286121368408203
150,1893,28.44275,-0.3791103363037109
151,1894,28.320084,-0.5017776489257812
152,1895,28.445,-0.376861572265625
153,1896,28.47625,-0.345611572265625
154,1897,28.749916,-0.0719451904296875
155,1898,28.867167,0.0453052520751953
156,1899,28.593834,-0.22802734375
157,1900,28.543833,-0.2780284881591797
158,1901,28.513416,-0.3084449768066406
159,1902,28.523167,-0.2986946105957031
160,1903,28.323668,-0.4981937408447265
161,1904,28.586834,-0.2350273132324218
162,1905,28.545918,-0.2759437561035156
163,1906,28.432417,-0.389444351196289
164,1907,28.156166,-0.6656951904296875
165,1908,28.189333,-0.6325283050537109
166,1909,28.43475,-0.3871116638183594
167,1910,28.893333,0.07147216796875
168,1911,28.74425,-0.0776119232177734
169,1912,28.303333,-0.5185279846191406
170,1913,28.227833,-0.5940284729003906
171,1914,28.872917,0.051055908203125
172,1915,29.254667,0.4328060150146484
173,1916,28.092167,-0.7296943664550781
174,1917,28.04875,-0.7731113433837891
175,1918,27.97825,-0.8436107635498047
176,1919,28.993166,0.171304702758789
177,1920,28.80975,-0.0121116638183593
178,1921,28.394083,-0.4277782440185547
179,1922,28.07075,-0.7511119842529297
180,1923,28.300083,-0.5217781066894531
181,1924,28.67975,-0.1421108245849609
182,1925,28.503084,-0.3187770843505859
183,1926,28.858,0.0361385345458984
184,1927,28.559084,-0.2627773284912109
185,1928,28.612417,-0.2094440460205078
186,1929,28.632416,-0.1894454956054687
187,1930,28.60275,-0.2191104888916015
188,1931,28.770166,-0.0516948699951171
189,1932,28.270834,-0.5510272979736328
190,1933,28.648834,-0.1730270385742187
191,1934,28.4215,-0.4003620147705078
192,1935,28.720917,-0.1009445190429687
193,1936,28.49725,-0.3246116638183594
194,1937,28.516417,-0.3054447174072265
195,1938,28.651833,-0.1700286865234375
196,1939,28.817,-0.004861831665039
197,1940,28.991417,0.1695556640625
198,1941,29.428833,0.6069717407226562
199,1942,29.222584,0.4007225036621094
200,1943,28.834167,0.0123062133789062
201,1944,29.088667,0.2668056488037109
202,1945,29.120583,0.2987213134765625
203,1946,28.844667,0.022806167602539
204,1947,29.017084,0.1952228546142578
205,1948,28.879667,0.0578060150146484
206,1949,28.698833,-0.1230278015136718
207,1950,28.355917,-0.4659442901611328
208,1951,28.706667,-0.1151943206787109
209,1952,28.56625,-0.2556114196777344
210,1953,28.7735,-0.0483608245849609
211,1954,28.723667,-0.0981941223144531
212,1955,28.613,-0.2088603973388672
213,1956,28.343166,-0.4786949157714844
214,1957,28.310917,-0.5109443664550781
215,1958,29.011168,0.1893062591552734
216,1959,28.67025,-0.151611328125
217,1960,28.701166,-0.1206951141357421
218,1961,28.8695,0.047637939453125
219,1962,28.718334,-0.1035270690917968
220,1963,29.097584,0.2757225036621094
221,1964,28.643833,-0.1780281066894531
222,1965,28.422333,-0.3995285034179687
223,1966,28.8195,-0.0023612976074218
224,1967,28.555416,-0.2664451599121094
225,1968,28.543583,-0.2782783508300781
226,1969,29.148333,0.3264713287353515
227,1970,28.98925,0.167388916015625
228,1971,28.609333,-0.2125282287597656
229,1972,29.089083,0.267221450805664
230,1973,29.114584,0.2927227020263672
231,1974,28.467333,-0.3545284271240234
232,1975,28.697834,-0.1240272521972656
233,1976,28.716,-0.1058616638183593
234,1977,29.019417,0.1975555419921875
235,1978,29.06325,0.2413883209228515
236,1979,29.035833,0.2139720916748047
237,1980,29.509417,0.6875553131103516
238,1981,28.879168,0.0573062896728515
239,1982,29.047083,0.2252216339111328
240,1983,29.176584,0.3547229766845703
241,1984,28.690666,-0.131195068359375
242,1985,28.689667,-0.1321945190429687
243,1986,28.797916,-0.0239448547363281
244,1987,29.113667,0.2918052673339844
245,1988,29.531834,0.7099723815917969
246,1989,28.797,-0.0248603820800781
247,1990,29.303,0.4811382293701172
248,1991,29.289417,0.4675559997558594
249,1992,28.999,0.1771392822265625
250,1993,28.740833,-0.0810279846191406
251,1994,29.062334,0.2404727935791015
252,1995,29.25975,0.4378890991210937
253,1996,29.16525,0.3433895111083984
254,1997,29.269333,0.4474716186523437
255,1998,29.7805,0.9586391448974608
256,1999,29.3715,0.5496387481689453
257,2000,29.86,1.0381393432617188
258,2001,29.476917,0.6550559997558594
259,2002,29.531584,0.7097225189208984
260,2003,29.757833,0.9359722137451172
261,2004,29.540916,0.71905517578125
262,2005,29.808584,0.9867229461669922
263,2006,29.777416,0.9555549621582032
264,2007,29.786333,0.9644718170166016
265,2008,29.33925,0.5173892974853516
266,2009,29.89675,1.0748882293701172
267,2010,29.837,1.0151386260986328
268,2011,29.844334,1.0224723815917969
269,2012,29.923584,1.1017227172851562
270,2013,30.74475,1.9228878021240237
