,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,25.783272,-0.326700210571289
82,1825,26.259167,0.1491947174072265
83,1826,25.8281,-0.2818717956542969
84,1827,26.010454,-0.099517822265625
85,1828,25.936274,-0.1736984252929687
86,1829,25.7269,-0.3830718994140625
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,25.546667,-0.5633049011230469
103,1846,26.084167,-0.0258045196533203
104,1847,25.54625,-0.5637226104736328
105,1848,25.526917,-0.5830554962158203
106,1849,25.5695,-0.5404720306396484
107,1850,25.619083,-0.4908885955810547
108,1851,25.70025,-0.4097213745117187
109,1852,25.567833,-0.5421390533447266
110,1853,25.769417,-0.340555191040039
111,1854,25.65225,-0.4577217102050781
112,1855,25.784334,-0.3256378173828125
113,1856,25.821167,-0.2888050079345703
114,1857,25.348,-0.7619724273681641
115,1858,25.384,-0.7259712219238281
116,1859,25.428583,-0.6813888549804688
117,1860,25.600916,-0.5090560913085938
118,1861,25.666,-0.4439716339111328
119,1862,25.516417,-0.5935554504394531
120,1863,25.542166,-0.5678062438964844
121,1864,25.627916,-0.4820556640625
122,1865,25.845333,-0.2646389007568359
123,1866,25.760416,-0.3495559692382812
124,1867,25.824583,-0.2853889465332031
125,1868,26.001167,-0.108804702758789
126,1869,25.970833,-0.139139175415039
127,1870,25.577084,-0.5328884124755859
128,1871,25.995333,-0.1146392822265625
129,1872,26.047333,-0.0626392364501953
130,1873,25.83025,-0.2797222137451172
131,1874,25.732334,-0.3776378631591797
132,1875,25.58925,-0.520721435546875
133,1876,25.819166,-0.2908058166503906
134,1877,26.252832,0.1428604125976562
135,1878,26.308,0.198028564453125
136,1879,25.7345,-0.3754711151123047
137,1880,25.411333,-0.698638916015625
138,1881,25.725584,-0.3843879699707031
139,1882,25.567083,-0.5428886413574219
140,1883,25.3595,-0.7504711151123047
141,1884,25.376083,-0.7338886260986328
142,1885,25.9225,-0.1874713897705078
143,1886,25.518667,-0.5913047790527344
144,1887,25.432333,-0.6776390075683594
145,1888,25.809334,-0.300638198852539
146,1889,26.047333,-0.0626392364501953
147,1890,25.240334,-0.8696384429931641
148,1891,25.937916,-0.1720561981201172
149,1892,25.87525,-0.2347221374511718
150,1893,25.630917,-0.4790554046630859
151,1894,25.532917,-0.5770549774169922
152,1895,25.67275,-0.4372215270996094
153,1896,25.751917,-0.3580551147460937
154,1897,25.925667,-0.184305191040039
155,1898,25.886,-0.2239723205566406
156,1899,25.778584,-0.3313884735107422
157,1900,25.904833,-0.20513916015625
158,1901,26.11425,0.0042781829833984
159,1902,26.078583,-0.0313892364501953
160,1903,25.9385,-0.1714725494384765
161,1904,25.597584,-0.5123882293701172
162,1905,25.878584,-0.2313880920410156
163,1906,25.840166,-0.269805908203125
164,1907,25.72325,-0.3867225646972656
165,1908,25.734083,-0.3758888244628906
166,1909,25.599417,-0.5105552673339844
167,1910,25.553083,-0.5568885803222656
168,1911,25.793667,-0.3163051605224609
169,1912,25.84925,-0.260721206665039
170,1913,25.438583,-0.6713886260986328
171,1914,25.948084,-0.1618881225585937
172,1915,26.177834,0.0678615570068359
173,1916,25.757,-0.3529720306396484
174,1917,25.499332,-0.6106395721435547
175,1918,25.69925,-0.4107227325439453
176,1919,26.071,-0.0389728546142578
177,1920,25.684334,-0.425638198852539
178,1921,25.804583,-0.305389404296875
179,1922,25.789167,-0.3208045959472656
180,1923,25.796333,-0.313638687133789
181,1924,26.120333,0.0103607177734375
182,1925,25.81875,-0.2912216186523437
183,1926,26.314167,0.2041950225830078
184,1927,26.134167,0.0241947174072265
185,1928,26.161583,0.0516109466552734
186,1929,25.903584,-0.2063884735107422
187,1930,26.181334,0.0713615417480468
188,1931,26.622084,0.5121116638183594
189,1932,26.3995,0.2895278930664062
190,1933,26.02775,-0.0822219848632812
191,1934,25.915,-0.1949710845947265
192,1935,25.795166,-0.3148059844970703
193,1936,25.832417,-0.2775554656982422
194,1937,26.1905,0.0805282592773437
195,1938,25.85,-0.2599716186523437
196,1939,26.04975,-0.0602226257324218
197,1940,26.516,0.4060287475585937
198,1941,26.646917,0.5369453430175781
199,1942,26.521334,0.4113616943359375
200,1943,26.036583,-0.0733890533447265
201,1944,26.137667,0.0276947021484375
202,1945,25.785833,-0.3241386413574219
203,1946,26.044666,-0.0653057098388671
204,1947,26.409666,0.2996940612792969
205,1948,26.2195,0.109527587890625
206,1949,25.973667,-0.1363048553466797
207,1950,25.798,-0.3119716644287109
208,1951,26.202333,0.0923614501953125
209,1952,26.543333,0.4333610534667969
210,1953,26.508917,0.3989448547363281
211,1954,26.07725,-0.0327224731445312
212,1955,26.338667,0.2286949157714843
213,1956,26.10075,-0.0092220306396484
214,1957,26.17975,0.0697784423828125
215,1958,26.758167,0.6481952667236328
216,1959,26.490583,0.3806114196777344
217,1960,26.603083,0.4931106567382812
218,1961,26.349916,0.2399444580078125
219,1962,26.473417,0.3634452819824219
220,1963,26.603916,0.4939441680908203
221,1964,26.394167,0.2841949462890625
222,1965,26.21525,0.1052780151367187
223,1966,26.358583,0.2486114501953125
224,1967,26.095,-0.0149726867675781
225,1968,26.1335,0.0235271453857421
226,1969,26.655167,0.5451946258544922
227,1970,26.423084,0.3131122589111328
228,1971,26.089333,-0.020639419555664
229,1972,26.327,0.2170276641845703
230,1973,26.490168,0.3801956176757812
231,1974,26.0875,-0.0224723815917968
232,1975,26.037083,-0.0728893280029296
233,1976,25.95125,-0.158721923828125
234,1977,26.426083,0.316110610961914
235,1978,26.51575,0.4057788848876953
236,1979,26.442667,0.3326950073242187
237,1980,26.753334,0.6433620452880859
238,1981,26.686333,0.5763607025146484
239,1982,26.436,0.326028823852539
240,1983,26.69675,0.5867786407470703
241,1984,26.250834,0.1408615112304687
242,1985,26.27475,0.1647777557373047
243,1986,26.358084,0.2481117248535156
244,1987,26.94775,0.8377780914306641
245,1988,26.6615,0.5515289306640625
246,1989,26.378666,0.2686939239501953
247,1990,26.629833,0.5198612213134766
248,1991,26.544584,0.4346122741699219
249,1992,26.619,0.5090274810791016
250,1993,26.647917,0.5379447937011719
251,1994,26.6245,0.5145282745361328
252,1995,26.974333,0.8643608093261719
253,1996,26.6325,0.5225276947021484
254,1997,26.957167,0.8471946716308594
255,1998,27.268,1.1580276489257812
256,1999,26.81325,0.703277587890625
257,2000,26.5715,0.4615287780761719
258,2001,26.902166,0.7921943664550781
259,2002,26.935667,0.8256950378417969
260,2003,27.08,0.9700279235839844
261,2004,26.829666,0.7196941375732422
262,2005,27.31925,1.2092781066894531
263,2006,27.148582,1.0386104583740234
264,2007,27.094418,0.984445571899414
265,2008,26.664667,0.5546951293945312
266,2009,26.9505,0.8405284881591797
267,2010,27.486834,1.376861572265625
268,2011,26.987833,0.8778610229492188
269,2012,27.112333,1.002361297607422
270,2013,26.922125,0.8121528625488281
