,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,25.494364,-0.0540485382080078
82,1825,25.616667,0.0682544708251953
83,1826,25.468166,-0.0802459716796875
84,1827,25.90675,0.35833740234375
85,1828,25.848083,0.2996711730957031
86,1829,25.18625,-0.362161636352539
87,1830,25.834917,0.2865047454833984
88,1831,24.844917,-0.7034950256347656
89,1832,24.5535,-0.9949131011962892
90,1833,,
91,1834,,
92,1835,24.70325,-0.8451614379882812
93,1836,,
94,1837,25.767666,0.2192535400390625
95,1838,24.811167,-0.7372455596923828
96,1839,25.0055,-0.5429115295410156
97,1840,24.997583,-0.5508289337158203
98,1841,24.717417,-0.8309955596923828
99,1842,25.122417,-0.425994873046875
100,1843,25.0105,-0.5379123687744141
101,1844,24.539167,-1.0092449188232422
102,1845,24.664333,-0.8840789794921875
103,1846,25.434584,-0.1138286590576171
104,1847,25.12425,-0.4241619110107422
105,1848,25.04225,-0.5061626434326172
106,1849,25.29325,-0.2551631927490234
107,1850,25.250166,-0.2982463836669922
108,1851,25.272583,-0.2758293151855469
109,1852,24.8985,-0.6499118804931641
110,1853,25.226833,-0.3215789794921875
111,1854,25.177084,-0.3713283538818359
112,1855,25.395834,-0.1525783538818359
113,1856,25.749083,0.2006702423095703
114,1857,24.730583,-0.8178291320800781
115,1858,24.730833,-0.8175792694091797
116,1859,24.920834,-0.6275787353515625
117,1860,24.934,-0.6144123077392578
118,1861,25.215584,-0.3328285217285156
119,1862,25.137,-0.4114131927490234
120,1863,25.239334,-0.3090782165527344
121,1864,25.01725,-0.5311622619628906
122,1865,25.322666,-0.2257461547851562
123,1866,24.944166,-0.6042461395263672
124,1867,25.15025,-0.398162841796875
125,1868,25.365,-0.1834125518798828
126,1869,25.61125,0.0628376007080078
127,1870,25.198334,-0.3500785827636719
128,1871,25.314417,-0.2339954376220703
129,1872,25.376917,-0.1714954376220703
130,1873,25.01475,-0.5336627960205078
131,1874,25.1145,-0.4339122772216797
132,1875,25.160583,-0.3878288269042969
133,1876,25.386168,-0.1622447967529297
134,1877,25.771917,0.2235050201416015
135,1878,25.998,0.4495868682861328
136,1879,25.366,-0.182413101196289
137,1880,25.234917,-0.3134956359863281
138,1881,25.078417,-0.4699954986572265
139,1882,24.94325,-0.6051616668701172
140,1883,25.1155,-0.4329128265380859
141,1884,24.88725,-0.6611614227294922
142,1885,25.2595,-0.2889118194580078
143,1886,24.898582,-0.6498298645019531
144,1887,24.817667,-0.7307453155517578
145,1888,25.16725,-0.3811626434326172
146,1889,25.339666,-0.2087459564208984
147,1890,25.0605,-0.4879131317138672
148,1891,25.232084,-0.3163280487060547
149,1892,25.027334,-0.5210781097412109
150,1893,24.945333,-0.6030788421630859
151,1894,24.986834,-0.5615787506103516
152,1895,25.263666,-0.2847461700439453
153,1896,25.443417,-0.1049957275390625
154,1897,25.68225,0.1338367462158203
155,1898,25.37575,-0.1726627349853515
156,1899,25.362667,-0.1857452392578125
157,1900,25.760084,0.2116718292236328
158,1901,25.55475,0.0063381195068359
159,1902,25.35175,-0.1966629028320312
160,1903,25.48,-0.0684127807617187
161,1904,25.011,-0.5374126434326172
162,1905,25.563917,0.0155048370361328
163,1906,25.373,-0.1754131317138672
164,1907,25.169584,-0.3788280487060547
165,1908,25.307333,-0.2410793304443359
166,1909,25.131834,-0.4165782928466797
167,1910,24.994417,-0.5539951324462891
168,1911,25.3195,-0.228912353515625
169,1912,25.491917,-0.0564956665039062
170,1913,25.01225,-0.5361614227294922
171,1914,25.483583,-0.064828872680664
172,1915,25.7595,0.2110881805419922
173,1916,25.112333,-0.4360790252685547
174,1917,24.833918,-0.7144947052001953
175,1918,25.063084,-0.4853286743164062
176,1919,25.58475,0.0363368988037109
177,1920,25.502333,-0.0460796356201171
178,1921,25.201916,-0.34649658203125
179,1922,25.086166,-0.4622459411621094
180,1923,25.30875,-0.2396621704101562
181,1924,25.648167,0.0997543334960937
182,1925,25.36675,-0.1816616058349609
183,1926,25.863667,0.3152542114257812
184,1927,25.644583,0.096170425415039
185,1928,25.654833,0.1064205169677734
186,1929,25.46175,-0.0866622924804687
187,1930,25.592667,0.0442543029785156
188,1931,25.78725,0.2388381958007812
189,1932,25.665083,0.1166706085205078
190,1933,25.505,-0.0434131622314453
191,1934,25.378584,-0.1698284149169922
192,1935,25.298084,-0.2503280639648437
193,1936,25.676416,0.1280040740966797
194,1937,25.7125,0.1640872955322265
195,1938,25.454584,-0.0938282012939453
196,1939,25.492167,-0.0562458038330078
197,1940,25.943333,0.3949203491210937
198,1941,26.091833,0.5434207916259766
199,1942,26.017834,0.46942138671875
200,1943,25.600082,0.0516700744628906
201,1944,25.542334,-0.0060787200927734
202,1945,25.366083,-0.1823291778564453
203,1946,25.541834,-0.0065784454345703
204,1947,25.95575,0.4073371887207031
205,1948,26.031,0.4825878143310547
206,1949,25.585083,0.0366706848144531
207,1950,25.238333,-0.3100795745849609
208,1951,25.500084,-0.0483283996582031
209,1952,25.92075,0.3723373413085937
210,1953,25.965334,0.4169216156005859
211,1954,25.573166,0.0247535705566406
212,1955,25.305834,-0.2425785064697265
213,1956,25.45425,-0.0941619873046875
214,1957,25.861416,0.3130035400390625
215,1958,26.013416,0.4650039672851562
216,1959,26.0675,0.5190868377685547
217,1960,26.08375,0.5353374481201172
218,1961,25.749416,0.2010040283203125
219,1962,25.740334,0.1919212341308593
220,1963,25.828167,0.279754638671875
221,1964,25.808332,0.2599201202392578
222,1965,25.573584,0.0251712799072265
223,1966,25.79725,0.2488384246826172
224,1967,25.773,0.224588394165039
225,1968,25.769333,0.2209205627441406
226,1969,26.094917,0.5465049743652344
227,1970,25.678333,0.1299209594726562
228,1971,25.424,-0.1244125366210937
229,1972,25.648083,0.09967041015625
230,1973,25.905,0.3565883636474609
231,1974,25.425,-0.1234130859375
232,1975,25.6035,0.0550880432128906
233,1976,25.4905,-0.0579128265380859
234,1977,26.029083,0.4806709289550781
235,1978,25.958,0.4095878601074219
236,1979,25.76775,0.2193374633789062
237,1980,26.366167,0.8177547454833984
238,1981,26.10225,0.5538368225097656
239,1982,25.96375,0.4153385162353515
240,1983,26.256166,0.7077541351318359
241,1984,25.758167,0.2097549438476562
242,1985,25.765,0.2165870666503906
243,1986,25.932083,0.3836708068847656
244,1987,26.294916,0.7465038299560547
245,1988,26.11525,0.5668373107910156
246,1989,25.900583,0.3521709442138672
247,1990,26.171167,0.6227550506591797
248,1991,26.053417,0.5050048828125
249,1992,25.941334,0.3929214477539062
250,1993,25.9165,0.3680877685546875
251,1994,26.280582,0.7321701049804688
252,1995,26.35775,0.8093376159667969
253,1996,25.87075,0.3223381042480469
254,1997,26.69725,1.1488380432128906
255,1998,26.676332,1.127920150756836
256,1999,26.172832,0.624420166015625
257,2000,25.880417,0.3320045471191406
258,2001,26.340666,0.7922534942626953
259,2002,26.58125,1.0328369140625
260,2003,26.626333,1.077920913696289
261,2004,26.35875,0.8103370666503906
262,2005,26.521166,0.9727535247802734
263,2006,26.585667,1.0372543334960938
264,2007,26.626,1.0775871276855469
265,2008,26.19925,0.6508369445800781
266,2009,26.423084,0.8746719360351562
267,2010,26.455584,0.9071712493896484
268,2011,26.25075,0.7023372650146484
269,2012,26.340084,0.7916717529296875
270,2013,26.290333,0.7419204711914062
