,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,,
115,1858,,
116,1859,,
117,1860,,
118,1861,,
119,1862,,
120,1863,,
121,1864,,
122,1865,,
123,1866,21.227777,-0.6359024047851562
124,1867,21.575333,-0.2883472442626953
125,1868,21.4195,-0.4441795349121094
126,1869,,
127,1870,,
128,1871,,
129,1872,,
130,1873,,
131,1874,,
132,1875,,
133,1876,,
134,1877,,
135,1878,,
136,1879,,
137,1880,,
138,1881,21.5535,-0.3101806640625
139,1882,21.19125,-0.6724300384521484
140,1883,20.941334,-0.9223461151123048
141,1884,20.943546,-0.9201335906982422
142,1885,,
143,1886,21.197416,-0.6662635803222656
144,1887,21.0725,-0.7911796569824219
145,1888,20.973,-0.8906803131103516
146,1889,,
147,1890,,
148,1891,21.38,-0.4836807250976562
149,1892,21.114,-0.7496795654296875
150,1893,20.866917,-0.9967632293701172
151,1894,21.222166,-0.6415138244628906
152,1895,21.52725,-0.3364295959472656
153,1896,21.64025,-0.2234306335449218
154,1897,21.638666,-0.2250137329101562
155,1898,21.23425,-0.6294307708740234
156,1899,21.424084,-0.4395961761474609
157,1900,21.906584,0.0429039001464843
158,1901,21.49,-0.3736801147460937
159,1902,21.57825,-0.2854290008544922
160,1903,21.534584,-0.3290958404541015
161,1904,21.198334,-0.6653461456298828
162,1905,21.71425,-0.1494293212890625
163,1906,21.6355,-0.228179931640625
164,1907,21.226418,-0.6372623443603516
165,1908,21.164,-0.6996803283691406
166,1909,21.091333,-0.7723464965820312
167,1910,20.930666,-0.933013916015625
168,1911,21.438,-0.4256801605224609
169,1912,21.709583,-0.1540966033935547
170,1913,21.32325,-0.5404300689697266
171,1914,21.85525,-0.0084304809570312
172,1915,21.888083,0.0244026184082031
173,1916,21.268917,-0.5947628021240234
174,1917,21.012333,-0.8513469696044922
175,1918,21.349833,-0.5138473510742188
176,1919,21.8165,-0.04718017578125
177,1920,21.7055,-0.1581802368164062
178,1921,21.53275,-0.3309307098388672
179,1922,21.709333,-0.1543464660644531
180,1923,21.705,-0.1586799621582031
181,1924,21.53775,-0.3259296417236328
182,1925,21.486917,-0.3767623901367187
183,1926,22.05175,0.1880702972412109
184,1927,21.690332,-0.1733474731445312
185,1928,21.82075,-0.0429306030273437
186,1929,21.56675,-0.2969303131103515
187,1930,21.837833,-0.0258464813232421
188,1931,21.92925,0.0655708312988281
189,1932,21.73375,-0.1299304962158203
190,1933,21.312334,-0.5513458251953125
191,1934,21.570667,-0.2930126190185547
192,1935,21.459417,-0.4042625427246094
193,1936,21.773417,-0.0902633666992187
194,1937,21.820417,-0.0432624816894531
195,1938,21.545918,-0.3177623748779297
196,1939,22.106,0.2423210144042968
197,1940,22.2595,0.3958206176757812
198,1941,22.536417,0.6727371215820312
199,1942,21.9855,0.1218204498291015
200,1943,21.881834,0.0181541442871093
201,1944,21.943832,0.0801525115966796
202,1945,22.155083,0.2914028167724609
203,1946,21.971333,0.1076526641845703
204,1947,21.913,0.0493202209472656
205,1948,21.996166,0.132486343383789
206,1949,21.730333,-0.1333465576171875
207,1950,21.334417,-0.5292625427246094
208,1951,22.012833,0.1491527557373047
209,1952,21.89475,0.0310707092285156
210,1953,22.169,0.3053207397460937
211,1954,21.52,-0.3436794281005859
212,1955,21.4165,-0.4471797943115234
213,1956,21.442083,-0.4215965270996094
214,1957,22.4205,0.5568199157714844
215,1958,22.294083,0.4304027557373047
216,1959,21.996334,0.1326541900634765
217,1960,21.8235,-0.0401802062988281
218,1961,21.864416,0.0007362365722656
219,1962,21.888584,0.0249042510986328
220,1963,22.016916,0.1532363891601562
221,1964,21.886168,0.0224876403808593
222,1965,22.207666,0.3439865112304687
223,1966,22.166416,0.3027362823486328
224,1967,21.806667,-0.0570125579833984
225,1968,21.894167,0.030487060546875
226,1969,22.422083,0.5584030151367188
227,1970,21.96125,0.0975704193115234
228,1971,21.573416,-0.2902641296386719
229,1972,22.485666,0.6219863891601562
230,1973,22.082167,0.2184867858886718
231,1974,21.695917,-0.1677627563476562
232,1975,21.571833,-0.2918472290039062
233,1976,21.98025,0.1165695190429687
234,1977,22.193,0.3293209075927734
235,1978,22.08675,0.2230701446533203
236,1979,22.291416,0.4277362823486328
237,1980,22.336,0.472320556640625
238,1981,22.167667,0.3039875030517578
239,1982,22.47725,0.6135692596435547
240,1983,22.946667,1.082986831665039
241,1984,21.886084,0.0224037170410156
242,1985,21.83825,-0.025430679321289
243,1986,22.0715,0.2078208923339843
244,1987,22.847084,0.9834041595458984
245,1988,22.130917,0.2672367095947265
246,1989,21.876417,0.0127372741699218
247,1990,22.43475,0.5710697174072266
248,1991,22.5295,0.6658191680908203
249,1992,22.6115,0.7478199005126953
250,1993,22.421583,0.5579032897949219
251,1994,22.217083,0.353403091430664
252,1995,22.574167,0.7104873657226562
253,1996,22.0325,0.1688194274902343
254,1997,23.082916,1.2192363739013672
255,1998,23.121,1.2573204040527344
256,1999,21.902166,0.0384864807128906
257,2000,22.026,0.1623191833496093
258,2001,22.236084,0.3724040985107422
259,2002,22.763666,0.8999862670898438
260,2003,22.668333,0.8046531677246094
261,2004,22.647917,0.7842369079589844
262,2005,22.5295,0.6658191680908203
263,2006,22.603167,0.7394866943359375
264,2007,22.35975,0.4960708618164062
265,2008,22.22425,0.3605709075927734
266,2009,22.677166,0.8134860992431641
267,2010,22.639917,0.7762374877929688
268,2011,22.336666,0.4729862213134765
269,2012,22.445917,0.5822372436523438
270,2013,22.264126,0.4004459381103515
