,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,18.866222,-3.7468700408935542
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,21.6325,-0.9805927276611328
77,1820,21.909082,-0.704010009765625
78,1821,22.05125,-0.5618419647216797
79,1822,21.513273,-1.0998191833496094
80,1823,19.817444,-2.7956485748291016
81,1824,22.7455,0.1324081420898437
82,1825,22.389584,-0.2235088348388672
83,1826,22.36275,-0.2503433227539062
84,1827,22.9755,0.3624076843261719
85,1828,22.364584,-0.2485084533691406
86,1829,22.293083,-0.3200092315673828
87,1830,22.651917,0.0388240814208984
88,1831,21.866,-0.7470932006835938
89,1832,21.675917,-0.937175750732422
90,1833,22.216333,-0.396759033203125
91,1834,22.067083,-0.5460090637207031
92,1835,21.519333,-1.093759536743164
93,1836,21.942583,-0.6705093383789062
94,1837,21.645834,-0.9672584533691406
95,1838,21.707834,-0.9052581787109376
96,1839,20.3036,-2.3094921112060547
97,1840,22.039,-0.5740928649902344
98,1841,22.18075,-0.432342529296875
99,1842,22.34075,-0.2723426818847656
100,1843,22.27225,-0.3408432006835937
101,1844,22.034,-0.5790920257568359
102,1845,22.21675,-0.3963432312011719
103,1846,22.8775,0.2644081115722656
104,1847,22.449083,-0.1640090942382812
105,1848,22.170666,-0.4424266815185547
106,1849,22.2435,-0.3695926666259765
107,1850,21.808666,-0.8044261932373047
108,1851,22.358917,-0.2541751861572265
109,1852,22.324667,-0.2884254455566406
110,1853,22.762833,0.1497402191162109
111,1854,22.15625,-0.4568424224853515
112,1855,22.474,-0.1390914916992187
113,1856,21.902416,-0.7106761932373047
114,1857,21.695583,-0.9175090789794922
115,1858,22.309084,-0.3040084838867187
116,1859,22.332582,-0.2805099487304687
117,1860,22.718834,0.1057415008544921
118,1861,21.739084,-0.8740081787109375
119,1862,21.645334,-0.9677581787109376
120,1863,22.117416,-0.495676040649414
121,1864,22.596,-0.0170917510986328
122,1865,22.791416,0.178323745727539
123,1866,22.706333,0.093240737915039
124,1867,22.772,0.1589069366455078
125,1868,22.286917,-0.3261756896972656
126,1869,22.721,0.1079082489013671
127,1870,22.630167,0.0170745849609375
128,1871,22.213583,-0.3995094299316406
129,1872,22.51325,-0.0998420715332031
130,1873,22.676916,0.0638236999511718
131,1874,22.238667,-0.3744258880615234
132,1875,21.522083,-1.0910091400146484
133,1876,22.352083,-0.2610092163085937
134,1877,22.6915,0.0784072875976562
135,1878,22.9095,0.2964076995849609
136,1879,22.664417,0.0513248443603515
137,1880,22.630583,0.0174903869628906
138,1881,22.929583,0.3164901733398437
139,1882,21.902834,-0.7102584838867188
140,1883,22.088333,-0.5247592926025391
141,1884,21.731083,-0.8820095062255859
142,1885,22.258667,-0.3544254302978515
143,1886,21.9355,-0.6775932312011719
144,1887,22.456833,-0.156259536743164
145,1888,22.2555,-0.3575916290283203
146,1889,22.4785,-0.134592056274414
147,1890,22.544834,-0.0682582855224609
148,1891,22.537416,-0.0756759643554687
149,1892,22.596167,-0.0169258117675781
150,1893,22.04725,-0.5658416748046875
151,1894,22.277916,-0.3351764678955078
152,1895,22.327583,-0.2855091094970703
153,1896,22.525084,-0.0880088806152343
154,1897,22.240168,-0.3729248046875
155,1898,22.541416,-0.0716762542724609
156,1899,22.480333,-0.1327590942382812
157,1900,22.79775,0.1846580505371093
158,1901,23.181583,0.5684909820556641
159,1902,22.624916,0.0118236541748046
160,1903,22.05275,-0.5603427886962891
161,1904,21.970333,-0.6427593231201172
162,1905,22.3905,-0.2225933074951172
163,1906,22.756332,0.1432399749755859
164,1907,21.936916,-0.6761760711669922
165,1908,21.986,-0.6270923614501953
166,1909,22.9115,0.2984085083007812
167,1910,22.038166,-0.5749263763427734
168,1911,22.184,-0.4290924072265625
169,1912,22.0,-0.6130924224853516
170,1913,21.787,-0.8260917663574219
171,1914,22.509417,-0.1036758422851562
172,1915,23.144583,0.5314903259277344
173,1916,23.095167,0.4820747375488281
174,1917,22.391417,-0.2216758728027343
175,1918,22.722834,0.1097412109375
176,1919,22.830584,0.2174911499023437
177,1920,22.089417,-0.5236759185791016
178,1921,22.351084,-0.2620086669921875
179,1922,22.701,0.0879077911376953
180,1923,22.67,0.0569076538085937
181,1924,22.945168,0.3320751190185547
182,1925,22.809584,0.1964912414550781
183,1926,22.517084,-0.09600830078125
184,1927,22.97275,0.3596572875976562
185,1928,23.192917,0.5798244476318359
186,1929,22.552668,-0.0604248046875
187,1930,22.995167,0.3820743560791015
188,1931,23.035833,0.4227409362792969
189,1932,22.675,0.0619068145751953
190,1933,22.704916,0.0918235778808593
191,1934,22.859833,0.2467403411865234
192,1935,22.82725,0.2141571044921875
193,1936,23.346916,0.7338237762451172
194,1937,23.139166,0.5260734558105469
195,1938,22.525,-0.0880928039550781
196,1939,23.253916,0.6408233642578125
197,1940,22.99575,0.3826580047607422
198,1941,23.228416,0.6153240203857422
199,1942,23.02125,0.4081573486328125
200,1943,22.6125,-0.0005931854248046
201,1944,22.785,0.1719074249267578
202,1945,22.263,-0.3500919342041015
203,1946,23.05375,0.4406566619873047
204,1947,23.3185,0.7054080963134766
205,1948,22.143833,-0.4692592620849609
206,1949,21.8925,-0.7205924987792969
207,1950,22.681084,0.0679912567138671
208,1951,23.071167,0.4580745697021484
209,1952,23.263,0.6499080657958984
210,1953,22.6735,0.0604076385498046
211,1954,22.66425,0.051156997680664
212,1955,23.402,0.7889080047607422
213,1956,22.97975,0.3666572570800781
214,1957,23.038084,0.4249916076660156
215,1958,23.30475,0.6916580200195312
216,1959,22.284584,-0.3285083770751953
217,1960,23.621166,1.008073806762695
218,1961,22.23375,-0.379343032836914
219,1962,23.496834,0.8837413787841797
220,1963,23.652,1.0389080047607422
221,1964,22.473083,-0.1400089263916015
222,1965,22.76325,0.1501579284667968
223,1966,23.369833,0.7567405700683594
224,1967,22.280916,-0.3321762084960937
225,1968,22.738832,0.1257400512695312
226,1969,23.404417,0.7913246154785156
227,1970,22.708416,0.0953235626220703
228,1971,22.68,0.0669078826904296
229,1972,22.85475,0.2416572570800781
230,1973,22.740583,0.1274909973144531
231,1974,22.69025,0.077157974243164
232,1975,22.578083,-0.0350093841552734
233,1976,22.860916,0.2478237152099609
234,1977,22.66775,0.054656982421875
235,1978,22.953667,0.3405742645263672
236,1979,23.560167,0.9470748901367188
237,1980,23.065416,0.4523239135742187
238,1981,22.85175,0.238656997680664
239,1982,22.45375,-0.159341812133789
240,1983,22.093584,-0.5195083618164062
241,1984,22.88125,0.268157958984375
242,1985,23.209667,0.5965747833251953
243,1986,22.901833,0.2887401580810547
244,1987,22.848917,0.2358245849609375
245,1988,23.2365,0.6234073638916016
246,1989,22.79,0.1769084930419922
247,1990,23.091417,0.4783248901367187
248,1991,23.0885,0.4754066467285156
249,1992,22.554916,-0.058176040649414
250,1993,23.39225,0.7791576385498047
251,1994,23.235,0.6219081878662109
252,1995,23.169167,0.5560741424560547
253,1996,23.426332,0.8132400512695312
254,1997,22.939667,0.3265743255615234
255,1998,23.682417,1.0693244934082031
256,1999,23.779333,1.166240692138672
257,2000,22.881416,0.2683238983154297
258,2001,23.616333,1.0032405853271484
259,2002,23.71625,1.1031570434570312
260,2003,23.496416,0.8833236694335938
261,2004,23.511084,0.8979911804199219
262,2005,23.52025,0.9071578979492188
263,2006,23.505667,0.8925743103027344
264,2007,23.584333,0.9712409973144532
265,2008,23.907917,1.2948246002197266
266,2009,23.735,1.121908187866211
267,2010,25.151917,2.5388240814208984
268,2011,23.331417,0.7183246612548828
269,2012,23.770916,1.1578235626220703
270,2013,24.50525,1.8921585083007808
