,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,23.679571,-1.23431396484375
115,1858,24.3625,-0.5513858795166016
116,1859,24.3225,-0.5913848876953125
117,1860,24.467,-0.4468860626220703
118,1861,24.2096,-0.70428466796875
119,1862,,
120,1863,,
121,1864,,
122,1865,,
123,1866,,
124,1867,,
125,1868,,
126,1869,,
127,1870,,
128,1871,,
129,1872,,
130,1873,24.6435,-0.2703857421875
131,1874,24.60009,-0.3137950897216797
132,1875,24.305084,-0.6088008880615234
133,1876,24.400888,-0.5129966735839844
134,1877,24.78425,-0.1296348571777343
135,1878,24.621084,-0.2928009033203125
136,1879,23.887917,-1.0259685516357422
137,1880,24.071583,-0.8423023223876953
138,1881,24.45725,-0.456634521484375
139,1882,24.290833,-0.6230525970458984
140,1883,24.587667,-0.3262176513671875
141,1884,24.273333,-0.6405525207519531
142,1885,24.466417,-0.4474678039550781
143,1886,24.37,-0.54388427734375
144,1887,23.683167,-1.2307186126708984
145,1888,24.060083,-0.8538017272949219
146,1889,24.491167,-0.4227180480957031
147,1890,23.382833,-1.5310516357421875
148,1891,23.898666,-1.015218734741211
149,1892,24.035166,-0.8787193298339844
150,1893,24.129417,-0.7844676971435547
151,1894,24.227083,-0.6868019104003906
152,1895,24.328083,-0.5858020782470703
153,1896,24.297916,-0.6159687042236328
154,1897,24.682667,-0.2312183380126953
155,1898,24.19575,-0.7181358337402344
156,1899,24.780666,-0.133218765258789
157,1900,24.711,-0.2028846740722656
158,1901,24.902,-0.0118846893310546
159,1902,24.444916,-0.4689693450927734
160,1903,24.325333,-0.5885524749755859
161,1904,23.73725,-1.1766357421875
162,1905,24.536333,-0.3775520324707031
163,1906,24.423084,-0.4908008575439453
164,1907,24.4775,-0.4363842010498047
165,1908,24.485332,-0.4285526275634765
166,1909,24.373417,-0.5404682159423828
167,1910,24.4785,-0.4353847503662109
168,1911,24.168583,-0.7453022003173828
169,1912,24.930416,0.0165309906005859
170,1913,25.145834,0.2319488525390625
171,1914,25.03425,0.1203651428222656
172,1915,24.999916,0.0860309600830078
173,1916,24.930084,0.0161991119384765
174,1917,24.956333,0.0424480438232421
175,1918,24.522917,-0.3909683227539062
176,1919,25.053583,0.1396980285644531
177,1920,24.832333,-0.081552505493164
178,1921,25.0095,0.0956153869628906
179,1922,24.75325,-0.1606349945068359
180,1923,24.699583,-0.2143020629882812
181,1924,25.246834,0.3329486846923828
182,1925,24.605167,-0.3087177276611328
183,1926,25.104084,0.1901988983154297
184,1927,25.271833,0.3579483032226562
185,1928,24.83225,-0.081634521484375
186,1929,24.836416,-0.0774688720703125
187,1930,24.955166,0.0412807464599609
188,1931,25.136917,0.223031997680664
189,1932,24.843666,-0.0702190399169921
190,1933,25.197416,0.2835311889648437
191,1934,25.232,0.318115234375
192,1935,25.219917,0.3060321807861328
193,1936,25.211834,0.2979488372802734
194,1937,25.486584,0.5726985931396484
195,1938,25.40425,0.4903640747070312
196,1939,24.883333,-0.0305519104003906
197,1940,25.008583,0.0946979522705078
198,1941,25.582582,0.6686973571777344
199,1942,25.357834,0.443948745727539
200,1943,24.90575,-0.0081348419189453
201,1944,25.4195,0.505615234375
202,1945,25.523916,0.6100311279296875
203,1946,25.106167,0.1922817230224609
204,1947,25.378166,0.4642810821533203
205,1948,25.093,0.1791152954101562
206,1949,25.4865,0.5726146697998047
207,1950,25.07575,0.161865234375
208,1951,25.158916,0.2450313568115234
209,1952,25.08725,0.1733646392822265
210,1953,25.057417,0.1435317993164062
211,1954,24.641083,-0.2728023529052734
212,1955,24.874834,-0.0390510559082031
213,1956,24.688583,-0.2253017425537109
214,1957,25.08475,0.1708641052246093
215,1958,24.997168,0.083282470703125
216,1959,25.100082,0.186197280883789
217,1960,25.144917,0.2310314178466797
218,1961,24.891,-0.0228843688964843
219,1962,25.015917,0.1020317077636718
220,1963,25.273834,0.3599491119384765
221,1964,24.885666,-0.0282192230224609
222,1965,24.939583,0.0256977081298828
223,1966,25.2705,0.3566150665283203
224,1967,25.031416,0.1175308227539062
225,1968,24.997417,0.0835323333740234
226,1969,25.19125,0.2773647308349609
227,1970,25.196333,0.2824478149414062
228,1971,24.8715,-0.0423851013183593
229,1972,25.002666,0.0887813568115234
230,1973,25.384,0.4701156616210937
231,1974,24.843166,-0.070718765258789
232,1975,24.826834,-0.0870513916015625
233,1976,24.65075,-0.2631359100341797
234,1977,25.226833,0.3129482269287109
235,1978,25.021667,0.1077823638916015
236,1979,25.37825,0.464365005493164
237,1980,25.3665,0.452615737915039
238,1981,24.927,0.0131149291992187
239,1982,24.855417,-0.0584678649902343
240,1983,25.193333,0.2794475555419922
241,1984,25.204416,0.2905311584472656
242,1985,24.95775,0.0438652038574218
243,1986,24.902416,-0.0114688873291015
244,1987,25.490917,0.5770320892333984
245,1988,25.4095,0.495615005493164
246,1989,25.13,0.2161140441894531
247,1990,25.285,0.3711147308349609
248,1991,25.235083,0.321197509765625
249,1992,24.889166,-0.02471923828125
250,1993,25.189333,0.2754478454589844
251,1994,25.2865,0.3726158142089844
252,1995,25.614584,0.7006988525390625
253,1996,25.238417,0.3245315551757812
254,1997,25.32525,0.4113655090332031
255,1998,26.0035,1.0896148681640625
256,1999,25.323,0.4091148376464844
257,2000,25.220583,0.3066978454589844
258,2001,25.20725,0.293365478515625
259,2002,25.5265,0.6126155853271484
260,2003,25.627417,0.713531494140625
261,2004,25.594166,0.6802806854248047
262,2005,25.623917,0.7100315093994141
263,2006,25.785418,0.8715324401855469
264,2007,25.773666,0.8597812652587891
265,2008,25.76875,0.8548641204833984
266,2009,25.832834,0.9189491271972656
267,2010,25.9025,0.9886150360107422
268,2011,25.545666,0.6317806243896484
269,2012,25.536833,0.6229476928710938
270,2013,25.5905,0.6766147613525391
