,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,,
115,1858,,
116,1859,,
117,1860,,
118,1861,,
119,1862,,
120,1863,,
121,1864,26.34875,-0.4574394226074219
122,1865,,
123,1866,,
124,1867,,
125,1868,,
126,1869,,
127,1870,,
128,1871,,
129,1872,,
130,1873,,
131,1874,,
132,1875,26.587126,-0.2190628051757812
133,1876,26.116667,-0.6895217895507812
134,1877,26.749416,-0.056772232055664
135,1878,26.956083,0.1498947143554687
136,1879,26.445917,-0.3602714538574219
137,1880,26.551083,-0.255105972290039
138,1881,26.980667,0.174478530883789
139,1882,26.40575,-0.4004383087158203
140,1883,26.264833,-0.5413551330566406
141,1884,26.0775,-0.7286891937255859
142,1885,26.437084,-0.3691043853759765
143,1886,26.366417,-0.4397716522216797
144,1887,26.110584,-0.6956043243408203
145,1888,25.987333,-0.8188552856445312
146,1889,26.935833,0.1296443939208984
147,1890,26.99675,0.190561294555664
148,1891,26.83625,0.0300617218017578
149,1892,26.350416,-0.4557723999023437
150,1893,26.396667,-0.4095211029052734
151,1894,26.04225,-0.7639389038085938
152,1895,26.148834,-0.6573543548583984
153,1896,26.257084,-0.5491046905517578
154,1897,26.575417,-0.2307720184326172
155,1898,27.164167,0.3579788208007812
156,1899,26.749,-0.0571880340576171
157,1900,26.431084,-0.3751049041748047
158,1901,26.615334,-0.1908550262451172
159,1902,26.378166,-0.4280223846435547
160,1903,26.224667,-0.5815219879150391
161,1904,26.680084,-0.1261043548583984
162,1905,26.511084,-0.29510498046875
163,1906,26.359583,-0.4466056823730469
164,1907,26.16575,-0.6404380798339844
165,1908,26.263916,-0.5422725677490234
166,1909,26.470167,-0.3360214233398437
167,1910,26.422916,-0.3832721710205078
168,1911,26.25125,-0.5549392700195312
169,1912,25.9765,-0.8296890258789062
170,1913,25.967167,-0.8390216827392578
171,1914,26.828583,0.0223941802978515
172,1915,27.130917,0.3247280120849609
173,1916,25.919834,-0.8863544464111328
174,1917,26.025333,-0.7808551788330078
175,1918,26.271166,-0.5350227355957031
176,1919,27.2405,0.4343109130859375
177,1920,26.501083,-0.3051052093505859
178,1921,26.393917,-0.412271499633789
179,1922,26.404917,-0.4012718200683594
180,1923,26.371084,-0.4351043701171875
181,1924,26.77675,-0.0294380187988281
182,1925,26.646,-0.1601886749267578
183,1926,26.852667,0.046478271484375
184,1927,26.883583,0.0773944854736328
185,1928,27.197,0.3908119201660156
186,1929,26.867083,0.0608940124511718
187,1930,26.623083,-0.18310546875
188,1931,26.998417,0.1922283172607422
189,1932,26.636,-0.1701889038085937
190,1933,26.44975,-0.3564376831054687
191,1934,26.656,-0.1501884460449218
192,1935,26.830917,0.024728775024414
193,1936,26.740417,-0.0657711029052734
194,1937,26.57375,-0.2324390411376953
195,1938,26.580166,-0.226022720336914
196,1939,26.896334,0.0901451110839843
197,1940,26.984167,0.177978515625
198,1941,27.313,0.5068111419677734
199,1942,27.202,0.3958110809326172
200,1943,26.424917,-0.3812713623046875
201,1944,27.018167,0.2119789123535156
202,1945,26.862833,0.0566444396972656
203,1946,26.762833,-0.0433559417724609
204,1947,27.08875,0.282562255859375
205,1948,26.722666,-0.0835227966308593
206,1949,26.691416,-0.1147727966308593
207,1950,26.665833,-0.1403560638427734
208,1951,26.764668,-0.0415210723876953
209,1952,27.101166,0.2949771881103515
210,1953,26.936916,0.1307277679443359
211,1954,26.892166,0.085977554321289
212,1955,26.814417,0.0082283020019531
213,1956,26.495583,-0.3106060028076172
214,1957,26.667,-0.1391887664794922
215,1958,27.29725,0.4910621643066406
216,1959,26.637083,-0.1691055297851562
217,1960,27.010584,0.2043952941894531
218,1961,26.544167,-0.2620220184326172
219,1962,26.8385,0.0323104858398437
220,1963,27.107416,0.3012275695800781
221,1964,26.312834,-0.4933547973632812
222,1965,26.664583,-0.1416053771972656
223,1966,27.047417,0.2412281036376953
224,1967,26.371084,-0.4351043701171875
225,1968,26.46025,-0.3459377288818359
226,1969,27.021833,0.2156448364257812
227,1970,26.8645,0.0583114624023437
228,1971,26.376333,-0.4298553466796875
229,1972,26.974083,0.1678943634033203
230,1973,27.162582,0.356393814086914
231,1974,26.670584,-0.1356048583984375
232,1975,26.576666,-0.229522705078125
233,1976,26.800667,-0.0055217742919921
234,1977,26.823833,0.0176448822021484
235,1978,26.881834,0.0756454467773437
236,1979,27.169834,0.3636455535888672
237,1980,27.339834,0.5336456298828125
238,1981,26.965416,0.1592273712158203
239,1982,26.63525,-0.170938491821289
240,1983,26.77625,-0.029937744140625
241,1984,27.090834,0.2846450805664062
242,1985,26.693916,-0.1122722625732421
243,1986,26.702084,-0.104104995727539
244,1987,27.132166,0.3259773254394531
245,1988,27.237583,0.4313945770263672
246,1989,26.6545,-0.1516895294189453
247,1990,27.448084,0.6418952941894531
248,1991,27.256834,0.4506454467773437
249,1992,26.428917,-0.3772716522216797
250,1993,26.93025,0.1240615844726562
251,1994,26.890583,0.0843944549560546
252,1995,27.136667,0.3304786682128906
253,1996,27.183916,0.3777275085449219
254,1997,27.146,0.3398113250732422
255,1998,27.577833,0.7716445922851562
256,1999,27.514084,0.7078952789306641
257,2000,27.51725,0.7110614776611328
258,2001,27.410583,0.6043949127197266
259,2002,27.639416,0.8332271575927734
260,2003,27.72975,0.9235610961914062
261,2004,27.5775,0.7713108062744141
262,2005,27.69,0.8838119506835938
263,2006,27.492,0.6858119964599609
264,2007,27.485416,0.6792278289794922
265,2008,27.594334,0.7881450653076172
266,2009,28.092583,1.286394119262695
267,2010,28.054167,1.2479782104492188
268,2011,27.58575,0.7795619964599609
269,2012,27.880083,1.073894500732422
270,2013,28.5035,1.6973114013671875
