,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,22.395546,-0.6172561645507812
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,,
115,1858,,
116,1859,22.3769,-0.6359024047851562
117,1860,,
118,1861,,
119,1862,,
120,1863,,
121,1864,22.418917,-0.5938854217529297
122,1865,,
123,1866,,
124,1867,,
125,1868,,
126,1869,,
127,1870,,
128,1871,,
129,1872,,
130,1873,,
131,1874,,
132,1875,22.100624,-0.9121780395507812
133,1876,22.32625,-0.6865520477294922
134,1877,22.924417,-0.0883846282958984
135,1878,23.12925,0.1164474487304687
136,1879,,
137,1880,22.821182,-0.191619873046875
138,1881,23.015182,0.00238037109375
139,1882,22.631166,-0.3816356658935547
140,1883,22.43425,-0.57855224609375
141,1884,22.287333,-0.7254695892333984
142,1885,22.55325,-0.4595527648925781
143,1886,22.603083,-0.4097194671630859
144,1887,22.304,-0.70880126953125
145,1888,22.362,-0.6508026123046875
146,1889,22.8475,-0.1653022766113281
147,1890,22.79575,-0.2170524597167968
148,1891,22.664667,-0.3481349945068359
149,1892,22.531584,-0.4812183380126953
150,1893,22.546083,-0.4667186737060547
151,1894,22.517334,-0.4954681396484375
152,1895,22.653667,-0.3591346740722656
153,1896,22.687084,-0.3257179260253906
154,1897,22.936916,-0.0758857727050781
155,1898,23.223667,0.2108650207519531
156,1899,22.887833,-0.124969482421875
157,1900,22.793667,-0.2191352844238281
158,1901,22.980667,-0.032135009765625
159,1902,22.723333,-0.289468765258789
160,1903,22.6205,-0.3923015594482422
161,1904,22.718166,-0.2946357727050781
162,1905,22.7135,-0.2993030548095703
163,1906,22.57575,-0.437051773071289
164,1907,22.353167,-0.6596355438232422
165,1908,22.497417,-0.5153846740722656
166,1909,22.40775,-0.6050529479980469
167,1910,23.116083,0.103281021118164
168,1911,22.909916,-0.1028861999511718
169,1912,22.503166,-0.5096359252929688
170,1913,22.407,-0.6058025360107422
171,1914,23.202,0.1891975402832031
172,1915,23.339417,0.3266143798828125
173,1916,22.475416,-0.5373859405517578
174,1917,22.277834,-0.7349681854248047
175,1918,22.4605,-0.5523014068603516
176,1919,23.269417,0.2566146850585937
177,1920,22.809834,-0.2029685974121093
178,1921,22.698334,-0.3144683837890625
179,1922,22.484333,-0.5284690856933594
180,1923,22.445333,-0.5674686431884766
181,1924,22.83825,-0.1745529174804687
182,1925,22.716667,-0.2961349487304687
183,1926,22.919584,-0.0932178497314453
184,1927,22.776583,-0.2362194061279297
185,1928,22.801332,-0.2114696502685547
186,1929,22.958334,-0.0544681549072265
187,1930,22.988417,-0.0243854522705078
188,1931,23.31225,0.299448013305664
189,1932,22.717167,-0.2956352233886719
190,1933,23.092833,0.0800304412841796
191,1934,22.837584,-0.1752185821533203
192,1935,23.03625,0.023447036743164
193,1936,22.843416,-0.1693859100341797
194,1937,22.856833,-0.1559696197509765
195,1938,22.876,-0.1368026733398437
196,1939,23.06025,0.0474472045898437
197,1940,23.303417,0.2906150817871094
198,1941,23.489834,0.4770317077636719
199,1942,23.2865,0.2736988067626953
200,1943,22.9855,-0.0273017883300781
201,1944,23.169416,0.1566143035888672
202,1945,23.2055,0.192697525024414
203,1946,23.053333,0.0405311584472656
204,1947,23.148582,0.1357803344726562
205,1948,22.909416,-0.1033859252929687
206,1949,22.93675,-0.0760517120361328
207,1950,22.658,-0.3548011779785156
208,1951,22.899834,-0.1129684448242187
209,1952,23.174667,0.161865234375
210,1953,23.20075,0.1879482269287109
211,1954,23.005083,-0.0077190399169921
212,1955,23.029333,0.0165309906005859
213,1956,22.661,-0.3518028259277344
214,1957,22.850584,-0.1622180938720703
215,1958,23.362917,0.3501148223876953
216,1959,23.148834,0.1360321044921875
217,1960,22.942417,-0.0703849792480468
218,1961,22.895666,-0.117136001586914
219,1962,22.859583,-0.1532192230224609
220,1963,23.074333,0.0615310668945312
221,1964,22.847584,-0.1652183532714843
222,1965,22.85075,-0.1620521545410156
223,1966,22.956333,-0.0564689636230468
224,1967,22.717583,-0.2952194213867187
225,1968,22.635166,-0.3776359558105469
226,1969,23.187416,0.1746139526367187
227,1970,23.135584,0.122781753540039
228,1971,22.752083,-0.2607192993164062
229,1972,23.251,0.2381973266601562
230,1973,23.44625,0.4334487915039062
231,1974,22.79225,-0.2205524444580078
232,1975,22.847666,-0.1651363372802734
233,1976,22.999916,-0.0128860473632812
234,1977,23.13725,0.1244487762451171
235,1978,23.11725,0.1044483184814453
236,1979,23.329416,0.3166141510009765
237,1980,23.642,0.6291980743408203
238,1981,23.154583,0.1417808532714843
239,1982,23.2555,0.2426986694335937
240,1983,23.493334,0.4805316925048828
241,1984,23.192,0.1791973114013672
242,1985,22.916584,-0.0962181091308593
243,1986,23.19325,0.1804485321044922
244,1987,23.626583,0.6137809753417969
245,1988,23.519083,0.5062808990478516
246,1989,22.856,-0.1568012237548828
247,1990,23.379583,0.3667812347412109
248,1991,23.412416,0.3996143341064453
249,1992,23.2395,0.2266979217529297
250,1993,22.98875,-0.0240516662597656
251,1994,23.208666,0.1958637237548828
252,1995,23.3965,0.383697509765625
253,1996,23.358583,0.3457813262939453
254,1997,23.423834,0.4110317230224609
255,1998,23.689417,0.6766147613525391
256,1999,23.446833,0.434030532836914
257,2000,23.762583,0.7497806549072266
258,2001,23.6615,0.6486988067626953
259,2002,23.82325,0.8104476928710938
260,2003,23.857166,0.8443641662597656
261,2004,23.778667,0.7658653259277344
262,2005,23.896917,0.8841152191162109
263,2006,23.778084,0.7652816772460938
264,2007,23.724,0.7111988067626953
265,2008,23.602583,0.5897808074951172
266,2009,24.273582,1.2607803344726562
267,2010,23.9275,0.9146976470947266
268,2011,24.074167,1.0613651275634766
269,2012,23.976166,0.9633636474609376
270,2013,24.6315,1.6186981201171875
