,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,,
115,1858,,
116,1859,,
117,1860,5.3743334,-0.7041149139404297
118,1861,5.822909,-0.2555394172668457
119,1862,5.1735,-0.9049482345581056
120,1863,5.373417,-0.7050313949584961
121,1864,5.6435,-0.4349484443664551
122,1865,5.999,-0.0794482231140136
123,1866,5.8506665,-0.2277817726135254
124,1867,6.0140834,-0.0643649101257324
125,1868,5.7101665,-0.3682818412780761
126,1869,5.8566666,-0.2217817306518554
127,1870,5.708,-0.3704481124877929
128,1871,5.559417,-0.5190315246582031
129,1872,5.3280835,-0.7503647804260254
130,1873,5.9529166,-0.1255316734313964
131,1874,5.9783335,-0.1001148223876953
132,1875,5.7654166,-0.3130316734313965
133,1876,5.2630835,-0.8153648376464844
134,1877,5.6936665,-0.3847818374633789
135,1878,5.667917,-0.4105315208435058
136,1879,5.6510835,-0.4273648262023926
137,1880,5.5244164,-0.5540318489074707
138,1881,5.634333,-0.4441151618957519
139,1882,5.633333,-0.4451150894165039
140,1883,5.7220836,-0.3563647270202636
141,1884,5.274273,-0.8041753768920898
142,1885,5.119,-0.9594483375549316
143,1886,5.152091,-0.9263572692871094
144,1887,4.9801664,-1.0982818603515625
145,1888,5.1936665,-0.8847818374633789
146,1889,5.376917,-0.7015314102172852
147,1890,5.5583334,-0.5201148986816406
148,1891,5.491667,-0.5867815017700195
149,1892,5.605417,-0.4730315208435058
150,1893,5.9225,-0.1559481620788574
151,1894,5.7829165,-0.2955317497253418
152,1895,5.8783336,-0.2001147270202636
153,1896,6.3775835,0.2991352081298828
154,1897,5.889583,-0.1888651847839355
155,1898,5.4938335,-0.5846147537231445
156,1899,5.57875,-0.4996981620788574
157,1900,5.78175,-0.2966980934143066
158,1901,6.2915835,0.2131352424621582
159,1902,5.2071667,-0.871281623840332
160,1903,5.6896667,-0.3887815475463867
161,1904,5.61525,-0.463198184967041
162,1905,5.4348335,-0.6436147689819336
163,1906,5.530083,-0.5483651161193848
164,1907,5.53875,-0.5396981239318848
165,1908,6.200917,0.1224684715270996
166,1909,6.148667,0.0702185630798339
167,1910,6.0633335,-0.0151147842407226
168,1911,5.9930835,-0.085364818572998
169,1912,5.6951666,-0.3832817077636719
170,1913,5.8774166,-0.2010316848754882
171,1914,5.90225,-0.1761984825134277
172,1915,5.7753334,-0.3031148910522461
173,1916,5.9704165,-0.1080317497253418
174,1917,6.7925835,0.7141351699829102
175,1918,5.9845,-0.0939483642578125
176,1919,5.9771667,-0.1012816429138183
177,1920,6.0269165,-0.0515317916870117
178,1921,5.72575,-0.3526983261108398
179,1922,6.1025,0.0240516662597656
180,1923,5.382167,-0.6962814331054688
181,1924,5.889917,-0.1885313987731933
182,1925,5.7083335,-0.370114803314209
183,1926,5.69975,-0.3786983489990234
184,1927,5.8279166,-0.2505316734313965
185,1928,5.735083,-0.3433651924133301
186,1929,5.888167,-0.1902813911437988
187,1930,5.45475,-0.6236982345581055
188,1931,5.8765,-0.2019481658935547
189,1932,6.033,-0.0454483032226562
190,1933,6.1345,0.0560517311096191
191,1934,6.1028333,0.0243849754333496
192,1935,5.501,-0.5774483680725098
193,1936,6.1249166,0.0464682579040527
194,1937,5.846667,-0.2317814826965332
195,1938,5.8074164,-0.2710318565368652
196,1939,5.4645834,-0.6138648986816406
197,1940,6.6093335,0.5308852195739746
198,1941,6.4785,0.4000515937805176
199,1942,6.1855,0.1070518493652343
200,1943,6.9486666,0.8702182769775391
201,1944,6.4135,0.3350515365600586
202,1945,6.460583,0.3821349143981933
203,1946,6.219917,0.1414685249328613
204,1947,6.174333,0.0958847999572753
205,1948,5.71875,-0.3596982955932617
206,1949,5.973583,-0.1048650741577148
207,1950,5.69975,-0.3786983489990234
208,1951,6.1006665,0.0222182273864746
209,1952,6.4036665,0.3252182006835937
210,1953,6.4105835,0.3321352005004883
211,1954,5.9828334,-0.0956149101257324
212,1955,6.2574167,0.1789684295654297
213,1956,6.6925,0.6140518188476562
214,1957,6.3488336,0.2703852653503418
215,1958,6.0415835,-0.0368647575378418
216,1959,5.5049167,-0.5735316276550293
217,1960,6.59875,0.5203018188476562
218,1961,5.925833,-0.1526150703430175
219,1962,6.7401667,0.6617183685302734
220,1963,6.0119166,-0.0665316581726074
221,1964,5.9801664,-0.0982818603515625
222,1965,6.386833,0.308384895324707
223,1966,5.865667,-0.2127814292907714
224,1967,6.3876667,0.3092184066772461
225,1968,6.6879168,0.6094684600830078
226,1969,6.1346664,0.056218147277832
227,1970,6.4435,0.3650517463684082
228,1971,6.0010834,-0.0773649215698242
229,1972,5.9525833,-0.1258649826049804
230,1973,6.26375,0.1853017807006836
231,1974,6.3609166,0.282468318939209
232,1975,6.26875,0.1903018951416015
233,1976,5.92175,-0.1566982269287109
234,1977,6.4428334,0.3643851280212402
235,1978,6.5938334,0.5153851509094238
236,1979,6.8535,0.7750515937805176
237,1980,6.2604165,0.1819682121276855
238,1981,6.470333,0.3918848037719726
239,1982,6.7734165,0.6949682235717773
240,1983,6.9210835,0.8426351547241211
241,1984,6.0420833,-0.0363650321960449
242,1985,6.954583,0.8761348724365234
243,1986,6.24625,0.1678018569946289
244,1987,6.6329165,0.5544681549072266
245,1988,6.4296665,0.3512182235717773
246,1989,7.3314166,1.2529683113098145
247,1990,6.8016667,0.7232184410095215
248,1991,6.1025,0.0240516662597656
249,1992,6.3595,0.2810516357421875
250,1993,7.10375,1.0253019332885742
251,1994,6.3855,0.3070516586303711
252,1995,6.0985,0.0200514793395996
253,1996,6.8451667,0.7667183876037598
254,1997,6.3045835,0.22613525390625
255,1998,7.6516666,1.5732183456420898
256,1999,6.9896665,0.9112181663513184
257,2000,6.4011664,0.3227181434631347
258,2001,6.6475,0.5690517425537109
259,2002,6.04425,-0.0341982841491699
260,2003,6.5336666,0.4552183151245117
261,2004,7.3914165,1.3129682540893557
262,2005,6.601917,0.5234684944152832
263,2006,7.0620832,0.9836349487304688
264,2007,6.337917,0.2594685554504394
265,2008,6.919,0.8405518531799316
266,2009,6.5599165,0.4814682006835937
267,2010,6.8680835,0.789635181427002
268,2011,7.1311665,1.052718162536621
269,2012,6.706917,0.6284685134887695
270,2013,7.346,1.2675518989562988
