,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,,
115,1858,,
116,1859,,
117,1860,,
118,1861,,
119,1862,,
120,1863,,
121,1864,,
122,1865,,
123,1866,,
124,1867,24.69575,-0.3299465179443359
125,1868,23.369167,-1.6565284729003906
126,1869,24.7293,-0.296396255493164
127,1870,24.853666,-0.1720294952392578
128,1871,24.942,-0.0836963653564453
129,1872,25.0183,-0.0073966979980468
130,1873,24.450445,-0.5752506256103516
131,1874,23.781857,-1.2438392639160156
132,1875,23.994125,-1.0315704345703125
133,1876,25.002428,-0.0232677459716796
134,1877,,
135,1878,,
136,1879,,
137,1880,,
138,1881,,
139,1882,,
140,1883,24.377916,-0.6477794647216797
141,1884,24.02875,-0.9969463348388672
142,1885,23.980637,-1.0450592041015625
143,1886,24.358583,-0.6671123504638672
144,1887,24.459667,-0.5660285949707031
145,1888,,
146,1889,,
147,1890,24.447083,-0.57861328125
148,1891,24.310917,-0.7147789001464844
149,1892,24.455833,-0.5698623657226562
150,1893,24.774084,-0.2516117095947265
151,1894,24.678167,-0.3475284576416015
152,1895,24.541834,-0.4838619232177734
153,1896,24.624083,-0.4016132354736328
154,1897,24.83475,-0.1909465789794922
155,1898,24.969667,-0.0560283660888671
156,1899,24.5845,-0.4411964416503906
157,1900,24.419584,-0.6061115264892578
158,1901,24.436167,-0.5895290374755859
159,1902,24.131083,-0.8946132659912109
160,1903,24.789833,-0.2358627319335937
161,1904,24.37275,-0.6529464721679688
162,1905,24.457417,-0.5682792663574219
163,1906,24.7425,-0.2831954956054687
164,1907,24.47025,-0.5554466247558594
165,1908,24.502916,-0.5227794647216797
166,1909,24.550417,-0.4752788543701172
167,1910,25.026,0.0003032684326171
168,1911,24.790916,-0.2347793579101562
169,1912,24.642166,-0.3835296630859375
170,1913,24.524166,-0.5015296936035156
171,1914,24.540916,-0.4847793579101562
172,1915,24.97125,-0.0544452667236328
173,1916,24.985416,-0.0402793884277343
174,1917,24.726334,-0.2993621826171875
175,1918,24.73875,-0.2869453430175781
176,1919,24.602917,-0.4227790832519531
177,1920,24.504833,-0.5208625793457031
178,1921,24.878166,-0.1475296020507812
179,1922,24.60175,-0.4239463806152344
180,1923,24.329584,-0.6961116790771484
181,1924,24.875668,-0.1500282287597656
182,1925,24.602,-0.4236965179443359
183,1926,24.6155,-0.410196304321289
184,1927,25.516083,0.490386962890625
185,1928,25.054333,0.0286369323730468
186,1929,25.117332,0.0916366577148437
187,1930,24.514,-0.5116958618164062
188,1931,24.966084,-0.0596122741699218
189,1932,25.2775,0.2518043518066406
190,1933,25.147083,0.1213874816894531
191,1934,25.026,0.0003032684326171
192,1935,25.228,0.2023048400878906
193,1936,25.251083,0.2253875732421875
194,1937,25.353416,0.3277206420898437
195,1938,25.373833,0.3481369018554687
196,1939,24.66375,-0.3619461059570312
197,1940,24.824667,-0.201028823852539
198,1941,25.241,0.2153034210205078
199,1942,24.977833,-0.0478630065917968
200,1943,25.13225,0.1065540313720703
201,1944,24.917583,-0.1081123352050781
202,1945,24.913918,-0.1117782592773437
203,1946,25.1495,0.1238040924072265
204,1947,25.411167,0.3854713439941406
205,1948,25.159416,0.1337203979492187
206,1949,25.214167,0.1884708404541015
207,1950,25.294083,0.2683868408203125
208,1951,24.944916,-0.080780029296875
209,1952,25.415,0.3893051147460937
210,1953,25.246,0.2203044891357422
211,1954,25.350166,0.3244705200195312
212,1955,25.27,0.2443046569824218
213,1956,25.152334,0.1266384124755859
214,1957,25.016666,-0.0090293884277343
215,1958,25.072666,0.0469703674316406
216,1959,25.3545,0.3288040161132812
217,1960,25.169916,0.1442203521728515
218,1961,25.355167,0.3294715881347656
219,1962,25.05875,0.0330543518066406
220,1963,25.087166,0.0614700317382812
221,1964,25.310167,0.2844715118408203
222,1965,24.5585,-0.4671955108642578
223,1966,24.7405,-0.285196304321289
224,1967,24.949917,-0.0757789611816406
225,1968,25.07225,0.0465545654296875
226,1969,25.0285,0.0028038024902343
227,1970,25.276417,0.2507209777832031
228,1971,25.42525,0.3995532989501953
229,1972,25.152916,0.1272201538085937
230,1973,25.679667,0.6539707183837891
231,1974,25.550833,0.5251369476318359
232,1975,25.667,0.6413040161132812
233,1976,25.423084,0.3973884582519531
234,1977,25.113832,0.0881366729736328
235,1978,25.00025,-0.0254459381103515
236,1979,25.251083,0.2253875732421875
237,1980,25.281584,0.2558879852294922
238,1981,25.4285,0.4028034210205078
239,1982,25.259417,0.2337207794189453
240,1983,25.270416,0.244720458984375
241,1984,25.547832,0.5221366882324219
242,1985,25.472834,0.4471378326416015
243,1986,25.01475,-0.0109462738037109
244,1987,25.162666,0.1369705200195312
245,1988,25.919916,0.8942203521728516
246,1989,25.445333,0.4196376800537109
247,1990,25.4005,0.3748035430908203
248,1991,25.348,0.3223037719726562
249,1992,25.296333,0.2706375122070312
250,1993,25.007166,-0.0185298919677734
251,1994,25.14875,0.1230545043945312
252,1995,25.716,0.6903038024902344
253,1996,25.861084,0.83538818359375
254,1997,25.323416,0.2977199554443359
255,1998,25.865334,0.8396377563476562
256,1999,25.686666,0.6609706878662109
257,2000,25.837166,0.8114700317382812
258,2001,25.751417,0.7257213592529297
259,2002,25.713333,0.6876373291015625
260,2003,25.446667,0.4209709167480469
261,2004,25.50775,0.4820537567138672
262,2005,25.643417,0.6177215576171875
263,2006,25.6315,0.605804443359375
264,2007,26.055334,1.0296382904052734
265,2008,25.730167,0.7044715881347656
266,2009,25.227417,0.20172119140625
267,2010,25.9185,0.8928050994873047
268,2011,25.722834,0.6971378326416016
269,2012,25.47825,0.452554702758789
270,2013,25.941376,0.915679931640625
