,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,25.631908,-0.0890140533447265
82,1825,25.725916,0.0049934387207031
83,1826,25.5905,-0.1304225921630859
84,1827,25.890182,0.169260025024414
85,1828,25.36191,-0.3590126037597656
86,1829,25.2023,-0.5186233520507812
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,25.088223,-0.6326999664306641
103,1846,25.718,-0.0029220581054687
104,1847,25.086916,-0.6340065002441406
105,1848,25.356417,-0.3645057678222656
106,1849,25.211834,-0.5090885162353516
107,1850,25.334,-0.3869228363037109
108,1851,25.110083,-0.61083984375
109,1852,25.1855,-0.5354232788085938
110,1853,25.316668,-0.4042549133300781
111,1854,25.228916,-0.4920063018798828
112,1855,25.379417,-0.3415050506591797
113,1856,25.03425,-0.6866722106933594
114,1857,24.924917,-0.7960052490234375
115,1858,25.283417,-0.4375057220458984
116,1859,25.325333,-0.3955898284912109
117,1860,25.2415,-0.4794216156005859
118,1861,25.172083,-0.5488395690917969
119,1862,24.897667,-0.8232555389404297
120,1863,25.168167,-0.5527553558349609
121,1864,25.22025,-0.5006732940673828
122,1865,25.367834,-0.35308837890625
123,1866,25.492167,-0.2287559509277343
124,1867,25.62525,-0.095672607421875
125,1868,25.3235,-0.3974227905273437
126,1869,25.629417,-0.0915050506591796
127,1870,25.299334,-0.4215888977050781
128,1871,25.380083,-0.3408393859863281
129,1872,25.370167,-0.3507556915283203
130,1873,25.503084,-0.2178382873535156
131,1874,25.528833,-0.1920890808105468
132,1875,25.015583,-0.7053394317626953
133,1876,25.22275,-0.4981727600097656
134,1877,25.817583,0.0966606140136718
135,1878,26.018,0.2970771789550781
136,1879,25.30075,-0.4201717376708984
137,1880,25.08125,-0.6396732330322266
138,1881,25.539583,-0.1813392639160156
139,1882,25.298,-0.422922134399414
140,1883,25.099,-0.6219215393066406
141,1884,25.002832,-0.7180900573730469
142,1885,,
143,1886,24.974916,-0.7460060119628906
144,1887,25.118166,-0.6027565002441406
145,1888,25.430916,-0.2900066375732422
146,1889,25.44625,-0.2746715545654297
147,1890,24.828583,-0.8923397064208984
148,1891,25.130917,-0.5900058746337891
149,1892,25.158083,-0.5628395080566406
150,1893,25.062584,-0.6583385467529297
151,1894,25.165333,-0.5555896759033203
152,1895,25.464834,-0.2560882568359375
153,1896,25.4875,-0.2334232330322265
154,1897,25.54475,-0.1761722564697265
155,1898,25.178417,-0.5425052642822266
156,1899,25.347334,-0.3735885620117187
157,1900,25.6825,-0.038421630859375
158,1901,25.852917,0.1319942474365234
159,1902,25.465166,-0.2557563781738281
160,1903,25.546583,-0.1743392944335937
161,1904,24.9905,-0.7304229736328125
162,1905,25.539417,-0.1815052032470703
163,1906,25.354416,-0.3665065765380859
164,1907,25.30175,-0.4191722869873047
165,1908,25.466167,-0.2547550201416015
166,1909,25.557917,-0.1630058288574218
167,1910,25.238,-0.4829216003417969
168,1911,25.260584,-0.4603385925292969
169,1912,25.575417,-0.1455059051513672
170,1913,25.334,-0.3869228363037109
171,1914,25.720833,-8.96453857421875e-05
172,1915,25.984667,0.2637443542480469
173,1916,25.491417,-0.2295055389404297
174,1917,25.082167,-0.6387557983398438
175,1918,25.063917,-0.6570053100585938
176,1919,25.70575,-0.0151729583740234
177,1920,25.372168,-0.3487548828125
178,1921,25.221582,-0.4993400573730469
179,1922,25.328167,-0.3927555084228515
180,1923,25.427668,-0.2932548522949219
181,1924,25.340834,-0.3800888061523437
182,1925,25.525,-0.1959228515625
183,1926,25.889,0.1680774688720703
184,1927,25.623583,-0.0973396301269531
185,1928,25.827833,0.1069107055664062
186,1929,25.442333,-0.2785892486572265
187,1930,25.70625,-0.0146732330322265
188,1931,26.10475,0.3838272094726562
189,1932,26.061583,0.3406600952148437
190,1933,25.596167,-0.124755859375
191,1934,25.375668,-0.345254898071289
192,1935,25.729084,0.0081615447998046
193,1936,25.773834,0.0529117584228515
194,1937,25.951084,0.2301616668701172
195,1938,25.775084,0.0541610717773437
196,1939,25.655666,-0.065256118774414
197,1940,26.145334,0.4244117736816406
198,1941,26.2135,0.4925765991210937
199,1942,26.045666,0.3247432708740234
200,1943,25.57125,-0.1496715545654297
201,1944,25.80625,0.0853271484375
202,1945,25.67825,-0.042673110961914
203,1946,25.83425,0.1133270263671875
204,1947,25.854084,0.1331615447998047
205,1948,25.702417,-0.0185050964355468
206,1949,25.542667,-0.1782550811767578
207,1950,25.78075,0.0598278045654296
208,1951,26.06225,0.3413276672363281
209,1952,26.091333,0.3704109191894531
210,1953,26.072916,0.3519935607910156
211,1954,25.785583,0.0646610260009765
212,1955,25.825083,0.1041603088378906
213,1956,25.718834,-0.0020885467529296
214,1957,26.066084,0.3451614379882812
215,1958,26.457666,0.7367439270019531
216,1959,25.98675,0.2658271789550781
217,1960,25.907167,0.1862449645996093
218,1961,25.934668,0.2137451171875
219,1962,26.06825,0.3473281860351562
220,1963,26.031918,0.3109951019287109
221,1964,25.961082,0.2401599884033203
222,1965,25.921333,0.2004108428955078
223,1966,26.155416,0.4344940185546875
224,1967,25.747667,0.0267448425292968
225,1968,25.77425,0.0533275604248046
226,1969,26.415083,0.6941604614257812
227,1970,26.036667,0.315744400024414
228,1971,25.557667,-0.1632556915283203
229,1972,25.845667,0.1247444152832031
230,1973,25.972584,0.2516613006591797
231,1974,25.57775,-0.1431732177734375
232,1975,25.626583,-0.094339370727539
233,1976,25.775333,0.0544109344482421
234,1977,25.980417,0.2594947814941406
235,1978,26.040083,0.3191604614257812
236,1979,26.285,0.5640773773193359
237,1980,26.294083,0.5731601715087891
238,1981,26.13525,0.4143276214599609
239,1982,26.048416,0.327493667602539
240,1983,26.326916,0.6059932708740234
241,1984,25.67575,-0.0451717376708984
242,1985,25.7625,0.0415782928466796
243,1986,26.019833,0.2989101409912109
244,1987,26.67,0.949077606201172
245,1988,26.219166,0.4982433319091797
246,1989,25.894,0.1730766296386718
247,1990,26.229666,0.5087432861328125
248,1991,26.212418,0.491495132446289
249,1992,26.287666,0.5667438507080078
250,1993,26.17325,0.4523277282714844
251,1994,26.110083,0.38916015625
252,1995,26.506584,0.7856616973876953
253,1996,26.416082,0.695159912109375
254,1997,26.609833,0.8889102935791016
255,1998,26.9805,1.2595767974853516
256,1999,26.32975,0.6088275909423828
257,2000,26.112667,0.3917446136474609
258,2001,26.35875,0.6378269195556641
259,2002,26.49175,0.7708282470703125
260,2003,26.779333,1.05841064453125
261,2004,26.73475,1.0138282775878906
262,2005,27.198917,1.4779949188232422
263,2006,26.617834,0.89691162109375
264,2007,26.5195,0.7985782623291016
265,2008,26.462334,0.7414112091064453
266,2009,26.73125,1.0103282928466797
267,2010,27.018667,1.2977447509765625
268,2011,26.591333,0.8704109191894531
269,2012,26.656334,0.9354114532470704
270,2013,26.528875,0.807952880859375
