,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,,
115,1858,,
116,1859,,
117,1860,,
118,1861,,
119,1862,,
120,1863,,
121,1864,,
122,1865,,
123,1866,,
124,1867,,
125,1868,,
126,1869,,
127,1870,,
128,1871,,
129,1872,,
130,1873,,
131,1874,,
132,1875,,
133,1876,,
134,1877,25.922167,-0.184844970703125
135,1878,26.456728,0.3497161865234375
136,1879,25.48125,-0.6257610321044922
137,1880,25.84675,-0.2602615356445312
138,1881,26.03975,-0.0672626495361328
139,1882,26.0265,-0.0805110931396484
140,1883,25.787834,-0.3191776275634765
141,1884,25.070667,-1.0363445281982422
142,1885,25.243584,-0.8634281158447266
143,1886,25.222166,-0.8848457336425781
144,1887,25.192417,-0.9145946502685548
145,1888,25.251667,-0.8553447723388672
146,1889,25.618637,-0.4883747100830078
147,1890,24.743334,-1.363677978515625
148,1891,25.394083,-0.7129287719726562
149,1892,25.254,-0.8530120849609375
150,1893,25.255583,-0.8514289855957031
151,1894,25.714222,-0.3927898406982422
152,1895,25.605667,-0.5013446807861328
153,1896,25.830917,-0.2760944366455078
154,1897,25.48957,-0.6174411773681641
155,1898,25.578667,-0.5283451080322266
156,1899,26.076666,-0.0303459167480468
157,1900,25.665167,-0.4418449401855469
158,1901,25.721834,-0.3851776123046875
159,1902,25.751417,-0.3555946350097656
160,1903,26.269333,0.1623210906982422
161,1904,25.12575,-0.98126220703125
162,1905,25.608418,-0.4985942840576172
163,1906,25.689417,-0.4175949096679687
164,1907,25.495583,-0.6114292144775391
165,1908,25.730417,-0.3765945434570312
166,1909,25.707834,-0.3991775512695312
167,1910,25.674417,-0.4325942993164062
168,1911,25.702417,-0.4045944213867187
169,1912,25.70225,-0.4047622680664062
170,1913,25.694084,-0.4129276275634765
171,1914,25.91275,-0.1942615509033203
172,1915,25.974,-0.1330108642578125
173,1916,25.637167,-0.4698448181152344
174,1917,25.399584,-0.707427978515625
175,1918,25.507917,-0.5990943908691406
176,1919,25.827,-0.2800121307373047
177,1920,25.259,-0.8480110168457031
178,1921,26.027363,-0.0796489715576171
179,1922,25.858917,-0.2480945587158203
180,1923,25.76775,-0.3392620086669922
181,1924,26.0535,-0.0535125732421875
182,1925,25.870832,-0.2361793518066406
183,1926,26.0315,-0.0755119323730468
184,1927,26.118,0.0109882354736328
185,1928,26.135834,0.0288219451904296
186,1929,25.813833,-0.2931785583496094
187,1930,26.219637,0.1126251220703125
188,1931,26.085667,-0.0213451385498046
189,1932,26.130083,0.0230712890625
190,1933,25.88725,-0.2197608947753906
191,1934,26.099833,-0.0071792602539062
192,1935,25.940166,-0.1668453216552734
193,1936,25.820667,-0.2863445281982422
194,1937,26.202917,0.0959053039550781
195,1938,26.158583,0.0515708923339843
196,1939,26.045918,-0.0610942840576171
197,1940,26.535084,0.4280719757080078
198,1941,26.42475,0.3177375793457031
199,1942,26.231,0.1239891052246093
200,1943,26.178167,0.0711555480957031
201,1944,26.000166,-0.1068458557128906
202,1945,26.367332,0.2603206634521484
203,1946,26.231583,0.1245708465576171
204,1947,26.419333,0.3123207092285156
205,1948,26.345917,0.2389049530029297
206,1949,26.262417,0.155405044555664
207,1950,25.910334,-0.1966781616210937
208,1951,26.389,0.2819881439208984
209,1952,26.47375,0.3667373657226562
210,1953,26.362333,0.2553215026855469
211,1954,26.245583,0.1385707855224609
212,1955,25.977417,-0.1295948028564453
213,1956,25.791834,-0.3151779174804687
214,1957,26.2575,0.1504878997802734
215,1958,26.17525,0.0682373046875
216,1959,26.4135,0.306488037109375
217,1960,26.151417,0.0444049835205078
218,1961,26.049917,-0.0570945739746093
219,1962,26.044584,-0.0624275207519531
220,1963,26.166916,0.0599040985107421
221,1964,25.964834,-0.1421775817871093
222,1965,26.212418,0.1054058074951171
223,1966,26.414,0.3069877624511719
224,1967,25.990084,-0.1169281005859375
225,1968,25.920334,-0.1866779327392578
226,1969,26.717333,0.610321044921875
227,1970,26.487333,0.3803215026855469
228,1971,25.80525,-0.3017616271972656
229,1972,26.476334,0.3693218231201172
230,1973,26.668167,0.5611553192138672
231,1974,25.90225,-0.2047615051269531
232,1975,26.052584,-0.0544281005859375
233,1976,26.070333,-0.0366783142089843
234,1977,26.39125,0.2842388153076172
235,1978,26.162333,0.0553207397460937
236,1979,26.234083,0.1270713806152343
237,1980,26.407,0.29998779296875
238,1981,26.291916,0.1849040985107422
239,1982,26.408083,0.3010711669921875
240,1983,26.434084,0.3270721435546875
241,1984,26.393917,0.286905288696289
242,1985,26.29,0.1829891204833984
243,1986,26.472584,0.3655719757080078
244,1987,26.804083,0.6970710754394531
245,1988,26.681417,0.5744056701660156
246,1989,26.43025,0.3232383728027344
247,1990,26.849167,0.7421550750732422
248,1991,26.680334,0.5733222961425781
249,1992,26.56675,0.4597377777099609
250,1993,26.566416,0.4594039916992187
251,1994,26.657167,0.5501556396484375
252,1995,26.721916,0.6149044036865234
253,1996,26.474583,0.3675708770751953
254,1997,26.543083,0.4360713958740234
255,1998,26.918167,0.8111553192138672
256,1999,26.704334,0.5973224639892578
257,2000,26.635834,0.5288219451904297
258,2001,26.619333,0.5123214721679688
259,2002,26.981916,0.8749046325683594
260,2003,26.916416,0.8094043731689453
261,2004,26.728916,0.6219043731689453
262,2005,26.852917,0.7459049224853516
263,2006,26.83475,0.7277374267578125
264,2007,26.812584,0.7055721282958984
265,2008,26.484083,0.3770713806152344
266,2009,27.032084,0.9250717163085938
267,2010,26.941416,0.8344039916992188
268,2011,26.396833,0.2898216247558594
269,2012,26.919834,0.8128223419189453
270,2013,26.907875,0.8008632659912109
