,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,,
115,1858,,
116,1859,,
117,1860,,
118,1861,,
119,1862,,
120,1863,,
121,1864,,
122,1865,,
123,1866,,
124,1867,,
125,1868,,
126,1869,,
127,1870,,
128,1871,,
129,1872,,
130,1873,,
131,1874,,
132,1875,,
133,1876,,
134,1877,,
135,1878,,
136,1879,,
137,1880,,
138,1881,,
139,1882,,
140,1883,,
141,1884,,
142,1885,,
143,1886,,
144,1887,,
145,1888,,
146,1889,,
147,1890,,
148,1891,,
149,1892,,
150,1893,,
151,1894,,
152,1895,,
153,1896,,
154,1897,,
155,1898,,
156,1899,,
157,1900,,
158,1901,,
159,1902,,
160,1903,,
161,1904,,
162,1905,,
163,1906,,
164,1907,,
165,1908,,
166,1909,,
167,1910,,
168,1911,,
169,1912,,
170,1913,,
171,1914,,
172,1915,,
173,1916,,
174,1917,,
175,1918,,
176,1919,,
177,1920,,
178,1921,,
179,1922,,
180,1923,,
181,1924,,
182,1925,,
183,1926,,
184,1927,,
185,1928,,
186,1929,,
187,1930,,
188,1931,,
189,1932,,
190,1933,,
191,1934,,
192,1935,,
193,1936,,
194,1937,,
195,1938,,
196,1939,,
197,1940,,
198,1941,,
199,1942,,
200,1943,,
201,1944,,
202,1945,,
203,1946,,
204,1947,,
205,1948,3.4372,-1.5409088134765625
206,1949,3.6531,-1.3250088691711426
207,1950,3.9636364,-1.014472484588623
208,1951,5.4260836,0.447974681854248
209,1952,4.8464165,-0.1316924095153808
210,1953,4.623833,-0.3542757034301758
211,1954,4.8378334,-0.1402754783630371
212,1955,5.0530834,0.0749745368957519
213,1956,4.898083,-0.0800256729125976
214,1957,4.579583,-0.3985257148742676
215,1958,4.825667,-0.1524419784545898
216,1959,4.580917,-0.3971920013427734
217,1960,5.1140833,0.1359744071960449
218,1961,4.718,-0.2601089477539062
219,1962,4.657833,-0.3202757835388183
220,1963,4.3968334,-0.581275463104248
221,1964,4.2296667,-0.7484421730041504
222,1965,4.666,-0.3121089935302734
223,1966,4.575333,-0.402775764465332
224,1967,4.323,-0.6551089286804199
225,1968,5.2744164,0.2963075637817383
226,1969,4.7083335,-0.269775390625
227,1970,4.7709165,-0.2071924209594726
228,1971,4.942333,-0.0357756614685058
229,1972,4.6198335,-0.3582754135131836
230,1973,4.9726667,-0.0054421424865722
231,1974,4.8285832,-0.1495256423950195
232,1975,5.063667,0.0855579376220703
233,1976,4.82925,-0.1488590240478515
234,1977,4.9289165,-0.0491924285888671
235,1978,5.204167,0.2260580062866211
236,1979,4.950333,-0.027775764465332
237,1980,5.1796665,0.2015576362609863
238,1981,5.0903335,0.1122245788574218
239,1982,5.297917,0.3198080062866211
240,1983,4.813083,-0.1650257110595703
241,1984,4.8653336,-0.1127753257751464
242,1985,4.8746667,-0.1034421920776367
243,1986,4.9744167,-0.0036921501159667
244,1987,5.29425,0.316141128540039
245,1988,4.5728335,-0.4052753448486328
246,1989,5.42425,0.446141242980957
247,1990,5.0084167,0.0303077697753906
248,1991,5.4779167,0.4998078346252441
249,1992,5.1813335,0.2032246589660644
250,1993,5.379833,0.4017243385314941
251,1994,5.0486665,0.0705575942993164
252,1995,5.2555,0.2773909568786621
253,1996,5.0915833,0.1134743690490722
254,1997,5.4708333,0.4927244186401367
255,1998,5.4550834,0.4769744873046875
256,1999,5.12075,0.1426410675048828
257,2000,5.224,0.2458910942077636
258,2001,5.1648335,0.1867246627807617
259,2002,5.1985,0.2203912734985351
260,2003,5.5154166,0.5373077392578125
261,2004,5.4425836,0.4644746780395508
262,2005,5.4560833,0.4779744148254394
263,2006,5.3185,0.3403911590576172
264,2007,5.05125,0.0731410980224609
265,2008,5.4471664,0.469057559967041
266,2009,5.1749167,0.196807861328125
267,2010,5.63825,0.6601409912109375
268,2011,5.330333,0.3522243499755859
269,2012,5.5315833,0.5534744262695312
270,2013,5.6855,0.7073912620544434
