,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,23.120142,-1.127279281616211
115,1858,23.743876,-0.5035457611083984
116,1859,23.6632,-0.5842208862304688
117,1860,23.771727,-0.4756946563720703
118,1861,23.4876,-0.7598209381103516
119,1862,,
120,1863,,
121,1864,,
122,1865,,
123,1866,,
124,1867,,
125,1868,,
126,1869,,
127,1870,,
128,1871,,
129,1872,,
130,1873,23.963,-0.2844219207763672
131,1874,23.964182,-0.2832393646240234
132,1875,23.637167,-0.6102542877197266
133,1876,23.78811,-0.4593105316162109
134,1877,24.125416,-0.1220054626464843
135,1878,24.0105,-0.2369213104248047
136,1879,23.222666,-1.0247554779052734
137,1880,23.25225,-0.9951705932617188
138,1881,23.64175,-0.6056709289550781
139,1882,23.609167,-0.6382541656494141
140,1883,23.822,-0.4254207611083984
141,1884,23.530083,-0.7173385620117188
142,1885,23.85375,-0.3936710357666015
143,1886,23.775583,-0.4718379974365234
144,1887,23.125334,-1.122087478637695
145,1888,23.474583,-0.7728385925292969
146,1889,24.006666,-0.2407550811767578
147,1890,22.85475,-1.3926715850830078
148,1891,23.24575,-1.0016708374023438
149,1892,23.428583,-0.8188381195068359
150,1893,23.599916,-0.6475048065185547
151,1894,23.655083,-0.5923385620117188
152,1895,23.739584,-0.5078372955322266
153,1896,23.706417,-0.5410041809082031
154,1897,24.0415,-0.2059211730957031
155,1898,23.612583,-0.6348381042480469
156,1899,24.108,-0.1394214630126953
157,1900,24.062334,-0.1850872039794922
158,1901,24.286583,0.0391616821289062
159,1902,23.908667,-0.338754653930664
160,1903,23.8085,-0.4389209747314453
161,1904,23.129417,-1.1180038452148438
162,1905,23.799084,-0.4483375549316406
163,1906,23.742666,-0.5047550201416016
164,1907,23.8405,-0.40692138671875
165,1908,23.83875,-0.408670425415039
166,1909,23.809834,-0.4375877380371094
167,1910,23.866083,-0.3813381195068359
168,1911,23.521584,-0.7258377075195312
169,1912,24.336,0.0885791778564453
170,1913,24.367916,0.1204948425292968
171,1914,24.246416,-0.0010051727294921
172,1915,24.266417,0.0189952850341796
173,1916,24.300083,0.0526618957519531
174,1917,24.1895,-0.0579204559326171
175,1918,23.77925,-0.4681720733642578
176,1919,24.133167,-0.1142539978027343
177,1920,24.136168,-0.1112537384033203
178,1921,24.353834,0.1064128875732421
179,1922,23.9735,-0.2739219665527344
180,1923,23.973917,-0.2735042572021484
181,1924,24.615667,0.3682460784912109
182,1925,23.997917,-0.2495040893554687
183,1926,24.448416,0.2009944915771484
184,1927,24.550417,0.3029956817626953
185,1928,24.293417,0.0459957122802734
186,1929,24.099333,-0.1480884552001953
187,1930,24.1735,-0.0739212036132812
188,1931,24.49525,0.2478294372558593
189,1932,24.112667,-0.1347541809082031
190,1933,24.430584,0.1831626892089843
191,1934,24.593166,0.3457450866699219
192,1935,24.535334,0.287912368774414
193,1936,24.475916,0.228494644165039
194,1937,24.771833,0.5244121551513672
195,1938,24.63125,0.383829116821289
196,1939,24.200333,-0.047088623046875
197,1940,24.287083,0.0396614074707031
198,1941,24.828833,0.5814113616943359
199,1942,24.688417,0.4409961700439453
200,1943,24.201166,-0.0462551116943359
201,1944,24.876583,0.6291618347167969
202,1945,24.9335,0.6860790252685547
203,1946,24.402,0.1545791625976562
204,1947,24.728167,0.4807453155517578
205,1948,24.3995,0.152078628540039
206,1949,24.838583,0.5911617279052734
207,1950,24.43425,0.18682861328125
208,1951,24.494417,0.2469959259033203
209,1952,24.43825,0.1908283233642578
210,1953,24.374166,0.1267452239990234
211,1954,24.019833,-0.2275886535644531
212,1955,24.188833,-0.0585880279541015
213,1956,24.157333,-0.090087890625
214,1957,24.440166,0.1927452087402343
215,1958,24.342167,0.0947456359863281
216,1959,24.444416,0.1969947814941406
217,1960,24.530834,0.2834129333496094
218,1961,24.196417,-0.051004409790039
219,1962,24.357834,0.11041259765625
220,1963,24.59625,0.3488292694091797
221,1964,24.26375,0.0163288116455078
222,1965,24.282917,0.0354957580566406
223,1966,24.595667,0.348245620727539
224,1967,24.2895,0.0420780181884765
225,1968,24.256916,0.0094947814941406
226,1969,24.503584,0.2561626434326172
227,1970,24.49875,0.2513294219970703
228,1971,24.167334,-0.080087661743164
229,1972,24.265,0.017578125
230,1973,24.695833,0.4484119415283203
231,1974,24.149666,-0.0977554321289062
232,1975,24.17325,-0.0741710662841796
233,1976,23.909334,-0.3380870819091797
234,1977,24.5535,0.3060779571533203
235,1978,24.347334,0.0999126434326171
236,1979,24.69375,0.446329116821289
237,1980,24.62375,0.3763294219970703
238,1981,24.295416,0.0479946136474609
239,1982,24.12775,-0.1196708679199218
240,1983,24.613083,0.36566162109375
241,1984,24.623667,0.3762454986572265
242,1985,24.303417,0.0559959411621093
243,1986,24.2965,0.0490779876708984
244,1987,24.847084,0.5996627807617188
245,1988,24.773666,0.5262451171875
246,1989,24.508083,0.2606620788574219
247,1990,24.570833,0.3234119415283203
248,1991,24.566833,0.3194122314453125
249,1992,24.24025,-0.007171630859375
250,1993,24.5445,0.2970790863037109
251,1994,24.647083,0.3996620178222656
252,1995,24.936916,0.6894950866699219
253,1996,24.46475,0.2173290252685547
254,1997,24.730417,0.4829959869384765
255,1998,25.394833,1.1474113464355469
256,1999,24.736834,0.4894123077392578
257,2000,24.572416,0.3249950408935547
258,2001,24.513584,0.2661628723144531
259,2002,24.833918,0.5864963531494141
260,2003,24.912,0.6645793914794922
261,2004,24.85325,0.6058292388916016
262,2005,24.965416,0.7179946899414062
263,2006,25.15775,0.9103279113769532
264,2007,25.063583,0.816162109375
265,2008,25.127916,0.8804950714111328
266,2009,25.134666,0.8872451782226562
267,2010,25.221,0.9735794067382812
268,2011,24.730917,0.4834957122802734
269,2012,24.831667,0.5842456817626953
270,2013,24.8385,0.5910778045654297
