,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,26.994583,-0.5439529418945312
107,1850,27.001083,-0.5374526977539062
108,1851,27.132334,-0.4062023162841797
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,26.984333,-0.5542030334472656
114,1857,26.745909,-0.7926273345947266
115,1858,26.766417,-0.7721195220947266
116,1859,27.51925,-0.0192852020263671
117,1860,26.961166,-0.5773696899414062
118,1861,27.035166,-0.5033702850341797
119,1862,26.691917,-0.84661865234375
120,1863,26.687416,-0.8511199951171875
121,1864,27.145334,-0.3932018280029297
122,1865,27.258167,-0.2803688049316406
123,1866,,
124,1867,,
125,1868,26.749546,-0.7889900207519531
126,1869,27.1514,-0.3871364593505859
127,1870,27.321,-0.2175369262695312
128,1871,,
129,1872,,
130,1873,26.6145,-0.9240360260009766
131,1874,26.772583,-0.7659530639648438
132,1875,26.57175,-0.9667854309082032
133,1876,27.070583,-0.4679527282714844
134,1877,27.125668,-0.4128684997558594
135,1878,27.374083,-0.1644535064697265
136,1879,26.9595,-0.5790367126464844
137,1880,27.174583,-0.36395263671875
138,1881,27.570545,0.0320091247558593
139,1882,27.329916,-0.2086200714111328
140,1883,27.838272,0.2997360229492187
141,1884,27.205917,-0.3326187133789062
142,1885,26.680666,-0.8578701019287109
143,1886,26.7805,-0.7580356597900391
144,1887,26.902666,-0.6358699798583984
145,1888,27.014584,-0.5239524841308594
146,1889,26.35975,-1.1787853240966797
147,1890,26.743834,-0.7947025299072266
148,1891,27.17375,-0.364786148071289
149,1892,27.655916,0.117380142211914
150,1893,27.578333,0.0397968292236328
151,1894,26.835917,-0.7026195526123047
152,1895,26.94125,-0.5972862243652344
153,1896,27.73575,0.197214126586914
154,1897,28.043833,0.5052967071533203
155,1898,27.463,-0.0755367279052734
156,1899,27.822416,0.2838802337646484
157,1900,27.462667,-0.0758686065673828
158,1901,27.550167,0.0116310119628906
159,1902,27.629583,0.0910472869873046
160,1903,27.303,-0.2355365753173828
161,1904,26.732334,-0.8062019348144531
162,1905,27.112833,-0.4257030487060547
163,1906,27.29375,-0.2447853088378906
164,1907,26.368334,-1.1702022552490234
165,1908,27.014,-0.5245361328125
166,1909,27.02775,-0.5107860565185547
167,1910,27.53975,0.0012130737304687
168,1911,27.171667,-0.3668689727783203
169,1912,27.311333,-0.227203369140625
170,1913,27.718082,0.1795463562011718
171,1914,27.414583,-0.1239528656005859
172,1915,27.687666,0.1491298675537109
173,1916,27.277,-0.26153564453125
174,1917,26.92675,-0.611785888671875
175,1918,27.15875,-0.3797855377197265
176,1919,27.512083,-0.0264530181884765
177,1920,27.337166,-0.2013702392578125
178,1921,27.493084,-0.0454521179199218
179,1922,27.346333,-0.1922035217285156
180,1923,27.621,0.0824642181396484
181,1924,27.454,-0.0845355987548828
182,1925,27.56125,0.022714614868164
183,1926,28.08875,0.5502147674560547
184,1927,27.588083,0.0495471954345703
185,1928,27.254417,-0.28411865234375
186,1929,27.328083,-0.2104530334472656
187,1930,27.1735,-0.3650360107421875
188,1931,27.814917,0.2763805389404297
189,1932,27.465834,-0.072702407836914
190,1933,27.500166,-0.038370132446289
191,1934,27.15225,-0.3862857818603515
192,1935,27.328417,-0.2101192474365234
193,1936,27.674084,0.1355476379394531
194,1937,27.796583,0.2580471038818359
195,1938,27.674166,0.135629653930664
196,1939,27.479334,-0.0592021942138671
197,1940,27.669333,0.1307964324951172
198,1941,27.880167,0.3416309356689453
199,1942,27.559668,0.0211315155029296
200,1943,27.322,-0.2165355682373047
201,1944,27.835667,0.2971305847167969
202,1945,28.059,0.5204639434814453
203,1946,27.502083,-0.0364532470703125
204,1947,27.632668,0.0941314697265625
205,1948,27.368668,-0.1698684692382812
206,1949,27.614666,0.0761299133300781
207,1950,27.41825,-0.1202869415283203
208,1951,27.351084,-0.1874523162841797
209,1952,27.2635,-0.2750358581542969
210,1953,27.43825,-0.1002864837646484
211,1954,27.339834,-0.1987018585205078
212,1955,27.575583,0.0370464324951171
213,1956,27.252083,-0.2864532470703125
214,1957,27.329334,-0.2092018127441406
215,1958,27.8195,0.2809638977050781
216,1959,27.472334,-0.066202163696289
217,1960,27.573166,0.0346298217773437
218,1961,27.585333,0.0467967987060546
219,1962,27.757,0.2184638977050781
220,1963,27.855167,0.3166313171386719
221,1964,27.607,0.0684642791748046
222,1965,27.1735,-0.3650360107421875
223,1966,27.716417,0.1778812408447265
224,1967,27.167833,-0.3707027435302734
225,1968,27.322166,-0.21636962890625
226,1969,28.339666,0.8011302947998047
227,1970,28.13875,0.6002140045166016
228,1971,27.358084,-0.1804523468017578
229,1972,27.701416,0.1628799438476562
230,1973,28.00125,0.4627132415771484
231,1974,27.170666,-0.3678703308105469
232,1975,27.285667,-0.25286865234375
233,1976,27.25925,-0.2792854309082031
234,1977,28.070084,0.5315475463867188
235,1978,27.658167,0.1196308135986328
236,1979,28.09925,0.5607147216796875
237,1980,28.0935,0.5549640655517578
238,1981,28.0795,0.5409641265869141
239,1982,27.586834,0.0482978820800781
240,1983,28.639334,1.1007976531982422
241,1984,27.898167,0.3596305847167969
242,1985,27.81275,0.2742137908935547
243,1986,27.744833,0.2062969207763672
244,1987,28.39125,0.8527145385742188
245,1988,28.055584,0.5170478820800781
246,1989,27.827417,0.2888813018798828
247,1990,28.135666,0.5971298217773438
248,1991,28.04525,0.5067138671875
249,1992,28.034334,0.495798110961914
250,1993,28.240667,0.7021312713623047
251,1994,27.904083,0.3655471801757812
252,1995,28.190083,0.6515464782714844
253,1996,28.29875,0.7602138519287109
254,1997,28.350166,0.8116302490234375
255,1998,28.826084,1.2875480651855469
256,1999,27.7575,0.218963623046875
257,2000,28.06375,0.5252132415771484
258,2001,28.48975,0.951213836669922
259,2002,28.547916,1.009380340576172
260,2003,28.228582,0.6900463104248047
261,2004,28.3725,0.8339633941650391
262,2005,28.605,1.0664634704589844
263,2006,28.177334,0.6387977600097656
264,2007,28.364916,0.8263797760009766
265,2008,28.346083,0.8075466156005859
266,2009,27.959,0.4204635620117187
267,2010,28.802917,1.2643814086914062
268,2011,28.2825,0.7439632415771484
269,2012,28.301666,0.7631301879882812
270,2013,28.724375,1.1858386993408203
