,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,8.842584,0.7148818969726562
38,1781,8.058084,-0.0696182250976562
39,1782,7.6336665,-0.4940352439880371
40,1783,8.872125,0.7444229125976562
41,1784,,
42,1785,11.26475,3.13704776763916
43,1786,7.9154167,-0.212285041809082
44,1787,,
45,1788,8.165334,0.0376319885253906
46,1789,8.355166,0.2274646759033203
47,1790,,
48,1791,8.49025,0.3625478744506836
49,1792,7.95425,-0.1734519004821777
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,6.471833,-1.6558685302734375
67,1810,6.601333,-1.5263686180114746
68,1811,6.709833,-1.4178686141967771
69,1812,6.7538333,-1.373868465423584
70,1813,7.279,-0.8487019538879395
71,1814,7.5168333,-0.6108684539794922
72,1815,6.8915834,-1.2361183166503906
73,1816,6.73075,-1.396951675415039
74,1817,6.8894167,-1.2382850646972656
75,1818,7.883167,-0.2445349693298339
76,1819,7.21475,-0.9129519462585448
77,1820,7.3035,-0.8242015838623047
78,1821,7.5948334,-0.5328683853149414
79,1822,7.2295,-0.8982019424438477
80,1823,7.8616667,-0.2660350799560547
81,1824,8.861,0.7332983016967773
82,1825,7.642667,-0.4850349426269531
83,1826,7.625,-0.5027017593383789
84,1827,8.852834,0.7251319885253906
85,1828,7.4749165,-0.6527853012084961
86,1829,7.5864167,-0.5412850379943848
87,1830,8.056,-0.0717020034790039
88,1831,7.350333,-0.7773685455322266
89,1832,6.235417,-1.892284870147705
90,1833,7.573583,-0.5541186332702637
91,1834,7.42825,-0.6994519233703613
92,1835,7.135,-0.992701530456543
93,1836,7.742833,-0.3848686218261719
94,1837,7.24175,-0.8859519958496094
95,1838,6.92375,-1.2039518356323242
96,1839,7.235,-0.8927016258239746
97,1840,6.8778334,-1.249868392944336
98,1841,7.550833,-0.5768685340881348
99,1842,7.67275,-0.4549517631530761
100,1843,7.9930835,-0.1346182823181152
101,1844,7.426,-0.7017016410827637
102,1845,7.604417,-0.523284912109375
103,1846,7.99625,-0.1314516067504882
104,1847,7.7058334,-0.4218683242797851
105,1848,8.051666,-0.0760354995727539
106,1849,8.104,-0.0237016677856445
107,1850,7.48925,-0.6384515762329102
108,1851,8.72425,0.5965480804443359
109,1852,7.85275,-0.2749519348144531
110,1853,8.423166,0.2954645156860351
111,1854,7.4590836,-0.6686182022094727
112,1855,8.3865,0.258798599243164
113,1856,7.8185835,-0.3091182708740234
114,1857,7.0256667,-1.1020350456237793
115,1858,7.4521666,-0.6755352020263672
116,1859,8.195416,0.0677146911621093
117,1860,8.018333,-0.1093683242797851
118,1861,6.822583,-1.3051185607910156
119,1862,6.6585,-1.4692015647888184
120,1863,7.4416666,-0.68603515625
121,1864,7.79025,-0.3374519348144531
122,1865,7.9579167,-0.1697850227355957
123,1866,7.8480835,-0.2796182632446289
124,1867,7.812333,-0.31536865234375
125,1868,7.6818333,-0.4458684921264648
126,1869,8.225583,0.0978813171386718
127,1870,7.9885,-0.1392016410827636
128,1871,7.8263335,-0.301368236541748
129,1872,8.758333,0.6306314468383789
130,1873,8.60025,0.4725484848022461
131,1874,7.9746666,-0.1530351638793945
132,1875,7.565417,-0.5622849464416504
133,1876,8.045417,-0.082284927368164
134,1877,8.33975,0.2120485305786132
135,1878,8.668,0.5402984619140625
136,1879,8.751917,0.6242151260375977
137,1880,6.656833,-1.4708685874938965
138,1881,7.59475,-0.532951831817627
139,1882,7.5963335,-0.5313682556152344
140,1883,8.055667,-0.0720348358154296
141,1884,7.293,-0.8347015380859375
142,1885,7.8811665,-0.2465353012084961
143,1886,7.40075,-0.7269515991210938
144,1887,8.052917,-0.0747852325439453
145,1888,8.1115,-0.0162019729614257
146,1889,7.97875,-0.1489515304565429
147,1890,8.105917,-0.0217847824096679
148,1891,7.67,-0.4577016830444336
149,1892,8.222584,0.0948820114135742
150,1893,7.4156666,-0.7120351791381836
151,1894,7.236833,-0.8908686637878418
152,1895,7.8551664,-0.2725353240966797
153,1896,7.254833,-0.872868537902832
154,1897,7.95625,-0.1714515686035156
155,1898,7.2910833,-0.8366184234619141
156,1899,8.7525835,0.6248817443847656
157,1900,7.8651667,-0.2625350952148437
158,1901,8.92875,0.8010482788085938
159,1902,7.8875833,-0.2401185035705566
160,1903,7.877917,-0.2497849464416504
161,1904,7.4321666,-0.6955351829528809
162,1905,8.020833,-0.1068687438964843
163,1906,8.159166,0.0314645767211914
164,1907,7.1703334,-0.9573683738708496
165,1908,7.252,-0.875701904296875
166,1909,8.321917,0.1942148208618164
167,1910,8.235,0.1072978973388671
168,1911,6.58475,-1.542951583862305
169,1912,8.136333,0.0086317062377929
170,1913,7.6959167,-0.4317851066589355
171,1914,8.07275,-0.0549516677856445
172,1915,8.489833,0.362131118774414
173,1916,8.633166,0.5054645538330078
174,1917,8.809334,0.6816320419311523
175,1918,8.534833,0.4071311950683594
176,1919,8.480833,0.3531312942504883
177,1920,6.639583,-1.4881186485290527
178,1921,7.28075,-0.846951961517334
179,1922,8.609167,0.4814653396606445
180,1923,8.634583,0.5068817138671875
181,1924,8.377916,0.2502145767211914
182,1925,8.492084,0.3643817901611328
183,1926,8.178416,0.0507144927978515
184,1927,8.09925,-0.028451919555664
185,1928,7.10625,-1.0214519500732422
186,1929,7.32025,-0.8074517250061035
187,1930,8.623834,0.4961318969726562
188,1931,7.5101666,-0.6175351142883301
189,1932,7.5835,-0.5442018508911133
190,1933,7.1639166,-0.9637851715087892
191,1934,7.7840834,-0.3436183929443359
192,1935,8.566584,0.4388818740844726
193,1936,8.400917,0.2732152938842773
194,1937,8.962167,0.8344650268554688
195,1938,8.68975,0.5620479583740234
196,1939,8.562917,0.4352149963378906
197,1940,8.688916,0.5612144470214844
198,1941,8.22625,0.0985479354858398
199,1942,7.83625,-0.2914519309997558
200,1943,8.056583,-0.0711183547973632
201,1944,8.6900835,0.5623817443847656
202,1945,7.274667,-0.8530349731445312
203,1946,8.104083,-0.0236186981201171
204,1947,8.94225,0.8145484924316406
205,1948,8.142583,0.0148811340332031
206,1949,7.64725,-0.4804515838623047
207,1950,7.9575,-0.1702017784118652
208,1951,8.437667,0.3099651336669922
209,1952,8.909,0.7812986373901367
210,1953,7.8229165,-0.3047852516174316
211,1954,8.470667,0.3429651260375976
212,1955,9.511,1.3832979202270508
213,1956,7.0835834,-1.0441184043884275
214,1957,9.015833,0.8881311416625977
215,1958,8.5286665,0.4009647369384765
216,1959,7.4778333,-0.6498684883117676
217,1960,8.76125,0.6335477828979492
218,1961,8.890166,0.7624645233154297
219,1962,9.664166,1.5364646911621094
220,1963,8.641417,0.5137147903442383
221,1964,7.6813335,-0.4463682174682617
222,1965,8.177167,0.0494651794433593
223,1966,10.488083,2.3603811264038086
224,1967,7.829,-0.2987017631530761
225,1968,8.682917,0.5552148818969727
226,1969,7.9249167,-0.2027850151062011
227,1970,9.183583,1.0558815002441406
228,1971,8.830916,0.7032146453857422
229,1972,7.9904165,-0.1372852325439453
230,1973,7.8518333,-0.2758684158325195
231,1974,8.251,0.1232986450195312
232,1975,8.736917,0.6092147827148438
233,1976,7.7195,-0.4082016944885254
234,1977,8.305417,0.1777153015136718
235,1978,8.409917,0.2822151184082031
236,1979,9.5650835,1.4373817443847656
237,1980,8.783083,0.6553812026977539
238,1981,9.44175,1.3140478134155271
239,1982,7.9796667,-0.1480350494384765
240,1983,8.613083,0.4853811264038086
241,1984,8.51825,0.3905487060546875
242,1985,8.372167,0.2444648742675781
243,1986,8.797167,0.6694650650024414
244,1987,8.169917,0.042215347290039
245,1988,8.206333,0.0786314010620117
246,1989,8.9365835,0.8088817596435547
247,1990,8.84425,0.716547966003418
248,1991,8.857083,0.7293815612792969
249,1992,7.390917,-0.7367849349975586
250,1993,7.3978333,-0.7298684120178223
251,1994,8.718333,0.5906314849853516
252,1995,9.427584,1.299881935119629
253,1996,9.117917,0.990215301513672
254,1997,8.550667,0.4229650497436523
255,1998,9.85875,1.731048583984375
256,1999,9.769167,1.641465187072754
257,2000,9.311167,1.1834650039672852
258,2001,9.86175,1.7340478897094729
259,2002,9.206,1.078298568725586
260,2003,8.804584,0.6768817901611328
261,2004,9.218583,1.09088134765625
262,2005,9.4135,1.2857980728149414
263,2006,9.40375,1.2760486602783203
264,2007,9.525917,1.3982152938842771
265,2008,9.308583,1.1808815002441406
266,2009,9.552083,1.4243812561035156
267,2010,11.102417,2.974715232849121
268,2011,8.52375,0.3960485458374023
269,2012,9.7873335,1.6596317291259766
270,2013,10.686625,2.55892276763916
