,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,26.12475,-0.5868110656738281
107,1850,26.048666,-0.6628952026367188
108,1851,26.231667,-0.4798946380615234
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,26.929167,0.2176055908203125
114,1857,25.671637,-1.0399246215820312
115,1858,26.024334,-0.6872272491455078
116,1859,26.464333,-0.2472286224365234
117,1860,26.005728,-0.7058334350585938
118,1861,26.2173,-0.4942607879638672
119,1862,,
120,1863,,
121,1864,,
122,1865,,
123,1866,,
124,1867,,
125,1868,,
126,1869,,
127,1870,,
128,1871,,
129,1872,,
130,1873,26.229,-0.4825611114501953
131,1874,26.228,-0.483560562133789
132,1875,25.830334,-0.8812274932861328
133,1876,25.771418,-0.940143585205078
134,1877,26.415167,-0.2963943481445312
135,1878,26.460167,-0.2513942718505859
136,1879,25.940416,-0.7711448669433594
137,1880,26.400084,-0.3114776611328125
138,1881,26.643,-0.0685615539550781
139,1882,26.236834,-0.4747276306152344
140,1883,26.676916,-0.0346450805664062
141,1884,26.897375,0.1858139038085937
142,1885,,
143,1886,25.98375,-0.7278118133544922
144,1887,25.43675,-1.274810791015625
145,1888,25.49875,-1.212810516357422
146,1889,25.679832,-1.031728744506836
147,1890,25.26625,-1.4453105926513672
148,1891,25.588167,-1.123394012451172
149,1892,25.685417,-1.026144027709961
150,1893,25.898417,-0.8131446838378906
151,1894,25.58925,-1.1223106384277344
152,1895,26.033333,-0.6782283782958984
153,1896,25.905416,-0.8061447143554688
154,1897,26.319084,-0.3924770355224609
155,1898,25.96125,-0.7503108978271484
156,1899,26.761833,0.050271987915039
157,1900,26.633333,-0.0782279968261718
158,1901,26.433167,-0.2783946990966797
159,1902,26.21475,-0.4968109130859375
160,1903,25.86675,-0.8448104858398438
161,1904,25.726334,-0.9852275848388672
162,1905,26.242666,-0.4688949584960937
163,1906,26.526833,-0.1847286224365234
164,1907,26.109917,-0.6016445159912109
165,1908,26.366,-0.3455619812011719
166,1909,26.07675,-0.6348114013671875
167,1910,26.199333,-0.5122280120849609
168,1911,25.861584,-0.8499774932861328
169,1912,26.739666,0.0281047821044921
170,1913,26.927416,0.2158546447753906
171,1914,26.96725,0.2556896209716797
172,1915,26.903,0.1914386749267578
173,1916,26.59725,-0.1143112182617187
174,1917,27.03975,0.3281879425048828
175,1918,26.597666,-0.1138954162597656
176,1919,26.796917,0.0853557586669921
177,1920,26.835667,0.1241054534912109
178,1921,26.940916,0.2293548583984375
179,1922,26.851,0.1394386291503906
180,1923,26.689667,-0.0218944549560546
181,1924,26.818916,0.1073551177978515
182,1925,26.71625,0.0046882629394531
183,1926,27.17475,0.4631881713867187
184,1927,26.66625,-0.0453109741210937
185,1928,26.719084,0.0075225830078125
186,1929,26.863,0.1514396667480468
187,1930,27.059668,0.3481063842773437
188,1931,27.075916,0.3643550872802734
189,1932,26.5595,-0.1520614624023437
190,1933,26.943,0.2314395904541015
191,1934,26.90125,0.1896896362304687
192,1935,26.79025,0.0786895751953125
193,1936,26.607084,-0.1044769287109375
194,1937,27.125334,0.4137725830078125
195,1938,27.08925,0.3776893615722656
196,1939,26.516083,-0.1954784393310547
197,1940,27.149084,0.4375228881835937
198,1941,27.39025,0.6786880493164062
199,1942,27.01125,0.2996883392333984
200,1943,26.710417,-0.0011444091796875
201,1944,27.166584,0.4550228118896484
202,1945,27.061916,0.3503551483154297
203,1946,26.866333,0.1547718048095703
204,1947,27.12375,0.4121894836425781
205,1948,26.743917,0.0323562622070312
206,1949,27.092,0.3804378509521484
207,1950,26.692,-0.019561767578125
208,1951,26.929667,0.2181053161621093
209,1952,26.784,0.0724391937255859
210,1953,26.75475,0.0431880950927734
211,1954,26.502167,-0.2093944549560547
212,1955,26.4515,-0.2600612640380859
213,1956,26.43325,-0.2783107757568359
214,1957,26.722084,0.0105228424072265
215,1958,26.84575,0.1341896057128906
216,1959,26.884583,0.1730213165283203
217,1960,26.825417,0.1138553619384765
218,1961,26.683083,-0.0284786224365234
219,1962,26.663584,-0.0479774475097656
220,1963,26.9145,0.2029380798339843
221,1964,26.534082,-0.1774787902832031
222,1965,26.607,-0.1045608520507812
223,1966,26.909834,0.198272705078125
224,1967,26.583416,-0.1281452178955078
225,1968,26.73175,0.0201892852783203
226,1969,27.125416,0.4138545989990234
227,1970,27.142916,0.4313545227050781
228,1971,26.609833,-0.1017284393310546
229,1972,26.856667,0.1451053619384765
230,1973,27.372,0.6604385375976562
231,1974,26.699167,-0.0123939514160156
232,1975,26.57025,-0.1413116455078125
233,1976,26.380333,-0.3312282562255859
234,1977,27.019667,0.30810546875
235,1978,26.814167,0.1026058197021484
236,1979,27.144667,0.43310546875
237,1980,27.079416,0.3678550720214844
238,1981,27.018167,0.3066062927246094
239,1982,26.801,0.0894393920898437
240,1983,27.317667,0.6061058044433594
241,1984,27.177166,0.4656047821044922
242,1985,26.938917,0.22735595703125
243,1986,26.891916,0.1803550720214843
244,1987,27.78275,1.071187973022461
245,1988,27.24425,0.5326881408691406
246,1989,27.001,0.289438247680664
247,1990,27.24475,0.5331878662109375
248,1991,26.969418,0.2578563690185547
249,1992,26.83325,0.1216888427734375
250,1993,27.088917,0.3773555755615234
251,1994,26.966084,0.2545223236083984
252,1995,27.21225,0.5006885528564453
253,1996,27.130833,0.4192714691162109
254,1997,27.072916,0.3613548278808594
255,1998,27.6635,0.9519386291503906
256,1999,27.119917,0.408355712890625
257,2000,27.245916,0.5343551635742188
258,2001,27.27875,0.5671882629394531
259,2002,27.401083,0.6895217895507812
260,2003,27.5335,0.8219394683837891
261,2004,27.415833,0.7042713165283203
262,2005,27.601166,0.8896045684814453
263,2006,27.581583,0.8700218200683594
264,2007,27.627666,0.9161052703857422
265,2008,27.367834,0.6562728881835938
266,2009,27.557583,0.8460216522216797
267,2010,27.935,1.2234382629394531
268,2011,27.59975,0.8881893157958984
269,2012,27.2795,0.5679378509521484
270,2013,27.7175,1.005939483642578
