,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,-19.177668,-0.5957546234130859
81,1824,-18.692417,-0.110504150390625
82,1825,-18.731,-0.149087905883789
83,1826,-18.649334,-0.0674209594726562
84,1827,-18.428333,0.1535797119140625
85,1828,-18.222416,0.3594970703125
86,1829,-18.6115,-0.0295867919921875
87,1830,-18.41325,0.1686630249023437
88,1831,-19.17425,-0.5923366546630859
89,1832,-19.470083,-0.8881702423095703
90,1833,-19.01625,-0.4343376159667969
91,1834,-19.142916,-0.5610027313232422
92,1835,-19.837833,-1.25592041015625
93,1836,-19.928,-1.346086502075195
94,1837,-19.479334,-0.8974208831787109
95,1838,-19.368166,-0.7862529754638672
96,1839,-19.467417,-0.8855037689208984
97,1840,-18.9235,-0.3415870666503906
98,1841,-19.356833,-0.7749195098876953
99,1842,-18.638166,-0.056253433227539
100,1843,-19.097584,-0.5156707763671875
101,1844,-19.203083,-0.6211700439453125
102,1845,-19.056168,-0.4742546081542969
103,1846,-18.351667,0.2302455902099609
104,1847,-18.64875,-0.0668373107910156
105,1848,-19.489834,-0.9079208374023438
106,1849,-19.093334,-0.5114212036132812
107,1850,-19.177668,-0.5957546234130859
108,1851,-18.679667,-0.0977535247802734
109,1852,-18.869333,-0.2874202728271484
110,1853,-18.992167,-0.4102535247802734
111,1854,-19.003334,-0.4214210510253906
112,1855,-19.12125,-0.539337158203125
113,1856,-18.920166,-0.3382530212402344
114,1857,-19.173166,-0.5912532806396484
115,1858,-18.927334,-0.3454208374023437
116,1859,-19.427584,-0.8456707000732422
117,1860,-19.150667,-0.5687541961669922
118,1861,-18.80775,-0.2258377075195312
119,1862,-19.333918,-0.7520046234130859
120,1863,-19.42175,-0.8398361206054688
121,1864,-18.67075,-0.088836669921875
122,1865,-19.343834,-0.7619209289550781
123,1866,-20.419584,-1.8376712799072263
124,1867,-18.772083,-0.1901702880859375
125,1868,-20.1555,-1.573587417602539
126,1869,-19.510084,-0.928171157836914
127,1870,-18.822916,-0.2410030364990234
128,1871,-18.466917,0.1149959564208984
129,1872,-17.74275,0.8391628265380859
130,1873,-18.957083,-0.3751697540283203
131,1874,-18.963333,-0.3814201354980469
132,1875,-18.587917,-0.0060043334960937
133,1876,-19.008833,-0.426919937133789
134,1877,-18.992584,-0.4106712341308594
135,1878,-18.32625,0.2556629180908203
136,1879,-18.609667,-0.0277538299560546
137,1880,-19.215584,-0.6336708068847656
138,1881,-18.873,-0.291086196899414
139,1882,-20.541334,-1.959421157836914
140,1883,-18.703417,-0.1215038299560546
141,1884,-20.433916,-1.85200309753418
142,1885,-19.214083,-0.6321697235107422
143,1886,-20.260834,-1.6789207458496094
144,1887,-20.834167,-2.2522544860839844
145,1888,-19.212833,-0.63092041015625
146,1889,-19.396334,-0.8144207000732422
147,1890,-19.390083,-0.8081703186035156
148,1891,-19.971834,-1.3899211883544922
149,1892,-19.2735,-0.6915874481201172
150,1893,-18.889334,-0.3074207305908203
151,1894,-20.417833,-1.835920333862305
152,1895,-18.513334,0.0685787200927734
153,1896,-20.247833,-1.6659202575683594
154,1897,-19.5715,-0.9895877838134766
155,1898,-20.40775,-1.825836181640625
156,1899,-19.50875,-0.926837921142578
157,1900,-18.292334,0.2895793914794922
158,1901,-18.534416,0.0474967956542968
159,1902,-18.915667,-0.3337535858154297
160,1903,-19.146917,-0.5650043487548828
161,1904,-19.419416,-0.8375034332275391
162,1905,-18.69975,-0.117837905883789
163,1906,-19.818083,-1.2361698150634766
164,1907,-19.638,-1.0560874938964844
165,1908,-18.30225,0.2796630859375
166,1909,-18.938417,-0.3565044403076172
167,1910,-20.07125,-1.489337921142578
168,1911,-19.191416,-0.6095027923583984
169,1912,-18.110416,0.47149658203125
170,1913,-19.029083,-0.4471702575683594
171,1914,-20.32675,-1.7448368072509766
172,1915,-18.949917,-0.3680038452148437
173,1916,-18.276167,0.3057460784912109
174,1917,-19.079834,-0.4979209899902344
175,1918,-20.097918,-1.5160045623779297
176,1919,-19.03575,-0.453836441040039
177,1920,-19.68375,-1.101837158203125
178,1921,-19.66425,-1.08233642578125
179,1922,-19.101833,-0.5199203491210938
180,1923,-17.978582,0.6033306121826172
181,1924,-18.438,0.1439132690429687
182,1925,-18.298334,0.283578872680664
183,1926,-17.852667,0.7292461395263672
184,1927,-17.892666,0.6892471313476562
185,1928,-16.851166,1.7307472229003906
186,1929,-16.698668,1.8832454681396484
187,1930,-17.01425,1.5676631927490234
188,1931,-17.748083,0.8338298797607422
189,1932,-16.874332,1.70758056640625
190,1933,-16.684416,1.8974971771240237
191,1934,-17.582666,0.9992465972900392
192,1935,-17.465666,1.1162471771240234
193,1936,-17.206833,1.375080108642578
194,1937,-17.4645,1.117412567138672
195,1938,-17.81975,0.7621631622314453
196,1939,-16.734917,1.8469963073730469
197,1940,-16.99075,1.5911636352539062
198,1941,-17.10775,1.474163055419922
199,1942,-17.60075,0.9811630249023438
200,1943,-18.846333,-0.2644195556640625
201,1944,-18.619333,-0.0374202728271484
202,1945,-17.583,0.9989128112792968
203,1946,-17.309084,1.2728290557861328
204,1947,-16.345833,2.2360801696777344
205,1948,-18.917583,-0.3356704711914062
206,1949,-19.159834,-0.5779209136962891
207,1950,-18.12675,0.4551620483398437
208,1951,-18.963917,-0.3820037841796875
209,1952,-17.87475,0.7071628570556641
210,1953,-18.38475,0.1971626281738281
211,1954,-17.915916,0.6659965515136719
212,1955,-18.3405,0.2414131164550781
213,1956,-18.463,0.1189136505126953
214,1957,-17.766333,0.8155803680419922
215,1958,-17.955667,0.6262454986572266
216,1959,-18.415667,0.1662464141845703
217,1960,-17.46425,1.1176624298095703
218,1961,-18.990334,-0.4084205627441406
219,1962,-17.427834,1.1540794372558594
220,1963,-17.72575,0.8561630249023438
221,1964,-18.574417,0.0074958801269531
222,1965,-17.530582,1.05133056640625
223,1966,-18.842417,-0.2605037689208984
224,1967,-18.5835,-0.0015869140625
225,1968,-18.818916,-0.2370033264160156
226,1969,-18.392084,0.189828872680664
227,1970,-18.738167,-0.1562538146972656
228,1971,-19.7105,-1.1285877227783203
229,1972,-18.818,-0.2360877990722656
230,1973,-19.273582,-0.6916694641113281
231,1974,-18.205667,0.3762454986572265
232,1975,-19.524918,-0.9430046081542968
233,1976,-18.025333,0.55657958984375
234,1977,-18.15025,0.4316635131835937
235,1978,-18.448084,0.133829116821289
236,1979,-18.585,-0.0030860900878906
237,1980,-17.515417,1.0664958953857422
238,1981,-18.341084,0.2408294677734375
239,1982,-18.990667,-0.4087543487548828
240,1983,-20.446833,-1.864919662475586
241,1984,-19.326,-0.7440872192382812
242,1985,-17.569834,1.0120792388916016
243,1986,-18.131666,0.4502468109130859
244,1987,-18.71925,-0.1373367309570312
245,1988,-17.8635,0.7184123992919922
246,1989,-19.368,-0.7860870361328125
247,1990,-18.437916,0.1439971923828125
248,1991,-18.371334,0.2105789184570312
249,1992,-19.5845,-1.0025863647460938
250,1993,-19.267166,-0.6852531433105469
251,1994,-18.641916,-0.0600032806396484
252,1995,-18.2395,0.3424129486083984
253,1996,-17.300333,1.2815799713134766
254,1997,-17.997833,0.5840797424316406
255,1998,-17.139,1.442913055419922
256,1999,-18.25425,0.3276634216308594
257,2000,-17.367916,1.2139968872070312
258,2001,-17.596416,0.9854965209960938
259,2002,-16.820417,1.761495590209961
260,2003,-16.25625,2.325662612915039
261,2004,-17.301167,1.2807464599609375
262,2005,-16.15125,2.430662155151367
263,2006,-17.114334,1.4675788879394531
264,2007,-17.074167,1.5077457427978516
265,2008,-17.389917,1.191995620727539
266,2009,-17.316416,1.2654972076416016
267,2010,-15.546333,3.0355796813964844
268,2011,-17.174334,1.4075794219970703
269,2012,-16.77225,1.809663772583008
270,2013,-15.40975,3.1721630096435547
