,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,26.423727,-0.3182849884033203
82,1825,26.902082,0.1600704193115234
83,1826,26.4663,-0.2757129669189453
84,1827,26.650637,-0.0913753509521484
85,1828,26.519,-0.2230129241943359
86,1829,26.4333,-0.3087120056152344
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,26.221333,-0.5206794738769531
103,1846,26.751333,0.0093212127685546
104,1847,26.175667,-0.56634521484375
105,1848,26.196667,-0.5453453063964844
106,1849,26.203333,-0.5386791229248047
107,1850,26.293417,-0.4485950469970703
108,1851,26.301332,-0.4406795501708984
109,1852,26.229,-0.5130119323730469
110,1853,26.424667,-0.3173446655273437
111,1854,26.289167,-0.4528446197509765
112,1855,26.42125,-0.3207626342773437
113,1856,26.408417,-0.3335952758789062
114,1857,25.9115,-0.8305110931396484
115,1858,26.042917,-0.6990947723388672
116,1859,26.025167,-0.7168445587158203
117,1860,26.25825,-0.4837627410888672
118,1861,26.292583,-0.4494285583496094
119,1862,26.126667,-0.6153450012207031
120,1863,26.054333,-0.6876792907714844
121,1864,26.249666,-0.4923458099365234
122,1865,26.409916,-0.3320960998535156
123,1866,26.403833,-0.3381786346435547
124,1867,26.500416,-0.2415962219238281
125,1868,26.503916,-0.2380962371826172
126,1869,26.67775,-0.0642623901367187
127,1870,26.1955,-0.5465126037597656
128,1871,26.550333,-0.1916790008544922
129,1872,26.606583,-0.1354293823242187
130,1873,26.43575,-0.3062629699707031
131,1874,26.379168,-0.3628444671630859
132,1875,26.16475,-0.5772628784179688
133,1876,26.42125,-0.3207626342773437
134,1877,27.005917,0.2639045715332031
135,1878,27.122667,0.380655288696289
136,1879,26.376667,-0.3653450012207031
137,1880,25.894333,-0.8476791381835938
138,1881,26.458,-0.2840118408203125
139,1882,26.167917,-0.5740947723388672
140,1883,26.0385,-0.7035121917724609
141,1884,25.994,-0.7480125427246094
142,1885,26.43275,-0.3092613220214844
143,1886,26.065584,-0.6764278411865234
144,1887,26.066166,-0.6758460998535156
145,1888,26.517084,-0.2249279022216797
146,1889,26.8365,0.0944881439208984
147,1890,25.769333,-0.9726791381835938
148,1891,26.704334,-0.0376777648925781
149,1892,26.401583,-0.3404293060302734
150,1893,26.285,-0.4570121765136719
151,1894,26.101583,-0.6404285430908203
152,1895,26.3005,-0.4415111541748047
153,1896,26.36,-0.3820114135742187
154,1897,26.5565,-0.1855125427246093
155,1898,26.33175,-0.4102611541748047
156,1899,26.461666,-0.2803459167480469
157,1900,26.61625,-0.125762939453125
158,1901,26.671917,-0.0700950622558593
159,1902,26.636333,-0.1056785583496093
160,1903,26.715918,-0.0260944366455078
161,1904,26.146,-0.5960121154785156
162,1905,26.45775,-0.2842617034912109
163,1906,26.434584,-0.3074283599853515
164,1907,26.325417,-0.416595458984375
165,1908,26.305834,-0.4361782073974609
166,1909,26.270584,-0.4714279174804687
167,1910,26.197083,-0.5449295043945312
168,1911,26.4285,-0.3135128021240234
169,1912,26.477083,-0.2649288177490234
170,1913,26.159082,-0.5829296112060547
171,1914,26.59,-0.1520118713378906
172,1915,26.794416,0.0524044036865234
173,1916,26.386917,-0.3550949096679687
174,1917,26.074917,-0.6670951843261719
175,1918,26.27525,-0.4667625427246094
176,1919,26.709417,-0.0325946807861328
177,1920,26.346666,-0.3953456878662109
178,1921,26.349916,-0.3920955657958984
179,1922,26.27,-0.4720115661621094
180,1923,26.318916,-0.423095703125
181,1924,26.693666,-0.0483455657958984
182,1925,26.373917,-0.3680953979492187
183,1926,26.886917,0.1449050903320312
184,1927,26.89075,0.1487388610839843
185,1928,26.79475,0.0527381896972656
186,1929,26.62775,-0.1142616271972656
187,1930,26.802584,0.0605716705322265
188,1931,27.084417,0.3424053192138672
189,1932,26.88975,0.1477375030517578
190,1933,26.552084,-0.1899280548095703
191,1934,26.613083,-0.1289291381835937
192,1935,26.327917,-0.4140949249267578
193,1936,26.63125,-0.1107616424560546
194,1937,26.830667,0.0886554718017578
195,1938,26.635084,-0.1069278717041015
196,1939,26.693167,-0.0488452911376953
197,1940,27.240168,0.4981555938720703
198,1941,27.319416,0.5774040222167969
199,1942,27.231167,0.4891548156738281
200,1943,26.786083,0.0440711975097656
201,1944,26.87075,0.1287384033203125
202,1945,26.63575,-0.10626220703125
203,1946,26.70125,-0.0407619476318359
204,1947,26.835833,0.093820571899414
205,1948,26.752417,0.0104045867919921
206,1949,26.642416,-0.0995960235595703
207,1950,26.46075,-0.2812614440917969
208,1951,26.864666,0.1226539611816406
209,1952,27.199917,0.4579048156738281
210,1953,27.085333,0.3433208465576172
211,1954,26.82225,0.0802383422851562
212,1955,26.870916,0.1289043426513672
213,1956,26.783833,0.0418205261230468
214,1957,26.873083,0.1310710906982422
215,1958,27.385584,0.6435718536376953
216,1959,27.127832,0.3858203887939453
217,1960,27.208918,0.4669055938720703
218,1961,27.157084,0.4150714874267578
219,1962,27.15675,0.4147377014160156
220,1963,27.220917,0.4789047241210937
221,1964,26.891666,0.1496543884277343
222,1965,26.9435,0.2014884948730468
223,1966,27.060917,0.3189048767089844
224,1967,26.759333,0.0173206329345703
225,1968,26.74625,0.0042381286621093
226,1969,27.423416,0.6814041137695312
227,1970,27.089582,0.3475704193115234
228,1971,26.665667,-0.0763454437255859
229,1972,26.955166,0.2131538391113281
230,1973,27.053417,0.3114051818847656
231,1974,26.706333,-0.0356788635253906
232,1975,26.663584,-0.0784282684326171
233,1976,26.68125,-0.0607624053955078
234,1977,27.095417,0.3534049987792969
235,1978,27.25625,0.5142383575439453
236,1979,27.191166,0.4491539001464844
237,1980,27.41075,0.6687374114990234
238,1981,27.4365,0.694488525390625
239,1982,27.0755,0.3334884643554687
240,1983,27.34,0.5979881286621094
241,1984,26.94,0.1979885101318359
242,1985,26.742834,0.0008220672607421
243,1986,26.888916,0.1469039916992187
244,1987,27.652,0.9099884033203124
245,1988,27.33125,0.5892372131347656
246,1989,27.000668,0.2586555480957031
247,1990,27.205667,0.4636554718017578
248,1991,27.141666,0.3996543884277344
249,1992,27.157084,0.4150714874267578
250,1993,27.348417,0.6064052581787109
251,1994,27.251,0.5089874267578125
252,1995,27.635334,0.8933219909667969
253,1996,27.28625,0.5442371368408203
254,1997,27.452333,0.7103214263916016
255,1998,27.946,1.2039871215820312
256,1999,27.463917,0.7219047546386719
257,2000,27.190916,0.4489040374755859
258,2001,27.507166,0.7651538848876953
259,2002,27.531166,0.789154052734375
260,2003,27.7165,0.9744873046875
261,2004,27.47475,0.7327384948730469
262,2005,27.908,1.1659889221191406
263,2006,27.743668,1.0016555786132812
264,2007,27.591,0.8489875793457031
265,2008,27.363667,0.6216545104980469
266,2009,27.62675,0.8847389221191406
267,2010,28.108917,1.3669052124023438
268,2011,27.662083,0.9200706481933594
269,2012,27.636417,0.8944053649902344
270,2013,27.612875,0.8708629608154297
