,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,26.039455,-0.290008544921875
82,1825,26.457167,0.1277027130126953
83,1826,26.0771,-0.2523632049560547
84,1827,26.267365,-0.0620994567871093
85,1828,26.229364,-0.1000995635986328
86,1829,25.9006,-0.428863525390625
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,25.765556,-0.5639076232910156
103,1846,26.275833,-0.0536308288574218
104,1847,25.77175,-0.5577144622802734
105,1848,25.719084,-0.6103801727294922
106,1849,25.77675,-0.5527133941650391
107,1850,25.827667,-0.5017967224121094
108,1851,25.939167,-0.3902969360351562
109,1852,25.755,-0.5744647979736328
110,1853,25.974333,-0.3551311492919922
111,1854,25.872334,-0.4571304321289062
112,1855,25.995667,-0.3337974548339844
113,1856,26.046,-0.2834644317626953
114,1857,25.557,-0.7724647521972656
115,1858,25.6005,-0.7289638519287109
116,1859,25.674417,-0.6550464630126953
117,1860,25.78675,-0.5427131652832031
118,1861,25.893583,-0.4358806610107422
119,1862,25.72875,-0.6007137298583984
120,1863,25.817917,-0.5115470886230469
121,1864,25.8505,-0.4789638519287109
122,1865,26.074667,-0.2547969818115234
123,1866,25.9545,-0.3749637603759765
124,1867,25.998083,-0.3313808441162109
125,1868,26.210583,-0.1188812255859375
126,1869,26.186583,-0.1428813934326172
127,1870,25.838,-0.491464614868164
128,1871,26.200333,-0.1291313171386718
129,1872,26.268167,-0.0612964630126953
130,1873,26.023834,-0.3056297302246094
131,1874,25.903418,-0.4260463714599609
132,1875,25.834333,-0.4951305389404297
133,1876,26.081417,-0.248046875
134,1877,26.450916,0.1214523315429687
135,1878,26.517584,0.188119888305664
136,1879,25.9645,-0.3649635314941406
137,1880,25.672167,-0.6572971343994141
138,1881,25.924667,-0.4047966003417969
139,1882,25.758917,-0.5705471038818359
140,1883,25.62025,-0.7092132568359375
141,1884,25.558834,-0.7706298828125
142,1885,26.1475,-0.1819648742675781
143,1886,25.719917,-0.6095466613769531
144,1887,25.625668,-0.70379638671875
145,1888,25.98625,-0.3432140350341797
146,1889,26.25375,-0.075714111328125
147,1890,25.54925,-0.7802143096923828
148,1891,26.136168,-0.1932964324951172
149,1892,26.071833,-0.2576313018798828
150,1893,25.845833,-0.4836311340332031
151,1894,25.75875,-0.5707130432128906
152,1895,25.9575,-0.3719635009765625
153,1896,26.013834,-0.3156299591064453
154,1897,26.18675,-0.1427135467529297
155,1898,26.130083,-0.199380874633789
156,1899,25.982166,-0.3472976684570312
157,1900,26.121,-0.2084636688232422
158,1901,26.338833,0.009368896484375
159,1902,26.270416,-0.0590476989746093
160,1903,26.19775,-0.1317138671875
161,1904,25.841667,-0.4877967834472656
162,1905,26.169083,-0.1603813171386718
163,1906,26.081417,-0.248046875
164,1907,25.896,-0.4334640502929687
165,1908,25.96575,-0.3637142181396484
166,1909,25.841833,-0.4876308441162109
167,1910,25.810417,-0.5190467834472656
168,1911,26.020416,-0.3090476989746094
169,1912,26.112167,-0.2172966003417968
170,1913,25.65075,-0.6787147521972656
171,1914,26.132833,-0.1966304779052734
172,1915,26.38275,0.0532855987548828
173,1916,25.948084,-0.3813800811767578
174,1917,25.72425,-0.6052131652832031
175,1918,25.974083,-0.3553810119628906
176,1919,26.29175,-0.0377140045166015
177,1920,25.980333,-0.349130630493164
178,1921,26.136084,-0.1933803558349609
179,1922,26.070333,-0.2591304779052734
180,1923,26.04825,-0.2812137603759765
181,1924,26.260416,-0.0690479278564453
182,1925,26.057167,-0.2722969055175781
183,1926,26.4905,0.1610355377197265
184,1927,26.285084,-0.0443801879882812
185,1928,26.390333,0.0608692169189453
186,1929,26.054832,-0.2746315002441406
187,1930,26.456833,0.1273689270019531
188,1931,26.766916,0.4374523162841797
189,1932,26.4835,0.1540355682373047
190,1933,26.124332,-0.2051315307617187
191,1934,26.087,-0.2424640655517578
192,1935,26.185583,-0.1438808441162109
193,1936,26.194584,-0.1348800659179687
194,1937,26.475584,0.1461200714111328
195,1938,26.070084,-0.2593803405761719
196,1939,26.324167,-0.0052967071533203
197,1940,26.66,0.330535888671875
198,1941,26.821,0.4915351867675781
199,1942,26.729416,0.3999519348144531
200,1943,26.242,-0.08746337890625
201,1944,26.325083,-0.0043811798095703
202,1945,26.035667,-0.2937965393066406
203,1946,26.303583,-0.0258808135986328
204,1947,26.671583,0.3421192169189453
205,1948,26.470083,0.1406192779541015
206,1949,26.135166,-0.1942977905273437
207,1950,25.948166,-0.3812980651855469
208,1951,26.431583,0.1021194458007812
209,1952,26.642,0.3125362396240234
210,1953,26.7495,0.4200363159179687
211,1954,26.3355,0.0060367584228515
212,1955,26.516916,0.1874523162841797
213,1956,26.312,-0.0174636840820312
214,1957,26.52675,0.1972866058349609
215,1958,26.9895,0.6600360870361328
216,1959,26.773417,0.4439525604248047
217,1960,26.846666,0.5172023773193359
218,1961,26.603916,0.2744522094726562
219,1962,26.65675,0.3272857666015625
220,1963,26.794416,0.4649524688720703
221,1964,26.603,0.2735366821289062
222,1965,26.346666,0.0172023773193359
223,1966,26.520166,0.1907024383544922
224,1967,26.258,-0.0714645385742187
225,1968,26.312584,-0.0168800354003906
226,1969,26.795,0.4655361175537109
227,1970,26.631416,0.3019523620605469
228,1971,26.290833,-0.0386314392089843
229,1972,26.475584,0.1461200714111328
230,1973,26.76225,0.4327869415283203
231,1974,26.251833,-0.0776309967041015
232,1975,26.23725,-0.0922145843505859
233,1976,26.157833,-0.171630859375
234,1977,26.71825,0.3887863159179687
235,1978,26.748,0.4185352325439453
236,1979,26.575417,0.2459526062011718
237,1980,27.012333,0.6828689575195312
238,1981,26.9525,0.6230354309082031
239,1982,26.5945,0.2650356292724609
240,1983,26.957083,0.6276187896728516
241,1984,26.485584,0.1561203002929687
242,1985,26.493834,0.1643695831298828
243,1986,26.595583,0.2661190032958984
244,1987,27.126417,0.7969532012939453
245,1988,26.84875,0.5192852020263672
246,1989,26.585167,0.2557029724121094
247,1990,26.832916,0.5034523010253906
248,1991,26.775417,0.445953369140625
249,1992,26.800833,0.4713687896728515
250,1993,26.842833,0.5133686065673828
251,1994,26.826084,0.4966201782226562
252,1995,27.25725,0.927785873413086
253,1996,26.851917,0.5224533081054688
254,1997,27.19725,0.8677864074707031
255,1998,27.5005,1.1710357666015625
256,1999,27.015,0.6855354309082031
257,2000,26.788334,0.4588699340820312
258,2001,27.14525,0.8157863616943359
259,2002,27.232916,0.903451919555664
260,2003,27.38675,1.0572853088378906
261,2004,27.0415,0.7120361328125
262,2005,27.509083,1.1796188354492188
263,2006,27.360584,1.0311203002929688
264,2007,27.382416,1.0529518127441406
265,2008,26.861666,0.5322017669677734
266,2009,27.164667,0.8352031707763672
267,2010,27.655666,1.326202392578125
268,2011,27.1765,0.8470363616943359
269,2012,27.31825,0.9887866973876952
270,2013,27.15675,0.8272857666015625
